site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,20.477082,106.07578,27,6,4499,4571
2,20.527173,106.479465,27,6,4664,4546
3,20.285576,105.824057,27,6,4445,4662
4,21.164632,105.980063,27,6,4239,4240
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2002/01/01,2033,913,2257,987,1491,482,773,3274,4570,2381,8,1,N\A
1,2002/01/17,1230,1383,2062,2014,2579,1927,2055,2110,4525,2353,17,3,N\A
1,2002/02/02,252,804,2062,5744,6042,5500,3406,3175,4442,454,37,3,N\A
1,2002/02/18,1351,1378,35878,1561,2049,1675,524,4255,3156,2266,63,3,N\A
1,2002/03/06,7508,4320,2261,385,2705,212,631,4172,3338,289,78,1,N\A
1,2002/03/22,8179,6063,2261,400,3994,210,1013,4181,2863,204,94,1,N\A
1,2002/04/07,8513,6593,2257,338,4209,208,790,3265,1853,2056,104,1,N\A
1,2002/04/23,7220,8531,3102,946,5862,951,1144,4181,2269,-6,126,3,N\A
1,2002/05/09,6427,4104,2189,666,3063,328,769,5668,911,1686,141,1,N\A
1,2002/05/25,4945,3404,2066,875,2587,702,615,5050,1075,1601,150,3,N\A
1,2002/06/10,2454,1204,3154,1027,1695,532,427,3166,2139,-191,165,3,N\A
1,2002/06/26,2551,1225,2261,1013,1707,483,413,4133,2390,-165,190,1,N\A
1,2002/07/12,3078,2880,2066,1266,2392,1362,755,5668,1147,1690,205,3,N\A
1,2002/07/28,6508,5210,2066,704,3329,661,855,4952,2609,-49,215,3,N\A
1,2002/08/13,8138,7099,3102,382,3722,567,1001,4268,1705,2046,239,3,N\A
1,2002/08/29,8085,6004,2185,428,4043,208,676,608,2254,154,243,1,N\A
1,2002/09/14,7875,5264,2185,403,3391,216,570,581,2534,287,259,1,N\A
1,2002/09/30,5630,3267,2116,714,2554,368,797,731,3058,2337,282,0,N\A
1,2002/10/16,4113,2044,2185,797,1911,409,946,793,3544,2363,298,1,N\A
1,2002/11/01,3211,1777,2185,1136,2211,521,1040,3194,4055,535,309,1,N\A
1,2002/11/17,1162,2020,2062,2669,3371,2760,1784,1958,4542,565,332,3,N\A
1,2002/12/03,3845,1712,2185,705,1586,394,360,875,4646,2427,346,1,N\A
1,2002/12/19,4692,2081,2062,540,1495,435,1142,2192,4656,2405,353,3,N\A
2,2002/01/01,2733,1097,2257,788,1381,347,938,254,4761,553,3,1,N\A
2,2002/01/17,506,1002,2066,4240,4692,3848,3843,6486,5196,453,18,3,N\A
2,2002/02/02,496,730,2062,3310,3656,2889,2903,3970,4290,409,46,3,N\A
2,2002/02/18,1772,739,2185,975,1395,405,284,2421,3767,2270,49,1,N\A
2,2002/03/06,2692,1598,35874,1665,2892,492,1360,1110,3015,2199,74,3,N\A
2,2002/03/22,8233,5924,2257,372,3839,192,1007,3950,2833,208,94,1,N\A
2,2002/04/07,8252,6317,2261,396,4137,228,786,4811,2741,146,103,1,N\A
2,2002/04/23,7938,6724,2061,435,3786,525,1085,1136,1710,1850,122,1,N\A
2,2002/05/09,6529,4266,2189,662,3153,337,731,5799,875,1689,141,1,N\A
2,2002/05/25,6214,3494,2116,581,2489,310,611,3595,1329,1606,152,0,N\A
2,2002/06/10,3283,1654,3154,895,1770,522,635,2877,2101,-194,165,3,N\A
2,2002/06/26,2999,1379,2257,881,1636,432,247,3902,2353,-166,190,1,N\A
2,2002/07/12,3133,1650,2066,941,1800,591,464,6472,2935,-133,194,3,N\A
2,2002/07/28,5556,4386,2062,742,2598,863,887,2868,2279,-63,213,3,N\A
2,2002/08/13,8562,5595,2185,262,3382,135,565,3583,1700,1958,232,1,N\A
2,2002/08/29,8009,5256,2257,367,3320,197,461,1155,2220,2106,250,1,N\A
2,2002/09/14,7837,4789,2185,356,2936,214,489,219,2510,404,259,1,N\A
2,2002/09/30,6227,3697,2116,634,2727,317,665,3518,2847,2343,280,0,N\A
2,2002/10/16,2807,5863,2062,1327,2363,2121,1520,3931,3919,512,302,3,N\A
2,2002/11/01,4327,2237,2185,833,2104,387,887,3528,3853,2433,312,1,N\A
2,2002/11/17,487,1262,2066,4821,5315,4594,4113,4480,4353,2448,335,3,N\A
2,2002/12/03,6555,4049,2257,604,2903,311,748,1218,4637,2387,346,1,N\A
2,2002/12/19,1214,2724,2062,2514,3209,2922,2921,1154,4730,2382,362,3,N\A
3,2002/01/01,4260,2093,2257,782,1943,369,738,806,4765,529,3,1,N\A
3,2002/01/17,4017,2401,35033,1037,2430,553,1194,1945,4518,2340,17,1,N\A
3,2002/02/02,2365,1232,3102,705,1142,868,458,4110,3691,2306,47,3,N\A
3,2002/02/18,4467,2070,2185,680,1778,347,621,1945,3779,2266,49,1,N\A
3,2002/03/06,6038,3891,35037,687,2781,460,1155,4298,3345,284,78,1,N\A
3,2002/03/22,7635,4782,2261,413,3081,215,743,4120,2017,2127,95,1,N\A
3,2002/04/07,8027,5959,2261,438,4002,224,1071,5094,2787,141,103,1,N\A
3,2002/04/23,7112,6341,35878,877,5197,457,1163,4298,2288,-16,126,3,N\A
3,2002/05/09,5749,3570,2189,766,2838,390,778,5593,934,1675,141,1,N\A
3,2002/05/25,5003,2494,2116,700,2102,300,544,3200,1391,1602,152,0,N\A
3,2002/06/10,3733,1651,3226,767,1681,326,470,4288,2352,-190,174,3,N\A
3,2002/06/26,3333,1438,2261,841,1682,282,383,4168,1428,1589,191,1,N\A
3,2002/07/12,2789,2354,2066,1383,2453,1252,730,6125,1013,1586,196,3,N\A
3,2002/07/28,7819,5379,3226,432,3530,230,715,5053,2631,-55,215,3,N\A
3,2002/08/13,7999,6001,2185,431,3877,281,782,2122,2316,120,236,1,N\A
3,2002/08/29,8072,5149,2185,344,3226,173,568,796,2264,190,243,1,N\A
3,2002/09/14,7391,4749,2185,464,3094,271,753,769,2538,320,259,1,N\A
3,2002/09/30,5134,2729,2185,742,2308,322,870,539,3053,2298,282,1,N\A
3,2002/10/16,4645,2349,2185,775,2120,328,1336,604,3536,2402,298,1,N\A
3,2002/11/01,4722,2349,2185,731,2039,334,929,3125,3848,2429,312,1,N\A
3,2002/11/17,1723,2292,2062,2255,3194,2198,1839,2131,4534,573,332,3,N\A
3,2002/12/03,5475,3133,2257,744,2545,352,1100,684,4636,2395,346,1,N\A
3,2002/12/19,493,1662,2062,4754,5248,4846,3527,2019,4645,2393,353,3,N\A
4,2002/01/01,2734,1452,2257,1140,1998,543,1383,3078,4640,2387,8,1,N\A
4,2002/01/17,1238,1064,3098,2511,3221,1548,2081,1891,4593,2364,17,3,N\A
4,2002/02/02,389,793,2066,4068,4398,3788,3473,4327,4371,417,46,3,N\A
4,2002/02/18,228,120,2185,1752,1834,715,562,1890,3848,2268,49,1,N\A
4,2002/03/06,975,1543,2062,3859,4693,3245,3793,524,3096,2238,74,3,N\A
4,2002/03/22,4734,4892,35878,1735,4855,1243,1957,5715,3112,184,96,3,N\A
4,2002/04/07,8144,6601,2261,450,4401,285,1104,5095,2810,151,103,1,N\A
4,2002/04/23,8703,6682,35033,278,4012,228,907,850,2022,122,115,1,N\A
4,2002/05/09,6712,4522,2189,639,3249,354,808,5553,927,1726,141,1,N\A
4,2002/05/25,6677,5445,2062,735,3689,605,1329,3297,2071,-124,149,3,N\A
4,2002/06/10,1510,626,3222,891,1208,520,662,3325,2138,-179,165,3,N\A
4,2002/06/26,1241,752,2261,2187,2807,710,588,4119,1406,1620,191,1,N\A
4,2002/07/12,2287,1736,34842,1362,2170,1161,483,6090,994,1636,196,3,N\A
4,2002/07/28,6074,3704,2262,685,2805,348,667,5058,2625,-35,215,3,N\A
4,2002/08/13,8320,6731,2185,394,4299,288,1106,2150,2339,142,236,1,N\A
4,2002/08/29,7879,5577,2257,439,3702,228,652,578,2298,2139,250,1,N\A
4,2002/09/14,9076,6883,2061,193,3987,182,713,3134,2435,2252,264,1,N\A
4,2002/09/30,6171,3951,2116,704,2974,378,1011,494,3124,2286,282,0,N\A
4,2002/10/16,4092,4263,2062,1481,3533,1385,1544,1890,3273,2348,289,3,N\A
