site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,14.889385,104.76996,28,7,601,2453
2,16.310529,99.870842,27,7,2808,1770
3,13.221547,99.8441,27,7,3454,3253
4,15.26056,100.154376,27,7,3178,2274
5,16.860409,99.783051,27,7,2637,1507
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2002/01/01,3816,2280,2116,1092,2440,562,2050,739,4213,2298,10,0,N\A
1,2002/01/17,3810,2337,2116,1160,2588,570,2329,681,4197,437,19,0,N\A
1,2002/02/02,3651,2510,2116,1445,3107,697,2815,2150,3814,381,44,0,N\A
1,2002/02/18,3491,2332,2116,1399,2900,694,2694,688,3524,399,51,0,N\A
1,2002/03/06,3637,2428,2185,1338,2868,686,2730,750,2732,2125,74,1,N\A
1,2002/03/22,3362,2790,34842,1380,2778,1138,2523,4314,1750,1992,95,3,N\A
1,2002/04/07,4205,3212,2262,1467,3596,777,3234,4287,2464,-20,110,3,N\A
1,2002/04/23,4864,3397,2066,955,2764,691,1803,5733,1043,1605,125,3,N\A
1,2002/05/09,4791,2887,34842,1017,2888,372,1677,4363,1422,1445,143,3,N\A
1,2002/05/25,5256,3149,34842,873,2808,358,1375,5142,1358,1376,150,3,N\A
1,2002/06/10,4860,3444,2190,1199,3467,560,1848,5083,2681,-294,167,3,N\A
1,2002/06/26,2846,2206,2062,1371,2462,1110,767,3258,2467,-311,181,3,N\A
1,2002/07/12,3673,2169,3158,1110,2399,561,602,4248,2609,-220,206,3,N\A
1,2002/07/28,5088,3717,34842,823,2528,800,846,4343,1537,1661,223,3,N\A
1,2002/08/13,5399,4294,2061,916,3066,806,877,2031,2255,-26,236,1,N\A
1,2002/08/29,3113,3905,2062,1764,3359,1831,794,3350,1751,1955,248,3,N\A
1,2002/09/14,5249,4269,2066,825,2648,923,1056,4268,2817,264,270,3,N\A
1,2002/09/30,7062,3888,2116,435,2527,225,632,721,2648,2214,282,0,N\A
1,2002/10/16,7164,4348,2185,499,3021,202,832,696,2975,473,291,1,N\A
1,2002/11/01,5780,3451,2120,728,2723,352,861,5101,3208,2431,310,1,N\A
1,2002/11/17,4848,2600,2116,758,2185,402,1236,2109,3652,2379,321,0,N\A
1,2002/12/03,4449,2591,2116,932,2426,481,1795,616,4134,530,339,0,N\A
1,2002/12/19,4592,2810,2116,963,2599,510,1859,802,4272,2355,362,0,N\A
2,2002/01/01,5331,3159,2185,756,2483,447,1727,1240,4439,498,8,1,N\A
2,2002/01/17,4885,2939,2185,860,2503,492,1698,2563,4441,478,17,1,N\A
2,2002/02/02,3138,1661,2185,1068,2045,500,2092,189,3666,2163,47,1,N\A
2,2002/02/18,3836,2159,2257,1066,2393,457,1917,1657,3365,2208,54,1,N\A
2,2002/03/06,3387,1951,2257,1139,2306,559,2132,1621,2861,2141,70,1,N\A
2,2002/03/22,3513,2261,2257,1317,2744,649,2501,206,2239,1992,95,1,N\A
2,2002/04/07,3894,3024,2257,1579,3593,856,3204,2572,2464,119,97,1,N\A
2,2002/04/23,4371,3060,2262,1235,3153,653,2119,6411,2822,-103,126,3,N\A
2,2002/05/09,4232,2997,2066,1046,2581,807,1493,6519,878,1371,144,3,N\A
2,2002/05/25,5689,4503,2066,844,3072,769,1408,6068,1093,1347,153,3,N\A
2,2002/06/10,7070,5356,34838,743,4330,273,1494,1204,2118,-332,168,3,N\A
2,2002/06/26,7348,4774,34838,483,3160,272,763,3985,1635,1430,180,3,N\A
2,2002/07/12,7331,4852,3222,517,3358,243,766,1708,1907,1523,198,3,N\A
2,2002/07/28,7236,6324,2066,726,4528,514,978,5321,2748,-104,220,3,N\A
2,2002/08/13,4283,5397,2062,1516,3788,1648,1220,270,2036,1809,239,3,N\A
2,2002/08/29,6830,6183,35878,772,4099,704,865,4572,2627,64,243,3,N\A
2,2002/09/14,5257,6048,2066,1091,3510,1341,1062,4827,2019,2244,267,3,N\A
2,2002/09/30,7458,5603,2185,586,4025,293,784,3721,3071,382,282,1,N\A
2,2002/10/16,7054,5484,34837,334,1934,886,818,3957,2851,2364,292,1,N\A
2,2002/11/01,7653,4950,2185,439,3302,197,616,1636,3507,2379,310,1,N\A
2,2002/11/17,7930,5179,2116,375,3249,217,602,2939,4003,2406,333,0,N\A
2,2002/12/03,7923,5140,2185,377,3254,203,650,2976,4227,2392,349,1,N\A
2,2002/12/19,7181,5413,2120,662,4035,324,1125,4552,4674,506,355,1,N\A
3,2002/01/01,3788,2462,2185,1265,2808,631,2195,2012,4261,489,1,1,N\A
3,2002/01/17,3698,2036,2257,937,2037,554,2134,570,3997,457,24,1,N\A
3,2002/02/02,3426,1737,2257,936,1912,465,1890,651,3694,418,40,1,N\A
3,2002/02/18,2932,1444,2257,928,1698,525,1201,597,3280,354,56,1,N\A
3,2002/03/06,4106,1955,2257,742,1776,401,871,2220,2646,2098,70,1,N\A
3,2002/03/22,7790,4644,2189,363,2923,176,651,5173,1657,2006,91,1,N\A
3,2002/04/07,6909,3867,2185,472,2583,236,428,867,1866,1765,111,1,N\A
3,2002/04/23,7771,4937,2185,393,3134,215,644,606,1965,-123,120,1,N\A
3,2002/05/09,7290,4493,2116,465,2967,245,487,920,1911,1474,143,0,N\A
3,2002/05/25,6119,4899,2066,795,3302,704,717,5205,1519,1311,155,3,N\A
3,2002/06/10,5656,3908,2118,918,3309,470,923,1984,2322,-356,161,3,N\A
