site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,6.92754,124.211991,30,8,1586,1474
2,6.8088,124.481826,30,8,1729,1531
3,7.13658,124.536971,30,8,1714,1374
4,7.886234,124.352285,30,8,1524,1014
5,17.6,120.650104,29,7,2401,1152
6,17.403802,120.710614,29,7,2488,1246
7,16.87,120.847332,29,7,2710,1502
8,16.482452,120.60318,29,7,2710,1688
9,17.384381,121.504894,29,7,2858,1255
10,18.264937,120.594505,29,7,2168,832
11,17.973888,120.691845,29,7,2304,972
12,17.647013,120.431362,29,7,2286,1129
13,17.176121,120.449365,29,7,2437,1355
14,16.892107,120.528628,29,7,2557,1491
15,16.860722,120.397383,29,7,2506,1506
16,16.405965,120.397421,29,7,2637,1725
17,15.989078,120.39786,29,7,2755,1925
18,16.090444,120.552156,29,7,2798,1876
19,16.089993,120.763807,29,7,2895,1876
20,15.929306,120.707129,29,7,2914,1953
21,16.097167,119.989561,29,7,2536,1873
22,15.770139,120.338379,29,7,2788,2030
23,18.27969,121.718203,29,7,2676,825
24,18.079776,121.552994,29,7,2664,921
25,17.80583,121.639191,29,7,2789,1053
26,17.872952,121.910065,29,7,2892,1020
27,17.040246,121.730973,29,7,3065,1420
28,16.683838,121.496308,29,7,3063,1591
29,16.477999,121.75562,29,7,3242,1690
30,16.362945,121.693003,29,7,3246,1745
31,17.046134,121.096969,29,7,2772,1417
32,16.338072,121.096969,29,7,2979,1757
33,16.204606,121.066956,29,7,3003,1821
34,16.545279,121.175551,29,7,2955,1658
35,16.022895,121.096101,29,7,3068,1909
36,15.978566,121.074224,29,7,3070,1930
37,15.794952,121.022798,29,7,3097,2018
38,15.667999,120.968348,29,7,3107,2079
39,15.415045,120.810752,29,7,3103,2200
40,15.18643,120.933623,29,7,3221,2310
41,14.976358,120.844992,29,7,3235,2411
42,15.38902,120.571417,29,7,2999,2213
43,15.411066,120.569883,29,7,2992,2202
44,15.666704,120.434203,29,7,2860,2079
45,15.665044,120.368507,29,7,2830,2080
46,14.939025,120.515393,29,7,3092,2429
47,14.919103,120.523545,29,7,3101,2438
48,15.089563,121.003032,29,7,3278,2357
49,15.670958,121.145854,29,7,3188,2077
50,15.707533,120.803862,29,7,3020,2060
51,15.291401,120.820462,29,7,3140,2260
52,15.617459,121.164793,29,7,3211,2103
53,14.285342,120.754128,29,7,3369,2743
54,14.396618,120.877077,29,7,3399,2689
55,14.227291,121.158483,29,7,3572,2770
56,14.447077,121.412577,29,7,3635,2665
57,14.711751,121.640761,29,7,3673,2538
58,14.173183,121.309555,29,7,3656,2796
59,13.281084,121.239187,29,7,3838,3225
60,13.22632,121.166563,29,7,3817,3251
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2008/01/01,7738,6739,34965,670,5256,302,1329,5978,4265,346,15,1,N\A
1,2008/01/17,6426,3619,2116,576,2648,239,889,1810,3323,2201,32,0,N\A
1,2008/02/02,7921,4395,2189,314,2708,130,746,6205,2792,2272,35,1,N\A
1,2008/02/18,7078,4027,2066,443,2590,256,947,4972,2532,2140,53,3,N\A
1,2008/03/05,6474,3465,2116,504,2355,270,1019,3029,2317,1981,71,0,N\A
1,2008/03/21,5797,4303,2116,1007,3785,492,1653,3787,2789,24,84,0,N\A
1,2008/04/06,7499,4301,2120,394,2757,185,867,6171,1244,1678,99,1,N\A
1,2008/04/22,6019,4477,2062,864,3477,543,1220,1202,2267,-245,114,3,N\A
1,2008/05/08,6388,4469,2116,761,3453,395,1244,2534,2591,-400,139,0,N\A
1,2008/05/24,5969,3811,2116,740,2932,399,1314,1157,2541,-455,146,0,N\A
1,2008/06/09,5020,4469,35038,1105,3333,1000,1315,4989,2176,1205,165,3,N\A
1,2008/06/25,7102,4004,2116,450,2656,211,843,3088,2440,1285,183,0,N\A
1,2008/07/11,6649,4441,2116,682,3389,299,1001,3701,3007,-396,196,0,N\A
1,2008/07/27,6526,3952,34837,549,2612,381,764,3061,2196,1402,215,1,N\A
1,2008/08/12,5981,3651,2116,725,2883,328,1123,1166,2463,-293,226,0,N\A
1,2008/08/28,6740,5948,34837,556,2856,870,1388,3088,1775,1682,247,1,N\A
1,2008/09/13,6358,4467,2116,756,3396,421,1344,1148,2174,-7,258,0,N\A
1,2008/09/29,6200,4142,2116,763,3253,374,1230,1147,2237,187,274,0,N\A
1,2008/10/15,6631,4659,2116,711,3511,367,1166,3691,2752,293,292,0,N\A
1,2008/10/31,4596,3396,34841,1129,3050,758,1193,5404,3337,349,310,1,N\A
1,2008/11/16,7214,4081,34965,446,2756,171,892,5647,2988,2412,332,1,N\A
1,2008/12/02,6195,7558,2066,831,3538,1276,1483,5382,3937,416,342,3,N\A
1,2008/12/18,5631,3263,34838,588,2104,536,874,1828,3593,2292,2,3,N\A
2,2008/01/01,8205,5395,2116,332,3369,172,583,2074,3511,2254,16,0,N\A
2,2008/01/17,8054,5075,2116,337,3128,187,603,868,3684,427,18,0,N\A
2,2008/02/02,5324,3210,2116,858,2812,366,933,876,3476,338,34,0,N\A
2,2008/02/18,4127,2118,34965,850,2045,406,843,5112,2504,2145,53,1,N\A
2,2008/03/05,5852,3170,2116,623,2381,301,1107,3248,2288,1974,71,0,N\A
2,2008/03/21,5980,4373,2116,913,3630,477,1371,3587,2761,21,84,0,N\A
2,2008/04/06,6274,4210,2120,732,3198,393,934,5284,2864,-127,102,1,N\A
2,2008/04/22,5361,2842,3222,681,2255,333,641,922,2245,-256,114,3,N\A
2,2008/05/08,3690,1496,2189,665,1443,325,381,4473,2855,-383,141,1,N\A
2,2008/05/24,3505,1561,2185,781,1624,375,650,869,2525,-478,146,1,N\A
2,2008/06/09,4972,2109,2116,557,1659,259,593,3483,2937,-439,164,0,N\A
