id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2000/02/18,582,1982,290,571,2703,2109,1104,1073741824,4994,628,-5464,136,56,2000/02/25,0.0582,0.1982,0.029,0.0571,0.2703,0.2109,0.1104,0.546021840874,0.263177682533,-0.0310437545832,0.284510693454,-0.573880597015,-0.153895410886,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.546021840874,0.263177682533,-0.0310437545832,0.284510693454,-0.573880597015,-0.153895410886
1,2000/02/26,382,1633,149,378,2243,1870,939,1073741824,4687,574,12001,72,63,2000/03/03,0.0382,0.1633,0.0149,0.0378,0.2243,0.187,0.0939,0.620843672457,0.244192855749,-0.0676562946046,0.269828926905,-0.663701067616,-0.15737874097,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.620843672457,0.244192855749,-0.0676562946046,0.269828926905,-0.663701067616,-0.15737874097
1,2000/03/05,564,2054,296,548,2780,2325,1229,1073741824,4377,608,-5666,72,72,2000/03/12,0.0564,0.2054,0.0296,0.0548,0.278,0.2325,0.1229,0.569136745607,0.281812679679,-0.0618862754053,0.25129454767,-0.618517229377,-0.150186181216,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.569136745607,0.281812679679,-0.0618862754053,0.25129454767,-0.618517229377,-0.150186181216
1,2000/03/13,473,1983,245,497,2565,2168,1079,1073741824,4056,2753,11811,72,77,2000/03/17,0.0473,0.1983,0.0245,0.0497,0.2565,0.2168,0.1079,0.614820846906,0.290753648862,-0.0445675740785,0.295231874592,-0.627016885553,-0.127968337731,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.614820846906,0.290753648862,-0.0445675740785,0.295231874592,-0.627016885553,-0.127968337731
1,2000/03/21,576,2415,294,616,3073,2599,1350,1073741824,4065,1677,-5531,72,81,2000/03/21,0.0576,0.2415,0.0294,0.0616,0.3073,0.2599,0.135,0.614844533601,0.3364188497,-0.0366972477064,0.282868525896,-0.616796267496,-0.119897959184,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.614844533601,0.3364188497,-0.0366972477064,0.282868525896,-0.616796267496,-0.119897959184
1,2000/03/29,497,2477,246,531,3047,2410,1175,1073741824,3416,710,12407,72,95,2000/04/04,0.0497,0.2477,0.0246,0.0531,0.3047,0.241,0.1175,0.665770006725,0.363596297929,0.0137098424391,0.356516976999,-0.6388983339,-0.103186097031,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.665770006725,0.363596297929,0.0137098424391,0.356516976999,-0.6388983339,-0.103186097031
1,2000/04/06,562,2563,293,608,3123,2471,1307,1610612736,3438,1631,-5375,72,97,2000/04/06,0.0562,0.2563,0.0293,0.0608,0.3123,0.2471,0.1307,0.64032,0.36414922657,0.0182757250695,0.324547803618,-0.605066580058,-0.0984875131903,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.64032,0.36414922657,0.0182757250695,0.324547803618,-0.605066580058,-0.0984875131903
1,2000/04/14,603,2375,363,630,2819,2098,1024,1073741824,2831,728,12545,136,111,2000/04/20,0.0603,0.2375,0.0363,0.063,0.2819,0.2098,0.1024,0.595030221625,0.333823141555,0.0619271182651,0.397469844072,-0.538123167155,-0.0854832499037,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.595030221625,0.333823141555,0.0619271182651,0.397469844072,-0.538123167155,-0.0854832499037
1,2000/04/22,602,2508,317,604,3117,2466,1302,1073741824,2593,404,-4496,72,120,2000/04/29,0.0602,0.2508,0.0317,0.0604,0.3117,0.2466,0.1302,0.612861736334,0.3467345825,0.00844390832328,0.316535433071,-0.60651465798,-0.108266666667,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.612861736334,0.3467345825,0.00844390832328,0.316535433071,-0.60651465798,-0.108266666667
1,2000/04/30,503,2171,262,503,2719,2065,1037,1073741824,2311,2872,12133,72,125,2000/05/04,0.0503,0.2171,0.0262,0.0503,0.2719,0.2065,0.1037,0.623784592371,0.315335753176,0.0250236071766,0.35349127182,-0.608255451713,-0.112065439673,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.623784592371,0.315335753176,0.0250236071766,0.35349127182,-0.608255451713,-0.112065439673
1,2000/05/08,466,2036,233,479,2618,1846,898,1073741824,2094,3697,11875,72,132,2000/05/11,0.0466,0.2036,0.0233,0.0479,0.2618,0.1846,0.0898,0.627498001599,0.299973250793,0.0489438433797,0.387866394001,-0.587956989247,-0.125053717232,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.627498001599,0.299973250793,0.0489438433797,0.387866394001,-0.587956989247,-0.125053717232
1,2000/05/16,691,2457,365,679,3124,2601,1375,1073741824,2004,648,12694,72,143,2000/05/22,0.0691,0.2457,0.0365,0.0679,0.3124,0.2601,0.1375,0.560991105464,0.318416212903,-0.0284697508897,0.28235908142,-0.585975609756,-0.119512632145,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.560991105464,0.318416212903,-0.0284697508897,0.28235908142,-0.585975609756,-0.119512632145
