site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,26.7478,115.0631,28,6,330,390
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2011/01/01,36,6,16,136,0,0,N\A
1,2011/01/09,29,7,0,136,4,1,N\A
1,2011/01/17,1,0,105,160,248,248,N\A
1,2011/01/25,1,0,105,160,248,248,N\A
1,2011/02/02,32,7,0,136,4,1,N\A
1,2011/02/10,2,0,105,160,248,248,N\A
1,2011/02/18,11,2,8,160,6,1,N\A
1,2011/02/26,86,45,97,200,248,248,N\A
1,2011/03/06,5,1,8,160,0,0,N\A
1,2011/03/14,3,0,105,160,248,248,N\A
1,2011/03/22,37,9,0,136,3,1,N\A
1,2011/03/30,11,2,8,160,6,1,N\A
1,2011/04/07,39,12,0,136,3,1,N\A
1,2011/04/15,41,12,0,136,5,2,N\A
1,2011/04/23,53,17,0,136,3,1,N\A
1,2011/05/01,53,17,16,160,2,1,N\A
1,2011/05/09,70,31,0,136,4,4,N\A
1,2011/05/17,68,28,0,136,4,3,N\A
1,2011/05/25,63,27,0,136,3,2,N\A
1,2011/06/02,37,9,8,192,4,1,N\A
1,2011/06/10,15,4,8,160,9,3,N\A
1,2011/06/18,59,18,105,160,248,248,N\A
1,2011/06/26,73,33,0,136,3,3,N\A
1,2011/07/04,60,20,16,160,5,2,N\A
1,2011/07/12,12,3,8,160,5,1,N\A
1,2011/07/20,64,26,0,136,4,3,N\A
1,2011/07/28,61,21,16,128,4,2,N\A
1,2011/08/05,60,25,0,136,4,3,N\A
1,2011/08/13,71,27,16,136,3,3,N\A
1,2011/08/21,70,27,0,128,3,3,N\A
1,2011/08/29,28,7,16,192,4,1,N\A
1,2011/09/22,60,18,0,136,3,2,N\A
1,2011/09/30,3,0,105,160,248,248,N\A
1,2011/10/08,64,24,0,136,3,2,N\A
1,2011/10/16,64,19,0,128,4,2,N\A
1,2011/10/24,2,0,105,160,248,248,N\A
1,2011/11/01,7,1,105,160,248,248,N\A
1,2011/11/09,48,12,0,136,3,1,N\A
1,2011/11/17,47,9,0,136,0,0,N\A
1,2011/11/25,49,9,0,136,3,1,N\A
1,2011/12/03,42,11,0,136,5,1,N\A
1,2011/12/11,37,6,0,136,4,1,N\A
1,2011/12/19,38,6,0,136,4,1,N\A
1,2011/12/27,39,10,0,128,4,1,N\A
