site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,26.7478,115.0631,28,6,330,390
2,30.2536,80.1532,24,5,1108,1169
3,40.4536,90.8563,24,4,1096,1145
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2001/01/01,36,6,0,200,0,0,N\A
1,2001/01/09,29,7,0,136,4,1,N\A
1,2001/01/17,6,1,8,160,0,0,N\A
1,2001/01/25,23,5,0,136,5,1,N\A
1,2001/02/02,2,0,105,160,248,248,N\A
1,2001/02/10,31,7,0,136,5,1,N\A
1,2001/02/18,43,11,0,136,0,0,N\A
1,2001/02/26,32,7,0,136,5,1,N\A
1,2001/03/06,27,8,0,136,4,1,N\A
1,2001/03/14,17,4,0,160,9,2,N\A
1,2001/03/22,23,6,0,192,6,2,N\A
1,2001/03/30,15,4,0,128,4,1,N\A
1,2001/04/07,30,8,0,192,6,2,N\A
1,2001/04/15,20,5,8,160,9,3,N\A
1,2001/04/23,49,19,0,192,3,2,N\A
1,2001/05/01,24,7,0,128,7,2,N\A
1,2001/05/09,59,23,0,136,5,3,N\A
1,2001/05/17,64,27,0,136,3,3,N\A
1,2001/05/25,58,23,0,200,3,2,N\A
1,2001/06/02,67,30,0,136,3,3,N\A
1,2001/06/10,67,29,0,136,4,3,N\A
1,2001/07/04,52,19,8,176,5,3,N\A
1,2001/07/12,35,9,8,160,5,2,N\A
1,2001/07/20,60,24,0,136,4,3,N\A
1,2001/07/28,68,25,16,136,4,3,N\A
1,2001/08/05,60,21,8,200,3,2,N\A
1,2001/08/13,61,27,0,200,3,2,N\A
1,2001/08/21,41,14,0,128,4,2,N\A
1,2001/08/29,4,1,8,160,0,0,N\A
1,2001/09/06,74,30,0,136,3,3,N\A
1,2001/09/14,72,28,0,136,4,3,N\A
1,2001/09/22,57,21,0,128,3,2,N\A
1,2001/09/30,62,22,0,136,3,2,N\A
1,2001/10/08,63,18,0,136,4,2,N\A
1,2001/10/16,58,16,0,136,4,2,N\A
1,2001/10/24,56,16,0,136,4,2,N\A
1,2001/11/01,43,11,0,136,4,1,N\A
1,2001/11/09,34,8,0,136,4,1,N\A
1,2001/11/17,42,10,0,136,4,1,N\A
1,2001/11/25,37,6,16,136,0,0,N\A
1,2001/12/03,36,6,0,136,0,0,N\A
1,2001/12/11,34,6,16,136,5,1,N\A
1,2001/12/19,36,6,0,128,0,0,N\A
1,2001/12/27,35,6,16,136,0,0,N\A
2,2001/01/01,0,0,105,160,248,248,N\A
2,2001/01/09,0,0,97,164,248,248,N\A
2,2001/01/17,0,0,113,164,248,248,N\A
2,2001/01/25,0,0,97,132,248,248,N\A
2,2001/02/02,0,0,97,164,248,248,N\A
2,2001/02/10,0,0,97,140,248,248,N\A
2,2001/02/18,0,0,97,164,248,248,N\A
2,2001/02/26,0,0,97,196,248,248,N\A
2,2001/03/06,0,0,97,196,248,248,N\A
2,2001/03/14,0,0,105,160,248,248,N\A
2,2001/03/22,0,0,105,160,248,248,N\A
2,2001/03/30,0,0,105,160,248,248,N\A
2,2001/04/07,0,0,97,132,248,248,N\A
2,2001/04/15,0,0,105,160,248,248,N\A
2,2001/04/23,0,0,97,132,248,248,N\A
2,2001/05/01,0,0,97,196,248,248,N\A
2,2001/05/09,1,0,97,200,248,248,N\A
2,2001/05/17,1,0,105,192,248,248,N\A
2,2001/05/25,7,1,8,160,0,0,N\A
2,2001/06/02,6,1,8,160,0,0,N\A
2,2001/06/10,11,2,0,160,6,1,N\A
2,2001/07/04,6,1,0,160,0,0,N\A
2,2001/07/12,28,6,97,160,248,248,N\A
2,2001/07/20,6,1,0,160,0,0,N\A
2,2001/07/28,29,6,0,192,8,2,N\A
2,2001/08/05,9,2,105,160,248,248,N\A
2,2001/08/13,22,4,0,160,9,2,N\A
2,2001/08/21,25,5,0,192,6,1,N\A
2,2001/08/29,29,6,0,192,8,2,N\A
2,2001/09/06,24,5,0,200,5,1,N\A
2,2001/09/14,22,4,0,160,8,2,N\A
2,2001/09/22,10,2,0,192,6,1,N\A
2,2001/09/30,14,2,0,192,7,1,N\A
2,2001/10/08,12,2,0,192,7,1,N\A
2,2001/10/16,7,1,0,160,0,0,N\A
2,2001/10/24,7,1,0,192,0,0,N\A
2,2001/11/01,7,1,0,176,0,0,N\A
2,2001/11/09,1,0,97,192,248,248,N\A
2,2001/11/17,7,1,0,176,0,0,N\A
2,2001/11/25,10,1,16,192,0,0,N\A
2,2001/12/03,10,1,0,160,0,0,N\A
2,2001/12/11,0,0,105,160,248,248,N\A
2,2001/12/19,0,0,97,164,248,248,N\A
2,2001/12/27,0,0,97,164,248,248,N\A
3,2001/01/01,253,253,157,255,253,253,N\A
3,2001/01/09,253,253,157,255,253,253,N\A
3,2001/01/17,253,253,157,255,253,253,N\A
3,2001/01/25,253,253,157,255,253,253,N\A
3,2001/02/02,253,253,157,255,253,253,N\A
3,2001/02/10,253,253,157,255,253,253,N\A
3,2001/02/18,253,253,157,255,253,253,N\A
3,2001/02/26,253,253,157,255,253,253,N\A
3,2001/03/06,253,253,157,255,253,253,N\A
3,2001/03/14,253,253,157,255,253,253,N\A
3,2001/03/22,253,253,157,255,253,253,N\A
3,2001/03/30,253,253,157,255,253,253,N\A
3,2001/04/07,253,253,157,255,253,253,N\A
3,2001/04/15,253,253,157,255,253,253,N\A
3,2001/04/23,253,253,157,255,253,253,N\A
3,2001/05/01,253,253,157,255,253,253,N\A
3,2001/05/09,253,253,157,255,253,253,N\A
3,2001/05/17,253,253,157,255,253,253,N\A
3,2001/05/25,253,253,157,255,253,253,N\A
3,2001/06/02,253,253,157,255,253,253,N\A
3,2001/06/10,253,253,157,255,253,253,N\A
3,2001/07/04,253,253,157,255,253,253,N\A
3,2001/07/12,253,253,157,255,253,253,N\A
3,2001/07/20,253,253,157,255,253,253,N\A
3,2001/07/28,253,253,157,255,253,253,N\A
3,2001/08/05,253,253,157,255,253,253,N\A
3,2001/08/13,253,253,157,255,253,253,N\A
3,2001/08/21,253,253,157,255,253,253,N\A
3,2001/08/29,253,253,157,255,253,253,N\A
3,2001/09/06,253,253,157,255,253,253,N\A
3,2001/09/14,253,253,157,255,253,253,N\A
3,2001/09/22,253,253,157,255,253,253,N\A
3,2001/09/30,253,253,157,255,253,253,N\A
3,2001/10/08,253,253,157,255,253,253,N\A
3,2001/10/16,253,253,157,255,253,253,N\A
3,2001/10/24,253,253,157,255,253,253,N\A
3,2001/11/01,253,253,157,255,253,253,N\A
3,2001/11/09,253,253,157,255,253,253,N\A
3,2001/11/17,253,253,157,255,253,253,N\A
3,2001/11/25,253,253,157,255,253,253,N\A
3,2001/12/03,253,253,157,255,253,253,N\A
3,2001/12/11,253,253,157,255,253,253,N\A
3,2001/12/19,253,253,157,255,253,253,N\A
3,2001/12/27,253,253,157,255,253,253,N\A
