site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,10.368208,105.301456,28,7,1719,4623
2,10.376321,105.269218,28,7,1702,4619
3,10.378323,105.185852,28,7,1663,4618
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2014/01/01,8017,4724,2116,321,2918,147,761,714,3957,457,13,0,N\A
1,2014/01/17,8916,7157,2116,263,4592,140,891,2129,3606,2244,27,0,N\A
1,2014/02/02,8825,7345,2257,301,4823,165,681,714,3436,322,45,1,N\A
1,2014/02/18,8170,7543,2185,560,5561,313,836,3352,3239,229,63,1,N\A
1,2014/03/06,7065,5936,2257,810,4711,419,818,2177,2938,200,70,1,N\A
1,2014/03/22,6285,4977,2116,971,4257,477,827,757,2325,1909,84,0,N\A
1,2014/04/07,2127,946,2061,988,1522,446,687,750,2117,-120,109,1,N\A
1,2014/04/23,3989,2041,2261,831,1934,455,909,6338,2995,-150,115,1,N\A
1,2014/05/09,8221,4999,2116,290,2971,174,691,680,2227,-411,141,0,N\A
1,2014/05/25,8723,7194,2189,329,4827,156,1030,5125,2797,-332,145,1,N\A
1,2014/06/10,9167,8495,34841,265,6101,69,732,4336,2836,-380,168,1,N\A
1,2014/06/26,7796,6166,2120,546,4409,270,658,4353,2025,1307,185,0,N\A
1,2014/07/12,4316,2946,2066,1067,2688,703,659,5186,3033,-332,193,3,N\A
1,2014/07/28,1246,1302,2066,3143,4038,2859,1626,5207,2979,-276,209,3,N\A
1,2014/08/13,2139,1115,34962,1036,1600,530,959,741,2184,-98,237,3,N\A
2,2014/01/01,8468,6076,2116,300,3617,236,794,750,3959,457,13,0,N\A
2,2014/01/17,8591,7156,2185,357,4711,219,904,814,3766,374,29,1,N\A
2,2014/02/02,8786,7047,2257,299,4628,142,567,750,3439,323,45,1,N\A
2,2014/02/18,8212,7495,2185,551,5614,271,855,3381,3242,228,63,1,N\A
2,2014/03/06,7493,6415,2257,690,4815,384,805,2204,2941,200,70,1,N\A
2,2014/03/22,6506,4758,2185,784,3704,409,767,721,2328,1915,84,1,N\A
2,2014/04/07,2890,1146,2061,695,1260,415,712,786,2120,-120,109,1,N\A
2,2014/04/23,2278,1062,34961,1066,1695,438,947,667,1955,1633,116,1,N\A
2,2014/05/09,8018,4933,2116,339,3082,162,772,707,2229,-409,141,0,N\A
2,2014/05/25,8399,6176,2116,349,4011,171,630,705,2377,-417,157,0,N\A
2,2014/06/10,8702,8063,3102,382,5507,469,942,4355,2839,-379,168,3,N\A
2,2014/06/26,8498,6689,34897,359,4423,185,535,4334,2027,1307,185,1,N\A
2,2014/07/12,5550,4512,2066,1072,3747,2195,1594,4275,1956,1370,201,3,N\A
2,2014/07/28,4912,3914,2062,1190,3488,880,962,3275,2004,1441,210,3,N\A
2,2014/08/13,2330,1104,2186,897,1442,433,633,777,2187,-98,237,3,N\A
3,2014/01/01,8610,5757,2116,263,3523,126,710,831,3964,462,13,0,N\A
3,2014/01/17,8479,6487,2185,348,4230,181,730,886,3771,382,29,1,N\A
3,2014/02/02,9117,7226,2257,212,4595,94,503,832,3445,330,45,1,N\A
3,2014/02/18,8797,6330,2257,246,3844,148,379,685,3158,2144,52,1,N\A
3,2014/03/06,7351,5936,2257,689,4513,339,758,2275,2947,198,70,1,N\A
3,2014/03/22,5656,4004,2185,949,3421,491,958,640,2336,1898,84,1,N\A
3,2014/04/07,1734,808,2116,1020,1448,578,536,868,2129,-114,109,0,N\A
3,2014/04/23,4183,1764,2116,607,1480,367,336,850,2124,-243,125,0,N\A
3,2014/05/09,7673,4633,2116,393,2985,181,582,788,2236,-397,141,0,N\A
3,2014/05/25,8146,5461,2116,355,3476,176,598,786,2384,-409,157,0,N\A
3,2014/06/10,8404,8862,2066,582,6713,632,1069,4404,2845,-379,168,3,N\A
3,2014/06/26,7167,5980,2189,735,4455,442,1144,4285,2033,1308,185,1,N\A
3,2014/07/12,6944,5385,2066,687,3810,628,681,5238,3042,-331,193,3,N\A
3,2014/07/28,3083,2890,2062,2075,3925,1697,1936,3219,2011,1440,210,3,N\A
3,2014/08/13,1848,815,2186,873,1269,457,418,859,2196,-93,237,3,N\A
