site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,22.388955,87.887762,26,6,606,3653
2,22.109358,87.641725,26,6,574,3787
3,25.367479,84.121043,25,6,2884,2223
4,16.614743,81.682847,25,7,3970,1624
5,16.107974,80.633416,25,7,3584,1868
6,10.868029,79.425993,25,7,3840,4383
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2002/01/01,4547,1727,2257,515,1374,271,661,666,4790,2333,14,1,N\A
1,2002/01/17,5229,2577,2257,633,2021,314,828,3166,4829,492,25,1,N\A
1,2002/02/02,6188,2703,2185,421,1788,223,703,648,4100,2280,46,1,N\A
1,2002/02/18,7455,4423,2189,427,2929,180,834,4938,3417,2314,58,1,N\A
1,2002/03/06,7923,4395,2185,313,2701,133,677,2009,3249,2239,69,1,N\A
1,2002/03/22,7286,3876,2185,380,2421,205,527,675,2475,2117,94,1,N\A
1,2002/04/07,6267,3681,2185,608,2650,324,822,751,2325,232,103,1,N\A
1,2002/04/23,4440,2304,2185,793,2060,410,1216,2037,1739,1988,117,1,N\A
1,2002/05/09,3072,1545,2185,1026,1936,450,1491,3218,1333,1776,140,1,N\A
1,2002/05/25,4051,2278,2261,967,2284,485,1414,4143,2170,-80,146,1,N\A
1,2002/06/10,2981,1467,34837,1030,1905,424,755,2046,1525,1648,165,1,N\A
1,2002/06/26,3265,3295,2062,1531,3016,1458,1466,1985,2072,-119,192,3,N\A
1,2002/07/12,4578,2578,34838,894,2404,417,589,2082,1668,1700,197,3,N\A
1,2002/07/28,5841,3287,2062,535,2038,509,713,3194,2332,11,217,3,N\A
1,2002/08/13,6430,2933,35998,418,1924,213,383,729,2135,2034,238,3,N\A
1,2002/08/29,7145,4742,34961,573,3442,234,732,3204,2672,260,249,1,N\A
1,2002/09/14,6815,3453,2185,428,2260,209,568,2064,2517,2225,261,1,N\A
1,2002/09/30,7999,5317,2261,379,3410,191,739,4181,3315,404,274,1,N\A
1,2002/10/16,7065,3511,2185,379,2204,198,500,695,3834,2424,302,1,N\A
1,2002/11/01,6103,2783,2185,461,1905,227,481,2009,3994,2405,309,1,N\A
