1,19.551494,109.183507,28,7,1386,215
2,19.775155,109.53659,28,7,1476,107
3,19.730128,109.598528,28,7,1518,129
4,19.796258,109.887691,28,7,1628,97
5,19.579773,110.287299,28,7,1876,201
6,20.419787,110.182594,28,6,1564,4598
7,20.448591,110.165351,28,6,1547,4584
8,19.582171,109.42635,28,7,1486,200
9,19.801162,109.506521,28,7,1455,95
10,19.588664,109.161938,28,7,1365,197
11,19.547504,109.195969,28,7,1393,217
12,19.555333,109.208758,28,7,1396,213
13,19.514474,109.3492,28,7,1472,233
14,19.509084,109.467281,28,7,1527,235
15,19.605338,109.863499,28,7,1677,189
16,19.585005,109.827214,28,7,1667,199
17,19.789013,109.931682,28,7,1651,101
18,19.593503,110.242798,28,7,1852,195
19,19.669583,110.619936,28,7,1999,158
20,19.729427,110.639322,28,7,1989,129
21,19.788795,110.543059,28,7,1927,101
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_250m_quality_control_flags,actual_date
1,2010/01/01,447,2612,4096,N\A
1,2010/01/09,935,2237,4096,N\A
1,2010/01/17,889,2898,4096,N\A
1,2010/01/25,688,2671,4096,N\A
1,2010/02/02,799,2513,4096,N\A
1,2010/02/10,614,2005,4096,N\A
1,2010/02/18,793,2665,4096,N\A
1,2010/02/26,525,2649,4096,N\A
1,2010/03/06,708,3184,4096,N\A
1,2010/03/14,499,2692,4096,N\A
1,2010/03/22,470,2709,4096,N\A
1,2010/03/30,513,2947,4096,N\A
1,2010/04/07,796,2693,4096,N\A
1,2010/04/15,445,2438,4096,N\A
1,2010/04/23,843,3768,4096,N\A
1,2010/05/01,606,3364,4096,N\A
1,2010/05/09,548,3355,4096,N\A
1,2010/05/17,728,3719,4096,N\A
1,2010/05/25,2643,4341,4096,N\A
1,2010/06/02,566,3018,4096,N\A
1,2010/06/10,653,4014,4096,N\A
1,2010/06/18,500,4258,4096,N\A
1,2010/06/26,778,3027,4096,N\A
1,2010/07/04,674,3403,4096,N\A
1,2010/07/12,1248,3505,4096,N\A
1,2010/07/20,4978,6463,4096,N\A
1,2010/07/28,565,4731,4096,N\A
1,2010/08/05,365,4281,4096,N\A
1,2010/08/13,331,3793,4096,N\A
1,2010/08/21,283,3204,4096,N\A
1,2010/08/29,1016,3711,4096,N\A
1,2010/09/06,421,4757,4096,N\A
1,2010/09/14,551,3103,4096,N\A
1,2010/09/22,415,4210,4096,N\A
1,2010/09/30,704,4228,4096,N\A
1,2010/10/08,2288,3848,4096,N\A
1,2010/10/16,1553,3514,4096,N\A
1,2010/10/24,309,3539,4096,N\A
1,2010/11/01,307,1332,4096,N\A
1,2010/11/09,991,3402,4096,N\A
1,2010/11/17,269,3349,4096,N\A
1,2010/11/25,313,3626,4096,N\A
1,2010/12/03,449,3240,4096,N\A
1,2010/12/11,269,3098,4096,N\A
1,2010/12/19,292,3093,4096,N\A
1,2010/12/27,329,2987,4096,N\A
1,2011/01/01,167,2753,4096,N\A
1,2011/01/09,2914,3727,4096,N\A
1,2011/01/17,3044,4172,4096,N\A
1,2011/01/25,2395,3562,4096,N\A
1,2011/02/02,304,1996,4096,N\A
1,2011/02/10,704,2726,4096,N\A
1,2011/02/18,590,1919,4096,N\A
1,2011/02/26,703,1164,4096,N\A
1,2011/03/06,516,1669,4096,N\A
1,2011/03/14,905,2441,4096,N\A
1,2011/03/22,6854,7098,4096,N\A
1,2011/03/30,2478,3170,4096,N\A
1,2011/04/07,226,1106,4096,N\A
1,2011/04/15,725,3233,4096,N\A
1,2011/04/23,175,2743,4096,N\A
1,2011/05/01,549,3448,4096,N\A
1,2011/05/09,498,2580,4096,N\A
1,2011/05/17,939,3499,4096,N\A
1,2011/05/25,542,3392,4096,N\A
1,2011/06/02,764,3641,4096,N\A
1,2011/06/10,374,1464,4096,N\A
1,2011/06/18,500,3945,4096,N\A
1,2011/06/26,625,4372,4096,N\A
1,2011/07/04,548,4035,4096,N\A
1,2011/07/12,2439,4062,4096,N\A
1,2011/07/20,1851,4341,4096,N\A
1,2011/07/28,1057,3230,4096,N\A
1,2011/08/05,354,4486,4096,N\A
1,2011/08/13,282,3028,4096,N\A
1,2011/08/21,250,4327,4096,N\A
1,2011/08/29,624,3706,4096,N\A
1,2011/09/06,124,3147,4096,N\A
1,2011/09/14,2176,4399,4096,N\A
1,2011/09/22,1691,3439,4096,N\A
1,2011/09/30,3721,4569,4096,N\A
1,2011/10/08,965,4191,4096,N\A
1,2011/10/16,331,3043,4096,N\A
1,2011/10/24,255,2987,4096,N\A
1,2011/11/01,228,2500,4096,N\A
1,2011/11/09,274,3034,4096,N\A
1,2011/11/17,522,3391,4096,N\A
1,2011/11/25,1384,3162,4096,N\A
1,2011/12/03,528,3419,4096,N\A
1,2011/12/11,461,3184,4096,N\A
1,2011/12/19,451,2891,4096,N\A
1,2011/12/27,2070,4675,4096,N\A
1,2012/01/01,2070,4675,4096,N\A
1,2012/01/09,458,3199,4096,N\A
1,2012/01/17,404,2502,4096,N\A
1,2012/01/25,269,2209,4096,N\A
1,2012/02/02,562,2830,4096,N\A
1,2012/02/10,161,1848,4096,N\A
1,2012/02/18,519,2010,4096,N\A
1,2012/02/26,490,1969,4096,N\A
1,2012/03/05,1172,2881,4096,N\A
1,2012/03/13,596,2156,4096,N\A
1,2012/03/21,616,2064,4096,N\A
1,2012/03/29,498,3549,4096,N\A
1,2012/04/06,444,3453,4096,N\A
1,2012/04/14,483,3371,4096,N\A
1,2012/04/22,415,3417,4096,N\A
1,2012/04/30,657,4893,4096,N\A
1,2012/05/08,418,3921,4096,N\A
1,2012/05/16,1383,3487,4096,N\A
1,2012/05/24,4131,5601,4096,N\A
1,2012/06/01,684,5678,4096,N\A
1,2012/06/09,167,2507,4096,N\A
1,2012/06/17,4205,5449,4096,N\A
1,2012/06/25,422,4626,4096,N\A
1,2012/07/03,332,4505,4096,N\A
1,2012/07/11,386,4510,4096,N\A
1,2012/07/19,437,4484,4096,N\A
1,2012/07/27,588,2073,4096,N\A
1,2012/08/04,390,4810,4096,N\A
1,2012/08/12,139,2087,4096,N\A
1,2012/08/20,211,4433,4096,N\A
1,2012/08/28,1609,4916,4096,N\A
1,2012/09/05,279,4306,4096,N\A
1,2012/09/13,263,4054,4096,N\A
1,2012/09/21,498,3877,4096,N\A
1,2012/09/29,233,3315,4096,N\A
1,2012/10/07,273,3027,4096,N\A
1,2012/10/15,240,2630,4096,N\A
1,2012/10/23,930,4063,4096,N\A
1,2012/10/31,147,2914,4096,N\A
1,2012/11/08,469,3305,4096,N\A
1,2012/11/16,301,3050,4096,N\A
1,2012/11/24,219,2836,4096,N\A
1,2012/12/02,295,2695,4096,N\A
1,2012/12/10,262,3593,4096,N\A
1,2012/12/18,264,3278,4096,N\A
1,2012/12/26,138,3727,4096,N\A
1,2013/01/01,455,2186,4096,N\A
1,2013/01/09,331,2753,4096,N\A
1,2013/01/17,280,2129,4096,N\A
1,2013/01/25,460,2772,4096,N\A
1,2013/02/02,370,2314,4096,N\A
1,2013/02/10,5138,6299,4096,N\A
1,2013/02/18,617,2036,4096,N\A
1,2013/02/26,766,2281,4096,N\A
1,2013/03/06,644,2428,4096,N\A
1,2013/03/14,560,3036,4096,N\A
1,2013/03/22,613,3252,4096,N\A
1,2013/03/30,575,3444,4096,N\A
1,2013/04/07,469,3443,4096,N\A
1,2013/04/15,488,4520,4096,N\A
1,2013/04/23,434,3509,4096,N\A
1,2013/05/01,804,4290,4096,N\A
1,2013/05/09,321,3302,4096,N\A
1,2013/05/17,418,3320,4096,N\A
1,2013/05/25,670,3661,4096,N\A
1,2013/06/02,405,3923,4096,N\A
1,2013/06/10,2431,3931,4096,N\A
1,2013/06/18,203,3496,4096,N\A
1,2013/06/26,373,3953,4096,N\A
1,2013/07/04,325,3510,4096,N\A
1,2013/07/12,300,4143,4096,N\A
1,2013/07/20,3409,4840,4096,N\A
1,2013/07/28,295,4056,4096,N\A
1,2013/08/05,371,3488,4096,N\A
1,2013/08/13,4623,5609,4096,N\A
1,2013/08/21,4731,6475,4096,N\A
1,2013/08/29,1219,4152,4096,N\A
1,2013/09/06,858,4177,4096,N\A
1,2013/09/14,554,2437,4096,N\A
1,2013/09/22,867,3866,4096,N\A
1,2013/09/30,227,3167,4096,N\A
1,2013/10/08,280,3931,4096,N\A
1,2013/10/16,790,3209,4096,N\A
1,2013/10/24,305,3607,4096,N\A
1,2013/11/01,312,3176,4096,N\A
1,2013/11/09,3529,3641,4096,N\A
1,2013/11/17,3885,4800,4096,N\A
1,2013/11/25,248,2859,4096,N\A
1,2013/12/03,285,2944,4096,N\A
1,2013/12/11,7553,7755,4096,N\A
1,2013/12/19,270,2364,4096,N\A
1,2013/12/27,461,2427,4096,N\A
2,2010/01/01,136,2036,4096,N\A
2,2010/01/09,-100,2705,4305,N\A
