id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2000/02/18,-28672,-28672,-28672,-28672,-28672,-28672,-28672,4294967295,0,0,0,65535,65535,2179/06/05,-2.8672,-2.8672,-2.8672,-2.8672,-2.8672,-2.8672,-2.8672,-0,0.0,-0,-0,-0,-0,1111111111111111,not set, assumed clear,yes,deep ocean,high,high,cloud,fire,yes,yes,yes,yes,Yes,NA,-0,0.0,-0,-0,-0,-0
1,2000/02/26,4427,4796,4536,4483,4818,4210,2605,1073741824,3117,2238,13184,1033,62,2000/03/02,0.4427,0.4796,0.4536,0.4483,0.4818,0.421,0.2605,0.0400086739673,0.125715453802,0.0650677326227,0.29604107553,0.0314045783964,-0.00228832951945,0000010000001001,cloudy,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,NA,0.0400086739673,0.125715453802,0.0650677326227,0.29604107553,0.0314045783964,-0.00228832951945
1,2000/03/05,1723,2916,1728,1825,3309,2777,1768,1073741824,3475,4913,-3500,1034,68,2000/03/08,0.1723,0.2916,0.1728,0.1825,0.3309,0.2777,0.1768,0.257167492994,0.28973188265,0.0244159494116,0.245089666951,-0.206866579748,-0.0631325301205,0000010000001010,mixed,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,NA,0.257167492994,0.28973188265,0.0244159494116,0.245089666951,-0.206866579748,-0.0631325301205
1,2000/03/13,390,2400,189,477,2464,1875,902,1073741824,2445,4334,13155,204,76,2000/03/16,0.039,0.24,0.0189,0.0477,0.2464,0.1875,0.0902,0.720430107527,0.377181459936,0.122807017544,0.45366444579,-0.594387755102,-0.0131578947368,0000000011001100,clear,yes,land,high,none,no cloud,no fire,no,no,no,no,Yes,NA,0.720430107527,0.377181459936,0.122807017544,0.45366444579,-0.594387755102,-0.0131578947368
1,2000/03/21,446,3058,235,569,3009,2013,851,1075576832,2299,1056,14137,204,87,2000/03/27,0.0446,0.3058,0.0235,0.0569,0.3009,0.2013,0.0851,0.745433789954,0.46738002362,0.206073752711,0.564594525454,-0.559256390395,0.00807647931432,0000000011001100,clear,yes,land,high,none,no cloud,no fire,no,no,no,no,Yes,NA,0.745433789954,0.46738002362,0.206073752711,0.564594525454,-0.559256390395,0.00807647931432
1,2000/03/29,485,3294,239,595,3482,2433,1220,1077411841,2446,1739,-2906,136,89,2000/03/29,0.0485,0.3294,0.0239,0.0595,0.3482,0.2433,0.122,0.743318338185,0.487284460327,0.150340492404,0.459459459459,-0.607001321004,-0.0277449822904,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.743318338185,0.487284460327,0.150340492404,0.459459459459,-0.607001321004,-0.0277449822904
1,2000/04/06,3674,4732,3378,3656,4936,4258,2974,1073741824,2297,2988,-2294,1033,98,2000/04/07,0.3674,0.4732,0.3378,0.3656,0.4936,0.4258,0.2974,0.125862479182,0.231186085132,0.0527252502781,0.22813392162,-0.0760677280768,-0.0211005378568,0000010000001001,cloudy,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,Yes,0.766703638931,0.505644281754,0.166614136795,0.494038789416,-0.615881612435,-0.0489440999225
1,2000/04/14,645,2950,704,816,2977,2129,971,1073741824,1312,4429,14852,8205,108,2000/04/17,0.0645,0.295,0.0704,0.0816,0.2977,0.2129,0.0971,0.641168289291,0.499350086655,0.161645993306,0.504718184137,-0.44584040747,-0.00455542432934,0010000000001101,cloudy,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.790088939677,0.524004103181,0.182887781186,0.528618119372,-0.624761903865,-0.0701432175546
1,2000/04/22,353,3432,181,514,4122,2292,959,1073741824,2168,4819,-648,136,116,2000/04/25,0.0353,0.3432,0.0181,0.0514,0.4122,0.2292,0.0959,0.813474240423,0.542363924608,0.199161425577,0.563197449328,-0.633642195296,-0.0913423351867,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.813474240423,0.542363924608,0.199161425577,0.563197449328,-0.633642195296,-0.0913423351867
1,2000/04/30,746,4170,593,947,4367,3064,1435,1073741824,1678,1683,-553,1289,121,2000/04/30,0.0746,0.417,0.0593,0.0947,0.4367,0.3064,0.1435,0.696501220504,0.602880585977,0.152889134642,0.487957181088,-0.527798553977,-0.0230760220218,0000010100001001,cloudy,no,land,climatology,small,cloud,no fire,no,no,no,no,Yes,Yes,0.819183259629,0.546110943598,0.206213549582,0.576338973696,-0.631833296884,-0.0663099148346
