site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,15.64448,121.036645,29,7,1572,1045
2,15.66082,120.998398,29,7,1561,1041
3,15.65759,120.914072,29,7,1542,1042
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2003/01/01,1009,1768,528,896,1703,1576,966,1073741824,4523,2821,-5059,72,2,2003/01/02
1,2003/01/09,875,1723,475,848,1542,1331,730,1073741824,4421,1575,-5079,72,9,2003/01/09
1,2003/01/17,628,1709,327,707,1341,1083,599,1073741824,4104,1382,12906,136,23,2003/01/23
1,2003/01/25,519,2398,277,731,1873,1452,688,1073741824,4235,1493,-4649,136,25,2003/01/25
1,2003/02/02,317,3089,162,547,2503,1659,663,1073741824,3773,1400,13413,72,39,2003/02/08
1,2003/02/10,297,3717,147,561,3005,1866,755,1073741824,3631,67,-5536,72,48,2003/02/17
1,2003/02/18,237,4043,122,509,3267,1844,698,1073741824,3334,1354,14172,72,55,2003/02/24
1,2003/02/26,297,4075,151,573,3362,1915,726,1073741824,3167,137,-2958,136,64,2003/03/05
1,2003/03/06,414,5306,219,818,4618,2833,1087,1073741824,3336,2867,-2984,136,66,2003/03/07
1,2003/03/14,504,5208,255,915,4275,2587,1063,1073741824,3007,1548,-2857,136,73,2003/03/14
1,2003/03/22,433,3473,223,619,2962,1656,655,1073741824,2347,1381,15845,72,87,2003/03/28
1,2003/03/30,518,3344,261,698,2863,1683,768,1073741824,2029,2689,16186,136,94,2003/04/04
1,2003/04/07,587,3221,317,730,2846,1757,701,1073741824,1726,3784,16491,72,101,2003/04/11
1,2003/04/15,1180,3687,583,1177,3964,2978,1779,1073741824,2209,1511,-525,72,105,2003/04/15
1,2003/04/23,1263,2773,627,1041,4100,3054,1912,1075576832,1755,1309,-17511,72,119,2003/04/29
1,2003/05/01,1392,2881,668,1095,3596,3568,2262,1073741824,1866,104,44,72,128,2003/05/08
1,2003/05/09,1082,2185,563,877,2686,2609,1767,1073741824,1728,1372,-15745,137,135,2003/05/15
1,2003/05/17,1342,2171,1097,1215,2616,2757,1950,1073741824,1619,2708,-15221,1033,142,2003/05/22
1,2003/05/25,2282,2803,2346,2340,2765,2643,1938,1073741824,1535,3813,-14506,1033,149,2003/05/29
1,2003/06/02,1270,2364,1096,1287,2553,2461,1444,1073741824,2021,47,10990,1545,160,2003/06/09
1,2003/06/10,1230,2612,871,1190,3169,3133,2081,1073741824,2307,2756,2981,1032,162,2003/06/11
1,2003/06/18,754,1710,384,736,1371,1070,483,1073741824,1579,4687,-13766,72,172,2003/06/21
1,2003/06/26,879,2132,455,871,1960,1561,734,1073741824,2395,2775,3097,72,178,2003/06/27
1,2003/07/04,732,1774,391,778,1188,920,405,1073741824,1368,5954,-13548,138,186,2003/07/05
1,2003/07/12,769,2263,389,884,1842,1358,685,1073741824,2721,4790,2453,72,196,2003/07/15
1,2003/07/20,733,2310,367,826,2007,1414,604,1073741824,2146,182,2459,138,208,2003/07/27
1,2003/07/28,792,2946,612,1012,2904,2088,953,1073741824,2429,2886,1856,142,210,2003/07/29
1,2003/08/05,426,2958,341,656,2389,1444,550,1073741824,2103,156,361,8204,224,2003/08/12
1,2003/08/13,1281,4648,1260,1615,4012,2885,1398,1073741824,2394,2868,907,1033,226,2003/08/14
1,2003/08/21,686,3492,662,930,2887,1770,729,1073741824,2113,164,-461,1545,240,2003/08/28
1,2003/08/29,617,2082,806,795,1707,1037,388,1073741824,1440,5339,16358,8206,243,2003/08/31
1,2003/09/06,700,4093,741,975,3452,2074,912,1073741824,1691,4598,15474,1034,252,2003/09/09
1,2003/09/14,457,4328,241,793,3675,2087,790,1073741824,2530,2886,-1884,72,258,2003/09/15
