1,39.3459722,-0.3188056,17,5,1170,78
2,41.7052493,12.3761058,18,4,1108,995
3,42.40812,11.93001,18,4,1057,911
4,43.7278611,10.284444,18,4,891,752
5,44.71711,-0.7693,17,4,1134,633
6,45.6430556,2.7358333,18,4,229,522
7,42.5838694,10.0784,18,4,890,889
8,43.734139,3.595833,18,4,311,751
9,48.67416,7.06556,18,4,559,159
10,50.3055241,5.9968274,18,3,459,1163
11,50.9636111,13.5669444,18,3,1025,1084
12,51.0791667,10.453,18,3,788,1070
13,55.4858694,11.6446444,18,3,791,541
14,61.8475,24.295,19,2,175,978
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2000/03/05,14476,65,110,49,14291,65,221,54,248,247,93,186,N\A
1,2000/03/13,14530,65,109,46,14287,65,220,41,248,246,100,60,N\A
1,2000/03/21,14570,0,109,40,14300,65,220,38,248,246,60,188,N\A
1,2000/03/29,14414,65,112,69,14308,65,225,79,248,247,143,112,N\A
1,2000/04/06,14391,65,111,52,14262,65,223,59,248,247,113,225,N\A
1,2000/04/14,14532,0,113,73,14361,65,229,115,248,247,195,161,N\A
1,2000/04/22,14546,0,111,45,14130,65,222,59,248,248,39,55,N\A
1,2000/04/30,14670,65,115,92,14049,65,218,33,248,246,148,44,N\A
1,2000/05/08,14798,0,113,73,14410,65,221,53,248,247,203,119,N\A
1,2000/05/16,14794,65,112,67,14527,65,224,76,248,247,87,175,N\A
1,2000/05/24,14872,0,111,55,14702,65,219,27,248,247,223,181,N\A
1,2000/06/01,14982,0,111,56,14652,65,222,56,248,246,239,255,N\A
1,2000/06/09,14982,0,111,55,14647,65,222,60,248,247,249,236,N\A
1,2000/06/17,14944,0,110,49,14724,65,222,61,248,247,127,253,N\A
1,2000/06/25,15067,0,111,55,14742,0,225,86,248,247,125,126,N\A
1,2000/07/03,15063,0,111,58,14736,0,223,65,248,247,95,223,N\A
1,2000/07/11,14962,0,111,56,14634,65,221,54,248,247,255,223,N\A
1,2000/07/19,15026,0,111,58,14723,0,222,56,248,247,255,255,N\A
1,2000/07/27,14979,0,111,55,14797,65,222,56,248,247,255,95,N\A
1,2000/08/04,14995,0,112,64,14709,65,218,19,248,248,3,2,N\A
1,2000/08/12,15174,0,109,37,14808,0,225,77,248,247,2,3,N\A
1,2000/08/20,14994,0,111,62,14835,0,222,63,248,247,237,231,N\A
1,2000/08/28,14917,0,112,67,14728,65,221,48,248,247,253,253,N\A
1,2000/09/05,14965,0,111,58,14669,65,224,72,248,247,255,255,N\A
1,2000/09/13,14942,0,111,56,14732,0,222,55,248,247,255,255,N\A
1,2000/09/21,14815,0,112,66,14528,65,222,57,248,248,223,95,N\A
1,2000/09/29,14715,0,111,58,14562,65,223,66,248,246,127,91,N\A
1,2000/10/07,14712,0,113,76,14516,65,223,65,248,248,199,71,N\A
1,2000/10/15,14692,0,109,43,14333,65,221,49,248,246,57,30,N\A
1,2000/10/23,14481,65,106,19,14193,65,227,95,247,245,104,48,N\A
1,2000/10/31,14450,65,110,55,14317,65,222,60,248,247,223,219,N\A
1,2000/11/08,14322,65,110,46,14164,65,223,63,248,248,82,3,N\A
1,2000/11/16,14275,65,112,67,14192,65,225,85,248,247,111,154,N\A
1,2000/11/24,14354,65,112,65,14168,65,227,106,248,247,204,1,N\A
1,2000/12/02,14130,65,112,64,14246,65,220,30,249,249,3,129,N\A
1,2000/12/10,14193,65,115,95,14065,65,223,65,248,247,224,71,N\A
1,2000/12/18,14174,65,111,61,14022,65,224,75,248,248,171,73,N\A
1,2000/12/26,14214,65,112,66,14176,65,222,58,248,247,59,22,N\A
1,2001/01/01,14114,65,110,50,14152,65,215,4,247,246,199,64,N\A
1,2001/01/09,14212,65,110,50,14123,65,226,98,248,247,48,20,N\A
1,2001/01/17,14215,65,110,47,14000,65,221,45,248,247,29,29,N\A
1,2001/01/25,14226,65,112,70,14141,65,221,52,248,247,125,208,N\A
1,2001/02/02,14271,65,110,52,14110,65,223,70,248,247,223,175,N\A
1,2001/02/10,14314,65,111,57,14127,65,222,56,248,246,143,143,N\A
1,2001/02/18,14311,65,111,63,14152,65,221,52,248,247,158,222,N\A
1,2001/02/26,14221,65,109,48,13900,65,221,53,248,247,134,14,N\A
1,2001/03/06,14560,0,111,61,14263,65,220,43,248,248,232,180,N\A
1,2001/03/14,14585,0,112,65,14254,65,223,70,248,247,115,92,N\A
1,2001/03/22,14561,65,111,63,14268,65,224,75,248,247,122,251,N\A
1,2001/03/30,14560,65,110,57,14296,65,221,57,247,246,255,207,N\A
1,2001/04/07,14656,0,110,56,14374,65,223,68,248,247,255,223,N\A
1,2001/04/15,14627,0,113,80,14373,65,222,64,248,246,83,33,N\A
1,2001/04/23,14586,65,112,73,14415,65,220,44,248,248,169,181,N\A
1,2001/05/01,14566,65,109,48,14334,65,222,69,248,246,254,209,N\A
1,2001/05/09,14685,65,111,63,14396,65,220,46,249,247,158,28,N\A
1,2001/05/17,14679,0,114,89,14542,65,220,52,248,246,153,208,N\A
1,2001/05/25,15023,0,110,56,14654,65,221,55,248,247,255,255,N\A
1,2001/06/02,15005,0,112,73,14673,65,221,56,248,246,255,255,N\A
1,2001/06/10,14922,0,110,61,14722,65,222,67,248,247,31,27,N\A
1,2001/06/26,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/04,15021,0,109,54,14726,0,220,48,248,246,222,203,N\A
1,2001/07/12,15068,0,110,56,14791,0,221,59,248,247,231,227,N\A
1,2001/07/20,14985,0,110,57,14818,0,221,54,248,247,255,105,N\A
1,2001/07/28,14935,0,110,63,14731,0,221,56,248,247,250,126,N\A
1,2001/08/05,14979,0,108,49,14825,65,221,56,248,246,254,255,N\A
1,2001/08/13,14974,0,110,61,14718,65,221,54,248,247,251,231,N\A
1,2001/08/21,15082,0,110,64,14847,0,221,56,248,247,223,255,N\A
1,2001/08/29,14952,0,109,49,14738,65,222,68,248,247,119,119,N\A
1,2001/09/06,14882,0,111,68,14754,65,220,53,248,247,221,222,N\A
1,2001/09/14,14746,65,112,72,14689,0,217,25,248,247,205,69,N\A
1,2001/09/22,14770,0,108,46,14639,65,223,70,248,246,188,15,N\A
1,2001/09/30,14874,0,110,59,14601,65,223,71,248,247,207,211,N\A
1,2001/10/08,14717,0,110,55,14497,65,219,46,247,246,35,227,N\A
1,2001/10/16,14634,0,109,55,14460,65,220,48,248,247,236,247,N\A
1,2001/10/24,14605,65,108,44,14477,65,220,53,248,245,233,237,N\A
1,2001/11/01,14549,65,112,72,14403,65,213,4,248,246,205,64,N\A
1,2001/11/09,14301,0,110,70,14041,65,226,106,248,246,145,148,N\A
1,2001/11/17,14261,65,110,59,14151,65,223,83,248,247,207,162,N\A
1,2001/11/25,14215,65,111,73,14157,65,224,88,247,246,249,221,N\A
1,2001/12/03,14256,65,110,59,14185,65,220,57,248,247,79,13,N\A
1,2001/12/11,14049,65,108,52,14089,65,222,71,248,247,108,6,N\A
1,2001/12/19,14026,65,111,70,13844,65,220,60,248,248,143,140,N\A
1,2001/12/27,14085,65,113,88,14009,65,223,77,248,247,7,3,N\A
1,2002/01/01,0,2,255,255,13753,65,221,67,248,248,0,2,N\A
1,2002/01/09,14184,65,111,79,14075,65,223,83,248,248,236,164,N\A
1,2002/01/17,14188,65,107,40,14025,65,222,76,248,246,191,198,N\A
