1,48.637503,97.353188,24,4,1039,326
2,48.118778,99.146778,24,4,1485,451
3,48.207816,101.685652,24,4,1863,430
id,Date,500m 16 days NDVI,500m 16 days EVI,500m 16 days VI Quality,500m 16 days red reflectance,500m 16 days NIR reflectance,500m 16 days blue reflectance,500m 16 days MIR reflectance,500m 16 days view zenith angle,500m 16 days sun zenith angle,500m 16 days relative azimuth angle,500m 16 days composite day of the year,500m 16 days pixel reliability,actual_date
1,2009/01/01,142,1704,2070,9610,9888,9796,1287,6124,7072,2465,9,3,N\A
1,2009/01/17,-110,-520,18508,6926,6775,6811,554,3868,7102,591,23,2,N\A
1,2009/02/02,187,407,18508,5355,5560,4681,586,2318,6669,579,37,2,N\A
1,2009/02/18,35,105,18504,6019,6062,5600,431,1406,5843,585,60,2,N\A
1,2009/03/06,-29,-139,18504,7365,7322,7176,348,1506,5551,2398,65,2,N\A
1,2009/03/22,1653,1178,2120,2146,2996,1046,3683,4478,4606,520,96,0,N\A
1,2009/04/07,1785,1205,2120,1857,2664,942,3226,4478,3759,2443,109,0,N\A
1,2009/04/23,1528,1027,2116,2067,2813,941,3624,413,3704,502,115,0,N\A
1,2009/05/09,2092,1373,2120,1763,2696,839,3181,4478,2857,2444,141,0,N\A
1,2009/05/25,2306,1617,2116,1981,3169,892,3427,3858,3077,460,151,0,N\A
1,2009/06/10,2718,1902,2116,1780,3109,843,3046,3877,2982,431,167,0,N\A
1,2009/06/26,2179,1381,2116,1685,2624,766,2890,501,2797,2319,186,0,N\A
1,2009/07/12,2647,1695,2120,1462,2515,768,2607,4439,2924,2391,205,0,N\A
1,2009/07/28,2795,1966,2116,1789,3177,835,3237,2345,3410,473,213,0,N\A
1,2009/08/13,2937,2006,2116,1636,2997,781,3090,3877,3983,499,231,0,N\A
1,2009/08/29,2207,1501,2116,1931,3025,853,3612,3877,4472,540,247,0,N\A
1,2009/09/14,1750,1112,2116,1835,2614,815,3348,1497,4602,2433,257,0,N\A
1,2009/09/30,1637,990,2116,1718,2391,762,3265,2383,5447,2474,280,0,N\A
1,2009/10/16,47,199,18512,7411,7481,7088,742,5038,6274,639,297,2,N\A
1,2009/11/01,787,1223,2070,4178,4892,3382,2273,5788,6354,-1079,306,3,N\A
1,2009/11/17,-56,-89,2070,8635,8538,9619,2353,6125,6954,-1090,329,3,N\A
1,2009/12/03,-21,-35,2070,9608,9567,9880,1083,6419,7210,-1110,352,3,N\A
1,2009/12/19,96,805,34846,9159,9338,9165,1434,6407,7149,-1131,3,3,N\A
1,2010/01/01,-251,-365,51357,7104,6755,7604,482,4439,6988,2441,16,2,N\A
1,2010/01/17,-90,-129,18577,6654,6534,6839,532,3897,7048,598,26,2,N\A
1,2010/02/02,114,1703,2266,8653,8854,9043,1420,6113,6206,2439,44,3,N\A
1,2010/02/18,-25,-106,18512,7166,7130,6895,550,4498,6355,562,51,2,N\A
1,2010/03/06,-37,-140,18504,6672,6622,6365,814,2373,5139,2398,75,2,N\A
1,2010/03/22,13,44,18504,6676,6694,6233,780,2336,4789,543,88,2,N\A
1,2010/04/07,1185,826,2118,2172,2756,1084,3539,1451,3891,538,111,3,N\A
1,2010/04/23,1213,829,2116,2179,2781,1027,3573,492,3622,548,118,0,N\A
1,2010/05/09,1664,1179,2120,2126,2975,1031,3813,5401,2829,2478,142,1,N\A
1,2010/05/25,1658,1023,2116,1622,2267,832,2462,1424,2845,485,159,0,N\A
1,2010/06/10,2198,1393,2116,1593,2491,791,2425,1423,2821,473,175,0,N\A
1,2010/06/26,3305,2323,2116,1662,3303,749,2968,2336,2935,452,184,0,N\A
1,2010/07/12,3624,2347,2116,1349,2883,619,2386,2365,2967,2336,203,0,N\A
1,2010/07/28,4461,2982,2116,1142,2982,588,2040,3840,3228,2388,217,0,N\A
1,2010/08/13,4548,3284,2116,1340,3576,613,2276,3890,4067,500,234,0,N\A
1,2010/08/29,3456,2070,2116,1148,2361,614,1903,1488,4135,2404,244,0,N\A
1,2010/09/14,3338,2097,2116,1309,2621,645,2274,3175,4592,2447,258,0,N\A
1,2010/09/30,2361,1551,2116,1601,2591,832,2498,3179,5199,2467,274,0,N\A
1,2010/10/16,-153,-230,18508,7648,7417,7986,306,3859,6038,2499,297,2,N\A
1,2010/11/01,-149,-781,18508,6812,6611,6807,449,3160,6344,2495,306,2,N\A
1,2010/11/17,-201,-817,18508,6439,6185,6274,407,537,7059,2466,333,2,N\A
1,2010/12/03,-117,-623,18581,7899,7715,7698,602,4498,7303,647,339,2,N\A
1,2010/12/19,264,428,34846,8955,9442,9610,1635,6407,7214,-1115,355,3,N\A
1,2011/01/01,105,174,34846,9613,9818,9898,1886,4439,7168,2456,3,3,N\A
1,2011/01/17,30,48,2070,9041,9096,9973,1123,5379,6955,2445,17,3,N\A
1,2011/02/02,-180,-282,18581,8485,8184,8532,419,5048,6551,559,47,2,N\A
1,2011/02/18,-210,-323,18504,8147,7811,8302,428,2346,5945,559,59,2,N\A
1,2011/03/06,-92,-147,18508,8808,8646,9171,334,4440,5407,2419,67,2,N\A
1,2011/03/22,-82,-129,18508,8545,8405,9085,510,4439,4767,2427,83,2,N\A
1,2011/04/07,1366,947,2116,2028,2670,1052,2411,474,4073,534,105,0,N\A
1,2011/04/23,1490,923,2116,1858,2509,804,3053,456,3537,522,121,0,N\A
1,2011/05/09,2242,1603,2116,2044,3226,941,3445,3887,3243,470,141,0,N\A
1,2011/05/25,2052,1525,2116,2253,3417,1048,3515,2363,2937,481,155,0,N\A
1,2011/06/10,3427,2414,2116,1540,3146,768,2480,3123,2616,2375,165,0,N\A
1,2011/06/26,3606,2440,2116,1389,2956,698,2313,3178,2965,433,180,0,N\A
1,2011/07/12,3961,2485,2120,1154,2668,582,1986,4446,2736,2389,195,0,N\A
