1,36.606,-97.489,10,5,208,407
2,40.006,-88.29,11,4,284,1199
3,41.165,-96.477,10,4,884,1060
4,41.165,-96.47,10,4,885,1060
5,41.18,-96.44,10,4,889,1058
6,41.859,-88.223,11,4,515,976
7,44.714,-93.09,11,4,461,634
8,44.722,-93.089,11,4,462,633
9,50.552,4.745,18,3,361,1133
10,51.1,10.914,18,3,822,1067
11,50.893,13.523,18,3,1023,1092
12,56.484,9.587,18,3,635,421
13,48.844,1.952,18,4,154,138
14,40.524,14.957,19,4,164,1137
15,51.992,5.646,18,3,417,960
16,51.954,4.903,18,3,362,965
17,53.399,6.356,18,3,454,792
18,52.335,5.373,18,3,393,919
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2001/01/01,13670,0,109,48,13358,0,222,58,249,249,148,254,N\A
1,2001/01/09,13944,0,106,17,13601,0,227,98,248,249,32,43,N\A
1,2001/01/17,13932,0,111,61,13430,65,219,23,247,248,180,40,N\A
1,2001/01/25,14078,0,112,72,13817,65,230,123,247,249,99,2,N\A
1,2001/02/02,14160,0,111,69,13627,0,221,43,247,249,61,51,N\A
1,2001/02/10,0,2,255,255,13407,65,224,74,247,249,0,128,N\A
1,2001/02/18,14090,65,112,78,13694,0,225,75,247,249,128,135,N\A
1,2001/02/26,14343,65,113,89,13725,0,224,74,246,249,64,128,N\A
1,2001/03/06,14451,0,113,81,13731,0,216,12,247,248,202,137,N\A
1,2001/03/14,14488,0,115,104,13755,0,222,59,246,248,68,205,N\A
1,2001/03/22,14543,65,111,66,13852,0,217,16,247,249,1,9,N\A
1,2001/03/30,14567,65,110,54,13953,0,225,86,247,248,2,38,N\A
1,2001/04/07,15061,0,109,49,14214,0,221,54,247,249,197,230,N\A
1,2001/04/15,14716,0,110,61,14084,0,223,67,247,249,5,126,N\A
1,2001/04/23,15117,0,111,69,14187,0,221,58,247,248,61,127,N\A
1,2001/05/01,15066,0,108,38,14261,0,221,60,247,248,195,224,N\A
1,2001/05/09,15302,0,112,73,14479,65,222,68,247,249,251,112,N\A
1,2001/05/17,14870,0,105,12,14499,0,221,55,247,249,160,53,N\A
1,2001/05/25,15235,65,114,87,14353,0,222,62,247,248,15,210,N\A
1,2001/06/02,14898,0,102,2,14720,0,221,51,246,248,1,5,N\A
1,2001/06/10,15532,0,114,84,14792,0,222,68,247,249,6,23,N\A
1,2001/07/04,16015,0,107,33,14951,0,222,63,247,249,8,223,N\A
1,2001/07/12,16101,0,111,72,14958,0,218,31,247,248,129,235,N\A
1,2001/07/20,16054,65,107,33,15045,0,222,66,247,249,8,127,N\A
1,2001/07/28,16124,0,112,79,14930,0,223,70,247,249,128,253,N\A
1,2001/08/05,0,2,255,255,14842,0,223,72,247,249,0,31,N\A
1,2001/08/13,15698,0,111,76,14709,0,221,61,247,249,232,83,N\A
1,2001/08/21,15820,0,113,99,14804,0,221,50,247,249,80,149,N\A
1,2001/08/29,15524,0,111,70,14707,0,219,38,247,249,24,57,N\A
1,2001/09/06,15456,0,110,62,14416,0,224,80,246,248,252,50,N\A
1,2001/09/14,15175,0,112,89,14446,0,224,85,247,249,160,64,N\A
1,2001/09/22,15209,0,109,61,14253,0,222,63,246,248,254,249,N\A
1,2001/09/30,15295,0,110,65,14138,0,220,48,247,249,223,207,N\A
1,2001/10/08,15109,0,115,109,14202,0,222,62,247,248,65,157,N\A
1,2001/10/16,15106,0,111,78,14036,0,224,76,247,249,191,30,N\A
1,2001/10/24,14947,0,112,78,13921,0,222,61,247,249,127,95,N\A
1,2001/11/01,14781,65,107,34,14223,0,218,35,247,248,81,153,N\A
1,2001/11/09,14611,0,114,98,14058,0,222,64,247,249,71,150,N\A
1,2001/11/17,14287,0,111,71,13854,0,216,18,247,248,36,136,N\A
1,2001/11/25,14152,0,108,46,13677,0,219,46,247,249,178,197,N\A
1,2001/12/03,14379,0,110,62,13703,65,218,42,247,249,253,241,N\A
1,2001/12/11,14181,0,107,42,13767,0,220,48,247,248,200,144,N\A
1,2001/12/19,14015,0,111,73,13582,0,218,34,247,249,251,187,N\A
1,2001/12/27,13759,65,110,76,13300,0,223,80,247,248,21,27,N\A
1,2002/01/01,13776,0,109,53,13241,0,220,56,247,249,3,108,N\A
1,2002/01/09,14291,0,114,95,13604,0,219,43,247,248,60,101,N\A
1,2002/01/17,14232,65,110,64,13552,0,222,73,247,249,184,250,N\A
1,2002/01/25,14387,0,108,55,13815,0,222,74,246,248,3,10,N\A
1,2002/02/02,14196,0,111,75,13821,0,222,67,247,248,194,192,N\A
1,2002/02/10,14169,0,111,77,13556,0,223,76,247,249,107,242,N\A
1,2002/02/18,14543,0,113,93,13682,0,225,95,247,248,112,189,N\A
1,2002/02/26,14480,0,112,92,13385,65,218,38,247,249,132,143,N\A
1,2002/03/06,14306,65,110,69,13701,0,222,66,247,249,25,75,N\A
1,2002/03/14,14861,0,112,98,0,2,255,255,247,249,1,0,N\A
1,2002/03/22,14797,0,105,24,14154,0,225,105,247,249,1,1,N\A
1,2002/03/30,14827,0,108,59,13767,0,218,39,247,249,118,197,N\A
1,2002/04/07,14718,0,106,36,14130,0,224,84,247,249,12,204,N\A
1,2002/04/15,15191,0,112,92,14589,0,214,5,246,248,66,2,N\A
1,2002/04/23,14819,0,108,57,14303,0,221,67,247,248,52,38,N\A
1,2002/05/01,15000,0,113,93,14209,0,220,51,247,248,25,29,N\A
1,2002/05/09,14912,0,109,61,14297,65,224,87,247,249,49,174,N\A
1,2002/05/17,14934,65,108,60,14362,0,225,99,247,249,23,66,N\A
1,2002/05/25,15148,0,110,68,14490,0,220,49,247,249,243,210,N\A
1,2002/06/02,15289,0,109,63,14597,0,222,75,247,248,115,115,N\A
1,2002/06/10,15189,0,112,83,14675,0,223,82,247,248,48,149,N\A
1,2002/06/18,15429,0,109,59,14698,0,221,64,247,249,118,254,N\A
1,2002/06/26,15448,65,109,66,14753,0,224,91,247,249,8,25,N\A
1,2002/07/04,15421,65,108,54,14757,0,222,71,247,249,16,121,N\A
1,2002/07/12,15358,0,110,78,14668,65,220,56,247,249,10,159,N\A
1,2002/07/20,15389,0,108,54,14837,0,221,65,247,249,114,246,N\A
1,2002/07/28,15282,0,106,36,14773,0,224,91,247,249,12,157,N\A
1,2002/08/05,15246,0,113,102,14800,0,220,56,247,248,129,79,N\A
