1,39.3459722,-0.3188056,17,5,1170,78
2,41.7052493,12.3761058,18,4,1108,995
3,42.40812,11.93001,18,4,1057,911
4,43.7278611,10.284444,18,4,891,752
5,44.71711,-0.7693,17,4,1134,633
6,45.6430556,2.7358333,18,4,229,522
7,42.5838694,10.0784,18,4,890,889
8,43.734139,3.595833,18,4,311,751
9,48.67416,7.06556,18,4,559,159
10,50.3055241,5.9968274,18,3,459,1163
11,50.9636111,13.5669444,18,3,1025,1084
12,51.0791667,10.453,18,3,788,1070
13,55.4858694,11.6446444,18,3,791,541
14,61.8475,24.295,19,2,175,978

No data
No dataid,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2002/07/04,15014,0,130,53,14778,0,19,54,248,246,15,15,N\A
1,2002/07/12,15077,0,130,61,14802,65,20,62,248,246,253,253,N\A
1,2002/07/20,15138,0,130,59,14853,0,19,55,248,247,251,255,N\A
1,2002/07/28,14930,0,131,63,14888,0,21,64,248,248,3,3,N\A
1,2002/08/05,14856,0,130,53,14715,65,20,60,247,246,30,27,N\A
1,2002/08/13,15080,0,130,56,14796,65,19,57,248,246,255,255,N\A
1,2002/08/21,14957,0,129,52,14693,65,16,28,248,247,119,181,N\A
1,2002/08/29,14998,0,130,56,14756,65,18,49,248,246,255,235,N\A
1,2002/09/06,14967,0,128,44,14732,65,20,63,248,246,31,126,N\A
1,2002/09/14,15028,0,130,55,14631,65,21,76,248,248,80,208,N\A
1,2002/09/22,14863,0,128,42,14672,65,22,77,248,247,245,107,N\A
1,2002/09/30,14609,65,129,53,14520,65,18,50,248,246,224,242,N\A
1,2002/10/08,14787,0,129,51,14551,65,19,57,248,247,252,228,N\A
1,2002/10/16,14660,0,128,46,14533,65,19,59,248,246,238,80,N\A
1,2002/10/24,14687,0,129,48,14401,65,18,46,248,247,190,191,N\A
1,2002/11/01,14584,0,129,48,14390,65,16,35,248,246,51,48,N\A
1,2002/11/09,14640,0,130,60,14354,65,17,39,248,246,26,150,N\A
1,2002/11/17,14464,65,133,81,14244,65,22,85,248,247,55,39,N\A
1,2002/11/25,14398,65,130,61,14230,65,17,36,248,247,26,164,N\A
1,2002/12/03,14371,0,129,46,14222,65,23,100,248,247,94,5,N\A
1,2002/12/11,14339,65,135,101,14056,65,16,37,248,246,26,23,N\A
1,2002/12/19,14306,65,128,38,13885,65,20,70,248,246,126,16,N\A
1,2002/12/27,14351,65,127,39,14180,65,13,9,247,245,22,20,N\A
1,2003/01/01,14351,65,135,106,14155,65,22,89,249,248,8,136,N\A
1,2003/01/09,14193,65,130,56,13932,65,22,85,247,246,252,213,N\A
1,2003/01/17,14297,65,128,37,13925,65,21,78,249,247,213,143,N\A
1,2003/01/25,14252,65,129,54,14048,65,17,39,248,246,221,186,N\A
1,2003/02/02,14341,65,131,67,14055,65,21,80,248,247,159,166,N\A
1,2003/02/10,14278,65,127,32,14001,65,18,53,247,246,195,144,N\A
1,2003/02/18,14168,65,132,77,13827,65,23,100,249,248,44,40,N\A
1,2003/02/26,14291,65,126,28,14276,65,17,43,247,245,193,192,N\A
1,2003/03/06,14505,0,130,56,14337,65,20,68,248,247,121,251,N\A
1,2003/03/14,14446,0,129,51,14115,65,17,43,247,246,245,152,N\A
1,2003/03/22,14333,65,131,69,14308,65,20,66,248,247,158,152,N\A
1,2003/03/30,14519,0,130,62,14278,65,19,63,247,246,244,244,N\A
1,2003/04/07,14584,65,130,61,14418,65,16,35,248,247,237,69,N\A
1,2003/04/15,14746,0,132,79,14243,65,25,114,249,247,64,4,N\A
1,2003/04/23,14683,0,128,42,14429,65,17,43,248,247,117,92,N\A
1,2003/05/01,14613,65,130,57,14378,65,19,61,248,246,31,29,N\A
1,2003/05/09,14793,0,132,78,14585,65,20,70,248,248,59,185,N\A
1,2003/05/17,14890,0,129,54,14680,65,19,63,248,247,127,222,N\A
1,2003/05/25,14880,0,131,63,14589,65,21,75,248,247,255,62,N\A
1,2003/06/02,14871,0,127,38,14690,65,23,93,248,246,251,245,N\A
1,2003/06/10,15112,0,131,67,14773,65,19,56,248,247,159,205,N\A
1,2003/06/18,15093,0,129,48,14748,0,20,64,248,246,255,255,N\A
1,2003/06/26,15183,0,131,64,14898,0,20,64,248,247,254,255,N\A
1,2003/07/04,15049,0,129,48,14883,0,18,55,248,246,255,254,N\A
1,2003/07/12,15181,0,131,63,14887,0,19,58,248,247,255,247,N\A
