site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,14.82651,99.67715,27,7,1526,1241
2,15.10653,100.02415,27,7,1576,1174
3,14.53313,100.12565,27,7,1661,1312
4,14.6705,100.37515,27,7,1704,1279
5,14.76528,100.44693,27,7,1711,1256
6,14.52054,100.55989,27,7,1763,1315
7,14.51312,100.82942,27,7,1826,1316
8,14.29234,100.13954,27,7,1689,1369
9,14.28868,100.60973,27,7,1799,1370
10,14.34029,100.86974,27,7,1854,1358
11,14.2546,101.06443,27,7,1908,1378
12,14.05285,100.1741,27,7,1722,1427
13,14.1545,100.50478,27,7,1788,1402
14,13.89866,100.8131,27,7,1886,1464
15,13.96792,101.20529,27,7,1971,1447
16,14.05771,101.35052,27,7,1995,1426
17,13.49009,100.06744,27,7,1753,1562
18,13.59776,100.58941,27,7,1864,1536
19,13.58976,101.03383,27,7,1969,1538
20,13.72198,101.2018,27,7,1995,1506
21,13.33792,100.93623,27,7,1971,1598
22,13.50474,101.16583,27,7,2008,1558
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2013/01/01,765,2687,430,799,3420,2286,1287,1073741824,4510,3617,-4730,72,8,2013/01/08
1,2013/01/09,678,2188,350,664,2679,1979,1112,1073741824,4229,341,12851,72,13,2013/01/13
1,2013/01/17,745,2226,392,725,2894,2180,1360,1073741824,4201,1131,-4764,136,22,2013/01/22
1,2013/01/25,728,2137,387,763,2808,2139,1318,1073741824,4140,2480,-4185,200,31,2013/01/31
1,2013/02/02,783,2254,407,770,3015,2384,1518,1073741824,3899,1158,-3905,136,38,2013/02/07
1,2013/02/10,703,2509,392,759,2852,2160,1249,1073741824,3630,287,13793,136,45,2013/02/14
1,2013/02/18,716,2604,405,768,3160,2226,1317,1073741824,3484,1140,-3486,72,54,2013/02/23
1,2013/02/26,719,2461,373,733,2935,2276,1447,1073741824,3169,341,14618,136,61,2013/03/02
1,2013/03/06,725,2453,390,740,2837,2326,1467,1073741824,3012,1103,-2925,136,70,2013/03/11
1,2013/03/14,784,2292,404,754,2690,2423,1579,1073741824,2681,381,14639,136,77,2013/03/18
1,2013/03/22,667,2215,333,680,2627,2062,1274,1073741824,2353,1799,15712,136,84,2013/03/25
1,2013/03/30,502,1909,229,507,2186,1827,1130,1073741824,1836,4918,15451,200,89,2013/03/30
1,2013/04/07,877,2909,473,893,3221,2764,1622,1073741824,2977,5879,-459,200,99,2013/04/09
1,2013/04/15,957,2527,489,896,2974,2674,1818,1073741824,1951,387,17893,72,109,2013/04/19
1,2013/04/23,922,2909,490,936,3236,2795,1703,1073741824,2016,1095,1139,74,118,2013/04/28
1,2013/05/01,1014,3125,534,1040,3489,2998,1914,1073741824,2139,2479,1553,137,127,2013/05/07
1,2013/05/09,991,3049,505,1013,3543,2798,1817,1073741824,2008,1166,2248,73,134,2013/05/14
1,2013/05/17,726,2749,419,820,3066,2203,1329,1073741824,1899,296,-15051,8205,141,2013/05/21
