site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,22.388955,87.887762,26,6,606,3653
2,22.109358,87.641725,26,6,574,3787
3,25.367479,84.121043,25,6,2884,2223
4,16.614743,81.682847,25,7,3970,1624
5,16.107974,80.633416,25,7,3584,1868
6,10.868029,79.425993,25,7,3840,4383
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2001/01/01,4555,1884,2257,579,1548,289,609,689,4841,556,4,1,N\A
1,2001/01/17,4071,1638,2185,610,1448,310,441,1963,4585,2394,18,1,N\A
1,2001/02/02,5255,2220,2185,511,1643,262,677,1982,4147,480,45,1,N\A
1,2001/02/18,8033,5186,2257,348,3191,210,755,2022,3641,432,61,1,N\A
1,2001/03/06,8383,5282,2185,277,3150,162,738,2009,3221,2269,66,1,N\A
1,2001/03/22,7468,4480,2257,424,2926,201,755,724,2750,362,84,1,N\A
1,2001/04/07,6416,4262,2185,704,3225,355,963,2013,2108,206,109,1,N\A
1,2001/04/23,5887,3260,2116,623,2407,329,930,2064,1627,2035,114,0,N\A
1,2001/05/09,4147,2311,2185,915,2212,490,1508,747,1435,1784,139,1,N\A
1,2001/05/25,5670,2634,34838,580,2099,155,1219,3237,1159,1684,153,3,N\A
1,2001/06/10,4220,3036,34838,892,2195,909,781,2064,1343,1650,162,3,N\A
1,2001/06/26,4501,3648,2062,797,2102,1059,810,686,1623,1705,187,3,N\A
1,2001/07/12,3699,2834,2062,1392,3027,2707,2421,3157,2092,-91,198,3,N\A
1,2001/07/28,4866,3727,35874,848,2456,901,671,829,1790,1862,219,3,N\A
1,2001/08/13,3940,4486,2062,1167,2685,1497,790,564,2011,86,228,3,N\A
1,2001/08/29,4594,3669,3098,1089,2940,915,939,3143,2519,251,246,3,N\A
1,2001/09/14,7402,4670,2261,451,3022,262,753,4953,3106,346,264,1,N\A
1,2001/09/30,7257,3478,34837,310,1951,269,418,3227,3022,2382,281,1,N\A
1,2001/10/16,6083,2083,2185,318,1306,181,334,738,3715,2395,299,1,N\A
1,2001/11/01,6583,3344,2189,451,2189,254,554,4201,4517,564,319,1,N\A
1,2001/11/17,6074,2918,2257,485,1986,272,518,679,4466,612,324,1,N\A
1,2001/12/03,5563,2502,2185,510,1789,276,747,2059,4941,590,349,1,N\A
1,2001/12/19,5545,2356,2185,470,1640,273,774,722,4891,2431,363,1,N\A
2,2001/01/01,3497,1742,2261,913,1895,438,438,4324,4921,530,15,1,N\A
2,2001/01/17,3440,1592,2185,819,1678,414,432,541,4454,2392,27,1,N\A
2,2001/02/02,6697,3451,2185,448,2265,239,574,3116,3973,2353,41,1,N\A
2,2001/02/18,8692,6535,2257,288,4116,160,727,2177,3633,438,61,1,N\A
2,2001/03/06,8912,6177,2185,213,3704,114,631,1863,3209,2278,66,1,N\A
2,2001/03/22,8087,5304,2257,352,3329,188,613,887,2744,381,84,1,N\A
2,2001/04/07,2472,1500,2116,1402,2323,719,2083,2159,2113,205,109,0,N\A
2,2001/04/23,2345,1088,2185,974,1571,493,1423,576,1589,1933,123,1,N\A
2,2001/05/09,2357,1066,2185,979,1583,439,1403,596,1451,1820,139,1,N\A
2,2001/05/25,3379,1523,34838,805,1627,396,729,3115,1181,1671,153,3,N\A
2,2001/06/10,755,1965,2066,3701,4306,3842,2795,5672,2348,-128,161,3,N\A
2,2001/06/26,582,1375,2062,4301,4833,4129,2804,3041,1357,1638,185,3,N\A
2,2001/07/12,703,700,3102,4722,5437,2433,1351,4120,1313,1800,208,3,N\A
2,2001/07/28,1278,1427,2066,2385,3084,2020,1031,6518,923,2062,220,3,N\A
2,2001/08/13,1262,1352,2066,2204,2841,1905,1180,5629,2676,56,225,3,N\A
2,2001/08/29,1469,1638,2066,1886,2536,1858,754,6187,3083,220,250,3,N\A
2,2001/09/14,-64,-18,35037,698,689,354,208,4868,2295,2342,263,1,N\A
2,2001/09/30,-614,-174,2189,820,725,273,170,6187,3736,413,282,1,N\A
2,2001/10/16,-1442,-373,2189,722,540,358,93,5023,3938,498,296,1,N\A
2,2001/11/01,-431,-119,2189,689,632,379,126,4307,4501,561,319,1,N\A
2,2001/11/17,-179,-43,2185,595,574,292,105,2122,4690,596,333,1,N\A
2,2001/12/03,3001,1175,2185,711,1321,348,238,2205,4924,572,349,1,N\A
2,2001/12/19,1562,601,2185,875,1199,397,268,3078,4774,2415,361,1,N\A
3,2001/01/01,5558,2942,2257,620,2172,361,1230,747,4922,2374,16,1,N\A
3,2001/01/17,6456,3798,2185,559,2596,339,1262,564,4815,521,25,1,N\A
3,2001/02/02,7025,4406,2185,501,2868,326,1074,494,4416,461,41,1,N\A
3,2001/02/18,7411,4307,2185,397,2670,248,898,810,3587,2302,64,1,N\A
3,2001/03/06,5294,2874,2116,702,2282,367,1101,3190,2921,2301,78,0,N\A
3,2001/03/22,3839,2565,2120,1305,2932,654,1674,4038,3216,360,84,0,N\A
3,2001/04/07,2665,1786,2116,1592,2749,815,2244,1905,2547,323,98,0,N\A
3,2001/04/23,2079,1320,2116,1581,2411,824,2588,509,1821,188,121,0,N\A
3,2001/05/09,2253,1327,2186,1401,2216,703,2250,2146,1357,1971,135,3,N\A
3,2001/05/25,2443,1393,2190,1280,2108,658,2030,4206,1003,1883,149,3,N\A
3,2001/06/10,2245,1661,2066,1832,2893,1056,3010,4009,1985,-54,164,3,N\A
3,2001/06/26,3718,2071,35038,1048,2289,480,1253,6045,753,1851,186,3,N\A
3,2001/07/12,3045,2159,34842,1343,2519,928,723,4776,2371,17,205,3,N\A
3,2001/07/28,3526,1528,2185,758,1584,349,333,418,1942,99,217,1,N\A
3,2001/08/13,6767,4343,34842,451,2339,557,361,6437,3026,156,232,3,N\A
3,2001/08/29,8236,6813,2261,454,4694,248,862,4811,3012,326,253,1,N\A
3,2001/09/14,9100,5113,2185,130,2760,91,378,839,3089,2361,272,1,N\A
3,2001/09/30,9118,5105,2185,127,2754,87,404,499,3441,529,281,1,N\A
3,2001/10/16,8458,5124,2185,248,2970,157,573,491,3958,545,297,1,N\A
3,2001/11/01,6280,4024,2116,696,3046,350,857,547,4443,555,313,0,N\A
3,2001/11/17,2822,1493,2185,1087,1942,554,1808,883,4926,2417,336,1,N\A
3,2001/12/03,2832,1641,2257,1278,2288,610,2053,1804,5050,598,338,1,N\A
3,2001/12/19,3260,1512,2185,838,1649,436,1524,544,5198,615,361,1,N\A
4,2001/01/01,6889,3290,2257,381,2069,204,510,3494,4458,511,11,1,N\A
4,2001/01/17,8418,4609,2116,228,2656,114,574,1873,4016,2351,23,0,N\A
4,2001/02/02,9052,7012,2261,218,4384,112,796,4159,3566,2340,37,1,N\A
4,2001/02/18,8635,6372,2185,301,4112,129,516,3125,2865,2238,62,1,N\A
4,2001/03/06,8049,5302,2185,362,3350,191,449,1836,2657,2192,71,1,N\A
4,2001/03/22,4199,2337,2116,931,2279,460,1237,432,2003,2009,96,0,N\A
4,2001/04/07,3707,2047,2185,992,2161,512,1691,541,1671,1873,112,1,N\A
4,2001/04/23,3278,2216,2116,1426,2817,758,2266,2269,1934,0,114,0,N\A
4,2001/05/09,3802,2617,2116,1487,3312,640,1969,3437,2008,-194,139,0,N\A
4,2001/05/25,4107,2987,34842,1198,2868,811,1187,5625,961,1386,147,3,N\A
4,2001/06/10,742,2405,2066,4279,4965,4468,1671,4139,1378,1391,165,3,N\A
4,2001/06/26,2559,2188,2062,1573,2655,1298,1112,986,1999,-318,185,3,N\A
4,2001/07/12,3202,1868,3294,1262,2451,549,1086,2277,2144,-253,194,3,N\A
4,2001/07/28,3289,1417,34842,670,1327,501,645,5647,1118,1578,211,3,N\A
4,2001/08/13,2093,1070,34837,1571,2403,319,530,3381,2290,32,235,1,N\A
4,2001/08/29,6467,3711,2261,556,2592,295,629,4365,2483,97,244,1,N\A
4,2001/09/14,8551,4948,2185,224,2868,114,454,1918,2138,2155,263,1,N\A
4,2001/09/30,7822,6804,34837,510,4174,503,787,3428,3025,417,283,1,N\A
4,2001/10/16,7567,3613,2116,296,2138,156,460,459,3385,2347,304,0,N\A
4,2001/11/01,7572,4665,2116,416,3012,213,644,2324,3577,526,306,0,N\A
4,2001/11/17,4003,1811,2185,722,1686,362,1255,567,4161,2379,336,1,N\A
4,2001/12/03,3908,2038,2116,897,2048,442,1380,2241,4316,548,338,0,N\A
4,2001/12/19,2513,854,2185,645,1078,303,232,949,4473,549,361,1,N\A
5,2001/01/01,7037,4905,2261,576,3313,376,1000,5821,3936,2439,10,1,N\A
5,2001/01/17,8409,6291,2116,346,4006,205,610,347,3910,426,32,0,N\A
5,2001/02/02,7913,6009,2185,461,3958,290,960,1739,3780,431,41,1,N\A
5,2001/02/18,6752,4957,2185,730,3766,378,1249,2998,3634,403,50,1,N\A
5,2001/03/06,3667,2060,2185,1035,2234,520,1749,2357,2351,2140,78,1,N\A
5,2001/03/22,3750,2085,2261,998,2196,510,1603,5214,1875,2195,83,1,N\A
5,2001/04/07,3765,2129,2262,1019,2250,522,1546,6312,1205,2177,97,3,N\A
5,2001/04/23,3236,1762,2185,1048,2051,548,1742,1109,1540,1755,119,1,N\A
5,2001/05/09,2741,1663,2185,1317,2312,701,1977,3035,1951,-154,130,1,N\A
5,2001/05/25,2656,1251,34966,951,1639,480,1263,5256,1070,1388,147,3,N\A
5,2001/06/10,156,729,2062,5549,5726,5727,1353,3566,1487,1396,165,3,N\A
5,2001/06/26,865,958,2062,2064,2455,1952,1135,1830,2108,-308,185,3,N\A
5,2001/07/12,2065,911,2186,947,1440,480,1253,3016,2251,-258,194,3,N\A
5,2001/07/28,2366,1190,34838,892,1445,691,865,2960,2235,-173,210,3,N\A
5,2001/08/13,4924,3419,2066,618,1817,901,931,5542,2675,17,237,3,N\A
5,2001/08/29,7058,3266,2185,349,2024,173,473,3614,1613,1993,245,1,N\A
5,2001/09/14,8148,5098,2185,320,3137,166,568,1767,2437,292,265,1,N\A
5,2001/09/30,8177,7998,34841,474,4728,570,1061,4037,3051,387,283,1,N\A
5,2001/10/16,8521,4837,2185,221,2768,124,452,426,3383,577,304,1,N\A
5,2001/11/01,8131,5698,2116,359,3484,257,684,1803,3698,552,313,0,N\A
5,2001/11/17,5972,3290,2116,595,2360,336,752,1110,3918,2378,327,0,N\A
5,2001/12/03,3325,1510,2116,831,1659,392,1252,1110,4204,2414,343,0,N\A
5,2001/12/19,7245,4524,2185,489,3061,238,865,381,4402,559,3,1,N\A
6,2001/01/01,8148,4644,2185,281,2755,150,489,1037,3780,2334,7,1,N\A
6,2001/01/17,5123,3609,34837,852,2642,714,891,1885,3748,429,25,1,N\A
6,2001/02/02,4947,2422,2116,694,2053,292,981,3614,3156,2274,37,0,N\A
6,2001/02/18,5190,3228,2185,904,2855,423,1574,453,2729,270,64,1,N\A
