site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,22.388955,87.887762,26,6,606,3653
2,22.109358,87.641725,26,6,574,3787
3,25.367479,84.121043,25,6,2884,2223
4,16.614743,81.682847,25,7,3970,1624
5,16.107974,80.633416,25,7,3584,1868
6,10.868029,79.425993,25,7,3840,4383
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2009/01/01,5379,1824,2257,377,1255,198,647,2021,4805,2373,8,1,N\A
1,2009/01/17,4931,2138,2185,557,1641,308,684,706,4675,522,26,1,N\A
1,2009/02/02,6442,2803,2257,386,1784,218,625,3181,3920,2297,47,1,N\A
1,2009/02/18,6454,3387,2185,501,2325,249,692,716,3802,402,58,1,N\A
1,2009/03/06,5910,2709,2185,500,1945,215,750,694,3474,2253,65,1,N\A
1,2009/03/22,7208,4095,2185,430,2651,223,556,2045,2566,2154,88,1,N\A
1,2009/04/07,5694,3001,2116,620,2260,309,752,720,2378,2068,97,0,N\A
1,2009/04/23,3605,1986,2185,965,2053,553,1570,2055,1689,1952,120,1,N\A
1,2009/05/09,2874,1655,2185,1227,2217,617,1879,720,1699,1865,129,1,N\A
1,2009/05/25,4621,2527,2257,834,2267,413,644,2040,1910,-93,147,1,N\A
1,2009/06/10,5566,3404,2185,784,2753,400,877,2059,1961,-147,163,1,N\A
1,2009/06/26,4903,2315,3222,661,1933,289,420,788,1939,-120,186,3,N\A
1,2009/07/12,3556,3272,2062,1427,3002,1271,1558,3269,2300,-60,204,3,N\A
1,2009/07/28,5557,3089,2262,689,2413,346,578,4220,2482,-16,213,3,N\A
1,2009/08/13,4284,3911,2062,1070,2674,1179,1092,751,2236,182,234,3,N\A
1,2009/08/29,6385,3011,2257,443,2008,223,439,3162,2298,2207,255,1,N\A
1,2009/09/14,7149,3525,34837,372,2238,165,373,734,2855,379,266,1,N\A
1,2009/09/30,6534,3910,2185,586,2796,291,711,3232,3521,463,284,1,N\A
1,2009/10/16,6515,3158,2185,442,2095,222,503,733,3791,551,298,1,N\A
1,2009/11/01,6507,2964,2185,407,1924,210,477,2009,4095,2411,312,1,N\A
1,2009/11/17,5475,2749,2116,644,2203,252,477,2050,4532,588,323,0,N\A
1,2009/12/03,4574,2120,2257,666,1789,339,901,727,4884,542,346,1,N\A
1,2009/12/19,5309,2453,2257,561,1831,301,966,743,4974,536,362,1,N\A
2,2009/01/01,3961,1971,2257,753,1741,497,286,3059,4655,2365,15,1,N\A
2,2009/01/17,6653,3579,2185,476,2369,267,516,870,4662,481,26,1,N\A
2,2009/02/02,8353,5807,2257,329,3668,169,739,870,4281,441,42,1,N\A
2,2009/02/18,8795,5984,2116,231,3606,119,652,531,3995,2295,49,0,N\A
2,2009/03/06,8173,5632,2185,353,3513,214,683,530,3465,2220,65,1,N\A
2,2009/03/22,4763,3420,2116,1255,3538,584,1679,3316,2876,249,92,0,N\A
2,2009/04/07,3275,1928,2116,1196,2361,591,1786,558,2378,2101,97,0,N\A
2,2009/04/23,1813,1158,2116,1727,2492,846,2511,2168,2182,127,115,0,N\A
2,2009/05/09,1703,889,2116,1261,1779,638,1784,557,1713,1823,129,0,N\A
2,2009/05/25,1458,1677,2066,1736,2329,1854,1771,4847,1113,1635,157,3,N\A
2,2009/06/10,1562,2326,2062,2678,3670,2544,2810,3372,2172,-154,172,3,N\A
2,2009/06/26,1307,2156,2066,3022,3931,2870,1574,4328,2360,-147,181,3,N\A
2,2009/07/12,1260,4549,2066,2610,3363,3318,1992,6450,867,1669,194,3,N\A
2,2009/07/28,1522,1933,2066,1790,2433,1981,1108,4328,2500,-19,213,3,N\A
2,2009/08/13,1578,1584,2066,1720,2365,1668,844,4318,2596,80,229,3,N\A
2,2009/08/29,741,2347,2066,3778,4383,4081,1831,4033,1979,2148,246,3,N\A
2,2009/09/14,1792,446,2257,474,681,258,-1000,3363,3090,371,268,1,N\A
2,2009/09/30,-608,-154,2185,628,556,361,161,3363,3511,464,284,1,N\A
2,2009/10/16,130,30,2185,528,542,316,119,1854,3596,2380,296,1,N\A
2,2009/11/01,1406,355,2185,498,661,290,-1000,2205,4099,551,307,1,N\A
2,2009/11/17,1612,442,2261,546,756,288,82,4042,4350,2446,326,1,N\A
2,2009/12/03,1920,695,2257,732,1080,396,258,3040,4762,2410,351,1,N\A
2,2009/12/19,3134,1082,2257,587,1123,302,125,1845,4846,2400,360,1,N\A
3,2009/01/01,5314,2533,2257,596,1948,291,968,2100,5004,2384,13,1,N\A
3,2009/01/17,7442,4789,2257,463,3158,249,873,562,4796,513,31,1,N\A
3,2009/02/02,7515,4880,2185,449,3166,259,820,565,4361,422,47,1,N\A
3,2009/02/18,7344,4754,2116,473,3090,289,825,792,4061,2262,54,0,N\A
3,2009/03/06,4200,2350,2116,889,2177,508,1371,544,3251,409,79,0,N\A
3,2009/03/22,3348,1795,2116,997,2001,534,1460,828,2907,2186,86,0,N\A
3,2009/04/07,2453,1457,2116,1378,2274,689,2049,838,2367,2148,102,0,N\A
3,2009/04/23,2018,1294,2116,1607,2420,848,2712,537,1895,102,127,0,N\A
3,2009/05/09,1968,1313,2116,1736,2587,907,2801,3026,2128,102,129,0,N\A
3,2009/05/25,2500,1703,2116,1602,2670,881,2890,574,1739,-104,159,0,N\A
3,2009/06/10,2540,1975,2116,1950,3278,1090,3409,1904,1911,-78,168,0,N\A
3,2009/06/26,2032,1936,2066,2036,3075,1584,3226,4076,2289,-57,186,3,N\A
3,2009/07/12,2731,2206,2062,1949,3414,1135,2520,628,2015,-12,207,3,N\A
3,2009/07/28,3025,1993,35038,1471,2747,743,1688,4066,2511,84,218,3,N\A
3,2009/08/13,4624,2278,34838,720,1959,358,683,2064,2157,2113,237,3,N\A
3,2009/08/29,6598,3460,2185,483,2357,229,443,589,2758,371,255,1,N\A
