id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2000/02/18,-28672,-28672,-28672,-28672,-28672,-28672,-28672,4294967295,0,0,0,65535,65535,2179/06/05,-2.8672,-2.8672,-2.8672,-2.8672,-2.8672,-2.8672,-2.8672,-0,0.0,-0,-0,-0,-0,1111111111111111,not set, assumed clear,yes,deep ocean,high,high,cloud,fire,yes,yes,yes,yes,Yes,NA,-0,0.0,-0,-0,-0,-0
1,2000/02/26,3084,3943,2862,2964,4118,4119,3221,1073741824,3193,228,-4076,1033,64,2000/03/04,0.3084,0.3943,0.2862,0.2964,0.4118,0.4119,0.3221,0.122242777857,0.195547259151,-0.0218308112131,0.100781686209,-0.163066497247,-0.0217094653269,0000010000001001,cloudy,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,NA,0.122242777857,0.195547259151,-0.0218308112131,0.100781686209,-0.163066497247,-0.0217094653269
1,2000/03/05,1166,3060,569,970,3608,3244,2007,1073741824,3312,2868,-3918,8204,66,2000/03/06,0.1166,0.306,0.0569,0.097,0.3608,0.3244,0.2007,0.448177946048,0.299901827279,-0.0291878172589,0.207815275311,-0.539629805411,-0.0821835632873,0010000000001100,clear,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,NA,0.448177946048,0.299901827279,-0.0291878172589,0.207815275311,-0.539629805411,-0.0821835632873
1,2000/03/13,856,2706,455,810,3162,2714,1587,1073741824,2976,1639,-3893,200,73,2000/03/13,0.0856,0.2706,0.0455,0.081,0.3162,0.2714,0.1587,0.519371139809,0.320523926678,-0.00147601476015,0.260656883298,-0.540295119183,-0.0777096114519,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.519371139809,0.320523926678,-0.00147601476015,0.260656883298,-0.540295119183,-0.0777096114519
1,2000/03/21,630,2892,323,662,3206,2515,1418,1073741824,2767,2804,-3144,200,82,2000/03/22,0.063,0.2892,0.0323,0.0662,0.3206,0.2515,0.1418,0.642248722317,0.396856030036,0.0697244312928,0.341995359629,-0.583254642745,-0.0514922925549,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.642248722317,0.396856030036,0.0697244312928,0.341995359629,-0.583254642745,-0.0514922925549
1,2000/03/29,724,3214,346,727,3693,2937,1684,1073741824,2422,1476,-2943,136,89,2000/03/29,0.0724,0.3214,0.0346,0.0727,0.3693,0.2937,0.1684,0.632300660234,0.416026197955,0.0450333279142,0.312372396897,-0.603165938865,-0.0693499348487,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.632300660234,0.416026197955,0.0450333279142,0.312372396897,-0.603165938865,-0.0693499348487
1,2000/04/06,492,2743,276,595,2899,1819,786,1073741824,1483,5306,13704,8204,99,2000/04/08,0.0492,0.2743,0.0276,0.0595,0.2899,0.1819,0.0786,0.695826893354,0.413027522936,0.20254274441,0.554548030604,-0.507042253521,-0.0276497695853,0010000000001100,clear,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.677042195204,0.439564246366,0.0895880511693,0.384861134252,-0.608309052453,-0.0536202942738
1,2000/04/14,428,3049,183,518,3029,2104,920,1073741824,1287,4596,14788,8206,108,2000/04/17,0.0428,0.3049,0.0183,0.0518,0.3029,0.2104,0.092,0.753810756399,0.460002106076,0.183388317485,0.536407155455,-0.604881769641,0.00329055610398,0010000000001110,mixed,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.721783730174,0.463102294777,0.134142774424,0.457349871608,-0.613452166041,-0.0378906536989
1,2000/04/22,604,3475,434,756,3697,2487,1178,1073741824,2140,4669,-663,8206,116,2000/04/25,0.0604,0.3475,0.0434,0.0756,0.3697,0.2487,0.1178,0.703848982594,0.518455648656,0.165716202617,0.493660004298,-0.533765032377,-0.0309537088678,0010000000001110,mixed,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,Yes,0.766525265144,0.486640343187,0.17869749768,0.529838608964,-0.618595279629,-0.0221610131239
1,2000/04/30,330,3167,166,466,3208,2011,786,1073741824,1177,2651,17632,72,126,2000/05/05,0.033,0.3167,0.0166,0.0466,0.3208,0.2011,0.0786,0.811266800114,0.510178391598,0.223252220935,0.602327346319,-0.623738393218,-0.00643137254902,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.811266800114,0.510178391598,0.223252220935,0.602327346319,-0.623738393218,-0.00643137254902
