site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.175,115.978,28,6,150,98
2,29.159,115.96,28,6,150,100
3,29.247,115.97,28,6,140,89
4,29.204,115.931,28,6,141,95
5,29.215,115.911,28,6,138,93
6,30.277,111.478,27,5,751,1166
7,30.255,116.612,28,5,85,1168
8,30.265,116.607,28,5,84,1167
9,30.2,117.012,28,5,134,1175
10,30.234,116.628,28,5,90,1171
11,30.252,116.608,28,5,85,1169
12,30.211,116.583,28,5,88,1174
13,30.275,116.291,28,5,50,1166
14,30.25,116.585,28,5,83,1169
15,30.246,116.628,28,5,88,1169
16,30.095,117.32,28,5,179,1188
17,30.241,116.61,28,5,87,1170
18,32.571,119.801,28,5,113,890
19,33.502,120.564,28,5,62,779
20,33.472,120.775,28,5,87,782
21,35.838,122.991,27,5,1163,498
22,36.595,126.603,28,5,195,408
23,36.583,126.446,28,5,182,409
24,36.617,126.541,28,5,186,405
25,36.619,126.567,28,5,188,405
26,36.815,127.202,28,5,218,381
27,36.763,126.523,28,5,161,387
28,36.595,126.584,28,5,194,408
29,37.032,126.799,28,5,145,355
30,37.049,126.798,28,5,142,353
31,37.919,126.388,27,5,1163,249
32,37.987,126.376,27,5,1150,241
33,37.937,126.432,27,5,1164,247
34,37.827,125.898,27,5,1131,260
35,38.097,125.231,27,5,1024,227
36,37.882,126.362,27,5,1166,253
37,37.953,126.168,27,5,1136,245
38,29.175,115.978,28,6,150,98
39,29.188,116.014,28,6,152,96
40,29.107,115.963,28,6,156,106
41,29.18,115.974,28,6,149,97
42,29.181,115.999,28,6,151,97
43,28.547,117.308,28,6,364,173
44,29.162,116.016,28,6,155,100
45,29.266,115.767,28,6,117,87
46,29.239,115.52,28,6,94,90
47,29.173,115.97,28,6,149,98
48,29.175,115.978,28,6,150,98
49,29.208,116.089,28,6,157,94
50,29.178,115.948,28,6,146,98
51,29.245,115.965,28,6,140,90
52,29.218,116.001,28,6,147,93
53,29.174,115.961,28,6,148,98
54,29.178,115.876,28,6,139,98
55,29.198,116.007,28,6,150,95
56,29.197,115.978,28,6,147,95
57,29.304,116.031,28,6,140,83
58,29.171,115.924,28,6,145,98
59,29.17,115.985,28,6,151,99
60,29.175,115.967,28,6,149,98
61,29.096,115.84,28,6,145,107
62,29.201,115.941,28,6,143,95
63,29.197,115.968,28,6,146,95
64,29.196,115.968,28,6,146,95
65,29.206,115.964,28,6,145,94
66,29.21,115.977,28,6,145,94
67,29.2,115.989,28,6,148,95
68,29.189,116.024,28,6,153,96
69,29.158,116.05,28,6,159,100
70,28.899,117.262,28,6,317,131
71,28.986,116.291,28,6,205,121
72,28.989,116.207,28,6,196,120
73,28.982,116.167,28,6,192,121
74,28.983,116.167,28,6,192,121
75,28.98,116.206,28,6,197,121
76,29.014,116.217,28,6,194,117
77,28.956,116.23,28,6,202,124
78,29.012,116.239,28,6,196,118
79,29.036,116.266,28,6,196,115
80,29.012,116.236,28,6,196,118
81,28.997,116.262,28,6,201,119
82,28.977,116.244,28,6,201,122
83,28.984,116.284,28,6,204,121
84,28.976,116.237,28,6,200,122
85,28.973,116.252,28,6,202,122
86,28.943,116.256,28,6,206,126
87,28.944,116.255,28,6,206,126
88,28.992,116.331,28,6,208,120
89,28.934,116.259,28,6,208,127
90,28.915,116.328,28,6,217,129
91,28.968,116.205,28,6,198,123
