1,No Data
site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
2,37.2,12.0,18,5,1147,335

No dataid,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
2,2008/01/01,254,254,157,255,254,254,N\A
2,2008/01/09,254,254,157,255,254,254,N\A
2,2008/01/17,254,254,157,255,254,254,N\A
2,2008/01/25,254,254,157,255,254,254,N\A
2,2008/02/02,254,254,157,255,254,254,N\A
2,2008/02/10,254,254,157,255,254,254,N\A
2,2008/02/18,254,254,157,255,254,254,N\A
2,2008/02/26,254,254,157,255,254,254,N\A
2,2008/03/05,254,254,157,255,254,254,N\A
2,2008/03/13,254,254,157,255,254,254,N\A
2,2008/03/21,254,254,157,255,254,254,N\A
2,2008/03/29,254,254,157,255,254,254,N\A
2,2008/04/06,254,254,157,255,254,254,N\A
2,2008/04/14,254,254,157,255,254,254,N\A
2,2008/04/22,254,254,157,255,254,254,N\A
2,2008/04/30,254,254,157,255,254,254,N\A
2,2008/05/08,254,254,157,255,254,254,N\A
2,2008/05/16,254,254,157,255,254,254,N\A
2,2008/05/24,254,254,157,255,254,254,N\A
2,2008/06/01,254,254,157,255,254,254,N\A
2,2008/06/09,254,254,157,255,254,254,N\A
2,2008/06/17,254,254,157,255,254,254,N\A
2,2008/06/25,254,254,157,255,254,254,N\A
2,2008/07/03,254,254,157,255,254,254,N\A
2,2008/07/11,254,254,157,255,254,254,N\A
2,2008/07/19,254,254,157,255,254,254,N\A
2,2008/07/27,254,254,157,255,254,254,N\A
2,2008/08/04,254,254,157,255,254,254,N\A
2,2008/08/12,254,254,157,255,254,254,N\A
2,2008/08/20,254,254,157,255,254,254,N\A
2,2008/08/28,254,254,157,255,254,254,N\A
2,2008/09/05,254,254,157,255,254,254,N\A
2,2008/09/13,254,254,157,255,254,254,N\A
2,2008/09/21,254,254,157,255,254,254,N\A
2,2008/09/29,254,254,157,255,254,254,N\A
2,2008/10/07,254,254,157,255,254,254,N\A
2,2008/10/15,254,254,157,255,254,254,N\A
2,2008/10/23,254,254,157,255,254,254,N\A
2,2008/10/31,254,254,157,255,254,254,N\A
2,2008/11/08,254,254,157,255,254,254,N\A
2,2008/11/16,254,254,157,255,254,254,N\A
2,2008/11/24,254,254,157,255,254,254,N\A
2,2008/12/02,254,254,157,255,254,254,N\A
2,2008/12/10,254,254,157,255,254,254,N\A
2,2008/12/18,254,254,157,255,254,254,N\A
2,2008/12/26,254,254,157,255,254,254,N\A
