site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,6.92754,124.211991,30,8,1586,1474
2,6.8088,124.481826,30,8,1729,1531
3,7.13658,124.536971,30,8,1714,1374
4,7.886234,124.352285,30,8,1524,1014
5,17.6,120.650104,29,7,2401,1152
6,17.403802,120.710614,29,7,2488,1246
7,16.87,120.847332,29,7,2710,1502
8,16.482452,120.60318,29,7,2710,1688
9,17.384381,121.504894,29,7,2858,1255
10,18.264937,120.594505,29,7,2168,832
11,17.973888,120.691845,29,7,2304,972
12,17.647013,120.431362,29,7,2286,1129
13,17.176121,120.449365,29,7,2437,1355
14,16.892107,120.528628,29,7,2557,1491
15,16.860722,120.397383,29,7,2506,1506
16,16.405965,120.397421,29,7,2637,1725
17,15.989078,120.39786,29,7,2755,1925
18,16.090444,120.552156,29,7,2798,1876
19,16.089993,120.763807,29,7,2895,1876
20,15.929306,120.707129,29,7,2914,1953
21,16.097167,119.989561,29,7,2536,1873
22,15.770139,120.338379,29,7,2788,2030
23,18.27969,121.718203,29,7,2676,825
24,18.079776,121.552994,29,7,2664,921
25,17.80583,121.639191,29,7,2789,1053
26,17.872952,121.910065,29,7,2892,1020
27,17.040246,121.730973,29,7,3065,1420
28,16.683838,121.496308,29,7,3063,1591
29,16.477999,121.75562,29,7,3242,1690
30,16.362945,121.693003,29,7,3246,1745
31,17.046134,121.096969,29,7,2772,1417
32,16.338072,121.096969,29,7,2979,1757
33,16.204606,121.066956,29,7,3003,1821
34,16.545279,121.175551,29,7,2955,1658
35,16.022895,121.096101,29,7,3068,1909
36,15.978566,121.074224,29,7,3070,1930
37,15.794952,121.022798,29,7,3097,2018
38,15.667999,120.968348,29,7,3107,2079
39,15.415045,120.810752,29,7,3103,2200
40,15.18643,120.933623,29,7,3221,2310
41,14.976358,120.844992,29,7,3235,2411
42,15.38902,120.571417,29,7,2999,2213
43,15.411066,120.569883,29,7,2992,2202
44,15.666704,120.434203,29,7,2860,2079
45,15.665044,120.368507,29,7,2830,2080
46,14.939025,120.515393,29,7,3092,2429
47,14.919103,120.523545,29,7,3101,2438
48,15.089563,121.003032,29,7,3278,2357
49,15.670958,121.145854,29,7,3188,2077
50,15.707533,120.803862,29,7,3020,2060
51,15.291401,120.820462,29,7,3140,2260
52,15.617459,121.164793,29,7,3211,2103
53,14.285342,120.754128,29,7,3369,2743
54,14.396618,120.877077,29,7,3399,2689
55,14.227291,121.158483,29,7,3572,2770
56,14.447077,121.412577,29,7,3635,2665
57,14.711751,121.640761,29,7,3673,2538
58,14.173183,121.309555,29,7,3656,2796
59,13.281084,121.239187,29,7,3838,3225
60,13.22632,121.166563,29,7,3817,3251
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2009/01/01,5850,4748,2066,751,2869,830,928,6210,3222,2373,5,3,N\A
1,2009/01/17,8040,4272,34965,280,2578,108,622,6205,3044,2326,21,1,N\A
1,2009/02/02,6049,3608,34837,676,2746,328,1120,2516,3388,275,45,1,N\A
1,2009/02/18,7085,4599,34841,517,3031,329,960,4149,2319,2052,64,1,N\A
1,2009/03/06,7042,4239,34841,443,2553,369,916,5668,1697,1963,78,1,N\A
1,2009/03/22,6729,5523,34837,770,3939,562,1725,3663,2714,-1,86,1,N\A
1,2009/04/07,6881,4255,34837,548,2966,273,1043,1846,1974,1687,98,1,N\A
1,2009/04/23,7095,4843,35878,624,3673,224,1119,5967,2980,-205,113,3,N\A
1,2009/05/09,6461,4027,2120,655,3047,284,1053,5367,2955,-345,136,1,N\A
1,2009/05/25,6617,5300,2066,758,3724,571,1098,4630,3037,-421,159,3,N\A
1,2009/06/10,4586,3021,34837,534,1439,954,622,3070,2407,1255,169,1,N\A
1,2009/06/26,2065,2104,34841,2285,3475,1740,1126,6183,2040,1166,181,1,N\A
1,2009/07/12,6275,4866,2066,855,3736,542,1243,5414,3250,-359,200,3,N\A
1,2009/07/28,6441,4619,2261,765,3535,418,1310,5404,3133,-295,216,1,N\A
1,2009/08/13,6106,4684,3102,692,2863,724,1022,4969,1674,1494,231,3,N\A
1,2009/08/29,5748,4495,2066,765,2834,789,1199,4130,1582,1822,256,3,N\A
1,2009/09/14,4476,4800,34842,1198,3140,1362,1043,4640,2650,110,271,3,N\A
1,2009/09/30,6163,7813,3102,700,2949,1327,1708,4973,1709,2156,279,3,N\A
1,2009/10/16,6649,3719,2189,512,2544,261,902,4140,2443,2305,304,1,N\A
1,2009/11/01,7111,3796,2120,412,2441,207,819,4989,2562,2360,311,1,N\A
1,2009/11/17,6828,4362,34841,414,2197,595,1422,5657,3042,2406,334,1,N\A
1,2009/12/03,6511,3634,34841,490,2319,357,1128,4989,3238,2379,343,1,N\A
1,2009/12/19,5525,4609,2066,1086,3768,765,1484,5989,4190,400,353,3,N\A
2,2009/01/01,8457,4811,35878,238,2847,96,524,5132,3319,2329,7,3,N\A
2,2009/01/17,8615,5730,34893,254,3415,153,656,3322,3287,2231,25,1,N\A
2,2009/02/02,7873,5209,2120,389,3270,237,763,4325,2707,2146,48,0,N\A
2,2009/02/18,5889,3612,2116,735,2841,357,1004,859,3086,237,52,0,N\A
2,2009/03/06,4690,3283,2061,1165,3223,606,1642,2250,2685,77,77,1,N\A
2,2009/03/22,5197,3719,2116,1126,3563,525,1698,3455,2685,-4,86,0,N\A
2,2009/04/07,6763,4874,35878,724,3750,343,1291,5857,3018,-94,97,3,N\A
2,2009/04/23,7606,5778,36074,373,2744,630,1038,4344,1808,1350,128,3,N\A
2,2009/05/09,6630,3445,2116,464,2290,243,564,2102,2084,1376,130,0,N\A
2,2009/05/25,6487,4574,2066,670,3145,485,820,6386,3364,-377,154,3,N\A
