site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.13817,115.97083,28,6,310,206
2,29.13633,115.97067,28,6,311,207
3,29.13633,115.9705,28,6,311,207
4,29.03867,116.16717,28,6,375,230
5,29.03867,116.1665,28,6,375,230
6,29.03883,116.1655,28,6,374,230
7,29.05633,116.19383,28,6,376,226
8,29.056,116.19283,28,6,376,226
9,29.03867,116.1645,28,6,374,230
10,29.03717,116.16033,28,6,374,231
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2007/01/01,2398,2748,1957,2311,2956,2144,1380,1073741824,5562,1822,-5734,1817,7,2007/01/07
1,2007/01/09,1314,1382,674,1189,1238,1063,644,1073741824,5664,3923,-5507,208,9,2007/01/09
1,2007/01/17,603,503,501,802,82,2183,1346,1073741824,4990,5433,11881,8221,24,2007/01/24
1,2007/01/25,1005,1602,527,871,1901,1615,1013,1073741824,5078,2035,12412,154,28,2007/01/28
1,2007/02/02,1183,1914,610,1013,2225,2112,1456,1073741824,5325,4713,-4913,218,34,2007/02/03
1,2007/02/10,977,1603,477,843,1911,1679,1112,1073741824,4598,4061,12389,218,42,2007/02/11
1,2007/02/18,834,1472,360,729,1600,1455,845,1073741824,4358,3152,12542,220,51,2007/02/20
1,2007/02/26,1135,1624,578,1072,1438,1344,864,1073741824,4574,3904,-4497,216,57,2007/02/26
1,2007/03/06,1356,1906,824,1362,1683,1368,702,1073741824,4468,5904,-3904,8221,68,2007/03/09
1,2007/03/14,976,1023,506,955,902,656,320,1073741824,3669,2934,-4111,152,80,2007/03/21
1,2007/03/22,955,1822,556,972,1693,1271,695,1073741824,2782,5433,12664,216,88,2007/03/29
1,2007/03/30,1017,2166,682,1194,2011,1474,780,1073741824,3441,3904,-3619,208,89,2007/03/30
1,2007/04/07,1262,1884,643,1402,1437,1073,572,1073741824,3243,4713,-3115,216,98,2007/04/08
1,2007/04/15,1207,1691,587,1164,1304,984,612,1073741824,2339,2027,13983,216,108,2007/04/18
1,2007/04/23,1065,1945,565,1126,1718,1185,635,1073741824,2040,3115,14161,216,115,2007/04/25
1,2007/05/01,1000,1512,523,1018,1312,923,489,1073741824,2069,580,-2704,216,126,2007/05/06
1,2007/05/09,821,1423,431,880,1331,956,547,1073741824,1653,3087,15009,216,131,2007/05/11
1,2007/05/17,2057,2354,1235,1930,2205,1951,1595,1073741824,1623,1962,15866,152,140,2007/05/20
1,2007/05/25,1759,1812,1744,1933,1499,1049,576,1073741824,1440,3068,16125,8214,147,2007/05/27
1,2007/06/02,512,1903,305,677,1866,1190,543,1073741824,935,5920,15323,221,159,2007/06/08
1,2007/06/10,654,1008,308,783,494,620,209,1075576832,1904,1841,-307,216,167,2007/06/16
1,2007/06/18,1740,1996,1832,1953,1785,1904,1533,1073741824,1536,2009,17077,1049,172,2007/06/21
1,2007/06/26,1247,1696,1350,1420,1885,1393,946,1073741824,1118,5433,16296,1041,184,2007/07/03
1,2007/07/04,641,964,445,882,833,460,222,1073741824,2259,3923,-325,152,185,2007/07/04
1,2007/07/12,772,1321,826,1013,1178,882,395,1073741824,2111,1786,-824,208,199,2007/07/18
1,2007/07/20,216,765,99,410,706,386,194,1073741824,2328,2925,-1159,216,208,2007/07/27
1,2007/07/28,251,1793,162,505,1643,1059,375,1073741824,2603,4692,-1139,208,210,2007/07/29
1,2007/08/05,392,765,233,476,872,540,301,1073741824,2271,481,-2204,80,222,2007/08/10
1,2007/08/13,513,1546,559,731,1401,929,419,1073741824,1819,4837,14349,216,225,2007/08/13
1,2007/08/21,389,1405,264,571,1394,924,460,1073741824,2570,472,-3132,216,238,2007/08/26
1,2007/08/29,271,659,209,412,727,467,209,1073741824,2424,3181,13643,220,243,2007/08/31
1,2007/09/06,736,795,436,891,705,396,156,1073741824,2553,4100,13000,208,250,2007/09/07
1,2007/09/14,768,2089,401,924,2105,1532,747,1073741824,3089,855,13223,216,261,2007/09/18
1,2007/09/22,1102,699,565,1182,568,404,159,1073741824,3247,2100,12518,216,268,2007/09/25
1,2007/09/30,526,1804,274,676,1858,1240,575,1073741824,3601,855,12415,152,277,2007/10/04
1,2007/10/08,1146,884,605,1139,318,444,214,1075576832,3787,2082,11929,152,284,2007/10/11
1,2007/10/16,936,1821,499,1041,1705,1196,637,1073741824,4330,4703,-5227,218,290,2007/10/17
1,2007/10/24,783,1639,430,826,1684,1160,573,1073741824,4323,2017,11601,216,300,2007/10/27
1,2007/11/01,897,1537,475,874,1642,1255,644,1073741824,4510,3096,11494,144,307,2007/11/03
1,2007/11/09,1250,1081,625,1182,736,496,260,1073741824,4804,1962,11515,218,316,2007/11/12
1,2007/11/17,1489,1088,713,1309,685,487,272,1073741824,5066,728,11661,152,325,2007/11/21
1,2007/11/25,927,1916,502,829,1295,1684,1025,1075576832,5179,1990,11399,154,332,2007/11/28
1,2007/12/03,1453,1623,766,1301,1315,1176,659,1073741824,5364,746,11855,218,341,2007/12/07
1,2007/12/11,1393,1654,695,1219,1359,1165,659,1073741824,5406,2008,11600,218,348,2007/12/14
1,2007/12/19,1167,1702,589,1007,1676,1531,850,1073741824,5344,4797,11448,218,353,2007/12/19
1,2007/12/27,985,1664,511,869,1978,1677,1143,1073741824,5543,554,-5661,154,1,2007/01/01
2,2007/01/01,1773,1890,1632,1808,1766,1792,1219,1073741824,5253,5422,11671,1050,8,2007/01/08
2,2007/01/09,1166,1573,620,1062,1719,1482,946,1073741824,5664,3923,-5507,208,9,2007/01/09
2,2007/01/17,458,350,360,698,-9,2165,1324,1077149697,4990,5433,11881,8221,24,2007/01/24
2,2007/01/25,1060,1566,509,875,1838,1649,1078,1073741824,5078,2035,12412,154,28,2007/01/28
2,2007/02/02,1183,1914,610,1013,2225,2112,1456,1073741824,5325,4713,-4913,218,34,2007/02/03
