8,10.865556,-3.072778,17,7,837,1096
9,13.2829,30.4783,20,7,1159,806
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
8,2000/03/05,15700,0,109,62,14742,0,228,78,246,248,255,223,N\A
8,2000/03/13,15668,0,109,60,14740,0,226,60,246,248,14,172,N\A
8,2000/03/21,16027,0,110,81,14714,0,227,72,246,248,59,31,N\A
8,2000/03/29,15745,0,107,48,14920,0,224,32,246,248,74,132,N\A
8,2000/04/06,16047,0,109,62,14943,0,226,62,246,248,129,64,N\A
8,2000/04/14,16090,0,109,63,14873,0,226,57,246,248,66,33,N\A
8,2000/04/22,0,2,255,255,14830,0,223,25,246,248,0,2,N\A
8,2000/04/30,15905,65,110,84,14922,0,225,47,246,248,64,164,N\A
8,2000/05/08,15300,65,112,98,14891,0,229,94,246,248,130,208,N\A
8,2000/05/16,15651,0,106,30,14934,0,223,25,246,248,10,5,N\A
8,2000/05/24,15282,0,105,21,14850,0,225,43,246,248,20,66,N\A
8,2000/06/01,15114,65,110,74,14843,0,228,90,246,248,94,138,N\A
8,2000/06/09,15028,0,107,49,14804,0,226,66,246,247,83,70,N\A
8,2000/06/17,15002,65,109,60,14833,0,225,48,246,248,14,128,N\A
8,2000/06/25,15198,65,108,61,14777,0,225,47,246,248,13,46,N\A
8,2000/07/03,14988,65,112,107,14739,0,227,71,246,248,16,38,N\A
8,2000/07/11,15149,65,106,29,14665,65,230,111,246,248,4,4,N\A
8,2000/07/19,14825,65,112,106,14726,0,220,3,247,248,16,16,N\A
8,2000/07/27,14906,65,111,83,14788,0,227,75,246,248,38,80,N\A
