8,10.865556,-3.072778,17,7,837,1096
9,13.2829,30.4783,20,7,1159,806

No data
No dataid,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
8,2002/07/04,0,2,255,255,14796,0,19,95,246,248,0,2,N\A
8,2002/07/12,15217,0,133,47,14769,0,17,60,246,248,128,14,N\A
8,2002/07/20,15133,65,137,90,14729,0,17,73,245,247,16,161,N\A
8,2002/07/28,15067,65,132,34,0,2,255,255,246,248,1,0,N\A
8,2002/08/05,14877,65,129,8,14786,0,15,41,246,248,1,18,N\A
8,2002/08/13,15075,65,133,46,14786,0,14,30,246,248,128,10,N\A
8,2002/08/21,14980,65,134,69,14730,0,15,45,246,247,28,52,N\A
8,2002/08/29,15121,65,133,49,14674,65,13,19,246,248,60,8,N\A
8,2002/09/06,14973,65,135,74,14730,0,15,47,246,248,22,53,N\A
8,2002/09/14,15004,65,130,22,14764,0,14,29,246,248,148,10,N\A
8,2002/09/22,15182,65,132,41,14735,0,16,55,246,248,26,247,N\A
8,2002/09/30,14864,65,133,55,14634,0,14,30,245,247,140,10,N\A
8,2002/10/08,15173,65,136,88,14720,65,12,12,246,248,84,16,N\A
8,2002/10/16,15343,65,135,75,14709,65,15,51,246,248,168,122,N\A
8,2002/10/24,15571,0,135,71,14644,0,18,70,246,248,222,135,N\A
8,2002/11/01,15631,0,135,76,14577,0,14,30,246,248,139,10,N\A
8,2002/11/09,15794,0,136,78,14639,0,14,40,246,248,223,244,N\A
8,2002/11/17,15905,0,134,60,14539,0,17,67,246,248,190,124,N\A
8,2002/11/25,15827,0,135,73,14419,0,16,62,246,248,219,127,N\A
8,2002/12/03,15807,0,133,53,14451,65,20,103,246,248,54,84,N\A
8,2002/12/11,15868,0,135,73,14552,0,16,53,246,248,216,253,N\A
8,2002/12/19,15993,0,133,57,14484,0,17,63,246,248,191,126,N\A
8,2002/12/27,16013,0,134,59,14430,0,17,67,246,248,30,31,N\A
8,2003/01/01,16076,0,134,66,14403,0,17,64,246,248,254,247,N\A
8,2003/01/09,15928,0,135,77,14444,0,14,37,246,248,61,171,N\A
8,2003/01/17,15846,0,135,78,14542,65,18,73,246,248,112,144,N\A
8,2003/01/25,15993,0,135,69,14443,65,17,67,246,248,253,248,N\A
8,2003/02/02,16211,0,134,66,14628,0,17,65,246,248,254,247,N\A
8,2003/02/10,16071,65,132,45,14745,0,18,84,247,248,69,2,N\A
8,2003/02/18,16329,0,134,58,14691,0,15,41,246,248,58,16,N\A
8,2003/02/26,15994,0,136,80,14517,0,17,68,246,248,188,248,N\A
8,2003/03/06,16004,0,134,66,14567,0,16,58,246,248,74,119,N\A
8,2003/03/14,16404,0,135,68,14517,65,18,73,246,248,29,58,N\A
8,2003/03/22,15923,0,134,58,14656,0,17,64,246,248,96,196,N\A
8,2003/03/30,16222,0,136,82,14784,0,18,77,245,247,13,91,N\A
8,2003/04/07,16038,0,136,82,14877,0,17,72,246,248,66,148,N\A
8,2003/04/15,0,2,255,255,14909,65,12,12,246,248,0,128,N\A
8,2003/04/23,16110,0,136,82,14666,0,18,82,246,248,66,224,N\A
8,2003/05/01,16290,0,133,50,14890,0,18,71,246,248,21,240,N\A
8,2003/05/09,15923,65,137,98,14916,0,19,86,245,247,70,49,N\A
8,2003/05/17,15867,65,135,77,14771,65,21,106,246,248,1,18,N\A
8,2003/05/25,0,2,255,255,0,2,255,255,0,0,0,0,N\A
8,2003/06/02,15296,65,136,81,0,2,255,255,245,247,165,0,N\A
8,2003/06/10,15405,0,134,59,14775,0,20,98,246,248,98,164,N\A
8,2003/06/18,15241,0,132,43,14854,0,17,69,246,248,65,10,N\A
8,2003/06/26,14964,129,141,129,14710,0,17,65,247,249,4,196,N\A
8,2003/07/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
8,2003/07/12,0,2,255,255,14845,0,15,41,246,248,0,16,N\A
8,2003/07/20,15034,65,134,64,14758,65,20,90,246,247,228,24,N\A
8,2003/07/28,0,2,255,255,14709,65,16,54,246,248,0,50,N\A
8,2003/08/05,15061,65,135,70,14376,65,23,126,247,248,49,16,N\A
8,2003/08/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
8,2003/08/21,15004,65,133,47,14711,0,18,79,246,247,4,50,N\A
8,2003/08/29,14916,0,128,3,0,2,255,255,246,248,128,0,N\A
8,2003/09/06,15034,65,139,118,0,2,255,255,246,248,40,0,N\A
8,2003/09/14,14887,65,138,111,14655,65,15,41,246,248,80,16,N\A
8,2003/09/22,15139,65,135,68,14836,0,14,29,245,247,48,32,N\A
8,2003/09/30,15221,0,132,37,14689,65,16,63,246,248,42,38,N\A
8,2003/10/08,15372,65,135,65,14744,0,17,66,246,248,28,104,N\A
8,2003/10/16,15338,65,135,67,14866,0,16,55,246,248,252,208,N\A
8,2003/10/24,15424,0,133,54,14772,0,17,70,246,248,117,194,N\A
8,2003/11/01,15400,65,134,58,14755,65,18,78,246,248,58,149,N\A
8,2003/11/09,15819,0,135,68,14637,0,16,60,246,248,180,226,N\A
8,2003/11/17,15671,65,135,69,14565,65,19,86,246,248,110,225,N\A
8,2003/11/25,15938,0,134,66,14456,0,17,62,246,248,125,186,N\A
8,2003/12/03,15668,0,135,68,14435,0,15,51,246,248,252,118,N\A
8,2003/12/11,15879,0,135,77,14419,0,15,50,246,248,237,235,N\A
8,2003/12/19,15901,0,135,75,14519,0,17,73,246,248,222,183,N\A
8,2003/12/27,15997,0,133,50,14504,65,19,89,246,248,21,26,N\A
8,2004/01/01,15946,0,136,79,14463,0,16,56,246,248,247,190,N\A
8,2004/01/09,15953,0,135,71,14546,65,17,66,246,248,110,222,N\A
8,2004/01/17,15799,0,136,86,0,2,255,255,246,248,183,0,N\A
8,2004/01/25,16182,0,134,63,14577,0,18,71,246,248,238,210,N\A
8,2004/02/02,15938,0,136,88,14587,0,15,52,246,248,21,191,N\A
8,2004/02/10,15863,0,133,50,14665,0,16,58,246,248,15,27,N\A
8,2004/02/18,16075,0,136,82,14540,65,16,59,246,248,209,187,N\A
8,2004/02/26,15892,65,134,65,14638,0,22,121,245,247,11,1,N\A
8,2004/03/05,15577,0,136,79,14583,0,15,41,246,248,247,189,N\A
8,2004/03/13,16129,0,133,49,14510,0,18,72,246,248,47,207,N\A
8,2004/03/21,16309,0,134,62,14912,0,16,55,245,247,16,160,N\A
8,2004/03/29,15931,0,135,65,14783,0,23,126,246,248,224,128,N\A
8,2004/04/06,16096,65,135,79,14974,0,17,70,246,247,131,35,N\A
8,2004/04/14,15705,65,135,76,14894,65,22,121,245,247,8,1,N\A
8,2004/04/22,15457,0,132,34,14823,0,14,28,246,248,64,1,N\A
8,2004/04/30,15557,0,136,90,14951,0,18,83,246,248,10,16,N\A
8,2004/05/08,15597,65,134,62,14922,0,17,73,246,248,87,46,N\A
8,2004/05/16,15279,65,137,102,14741,0,13,20,246,248,2,2,N\A
8,2004/05/24,15842,65,134,63,14604,0,15,47,245,247,16,161,N\A
8,2004/06/01,15308,0,132,37,14626,0,18,84,246,248,160,16,N\A
8,2004/06/09,15263,65,133,54,14738,0,17,63,246,248,22,9,N\A
8,2004/06/17,15373,0,133,58,14748,0,17,64,246,248,46,15,N\A
8,2004/06/25,15567,0,135,77,14841,0,16,56,246,248,20,160,N\A
8,2004/07/03,15212,65,139,113,14726,0,11,6,246,248,66,8,N\A
8,2004/07/11,15039,65,136,88,14670,65,13,28,246,248,21,52,N\A
8,2004/07/19,14969,65,133,51,0,2,255,255,246,248,136,0,N\A
8,2004/07/27,14906,65,134,64,14783,0,15,40,246,248,130,128,N\A
8,2004/08/04,15074,0,133,47,0,2,255,255,246,248,32,0,N\A
8,2004/08/12,0,2,255,255,14819,0,16,55,246,248,0,160,N\A
8,2004/08/20,14853,65,132,36,0,2,255,255,245,247,160,0,N\A
8,2004/08/28,15023,65,134,63,14831,0,17,69,246,248,198,32,N\A
8,2004/09/05,15045,65,134,58,14572,65,23,126,246,248,3,128,N\A
8,2004/09/13,14972,0,132,35,14687,0,14,28,245,247,18,1,N\A
8,2004/09/21,15138,65,136,83,14705,65,18,83,246,248,194,16,N\A
8,2004/09/29,15243,65,136,86,14695,0,16,52,246,248,244,167,N\A
8,2004/10/07,15445,0,134,56,14698,0,16,51,246,248,239,202,N\A
8,2004/10/15,15463,0,135,73,14743,0,18,74,246,248,246,162,N\A
8,2004/10/23,15429,0,132,38,14697,0,19,95,246,248,167,20,N\A
8,2004/10/31,15465,65,132,35,14734,65,18,71,246,248,82,3,N\A
8,2004/11/08,15625,0,133,50,14410,65,16,65,246,248,174,28,N\A
8,2004/11/16,15783,0,136,78,14582,65,15,40,246,248,247,189,N\A
8,2004/11/24,15630,0,134,65,14532,0,18,73,246,248,235,223,N\A
8,2004/12/02,15807,0,135,73,14541,0,14,41,246,248,119,61,N\A
8,2004/12/10,15864,0,133,56,14680,0,16,52,246,248,239,82,N\A
8,2004/12/18,16014,0,136,83,14598,0,15,49,246,248,213,173,N\A
8,2004/12/26,15880,0,133,49,14597,65,18,74,246,248,47,19,N\A
8,2005/01/01,15596,0,135,70,14563,0,16,55,246,248,95,247,N\A
8,2005/01/09,15591,0,135,69,14453,0,17,62,246,248,163,66,N\A
8,2005/01/17,15851,0,136,78,14497,0,15,43,246,248,223,245,N\A
8,2005/01/25,15809,0,134,66,14740,0,18,84,245,247,175,64,N\A
8,2005/02/02,15611,0,136,78,14596,0,17,68,246,248,223,159,N\A
8,2005/02/10,15816,0,137,98,14619,65,20,104,246,248,34,84,N\A
8,2005/02/18,16074,0,137,93,14775,0,19,87,246,248,65,163,N\A
8,2005/02/26,15254,65,133,47,14556,0,22,121,247,248,128,4,N\A
8,2005/03/06,16085,0,135,76,14617,0,15,46,246,248,80,89,N\A
8,2005/03/14,16114,0,132,36,14655,0,13,33,246,247,180,184,N\A
8,2005/03/22,15976,65,137,90,14823,65,19,84,246,248,199,131,N\A
8,2005/03/30,15895,65,133,48,14841,0,17,64,246,248,128,36,N\A
8,2005/04/07,16319,65,134,62,14939,0,16,55,246,248,64,1,N\A
8,2005/04/15,0,2,255,255,14925,0,18,84,245,247,0,64,N\A
8,2005/04/23,15100,65,134,62,14824,0,17,69,246,248,64,128,N\A
8,2005/05/01,15545,0,135,69,14796,0,20,103,246,248,163,84,N\A
8,2005/05/09,15767,0,136,86,14834,0,18,73,246,248,68,45,N\A
8,2005/05/17,15946,65,133,52,14697,0,20,106,246,248,161,16,N\A
8,2005/05/25,15739,0,134,62,14841,0,17,62,246,248,64,165,N\A
8,2005/06/02,14949,65,132,43,14634,0,20,106,246,248,176,16,N\A
8,2005/06/10,15308,0,135,77,14766,0,17,65,245,247,80,152,N\A
8,2005/06/18,14922,65,131,26,14739,0,17,63,246,248,144,66,N\A
8,2005/06/26,15226,65,134,62,14701,0,17,64,246,248,64,24,N\A
8,2005/07/04,14956,65,132,35,14734,0,17,63,246,248,1,24,N\A
8,2005/07/12,15128,65,138,107,14580,65,9,0,246,247,17,64,N\A
8,2005/07/20,14806,65,139,118,14648,0,22,121,247,248,2,4,N\A
8,2005/07/28,14972,65,137,94,14655,65,16,56,246,248,208,199,N\A
8,2005/08/05,0,2,255,255,0,2,255,255,0,0,0,0,N\A
8,2005/08/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
8,2005/08/21,15101,65,133,48,14629,0,11,6,246,248,128,32,N\A
8,2005/08/29,0,2,255,255,14756,65,16,49,245,247,0,132,N\A
8,2005/09/06,15128,65,132,43,14759,0,20,104,246,248,176,84,N\A
8,2005/09/14,15282,65,137,101,14772,0,17,63,246,248,20,36,N\A
8,2005/09/22,14942,65,135,76,14821,0,15,40,246,248,139,2,N\A
8,2005/09/30,14828,0,130,17,14768,65,16,60,246,248,10,37,N\A
8,2005/10/08,15418,0,134,67,14765,0,13,23,246,248,59,34,N\A
8,2005/10/16,15478,0,133,46,14637,65,15,47,246,248,90,214,N\A
8,2005/10/24,15696,65,134,66,14711,0,17,62,246,248,175,90,N\A
8,2005/11/01,15728,0,137,94,14699,0,17,63,246,248,208,153,N\A
8,2005/11/09,15796,0,133,49,14516,0,17,62,246,248,183,126,N\A
8,2005/11/17,15856,0,136,83,14599,0,19,92,246,248,217,171,N\A
8,2005/11/25,15699,0,134,60,14697,0,16,62,246,248,190,102,N\A
8,2005/12/03,15869,0,136,78,14498,0,16,62,246,248,223,255,N\A
8,2005/12/11,16071,0,133,46,14556,0,17,62,246,248,189,126,N\A
8,2005/12/19,16058,0,137,90,14528,0,17,71,246,248,215,191,N\A
8,2005/12/27,15831,0,133,54,14531,0,18,72,246,247,31,30,N\A
8,2006/01/01,15950,0,135,69,14423,0,15,43,246,248,253,43,N\A
8,2006/01/09,15932,0,134,58,14552,0,17,65,246,248,238,196,N\A
8,2006/01/17,15991,0,135,69,14473,65,17,64,246,248,253,209,N\A
8,2006/01/25,16129,0,134,66,14562,0,17,68,246,248,206,135,N\A
8,2006/02/02,16243,0,134,62,14567,65,17,66,246,248,221,121,N\A
8,2006/02/10,15884,0,137,90,14622,0,14,32,246,248,18,86,N\A
8,2006/02/18,16199,0,133,56,14640,0,19,85,246,248,244,208,N\A
8,2006/02/26,16301,0,134,58,14633,0,18,82,246,248,238,229,N\A
8,2006/03/06,16346,0,136,84,14607,0,17,65,246,248,129,75,N\A
8,2006/03/14,16007,0,137,89,14705,0,16,61,246,248,94,69,N\A
8,2006/03/22,16258,0,135,73,14673,0,18,70,246,248,157,56,N\A
8,2006/03/30,15893,65,131,25,14820,0,15,44,246,248,40,68,N\A
8,2006/04/07,16243,65,136,79,14837,0,14,67,246,248,189,248,N\A
8,2006/04/15,15947,65,132,34,14826,0,16,58,245,247,8,65,N\A
8,2006/04/23,15791,65,135,69,14890,0,12,11,246,248,132,128,N\A
8,2006/05/01,0,2,255,255,0,2,255,255,0,0,0,0,N\A
8,2006/05/09,16047,65,133,47,14838,0,14,33,246,248,4,136,N\A
8,2006/05/17,15910,65,134,62,0,2,255,255,247,248,2,0,N\A
8,2006/05/25,15322,65,132,37,14897,65,16,54,246,248,81,8,N\A
8,2006/06/02,15341,65,134,62,14790,0,19,95,246,248,2,37,N\A
8,2006/06/10,15110,65,135,71,14618,0,20,98,246,248,133,88,N\A
8,2006/06/18,15342,65,137,94,14804,0,19,90,246,249,82,133,N\A
8,2006/06/26,15042,0,134,59,14744,0,17,70,246,248,193,194,N\A
8,2006/07/04,15094,65,134,61,14831,0,18,73,246,248,144,144,N\A
8,2006/07/12,15204,65,134,51,14737,0,14,33,246,248,17,163,N\A
8,2006/07/20,14919,65,134,61,14746,65,20,107,247,248,144,128,N\A
8,2006/07/28,0,2,255,255,14729,0,11,6,246,248,0,1,N\A
8,2006/08/05,15081,65,132,26,0,2,255,255,247,249,40,0,N\A
8,2006/08/13,15044,65,134,50,14747,65,15,42,245,247,21,40,N\A
8,2006/08/21,14980,65,134,51,14768,0,19,96,246,248,104,1,N\A
8,2006/08/29,15045,0,134,48,14756,0,14,29,246,248,112,32,N\A
8,2006/09/06,14915,65,140,119,0,2,255,255,245,247,16,0,N\A
8,2006/09/14,15048,65,136,72,14741,0,13,18,246,248,156,33,N\A
8,2006/09/22,15182,0,136,68,14769,0,16,52,246,248,120,81,N\A
8,2006/09/30,15205,65,135,64,14721,0,15,50,246,248,145,97,N\A
8,2006/10/08,15000,65,133,35,14756,0,20,107,246,248,8,128,N\A
8,2006/10/16,15516,65,135,67,14680,65,16,52,246,248,229,224,N\A
8,2006/10/24,15377,65,133,46,14730,0,18,72,246,248,226,240,N\A
8,2006/11/01,15711,0,136,68,14648,0,16,61,246,248,252,251,N\A
8,2006/11/09,15746,0,135,60,14584,65,17,64,246,248,190,247,N\A
8,2006/11/17,15821,0,136,69,14420,0,16,61,246,248,253,251,N\A
8,2006/11/25,15951,0,135,71,14370,0,17,65,246,248,210,247,N\A
8,2006/12/03,15767,0,136,69,14403,0,16,61,246,248,253,251,N\A
8,2006/12/11,15827,0,134,56,14497,65,16,59,246,248,250,246,N\A
8,2006/12/19,16082,0,136,69,14423,0,16,61,246,247,253,251,N\A
8,2006/12/27,15868,0,137,75,14427,0,15,51,246,248,14,23,N\A
8,2007/01/01,15395,0,136,65,14405,65,20,98,246,248,224,213,N\A
8,2007/01/09,15670,0,137,82,14533,0,16,60,246,248,231,175,N\A
8,2007/01/17,15823,0,134,56,14456,0,17,65,246,248,239,95,N\A
8,2007/01/25,16154,0,137,86,14401,0,16,56,246,248,117,155,N\A
8,2007/02/02,16149,0,134,56,14493,0,16,54,246,248,239,94,N\A
8,2007/02/10,16117,0,138,91,14570,0,15,52,246,248,245,191,N\A
8,2007/02/18,16044,0,135,66,14399,65,19,86,246,248,235,199,N\A
8,2007/02/26,16065,0,136,71,14633,0,15,52,246,248,215,191,N\A
8,2007/03/06,16268,0,133,45,14426,65,19,86,246,248,175,199,N\A
8,2007/03/14,16040,0,137,84,14727,0,16,49,246,248,113,135,N\A
8,2007/03/22,15906,0,130,10,14642,0,18,84,246,248,5,16,N\A
8,2007/03/30,15423,0,135,62,14751,0,17,69,246,248,16,32,N\A
8,2007/04/07,15826,0,133,40,14878,0,15,44,246,248,12,24,N\A
8,2007/04/15,15489,0,135,62,14760,0,14,35,246,248,16,48,N\A
8,2007/04/23,15454,65,134,46,0,2,255,255,246,248,9,0,N\A
8,2007/05/01,15617,65,137,90,14841,0,19,96,246,248,4,8,N\A
8,2007/05/09,15597,65,138,102,0,2,255,255,245,247,2,0,N\A
8,2007/05/17,0,2,255,255,14803,0,16,56,246,248,0,134,N\A
8,2007/05/25,15647,0,132,24,14723,65,20,106,246,248,128,4,N\A
8,2007/06/02,15791,65,133,35,14793,0,16,55,246,248,64,137,N\A
8,2007/06/10,15879,0,135,62,14684,0,19,94,246,248,40,69,N\A
8,2007/06/18,15296,0,137,87,14709,0,16,56,246,248,17,39,N\A
8,2007/06/26,0,2,255,255,14781,0,13,19,246,247,0,2,N\A
8,2007/07/04,15051,65,134,54,14719,0,17,63,246,248,22,9,N\A
8,2007/07/12,15166,65,134,54,0,2,255,255,246,248,35,0,N\A
8,2007/07/20,15149,65,136,69,0,2,255,255,245,247,81,0,N\A
8,2007/07/28,0,2,255,255,14733,0,20,106,246,248,0,4,N\A
8,2007/08/05,0,2,255,255,14806,65,18,83,246,249,0,40,N\A
8,2007/08/13,15241,65,139,101,14813,65,16,55,247,248,72,64,N\A
8,2007/08/21,15075,65,135,62,14597,65,12,12,246,248,16,4,N\A
8,2007/08/29,15278,65,134,48,0,2,255,255,246,248,32,0,N\A
8,2007/09/06,15253,0,137,77,14705,65,12,12,246,248,192,4,N\A
8,2007/09/14,15126,0,134,49,14834,65,18,84,246,248,237,16,N\A
8,2007/09/22,15281,65,136,71,14719,65,17,71,246,247,215,26,N\A
8,2007/09/30,15304,65,134,53,14820,0,17,66,246,248,231,86,N\A
8,2007/10/08,15710,0,137,82,14686,0,16,55,246,248,209,160,N\A
8,2007/10/16,15666,65,134,55,14753,0,18,82,246,248,139,7,N\A
8,2007/10/24,15861,0,136,81,0,2,255,255,246,248,196,0,N\A
8,2007/11/01,15684,0,135,65,14673,0,17,69,246,248,235,83,N\A
8,2007/11/09,15871,0,134,54,14620,65,17,69,246,248,83,171,N\A
8,2007/11/17,15867,0,135,66,14587,0,16,62,246,247,206,92,N\A
8,2007/11/25,15827,0,140,110,14628,65,18,74,246,248,36,162,N\A
8,2007/12/03,15757,0,135,60,14434,65,23,126,246,248,201,128,N\A
8,2007/12/11,16087,0,135,71,14562,0,15,51,246,248,215,191,N\A
8,2007/12/19,15941,0,135,65,14520,0,18,73,246,248,235,223,N\A
8,2007/12/27,15946,0,135,68,14405,0,17,62,246,248,23,15,N\A
8,2008/01/01,15728,0,136,74,14367,0,17,63,246,248,125,253,N\A
8,2008/01/09,16040,0,135,64,14487,65,14,34,246,248,185,232,N\A
8,2008/01/17,15809,0,133,46,14473,0,17,67,246,248,122,249,N\A
8,2008/01/25,15914,0,135,67,14434,0,16,62,246,248,191,254,N\A
8,2008/02/02,16003,0,135,69,14531,0,16,60,246,248,127,125,N\A
8,2008/02/10,16084,0,136,77,14597,0,16,62,246,248,175,254,N\A
8,2008/02/18,15929,0,135,69,14628,0,17,64,246,248,115,253,N\A
8,2008/02/26,16088,0,135,67,14510,0,18,72,246,248,191,126,N\A
8,2008/03/05,16155,0,135,58,14473,0,19,90,246,248,90,44,N\A
8,2008/03/13,15869,0,136,65,14592,0,16,56,246,248,135,46,N\A
8,2008/03/21,15564,0,132,40,14326,65,16,65,246,248,96,224,N\A
8,2008/03/29,16154,0,134,53,14622,0,16,60,246,248,151,134,N\A
8,2008/04/06,16117,0,136,69,14645,0,17,67,246,248,94,248,N\A
8,2008/04/14,15973,0,136,69,14828,0,18,75,246,248,33,66,N\A
8,2008/04/22,0,2,255,255,14980,65,17,62,246,248,0,132,N\A
8,2008/04/30,16252,65,135,59,14835,0,13,27,246,248,164,130,N\A
8,2008/05/08,15739,65,136,77,14916,65,22,121,246,247,64,8,N\A
8,2008/05/16,15395,0,136,76,14682,0,17,64,246,248,160,132,N\A
8,2008/05/24,15847,65,131,16,14775,65,13,19,246,248,8,16,N\A
8,2008/06/01,15652,0,132,29,14798,65,17,70,246,248,17,244,N\A
