site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,15.502,120.90471,29,7,780,539
2,15.58777,120.85976,29,7,769,529
3,15.67305,120.89684,29,7,768,519
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2013/01/01,37,6,0,136,4,1,N\A
1,2013/01/09,57,12,0,136,3,1,N\A
1,2013/01/17,60,12,0,136,3,1,N\A
1,2013/01/25,71,17,0,128,2,1,N\A
1,2013/02/02,75,19,0,128,0,0,N\A
1,2013/02/10,76,20,0,128,2,1,N\A
1,2013/02/18,27,5,8,176,6,1,N\A
1,2013/02/26,67,18,0,136,3,2,N\A
1,2013/03/06,61,15,0,192,3,1,N\A
1,2013/03/14,52,11,0,128,0,0,N\A
1,2013/03/22,48,10,16,128,4,1,N\A
1,2013/03/30,43,9,0,136,0,0,N\A
1,2013/04/07,39,7,16,192,5,1,N\A
1,2013/04/15,36,7,8,200,5,1,N\A
1,2013/04/23,36,7,16,136,5,1,N\A
1,2013/05/01,38,7,8,128,5,1,N\A
1,2013/05/09,30,5,8,160,5,1,N\A
1,2013/05/17,35,7,8,192,5,1,N\A
1,2013/05/25,41,9,8,136,0,0,N\A
1,2013/06/02,35,8,0,128,4,1,N\A
1,2013/06/10,22,4,8,176,5,1,N\A
1,2013/06/18,24,4,8,160,5,1,N\A
1,2013/06/26,23,4,8,176,5,1,N\A
1,2013/07/04,18,3,8,128,0,0,N\A
1,2013/07/12,19,3,8,176,0,0,N\A
1,2013/07/20,19,4,8,160,4,1,N\A
1,2013/07/28,29,6,8,200,1,0,N\A
1,2013/08/05,35,9,8,200,3,1,N\A
1,2013/08/13,26,5,8,160,6,1,N\A
1,2013/08/21,20,3,8,160,0,0,N\A
1,2013/08/29,65,17,0,128,2,1,N\A
1,2013/09/06,69,22,8,192,4,3,N\A
1,2013/09/14,48,10,8,176,4,1,N\A
1,2013/09/22,44,12,0,192,3,1,N\A
1,2013/09/30,61,15,16,160,3,1,N\A
1,2013/10/08,43,9,0,192,3,1,N\A
1,2013/10/16,48,11,0,192,5,2,N\A
1,2013/10/24,36,7,0,200,5,1,N\A
1,2013/11/01,31,5,8,176,6,1,N\A
1,2013/11/09,33,7,0,128,4,1,N\A
1,2013/11/17,33,5,0,136,6,1,N\A
1,2013/11/25,38,6,8,160,0,0,N\A
1,2013/12/03,30,5,16,136,6,1,N\A
1,2013/12/11,14,2,16,128,7,1,N\A
1,2013/12/19,8,1,8,160,0,0,N\A
1,2013/12/27,22,3,0,136,0,0,N\A
2,2013/01/01,24,3,16,200,0,0,N\A
2,2013/01/09,23,3,16,136,0,0,N\A
2,2013/01/17,26,4,0,128,6,1,N\A
2,2013/01/25,38,7,0,128,5,1,N\A
2,2013/02/02,65,14,0,136,3,1,N\A
2,2013/02/10,72,17,0,128,2,1,N\A
2,2013/02/18,48,10,8,160,4,1,N\A
2,2013/02/26,78,27,0,128,3,3,N\A
2,2013/03/06,80,28,0,200,3,4,N\A
2,2013/03/14,73,22,0,128,3,2,N\A
2,2013/03/22,69,20,0,128,2,2,N\A
2,2013/03/30,62,16,0,128,4,2,N\A
2,2013/04/07,55,12,0,128,3,1,N\A
2,2013/04/15,39,7,8,136,5,1,N\A
2,2013/04/23,30,6,16,192,7,2,N\A
2,2013/05/01,36,7,8,128,5,1,N\A
2,2013/05/09,31,6,8,176,6,2,N\A
2,2013/05/17,35,7,8,192,5,1,N\A
2,2013/05/25,33,7,8,160,4,1,N\A
2,2013/06/02,36,8,0,128,1,0,N\A
2,2013/06/10,32,6,8,192,0,0,N\A
2,2013/06/18,25,5,8,160,6,1,N\A
2,2013/06/26,27,5,8,176,5,1,N\A
2,2013/07/04,30,6,16,128,1,0,N\A
2,2013/07/12,36,7,8,176,5,1,N\A
2,2013/07/20,49,13,0,128,3,1,N\A
2,2013/07/28,65,17,16,136,2,1,N\A
2,2013/08/05,61,19,8,200,4,2,N\A
2,2013/08/13,13,2,105,176,248,248,N\A
2,2013/08/21,32,6,8,160,0,0,N\A
2,2013/08/29,57,15,16,160,3,1,N\A
2,2013/09/06,67,21,16,192,3,2,N\A
2,2013/09/14,26,5,8,160,6,1,N\A
2,2013/09/22,49,12,8,192,3,1,N\A
2,2013/09/30,33,6,8,176,0,0,N\A
2,2013/10/08,36,7,8,192,5,1,N\A
2,2013/10/16,36,7,16,128,5,1,N\A
2,2013/10/24,35,7,0,128,4,1,N\A
2,2013/11/01,37,6,16,176,0,0,N\A
2,2013/11/09,38,8,0,128,4,1,N\A
2,2013/11/17,42,7,0,128,5,1,N\A
2,2013/11/25,45,8,0,128,4,1,N\A
2,2013/12/03,42,7,0,128,5,1,N\A
2,2013/12/11,37,6,16,128,0,0,N\A
2,2013/12/19,28,4,16,136,6,1,N\A
2,2013/12/27,22,3,0,128,0,0,N\A
3,2013/01/01,23,3,8,136,0,0,N\A
3,2013/01/09,15,2,0,136,8,1,N\A
3,2013/01/17,22,3,0,136,0,0,N\A
3,2013/01/25,22,3,0,128,0,0,N\A
3,2013/02/02,51,10,0,136,4,1,N\A
3,2013/02/10,66,15,0,128,3,1,N\A
3,2013/02/18,42,9,8,192,4,1,N\A
3,2013/02/26,73,24,0,128,3,2,N\A
3,2013/03/06,76,25,0,192,3,3,N\A
3,2013/03/14,75,23,0,128,3,2,N\A
3,2013/03/22,64,19,0,128,3,2,N\A
3,2013/03/30,64,16,0,128,4,2,N\A
3,2013/04/07,50,13,0,128,4,2,N\A
3,2013/04/15,45,10,0,128,4,1,N\A
3,2013/04/23,38,8,16,136,6,2,N\A
3,2013/05/01,39,7,8,128,5,1,N\A
3,2013/05/09,26,5,8,176,6,1,N\A
3,2013/05/17,36,7,8,192,5,1,N\A
3,2013/05/25,35,7,8,160,5,1,N\A
3,2013/06/02,32,7,0,128,4,1,N\A
3,2013/06/10,27,5,8,176,6,1,N\A
3,2013/06/18,21,4,16,128,4,1,N\A
3,2013/06/26,26,5,0,128,5,1,N\A
3,2013/07/04,15,3,8,200,6,1,N\A
3,2013/07/12,19,3,8,176,0,0,N\A
3,2013/07/20,28,5,8,176,5,1,N\A
3,2013/07/28,40,8,8,136,1,0,N\A
3,2013/08/05,44,12,16,200,3,1,N\A
3,2013/08/13,13,2,105,176,248,248,N\A
3,2013/08/21,31,7,105,160,248,248,N\A
3,2013/08/29,61,19,0,192,4,2,N\A
3,2013/09/06,63,19,16,128,3,2,N\A
3,2013/09/14,31,6,8,160,0,0,N\A
3,2013/09/22,43,10,16,192,4,1,N\A
3,2013/09/30,51,11,0,200,0,0,N\A
3,2013/10/08,31,6,0,192,4,1,N\A
3,2013/10/16,48,10,16,128,4,1,N\A
3,2013/10/24,37,7,0,128,5,1,N\A
3,2013/11/01,35,6,16,176,4,1,N\A
3,2013/11/09,36,7,0,128,5,1,N\A
3,2013/11/17,37,6,0,128,0,0,N\A
3,2013/11/25,31,5,16,192,7,1,N\A
3,2013/12/03,25,3,8,128,0,0,N\A
3,2013/12/11,22,3,8,192,0,0,N\A
3,2013/12/19,12,2,16,192,7,1,N\A
3,2013/12/27,22,3,0,136,0,0,N\A
