site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,15.502,120.90471,29,7,780,539
2,15.58777,120.85976,29,7,769,529
3,15.67305,120.89684,29,7,768,519
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2009/01/01,15,2,8,160,8,1,N\A
1,2009/01/09,14,2,0,136,7,1,N\A
1,2009/01/17,19,3,8,160,8,1,N\A
1,2009/01/25,45,8,0,136,0,0,N\A
1,2009/02/02,48,9,0,136,4,1,N\A
1,2009/02/10,74,18,0,136,3,2,N\A
1,2009/02/18,80,29,0,128,3,4,N\A
1,2009/02/26,78,25,0,128,3,2,N\A
1,2009/03/06,83,31,0,128,3,3,N\A
1,2009/03/14,70,21,0,128,3,2,N\A
1,2009/03/22,66,22,0,200,4,3,N\A
1,2009/03/30,64,16,0,128,4,2,N\A
1,2009/04/07,42,10,0,192,3,1,N\A
1,2009/04/15,35,7,8,176,5,1,N\A
1,2009/04/23,22,4,8,160,5,1,N\A
1,2009/05/01,35,7,0,128,5,1,N\A
1,2009/05/09,34,7,16,128,4,1,N\A
1,2009/05/17,28,6,8,176,7,2,N\A
1,2009/05/25,35,7,8,128,4,1,N\A
1,2009/06/02,33,8,16,200,4,1,N\A
1,2009/06/10,20,3,16,136,0,0,N\A
1,2009/06/18,6,1,16,160,0,0,N\A
1,2009/06/26,20,3,16,192,0,0,N\A
1,2009/07/04,19,3,8,192,0,0,N\A
1,2009/07/12,15,3,16,160,7,1,N\A
1,2009/07/20,13,2,8,160,7,1,N\A
1,2009/07/28,18,3,8,192,0,0,N\A
1,2009/08/05,16,3,16,192,0,0,N\A
1,2009/08/13,52,12,0,192,3,1,N\A
1,2009/08/21,62,16,16,136,4,2,N\A
1,2009/08/29,36,7,8,176,5,1,N\A
1,2009/09/06,19,4,105,176,248,248,N\A
1,2009/09/14,70,20,0,136,2,1,N\A
1,2009/09/22,43,9,8,160,3,1,N\A
1,2009/09/30,63,16,16,128,4,2,N\A
1,2009/10/08,59,14,0,136,4,2,N\A
1,2009/10/16,38,7,8,192,5,1,N\A
1,2009/11/01,35,7,8,160,4,1,N\A
1,2009/11/09,37,6,8,128,0,0,N\A
1,2009/11/17,34,6,16,128,5,1,N\A
1,2009/11/25,29,5,16,128,6,1,N\A
1,2009/12/03,22,3,0,136,0,0,N\A
1,2009/12/11,12,2,0,200,7,1,N\A
1,2009/12/19,8,1,8,160,0,0,N\A
1,2009/12/27,15,2,0,136,8,1,N\A
2,2009/01/01,23,3,0,136,0,0,N\A
2,2009/01/09,25,4,0,128,5,1,N\A
2,2009/01/17,35,6,16,136,1,0,N\A
2,2009/01/25,46,8,0,136,0,0,N\A
2,2009/02/02,58,13,0,200,3,1,N\A
2,2009/02/10,71,21,0,136,3,2,N\A
2,2009/02/18,77,20,0,192,3,2,N\A
2,2009/02/26,77,27,0,192,4,4,N\A
2,2009/03/06,73,23,0,128,3,2,N\A
2,2009/03/14,62,16,0,128,4,2,N\A
2,2009/03/22,54,15,0,200,3,1,N\A
2,2009/03/30,55,12,0,128,3,1,N\A
2,2009/04/07,34,6,16,128,0,0,N\A
2,2009/04/15,35,7,8,136,4,1,N\A
2,2009/04/23,36,7,8,192,5,1,N\A
2,2009/05/01,32,7,0,128,4,1,N\A
2,2009/05/09,38,8,16,128,4,1,N\A
2,2009/05/17,36,8,8,176,6,2,N\A
2,2009/05/25,44,10,8,128,4,1,N\A
2,2009/06/02,28,6,8,192,7,2,N\A
2,2009/06/10,16,3,16,160,0,0,N\A
2,2009/06/18,11,2,16,160,6,1,N\A
2,2009/06/26,25,5,16,128,6,1,N\A
2,2009/07/04,26,5,16,128,5,1,N\A
2,2009/07/12,35,7,16,200,5,1,N\A
2,2009/07/20,34,8,16,136,0,0,N\A
2,2009/07/28,37,8,16,192,0,0,N\A
2,2009/08/05,28,6,105,176,248,248,N\A
2,2009/08/13,63,17,16,160,2,1,N\A
2,2009/08/21,69,21,0,160,3,2,N\A
2,2009/08/29,54,16,16,200,3,1,N\A
2,2009/09/06,29,6,105,160,248,248,N\A
2,2009/09/14,65,16,0,136,4,2,N\A
2,2009/09/22,54,13,16,192,4,2,N\A
2,2009/09/30,48,10,8,160,4,1,N\A
2,2009/10/08,39,8,16,136,4,1,N\A
2,2009/10/16,27,5,8,176,6,1,N\A
2,2009/11/01,35,7,16,136,4,1,N\A
2,2009/11/09,40,7,0,128,5,1,N\A
2,2009/11/17,43,7,16,128,5,1,N\A
2,2009/11/25,36,6,0,128,0,0,N\A
2,2009/12/03,34,5,0,128,6,1,N\A
2,2009/12/11,33,5,0,128,6,1,N\A
2,2009/12/19,26,4,8,176,5,1,N\A
2,2009/12/27,22,3,0,128,0,0,N\A
3,2009/01/01,8,1,8,160,0,0,N\A
3,2009/01/09,8,1,8,160,0,0,N\A
3,2009/01/17,22,3,16,136,0,0,N\A
3,2009/01/25,22,3,0,128,0,0,N\A
3,2009/02/02,32,5,8,160,7,1,N\A
3,2009/02/10,52,10,0,136,4,1,N\A
3,2009/02/18,74,19,0,136,3,2,N\A
3,2009/02/26,76,23,0,128,2,2,N\A
3,2009/03/06,77,26,0,128,2,2,N\A
3,2009/03/14,68,21,0,128,3,2,N\A
3,2009/03/22,69,24,0,200,4,3,N\A
3,2009/03/30,71,20,0,128,2,1,N\A
3,2009/04/07,49,12,16,136,3,1,N\A
3,2009/04/15,48,11,8,136,5,2,N\A
3,2009/04/23,35,8,8,200,3,1,N\A
3,2009/05/01,40,8,8,160,7,2,N\A
3,2009/05/09,37,7,8,192,5,1,N\A
3,2009/05/17,28,6,8,176,0,0,N\A
3,2009/05/25,25,5,8,160,5,1,N\A
3,2009/06/02,41,9,0,136,0,0,N\A
3,2009/06/10,23,5,16,192,5,1,N\A
3,2009/06/18,15,3,16,192,5,1,N\A
3,2009/06/26,27,5,16,192,5,1,N\A
3,2009/07/04,15,3,16,128,6,1,N\A
3,2009/07/12,13,2,8,192,7,1,N\A
3,2009/07/20,14,3,8,192,6,1,N\A
3,2009/07/28,24,4,16,160,5,1,N\A
3,2009/08/05,48,12,16,192,3,1,N\A
3,2009/08/13,70,20,0,128,2,1,N\A
3,2009/08/21,59,16,16,160,4,2,N\A
3,2009/08/29,57,17,16,200,4,2,N\A
3,2009/09/06,27,5,105,160,248,248,N\A
3,2009/09/14,71,20,0,128,2,1,N\A
3,2009/09/22,64,16,8,192,4,2,N\A
3,2009/09/30,59,14,8,160,5,2,N\A
3,2009/10/08,51,12,0,192,3,1,N\A
3,2009/10/16,38,7,8,176,5,1,N\A
3,2009/11/01,37,7,8,160,5,1,N\A
3,2009/11/09,38,6,16,136,0,0,N\A
3,2009/11/17,33,5,16,160,6,1,N\A
3,2009/11/25,27,5,16,192,5,1,N\A
3,2009/12/03,25,3,16,136,0,0,N\A
3,2009/12/11,23,3,0,128,0,0,N\A
3,2009/12/19,23,3,16,136,0,0,N\A
3,2009/12/27,15,2,0,128,8,1,N\A
