1,34.80833,-98.02325,9,5,2283,1246
2,34.79851,-96.66909,10,5,148,1248
3,34.58722,-99.33808,9,5,1972,1299
4,36.70823,-98.70974,10,5,207,790
5,36.7797,-98.6717,10,5,232,772
6,34.24967,-95.66844,10,5,221,1380
7,34.22438,-95.70059,10,5,208,1386
8,34.91418,-98.29216,9,5,2255,1220
9,34.19258,-97.08568,9,5,2326,1393
10,34.1922,-97.085,9,5,2326,1393
11,36.07204,-99.90308,9,5,2220,942
12,34.0144,-94.6131,10,5,378,1436
13,36.80253,-100.53012,9,5,2281,767
14,34.19121,-96.64386,10,5,14,1394
15,35.40185,-99.05847,9,5,2221,1103
16,35.96305,-95.86621,10,5,577,968
17,36.75443,-97.25452,10,5,498,778
18,36.69256,-102.49713,9,5,1874,793
19,35.17156,-96.63121,10,5,242,1158
20,36.41201,-97.69394,10,5,330,861
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2012/01/01,754,1672,362,610,2525,2366,1664,1073741824,5934,1344,11710,72,7,2012/01/07
1,2012/01/09,880,1981,475,700,2667,2848,1835,1073741824,5811,2457,11895,72,14,2012/01/14
1,2012/01/17,934,2045,397,717,3065,2869,2022,1073741824,5694,1307,12152,72,23,2012/01/23
1,2012/01/25,922,2082,476,755,3092,2912,2035,1073741824,5536,62,8887,72,32,2012/02/01
1,2012/02/02,807,1988,403,651,2887,2654,1810,1073741824,5260,3396,12126,72,37,2012/02/06
1,2012/02/10,656,1736,348,569,2387,2013,1132,1073741824,5024,2448,12437,72,46,2012/02/15
1,2012/02/18,694,1901,307,607,2764,2369,1609,1073741824,4763,1343,12529,72,55,2012/02/24
1,2012/02/26,892,2319,382,748,3085,3055,2043,1073741824,4487,133,12464,72,64,2012/03/04
1,2012/03/05,695,2169,371,638,2731,2453,1392,1073741824,4132,3433,12550,72,69,2012/03/09
1,2012/03/13,695,2462,313,691,2992,2485,1354,1073741824,3869,109,11648,72,80,2012/03/20
1,2012/03/21,727,2271,368,692,3061,2582,1595,1073741824,3500,3405,12614,72,85,2012/03/25
1,2012/03/29,593,2746,291,674,3283,2449,1375,1073741824,3176,4215,12582,72,92,2012/04/01
1,2012/04/06,624,4066,322,937,4148,2900,1430,1073741824,3549,5482,-3675,204,102,2012/04/11
1,2012/04/14,676,2974,282,703,3217,2556,1489,1073741824,2706,106,11245,72,112,2012/04/21
1,2012/04/22,597,3436,290,758,3612,2304,1252,1073741824,2808,2289,-3751,72,114,2012/04/23
1,2012/04/30,667,2763,348,697,3237,2255,1325,1073741824,2159,2439,13717,72,126,2012/05/05
1,2012/05/08,829,3515,356,848,3754,2904,1648,1073741824,2405,2280,-3281,72,130,2012/05/09
1,2012/05/16,742,2933,402,809,3153,2295,1291,1073741824,1985,80,16258,72,144,2012/05/23
1,2012/05/24,834,2947,438,840,3502,2492,1335,1073741824,1819,1280,14841,72,151,2012/05/30
1,2012/06/01,606,2793,309,600,3233,2317,1094,1073741824,1398,5454,13359,72,154,2012/06/02
1,2012/06/09,779,2908,415,842,3307,2551,1435,1073741824,2081,2335,-2125,72,162,2012/06/10
1,2012/06/17,895,2644,406,809,3273,3069,1857,1073741824,1894,79,16456,72,176,2012/06/24
1,2012/06/25,1011,3089,512,958,3689,3245,2000,1073741824,2124,2298,-1873,72,178,2012/06/26
1,2012/07/03,824,2633,428,762,3264,2567,1448,1073741824,1804,2439,15071,73,190,2012/07/08
1,2012/07/11,1012,2469,531,893,3127,2961,1892,1073741824,2015,1316,15148,72,199,2012/07/17
1,2012/07/19,882,2895,342,803,3683,2940,1776,1073741824,2246,1141,-2464,72,201,2012/07/19
1,2012/07/27,1039,2470,435,836,3239,3060,1988,1073741824,2285,1298,14487,72,215,2012/08/02
1,2012/08/04,1268,2729,542,993,3721,3559,2243,1073741824,2509,1161,-2794,72,217,2012/08/04
1,2012/08/12,1373,3215,660,1113,4128,3794,2304,1073741824,2783,2307,-3347,72,226,2012/08/13
1,2012/08/20,885,2225,431,765,2970,2887,1856,1073741824,2952,114,11304,72,240,2012/08/27
1,2012/08/28,825,2332,391,729,2998,2751,1718,1073741824,3084,1335,12943,72,247,2012/09/03
1,2012/09/05,957,2642,445,831,3287,3044,1862,1073741824,3424,114,12909,72,256,2012/09/12
1,2012/09/13,779,2479,402,745,3184,2686,1658,1073741824,3599,1326,12300,72,263,2012/09/19
1,2012/09/21,861,2458,443,803,3004,2692,1703,1073741824,3774,1125,-5045,72,265,2012/09/21
1,2012/09/29,615,2178,326,610,2619,2315,1268,1073741824,4012,3395,11742,72,277,2012/10/03
1,2012/10/07,763,2221,350,678,2976,2723,1523,1073741824,4507,54,10004,72,288,2012/10/14
1,2012/10/15,713,1998,386,661,2696,2419,1406,1073741824,4708,1280,11595,72,295,2012/10/21
1,2012/10/23,851,2181,370,699,3133,2754,1766,1073741824,5034,68,7514,72,304,2012/10/30
1,2012/10/31,954,2159,421,727,3056,3024,2002,1073741824,5215,1262,11545,72,311,2012/11/06
1,2012/11/08,1027,2232,477,805,3347,3066,2118,1073741824,5339,1197,-6073,72,313,2012/11/08
1,2012/11/16,985,2205,434,797,3295,2907,1822,1073741824,5612,2317,-6381,72,322,2012/11/17
1,2012/11/24,1053,2243,421,794,3200,3225,2027,1073741824,5733,1169,-6371,72,329,2012/11/24
1,2012/12/02,839,2137,423,616,3166,2929,1774,1073741824,5751,4907,11110,72,339,2012/12/04
1,2012/12/10,1008,2173,449,773,2994,2935,1784,1073741824,6010,62,10079,72,352,2012/12/17
1,2012/12/18,1176,2446,526,902,3518,3579,2253,1073741824,6202,4184,-6010,72,356,2012/12/21
1,2012/12/26,1069,2056,580,873,3094,2635,1535,1073741824,6007,91,10218,72,2,2012/01/02
1,2013/01/01,1069,2056,580,873,3094,2635,1535,1073741824,6007,91,10218,72,2,2013/01/02
1,2013/01/09,974,1976,414,758,2755,2630,1559,1073741824,5967,1133,-5855,72,11,2013/01/11
1,2013/01/17,916,1817,428,719,2769,2622,1784,1073741824,5817,110,9245,72,18,2013/01/18
1,2013/01/25,805,1757,399,637,2717,2587,1769,1073741824,5419,2420,12254,72,32,2013/02/01
1,2013/02/02,1079,2169,555,872,3228,2999,2065,1073741824,5459,86,9969,72,34,2013/02/03
1,2013/02/10,930,2012,463,763,2834,2953,1945,1073741824,5206,1289,12262,72,41,2013/02/10
1,2013/02/18,877,2134,455,717,2951,2951,1783,1073741824,4636,3405,12366,72,55,2013/02/24
1,2013/02/26,974,2163,456,795,2924,2995,1824,1073741824,4705,1141,-5183,72,59,2013/02/28
1,2013/03/06,879,1899,395,720,2847,2565,1767,1073741824,4380,105,13390,72,66,2013/03/07
1,2013/03/14,961,2207,491,814,3109,2970,2039,1073741824,4048,1344,12719,72,73,2013/03/14
