1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
11,No Data
id,Date,Daily daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Time of daytime Land-surface Temperature observation,View zenith angle of daytime Land-surface Temperature,Daily nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Time of nighttime Land-surface Temperature observation,View zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,day clear-sky coverage,night clear-sky coverage,actual_date
1,2000/03/05,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/06,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/07,14458,145,105,12,13777,81,232,128,240,243,91,3979,N\A
1,2000/03/08,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/09,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/10,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/11,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/14,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/15,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/16,0,2,255,255,13972,81,231,123,240,243,0,2210,N\A
1,2000/03/17,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/18,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/19,0,2,255,255,13952,81,220,18,240,243,0,3998,N\A
1,2000/03/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/21,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/22,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/23,0,2,255,255,13838,81,232,128,240,243,0,2955,N\A
1,2000/03/24,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/25,0,2,255,255,14002,81,230,118,240,243,0,3992,N\A
1,2000/03/26,0,2,255,255,14288,81,221,26,240,243,0,3733,N\A
1,2000/03/27,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/28,0,2,255,255,14093,81,219,12,240,243,0,3999,N\A
1,2000/03/29,0,2,255,255,14223,81,226,84,240,243,0,2000,N\A
1,2000/03/30,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/03/31,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/01,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/02,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/05,0,2,255,255,14086,81,227,95,240,243,0,1997,N\A
1,2000/04/06,14955,145,108,28,0,2,255,255,240,243,1662,0,N\A
1,2000/04/07,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/08,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/09,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/10,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/11,15007,81,111,62,0,2,255,255,240,243,283,0,N\A
1,2000/04/12,0,2,255,255,14299,81,228,104,240,243,0,2000,N\A
1,2000/04/13,15089,145,109,37,0,2,255,255,240,243,3118,0,N\A
1,2000/04/14,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/15,0,2,255,255,14014,81,217,2,240,243,0,2000,N\A
1,2000/04/16,0,2,255,255,14349,81,224,59,240,243,0,2000,N\A
1,2000/04/17,15088,145,105,7,14400,81,231,124,240,243,1779,3994,N\A
1,2000/04/18,15216,81,112,75,0,2,255,255,240,243,1983,0,N\A
1,2000/04/19,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/21,0,2,255,255,14128,81,227,96,240,243,0,2000,N\A
1,2000/04/22,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/04/23,0,2,255,255,14428,81,225,72,240,243,0,2000,N\A
