site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,42.44625,-85.310436,11,4,1691,1812
2,42.444038,-85.309752,11,4,1691,1813
3,42.437623,-85.32862,11,4,1686,1814
4,42.484741,-85.442162,11,4,1677,1803
5,42.476669,-85.446792,11,4,1674,1805
6,42.473496,-85.447476,11,4,1673,1806
7,42.442353,-85.33019,11,4,1687,1813
id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2000/02/18,5414,1033,1416,55,1073741824,-5733,2299,3221,6246,8974,9076,8649,8894,2000/02/24
1,2000/02/26,5452,72,4747,59,1073741824,-5611,2003,3136,3052,777,486,2137,976,2000/02/28
1,2000/03/05,4823,136,2799,67,1073741824,11677,1704,2644,2540,602,408,1614,787,2000/03/07
1,2000/03/13,4521,8204,3614,74,1073741824,11533,1611,2652,2629,626,414,1751,824,2000/03/14
1,2000/03/21,4159,72,900,85,1073741824,12046,1839,2815,2820,664,438,1875,848,2000/03/25
1,2000/03/29,3846,138,2290,96,1073741824,-5701,1572,2528,2756,696,426,1898,852,2000/04/05
1,2000/04/06,3552,36936,2901,99,1073741824,11563,636,1356,3670,5803,5441,6449,5920,2000/04/08
1,2000/04/14,3564,136,3234,105,1073741824,-5364,2050,3093,3805,807,500,2359,976,2000/04/14
1,2000/04/22,2982,72,2937,115,1077411841,11532,1339,2508,3065,650,340,2535,659,2000/04/24
1,2000/04/30,3038,72,3168,121,1073741824,-5147,1696,2888,3231,758,426,2465,841,2000/04/30
1,2000/05/08,2342,136,4967,136,1073741824,11049,1014,1998,3028,600,232,3031,447,2000/05/15
1,2000/05/16,2385,1289,244,142,1073741824,-4094,2011,2666,4500,1788,1556,4466,1583,2000/05/21
1,2000/05/24,2561,72,4030,146,1073741824,-4481,900,2194,3608,672,229,3763,410,2000/05/25
1,2000/06/01,2180,72,179,158,1073741824,-3870,974,2230,3640,656,246,3883,402,2000/06/06
1,2000/06/09,2422,136,4002,162,1073741824,-4085,932,2287,3870,668,205,4205,390,2000/06/10
1,2000/06/17,2498,136,4677,171,1073741824,-3679,1431,2638,3785,731,263,3834,581,2000/06/19
1,2000/06/25,1945,1034,4403,177,1077411841,11807,1366,2326,3445,1376,1279,3697,1095,2000/06/25
1,2000/07/03,2792,72,5701,189,1073741824,-3405,818,2315,3581,661,199,3846,386,2000/07/07
1,2000/07/11,2189,136,2929,195,1073741824,12541,807,2129,3499,558,165,3438,336,2000/07/13
1,2000/07/19,2534,8200,194,206,1073741824,-4350,1354,2727,4107,894,620,3991,707,2000/07/24
1,2000/07/27,2540,8204,4938,216,1073741824,11630,818,2004,3199,457,77,3155,304,2000/08/03
1,2000/08/12,3007,200,5018,232,1073741824,11366,626,1665,3090,507,146,3463,291,2000/08/19
1,2000/08/20,3366,72,3168,233,1073741824,-5044,910,2198,3707,579,192,3569,396,2000/08/20
1,2000/08/28,3557,136,1026,245,1073741824,11926,836,1938,2999,382,102,2481,275,2000/09/01
1,2000/09/05,3855,72,3130,249,1073741824,-5622,967,2329,3583,565,211,3298,419,2000/09/05
1,2000/09/13,4124,72,1026,261,1073741824,11477,887,2387,3456,564,231,2957,443,2000/09/17
1,2000/09/21,4362,72,2035,268,1073741824,11163,831,1837,3312,448,182,2474,373,2000/09/24
1,2000/09/29,4613,136,2920,275,1073741824,10933,901,1989,3010,485,217,2475,444,2000/10/01
1,2000/10/07,5073,72,168,286,1073741824,-5904,1228,2384,3129,551,292,2384,607,2000/10/12
1,2000/10/15,5305,72,937,293,1073741824,10729,1345,2747,3050,642,374,2272,793,2000/10/19
1,2000/10/23,5630,72,212,302,1073741824,-6503,1293,2327,2582,506,307,1714,612,2000/10/28
1,2000/10/31,5856,72,4032,306,1077411841,-6651,1544,2706,2828,606,349,2007,705,2000/11/01
1,2000/11/08,6035,72,3217,313,1073741824,-6722,1312,2464,2838,608,340,2060,732,2000/11/08
1,2000/11/16,6195,32845,2901,323,1073741824,10734,1274,1996,3763,3999,3926,4587,4095,2000/11/18
1,2000/11/24,6434,36936,3226,329,1073741824,-6785,777,1341,2991,4050,3995,4464,4148,2000/11/24
1,2000/12/02,6454,37064,4362,337,1073741824,10721,602,1103,2339,2925,2494,3921,3124,2000/12/02
1,2000/12/10,6773,32909,4706,347,1077411841,-6539,959,1843,4348,5401,5333,5776,5362,2000/12/12
1,2000/12/18,6657,32841,917,357,1073741824,11119,819,1481,3646,5902,6035,5648,5786,2000/12/22
1,2000/12/26,6657,36936,178,366,1073741824,-5735,493,1123,3335,6074,6268,5801,6042,2000/12/31id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2001/01/01,6462,32905,5899,8,1073741824,11102,856,1637,3777,5141,5144,5455,5172,2001/01/08
1,2001/01/09,6606,36936,1305,9,1073741824,-6473,283,681,2031,4438,4745,3872,4144,2001/01/09
1,2001/01/17,6546,36936,4041,20,1073741824,-6047,522,1075,3051,6035,5909,5960,6026,2001/01/20
1,2001/01/25,6113,1033,167,32,1077411841,-4292,4576,5768,5660,6917,7006,6756,6790,2001/02/01
1,2001/02/02,6202,1033,5223,38,1073741824,-5772,1116,1832,4318,6132,6137,6272,6059,2001/02/07
1,2001/02/10,5904,36936,3188,43,1073741824,-5846,572,1174,3456,5169,4954,5586,5297,2001/02/12
1,2001/02/18,5650,37064,3983,52,1073741824,-5668,1140,1741,2419,3565,3275,4183,3748,2001/02/21
1,2001/02/26,5057,202,3708,60,1073741824,11625,1781,2676,2770,1273,760,2668,1632,2001/03/01
1,2001/03/06,4732,8206,2854,69,1073741824,11863,1488,2567,3193,1685,1421,2899,1957,2001/03/10
1,2001/03/14,4764,202,4706,77,1073741824,-5329,1626,2670,3141,1385,968,2833,1746,2001/03/18
1,2001/03/22,4172,136,5466,81,1073741824,11372,1828,2757,2659,805,518,1961,1078,2001/03/22
1,2001/03/30,4203,136,5754,95,1073741824,-4823,2192,3334,3257,968,638,2398,1228,2001/04/05
1,2001/04/07,3466,72,918,103,1073741824,12074,1600,2589,2729,669,437,1895,843,2001/04/13
1,2001/04/15,3572,8204,4666,109,1073741824,-4826,1574,2649,3013,876,497,2428,1022,2001/04/19
1,2001/04/23,2927,72,945,119,1073741824,12387,1292,2330,2774,639,364,2148,718,2001/04/29
1,2001/05/01,2721,72,177,128,1073741824,-4450,1067,2335,3485,705,286,3422,547,2001/05/08
1,2001/05/09,2474,72,2920,133,1073741824,12047,799,1970,3143,568,214,3133,396,2001/05/13
1,2001/05/17,2657,72,3188,139,1073741824,-4401,1118,2474,3965,766,258,4398,501,2001/05/19
1,2001/05/25,2737,72,5223,150,1073741824,-3692,1019,2227,3667,742,258,4195,476,2001/05/30
1,2001/06/02,2223,72,158,160,1073741824,-3953,784,1921,3288,569,181,3507,339,2001/06/09
1,2001/06/10,2045,204,2911,165,1073741824,12594,819,1874,3215,526,144,3712,292,2001/06/14
1,2001/06/26,1962,1033,5889,184,1073741824,11513,1983,3325,6057,6412,6543,6700,6239,2001/07/03
1,2001/07/04,2381,72,168,192,1073741824,-3415,1206,2444,3763,659,253,3747,510,2001/07/11
1,2001/07/12,2549,72,2280,194,1073741824,-3989,918,2216,3744,636,218,3834,403,2001/07/13
1,2001/07/20,2588,200,1225,201,1075576832,-4020,794,2172,6370,576,190,3609,354,2001/07/20
1,2001/07/28,2755,72,1017,215,1073741824,13148,750,1882,3231,439,135,3093,268,2001/08/03
1,2001/08/05,2883,72,2063,222,1073741824,12661,718,1807,3076,398,114,2982,261,2001/08/10
1,2001/08/13,3209,140,2216,226,1073741824,-4732,1004,2305,3387,506,161,3112,382,2001/08/14
1,2001/08/21,3509,72,98,240,1073741824,-3868,774,1916,2940,443,155,2725,321,2001/08/28
1,2001/08/29,3698,72,973,247,1073741824,11960,920,2176,3272,522,200,3030,383,2001/09/04
1,2001/09/06,3908,72,1980,254,1073741824,11781,652,1640,2756,375,131,2497,267,2001/09/11
1,2001/09/14,4201,1033,2300,258,1073741824,-5590,3047,4070,5292,2956,2695,5255,2875,2001/09/15
1,2001/09/22,4624,72,170,272,1073741824,-5091,862,2147,3305,556,219,3174,388,2001/09/29
1,2001/09/30,4917,72,4002,276,1073741824,-5983,1064,2498,3632,699,289,3442,545,2001/10/03
1,2001/10/08,4981,136,1242,281,1073741824,-6446,951,2102,3226,548,236,2701,485,2001/10/08
1,2001/10/16,5426,136,982,295,1073741824,10970,995,2094,2630,507,280,1972,575,2001/10/22
1,2001/10/24,5808,72,4686,301,1073741824,-6364,1470,2831,3334,722,392,2809,772,2001/10/28
1,2001/11/01,5862,72,2317,306,1073741824,-6634,1254,2395,3071,576,314,2284,652,2001/11/02
1,2001/11/09,6207,72,201,320,1073741824,-5225,1277,2399,2731,572,345,2067,695,2001/11/16
1,2001/11/17,6274,72,2919,325,1073741824,11041,1180,2113,2152,467,274,1427,576,2001/11/21
1,2001/11/25,6538,1033,123,336,1073741824,-5869,3562,4992,5224,5318,5256,5523,5284,2001/12/02
1,2001/12/03,6610,72,954,343,1073741824,11414,994,1919,2265,473,298,1599,598,2001/12/09
1,2001/12/11,6681,72,1260,345,1073741824,-6540,1538,2749,3241,661,384,2294,828,2001/12/11
1,2001/12/19,6774,72,2336,354,1073741824,-6341,1448,2636,2818,671,408,2211,834,2001/12/20
1,2001/12/27,6972,32905,5731,2,1073741824,-5988,835,1650,4526,5920,5798,6454,5931,2001/01/02id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2002/01/01,6799,36936,4021,7,1073741824,-6056,580,1512,3791,6083,6018,6290,6130,2002/01/07
1,2002/01/09,6426,205,4969,13,1073741824,11499,909,1657,3507,2351,1875,3953,2723,2002/01/13
1,2002/01/17,6273,37000,4411,22,1073741824,11613,516,1009,3085,5215,4918,5692,5351,2002/01/22
1,2002/01/25,6291,136,954,26,1073741824,12048,1703,2621,2728,742,469,2008,958,2002/01/26
1,2002/02/02,6080,36936,1981,33,1075576832,11808,592,1336,3162,6542,6308,6303,6554,2002/02/02
1,2002/02/10,5849,36936,855,42,1073741824,11947,688,1201,2694,3844,3697,4278,3935,2002/02/11
1,2002/02/18,5305,1034,4401,54,1073741824,11931,967,1799,2581,1808,1507,2933,2070,2002/02/23
1,2002/02/26,5300,1033,1280,60,1073741824,-5274,797,1597,4516,6577,6326,6906,6687,2002/03/01
1,2002/03/06,4671,72,2845,72,1073741824,12174,2091,3115,3060,850,551,2151,1155,2002/03/13
1,2002/03/14,4428,72,5889,75,1073741824,11618,1597,2405,2455,602,388,1693,795,2002/03/16
1,2002/03/22,4028,1033,2882,88,1073741824,12153,1461,2579,6230,8788,8846,8701,8726,2002/03/29
1,2002/03/30,4029,72,892,90,1073741824,12055,1607,2397,2518,728,471,1885,961,2002/03/31
1,2002/04/07,3765,72,2373,101,1073741824,-4990,2054,3155,3121,832,552,2210,1103,2002/04/11
1,2002/04/15,3428,72,882,106,1073741824,12286,1703,2921,3075,750,454,2346,924,2002/04/16
1,2002/04/23,3143,72,1944,113,1073741824,12349,1217,2315,2936,624,323,2523,621,2002/04/23
1,2002/05/01,2961,72,1315,124,1073741824,-4722,1306,2550,3524,751,357,3168,683,2002/05/04
1,2002/05/09,2904,72,4012,135,1073741824,-4052,1520,2597,3366,824,356,3185,736,2002/05/15
1,2002/05/17,2702,72,3206,142,1073741824,-4022,1698,2709,3700,888,407,3593,801,2002/05/22
1,2002/05/25,2193,72,2910,152,1073741824,12917,929,1932,3086,578,234,3015,419,2002/06/01
1,2002/06/02,2533,72,3207,158,1073741824,-3602,1710,2787,3877,838,328,3981,693,2002/06/07
1,2002/06/10,2099,72,2873,168,1073741824,13257,1155,2119,3287,603,234,3420,481,2002/06/17
1,2002/06/18,2219,200,883,170,1075576832,13374,1204,2297,4086,716,287,3664,560,2002/06/19
1,2002/06/26,2320,136,186,179,1073741824,-3138,1489,2651,3672,653,279,3551,549,2002/06/28
1,2002/07/04,2473,72,1260,188,1073741824,-3681,1638,2816,3942,757,315,3920,649,2002/07/07
1,2002/07/12,2490,136,163,195,1073741824,-2442,1023,2374,3700,575,160,3477,407,2002/07/14
1,2002/07/20,2710,72,1261,204,1073741824,-3826,1168,2402,3595,618,240,3527,472,2002/07/23
1,2002/07/28,3156,136,4011,215,1073741824,-3860,1090,2543,3857,640,222,3797,461,2002/08/03
1,2002/08/05,3053,72,1305,220,1073741824,-4533,975,2217,3583,564,199,3470,397,2002/08/08
1,2002/08/13,3031,136,4411,230,1073741824,12140,662,1787,3074,412,128,2969,277,2002/08/18
1,2002/08/21,3849,72,4686,240,1073741824,-4577,969,2442,3915,618,211,4120,409,2002/08/28
1,2002/08/29,3640,72,204,243,1073741824,-3531,829,2133,3419,511,178,3062,346,2002/08/31
1,2002/09/06,3825,72,909,250,1073741824,12135,916,2064,3196,510,190,3197,371,2002/09/07
1,2002/09/14,4175,72,176,259,1073741824,-4937,834,1919,3079,449,179,2633,352,2002/09/16
1,2002/09/22,4532,72,1279,268,1073741824,-5836,960,2213,3188,524,213,2770,428,2002/09/25
1,2002/09/30,4617,72,1935,273,1073741824,11617,996,2207,3121,506,239,2688,432,2002/09/30
1,2002/10/08,5104,72,1342,284,1073741824,-6191,1208,2502,3402,537,244,2606,498,2002/10/11
1,2002/10/16,5202,72,1925,289,1073741824,11355,848,1946,2649,422,226,2044,430,2002/10/16
1,2002/10/24,5651,136,3679,303,1073741824,11081,904,1911,2421,548,300,2006,602,2002/10/30
1,2002/11/01,5941,72,2855,312,1073741824,10991,1291,2459,2861,570,336,2064,682,2002/11/08
1,2002/11/09,6224,1033,5275,313,1073741824,-6324,2452,3537,3700,2243,2270,3128,2300,2002/11/09
1,2002/11/17,6286,72,245,323,1073741824,-5418,1103,2103,2471,551,356,1860,723,2002/11/19
1,2002/11/25,6598,1033,3216,334,1073741824,-6511,1440,2452,4682,4934,5041,5203,4890,2002/11/30
1,2002/12/03,6516,36936,1981,337,1073741824,11105,520,1233,3538,5030,4877,5699,5125,2002/12/03
1,2002/12/11,6794,136,3189,350,1073741824,-6283,1774,2656,2974,717,463,2101,952,2002/12/16
1,2002/12/19,6652,40973,2891,360,1073741824,11470,3130,3706,4608,5930,6054,5979,5794,2002/12/26
1,2002/12/27,6889,1033,4716,3,1073741824,-6049,1100,2104,4736,4512,4440,5623,4655,2002/01/03id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2003/01/01,6630,1033,1898,4,1073741824,11664,1290,2156,3150,2253,2197,3181,2318,2003/01/04
1,2003/01/09,6785,1289,4060,10,1075576832,-5930,607,904,1199,1906,2366,1772,1721,2003/01/10
1,2003/01/17,6641,1801,3253,17,1073741824,-5972,2853,3657,4477,4796,4810,5249,4786,2003/01/17
1,2003/01/25,6035,37000,5889,30,1073741824,11644,663,1507,4377,5793,5497,6443,5925,2003/01/30
1,2003/02/02,5786,32909,5476,39,1073741824,11763,1993,2667,4202,4723,4729,5264,4851,2003/02/08
