1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2000/02/18,-28672,-28672,-28672,-28672,-28672,-28672,-28672,1002159035,4326,5406,-4471,8,55,2000/02/24
1,2000/02/26,1803,2857,886,1342,3999,4302,3509,1073741824,3823,338,-4515,72,58,2000/02/27
1,2000/03/05,2136,3120,1058,1627,4083,4295,3578,1073741824,3498,1046,12860,136,65,2000/03/05
1,2000/03/13,2093,3115,944,1469,4209,4506,3864,1073741824,3234,328,-4281,72,74,2000/03/14
1,2000/03/21,2003,3004,986,1473,4024,4362,3647,1073741824,2887,1119,13044,72,81,2000/03/21
1,2000/03/29,2004,2983,964,1446,4055,4526,3762,1073741824,2628,166,-4993,72,90,2000/03/30
1,2000/04/06,1984,2937,951,1439,4109,4434,3748,1073741824,2291,1190,13917,72,97,2000/04/06
1,2000/04/14,2099,3032,1090,1600,4087,4491,3817,1073741824,2087,201,-3383,72,106,2000/04/15
1,2000/04/22,1860,2772,933,1354,3824,4221,3490,1073741824,1775,1226,14658,72,113,2000/04/22
1,2000/04/30,1941,2907,992,1455,3960,4403,3691,1077411841,1659,113,111,72,122,2000/05/01
1,2000/05/08,1969,2974,989,1470,4160,4481,3843,1073741824,1634,1548,-1604,73,131,2000/05/10
1,2000/05/16,1773,2756,929,1342,3902,4333,3602,1073741824,1436,292,-716,72,138,2000/05/17
1,2000/05/24,1766,2714,884,1299,3794,4226,3559,1073741824,1252,1128,16921,72,145,2000/05/24
1,2000/06/01,2031,2996,1009,1485,3934,3870,3649,1073741824,1367,205,1134,73,154,2000/06/02
1,2000/06/09,1744,2623,855,1294,3513,3779,3126,1073741824,847,4383,-17908,141,166,2000/06/14
1,2000/06/17,1994,2899,1047,1549,3843,4185,3553,1073741824,1416,201,669,137,170,2000/06/18
1,2000/06/25,1962,2847,950,1421,3821,4137,3678,1073741824,1312,1173,-17473,73,177,2000/06/25
1,2000/07/03,1749,2798,912,1323,3865,4157,3786,1073741824,1499,147,560,73,186,2000/07/04
1,2000/07/11,6513,6713,6514,6531,6461,5523,3548,1073741824,1982,3751,76,1033,197,2000/07/15
1,2000/07/19,1668,2378,1646,1740,2816,2331,1495,1073741824,1264,3481,16691,1033,207,2000/07/25
1,2000/07/27,1988,3438,1561,1890,4209,4015,2760,1073741824,2115,3854,-724,1033,213,2000/07/31
1,2000/08/04,2529,3744,2067,2475,4118,3924,2685,1073741824,2691,6400,-669,1033,217,2000/08/04
