1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
11,No Data
12,No Data
13,No Data
14,No Data
15,No Data
16,No Data
17,No Data
18,No Data
19,No Data
20,No Data
21,No Data
22,No Data
23,No Data
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2000/02/18,-28672,-28672,-28672,-28672,-28672,-28672,-28672,1002159035,4096,5758,-3974,8,55,2000/02/24
1,2000/02/26,1192,2241,592,895,2669,2406,1658,1073741824,3538,979,-4262,72,58,2000/02/27
1,2000/03/05,1254,2139,632,955,2569,2365,1704,1073741824,3209,468,13071,72,65,2000/03/05
1,2000/03/13,1331,2160,669,997,2574,2396,1762,1073741824,2977,969,-3789,72,74,2000/03/14
1,2000/03/21,1228,2068,631,933,2435,2213,1747,1073741824,2625,543,13382,72,81,2000/03/21
1,2000/03/29,1364,2152,720,1030,2666,2509,2007,1073741824,2406,796,-3378,72,90,2000/03/30
1,2000/04/06,1317,2039,698,1004,2381,2359,1757,1073741824,2071,612,14824,72,97,2000/04/06
1,2000/04/14,1522,2284,779,1126,2717,2567,2017,1073741824,1925,833,-2173,72,106,2000/04/15
1,2000/04/22,1257,1913,639,938,2273,2326,1656,1073741824,1353,2036,16278,72,120,2000/04/29
1,2000/04/30,1626,2364,831,1227,2715,2681,2112,1073741824,1587,751,-1110,72,122,2000/05/01
1,2000/05/08,1430,2169,770,1107,2535,2435,1834,1073741824,1374,603,17642,74,129,2000/05/08
1,2000/05/16,1096,1651,701,904,1917,1822,1362,1073741824,1040,3078,-17008,8205,143,2000/05/22
1,2000/05/24,1159,1766,598,878,2092,2119,1661,1073741824,1327,531,-16700,73,145,2000/05/24
1,2000/06/01,1453,2106,983,1215,2486,2373,1773,1073741824,1493,834,2055,8205,154,2000/06/02
1,2000/06/09,1462,2187,1261,1425,2266,2055,1412,1073741824,1971,4280,1846,1033,165,2000/06/13
1,2000/06/17,1228,2229,652,1059,2384,2196,1625,1073741824,1579,842,2228,137,170,2000/06/18
1,2000/06/25,1314,2420,684,1076,2550,2408,1834,1077411841,1760,2142,2068,137,179,2000/06/27
1,2000/07/03,1630,2901,1475,1666,2916,2298,1330,1073741824,2228,5035,1455,1033,190,2000/07/08
1,2000/07/11,3839,4253,4016,3958,3637,3612,2425,1073741824,828,5573,-16146,1033,196,2000/07/14
1,2000/07/19,1522,2563,1381,1543,2626,2217,1536,1073741824,1292,3106,-17378,1033,207,2000/07/25
1,2000/07/27,1113,2742,838,1127,2598,2332,1266,1073741824,1484,1818,17683,8205,216,2000/08/03
1,2000/08/04,-28672,-28672,-28672,-28672,-28672,-28672,-28672,4294967295,0,0,0,65535,65535,2179/06/05
1,2000/08/12,5903,6358,5828,5936,5263,4419,2836,1073741824,1609,2000,16139,1033,232,2000/08/19
1,2000/08/20,1472,2027,1756,1597,1906,1501,930,1073741824,1348,4967,14488,1801,237,2000/08/24
1,2000/08/28,1993,3559,2173,2179,3399,2591,1590,1073741824,2407,4209,-2103,1033,245,2000/09/01
1,2000/09/05,761,2947,424,835,2859,2087,1118,1073741824,2401,3221,-2913,201,252,2000/09/08
1,2000/09/13,713,2448,374,677,2453,1845,1046,1073741824,2308,2045,13067,137,264,2000/09/20
1,2000/09/21,904,2748,449,812,2844,2232,1373,1077411841,2527,725,-4078,73,266,2000/09/22
1,2000/09/29,777,2348,429,731,2381,1902,1160,1073741824,2819,1927,12364,138,280,2000/10/06
1,2000/10/07,741,2275,400,677,2264,1831,1088,1073741824,3004,3135,11760,137,287,2000/10/13
1,2000/10/15,861,2259,437,741,2441,2026,1339,1073741824,3169,603,12218,72,289,2000/10/15
1,2000/10/23,921,2379,512,793,2522,2107,1359,1073741824,3512,833,-5829,72,298,2000/10/24
1,2000/10/31,950,2091,508,780,2204,2105,1264,1073741824,3681,533,11148,72,305,2000/10/31
1,2000/11/08,1070,2286,576,874,2497,2215,1486,1073741824,3990,851,-6060,72,314,2000/11/09
1,2000/11/16,968,1971,513,771,2189,1870,1306,1073741824,4130,578,11022,72,321,2000/11/16
1,2000/11/24,1086,2182,582,866,2403,2159,1472,1073741824,4381,861,-5893,72,330,2000/11/25
1,2000/12/02,968,1934,519,762,2144,1861,1318,1073741824,4471,486,11165,72,337,2000/12/02
1,2000/12/10,1040,1878,538,789,2148,1907,1393,1073741824,4643,923,-6097,72,346,2000/12/11
1,2000/12/18,997,1794,524,762,2092,1856,1325,1073741824,4656,550,11285,72,353,2000/12/18
1,2000/12/26,1042,1858,542,779,2176,1956,1410,1073741824,4735,834,-5563,72,362,2000/12/27
1,2001/01/01,807,1528,418,634,1726,1600,1124,1073741824,4665,578,11484,136,3,2001/01/03
1,2001/01/09,936,1709,480,735,1999,1842,1373,1073741824,4652,887,-5741,136,12,2001/01/12
1,2001/01/17,1018,1795,524,796,2073,1956,1472,1073741824,4597,2232,-5311,136,21,2001/01/21
1,2001/01/25,871,1467,462,667,1751,1631,1255,1073741824,4308,1908,12457,72,26,2001/01/26
1,2001/02/02,873,1604,465,687,1817,1655,1280,1073741824,4162,602,12727,72,35,2001/02/04
1,2001/02/10,908,1449,462,677,1708,1677,1273,1073741824,3903,1972,12716,72,42,2001/02/11
1,2001/02/18,946,1537,510,727,1804,1681,1327,1073741824,3700,613,12805,136,51,2001/02/20
1,2001/02/26,945,1443,501,716,1713,1671,1271,1073741824,3392,1945,13247,72,58,2001/02/27
1,2001/03/06,1133,1956,595,883,2115,2102,1614,1073741824,3164,530,13634,72,67,2001/03/08
1,2001/03/14,1235,1842,642,925,2105,2058,1630,1073741824,2945,923,-3958,72,76,2001/03/17
1,2001/03/22,1106,1626,582,828,1869,1883,1475,1073741824,2601,540,13976,72,83,2001/03/24
1,2001/03/30,1387,2125,722,1072,2343,2278,1839,1073741824,2410,888,-2659,72,92,2001/04/02
1,2001/04/07,1207,1769,632,905,1989,1992,1574,1073741824,2086,531,14867,72,99,2001/04/09
1,2001/04/15,1470,2123,770,1105,2420,2407,1955,1073741824,1967,833,-1800,74,108,2001/04/18
1,2001/04/23,1324,1933,701,1020,2253,2195,1805,1077411841,1689,614,16009,72,115,2001/04/25
1,2001/05/01,1463,2065,745,1084,2378,2352,1979,1073741824,1691,824,-338,72,124,2001/05/04
1,2001/05/09,1242,1749,615,906,1996,2031,1633,1073741824,1491,576,-17925,72,131,2001/05/11
1,2001/05/17,1232,1758,636,936,1990,2035,1610,1073741824,1319,1963,-17401,72,138,2001/05/18
1,2001/05/25,1398,2028,721,1066,2255,2220,1804,1073741824,1469,621,-16591,72,147,2001/05/27
1,2001/06/02,1724,2282,1155,1415,2123,2543,1925,1075576832,1942,3307,1764,8205,158,2001/06/07
1,2001/06/10,1581,1914,1430,1488,2204,1983,1388,1073741824,1550,594,-15978,1033,163,2001/06/12
1,2001/06/26,7232,7293,7272,7320,6317,4905,2786,1073741824,1249,4071,-15774,1033,184,2001/07/03
1,2001/07/04,2425,3518,2253,2378,3591,3266,2281,1073741824,1824,861,2120,1033,188,2001/07/07
1,2001/07/12,1395,2805,1285,1423,2762,2279,1413,1073741824,1702,603,-16360,1033,195,2001/07/14
1,2001/07/20,493,2299,251,560,2077,1520,767,1073741824,1168,4948,-17385,201,207,2001/07/26
1,2001/07/28,2235,4337,2016,2323,4073,3289,2222,1073741824,2044,2076,312,1033,213,2001/08/01
1,2001/08/05,4960,5610,4978,5067,5113,3741,2176,1073741824,1936,715,-146,1033,220,2001/08/08
1,2001/08/13,1645,4072,1588,1859,3750,2765,1627,1073741824,2431,4220,-869,1033,231,2001/08/19
1,2001/08/21,1858,3508,1976,2045,3408,2570,1479,1073741824,2654,5023,-1413,1033,240,2001/08/28
1,2001/08/29,596,3100,305,673,2792,1848,912,1073741824,1840,4149,14162,200,248,2001/09/05
1,2001/09/06,787,3750,414,887,3454,2393,1172,1073741824,2614,3334,-2846,136,254,2001/09/11
1,2001/09/14,505,2656,261,581,2393,1608,731,1073741824,2288,4120,12958,136,264,2001/09/21
1,2001/09/22,527,2814,255,606,2592,1768,839,1073741824,2498,1955,13244,136,266,2001/09/23
1,2001/09/30,546,2717,286,617,2517,1701,883,1073741824,2638,3125,12677,136,273,2001/09/30
1,2001/10/08,403,2644,158,492,2441,1656,761,1073741824,3005,4938,11671,202,287,2001/10/14
1,2001/10/16,546,2969,286,669,2701,1830,888,1073741824,3337,648,12151,136,291,2001/10/18
1,2001/10/24,588,3042,312,659,2862,1926,965,1073741824,3679,833,-5445,72,300,2001/10/27
1,2001/11/01,565,2671,302,608,2637,1772,898,1073741824,3834,548,12098,72,307,2001/11/03
1,2001/11/09,689,2631,354,671,2651,1971,1099,1073741824,4139,869,-6086,72,316,2001/11/12
1,2001/11/17,591,2478,309,575,2488,1756,876,1073741824,4264,577,11489,72,323,2001/11/19
1,2001/11/25,724,2459,377,652,2512,1882,1051,1073741824,4509,788,-5773,136,332,2001/11/28
1,2001/12/03,692,2437,360,628,2538,1827,965,1073741824,4580,630,11720,72,339,2001/12/05
1,2001/12/11,709,2260,361,622,2354,1821,1043,1073741824,4751,869,-5911,72,348,2001/12/14
1,2001/12/19,767,2407,386,686,2443,1849,1047,1073741824,4749,525,11477,136,355,2001/12/21
1,2001/12/27,908,2538,514,800,2814,2213,1287,1073741824,4951,3334,-5342,136,1,2001/01/01
1,2002/01/01,936,2546,514,797,2828,2226,1275,1073741824,4856,2214,-5269,136,8,2002/01/08
1,2002/01/09,904,2149,504,751,2439,2048,1266,1073741824,4724,887,-5172,72,15,2002/01/15
1,2002/01/17,834,2135,446,677,2401,1967,1186,1073741824,4552,594,12789,72,22,2002/01/22
1,2002/01/25,975,2185,515,780,2451,2141,1373,1073741824,4450,807,-4518,72,31,2002/01/31
1,2002/02/02,967,2183,512,778,2457,2170,1437,1073741824,4212,542,12627,72,38,2002/02/07
1,2002/02/10,945,2145,488,759,2474,2259,1520,1073741824,4048,896,-4282,72,47,2002/02/16
1,2002/02/18,907,1811,467,713,2189,2037,1443,1073741824,3746,576,13377,72,54,2002/02/23
1,2002/02/26,1089,2128,559,847,2519,2346,1662,1073741824,3543,842,-3702,72,63,2002/03/04
1,2002/03/06,1127,2089,565,868,2421,2326,1592,1073741824,3213,522,13798,72,70,2002/03/11
1,2002/03/14,939,1791,495,716,2136,2063,1493,1073741824,2871,1900,14102,72,77,2002/03/18
1,2002/03/22,1344,2397,705,1034,2841,2733,2060,1073741824,2824,2186,-2665,72,88,2002/03/29
1,2002/03/30,1316,2176,682,1015,2546,2464,1893,1073741824,2498,887,-2608,72,95,2002/04/05
1,2002/04/07,1268,2060,662,972,2313,2393,1790,1073741824,2183,495,15729,72,102,2002/04/12
1,2002/04/15,1319,2117,683,990,2392,2518,1800,1073741824,2092,861,-1030,72,111,2002/04/21
1,2002/04/23,1288,1990,670,965,2305,2433,1915,1073741824,1828,567,16987,72,118,2002/04/28
1,2002/05/01,1445,2128,757,1076,2435,2542,1951,1073741824,1856,877,-25,72,127,2002/05/07
1,2002/05/09,1316,1964,700,1008,2189,2109,1722,1073741824,1664,567,-17703,73,134,2002/05/14
1,2002/05/17,1497,2154,781,1123,2448,2520,1919,1073741824,1785,797,1307,72,143,2002/05/23
1,2002/05/25,1609,2331,781,1196,2568,2633,2038,1073741824,1945,2131,1477,136,152,2002/06/01
1,2002/06/02,1323,1938,656,966,2132,2241,1722,1073741824,1835,815,2037,72,159,2002/06/08
1,2002/06/10,1562,2261,837,1210,2466,2528,1866,1073741824,2127,3316,1809,137,161,2002/06/10
1,2002/06/18,1326,1569,1336,1282,1671,1569,985,1073741824,1343,4091,-15608,1033,171,2002/06/20
1,2002/06/26,899,1403,742,824,1589,1512,1052,1073741824,1521,3125,-15759,8205,180,2002/06/29
1,2002/07/04,1483,2201,1248,1393,2220,2131,1570,1075576832,1691,1964,-16299,1033,189,2002/07/08
1,2002/07/12,1172,1834,1086,1157,1855,1677,1166,1073741824,1280,4928,-16208,8205,194,2002/07/13
1,2002/07/20,1043,1850,1029,1084,1829,1447,855,1073741824,1445,4129,-16880,8205,203,2002/07/22
1,2002/07/28,2621,3578,2338,2635,3440,3142,2201,1073741824,2613,5053,634,1033,211,2002/07/30
1,2002/08/05,3604,4778,3511,3664,4575,4278,3061,1073741824,2098,842,-129,1033,223,2002/08/11
1,2002/08/13,1658,3609,1458,1778,3433,2693,1635,1073741824,2296,2150,-883,1033,232,2002/08/20
1,2002/08/21,944,3411,747,1104,3046,2234,1175,1073741824,2236,824,-1505,1032,239,2002/08/27
1,2002/08/29,1748,4014,1643,1924,3590,2380,1223,1073741824,2520,3325,-1528,1033,241,2002/08/29
1,2002/09/06,744,3057,371,836,2851,2002,1011,1073741824,2491,815,-3057,8200,255,2002/09/12
1,2002/09/14,791,3353,418,902,3095,2210,1168,1073741824,2756,3315,-2841,72,257,2002/09/14
1,2002/09/22,853,3383,449,908,3179,2329,1173,1073741824,3047,4279,-3298,138,266,2002/09/23
1,2002/09/30,761,2574,403,724,2482,1950,1067,1073741824,2982,530,13050,72,278,2002/10/05
1,2002/10/08,998,2815,519,900,2880,2278,1405,1073741824,3324,887,-5024,72,287,2002/10/14
1,2002/10/16,963,2926,514,870,2920,2277,1265,1073741824,3661,2196,-5152,72,296,2002/10/23
1,2002/10/24,857,2700,439,755,2707,2019,1196,1073741824,3800,859,-5495,72,303,2002/10/30
1,2002/11/01,888,2445,466,775,2398,1850,1170,1073741824,3944,530,12287,136,310,2002/11/06
1,2002/11/09,701,2479,363,642,2460,1869,1077,1073741824,4242,942,-5649,136,319,2002/11/15
1,2002/11/17,730,2203,355,604,2256,1809,1089,1073741824,4353,540,11657,72,326,2002/11/22
1,2002/11/25,798,2379,399,674,2446,1938,1162,1073741824,4584,808,-5490,72,335,2002/12/01
1,2002/12/03,758,1959,382,637,2025,1671,968,1073741824,4641,621,11984,136,342,2002/12/08
1,2002/12/11,798,2172,399,650,2355,1899,1208,1073741824,4793,788,-5626,72,351,2002/12/17
1,2002/12/19,775,2057,456,666,2154,1769,1083,1073741824,4775,604,11826,72,358,2002/12/24
1,2002/12/27,914,2259,513,772,2414,1994,1285,1073741824,4838,896,-5684,72,2,2002/01/02
1,2003/01/01,914,2259,513,772,2414,1994,1285,1073741824,4838,896,-5684,72,2,2003/01/02
1,2003/01/09,765,2016,424,626,2119,1792,1146,1073741824,4598,1881,12537,72,16,2003/01/16
1,2003/01/17,900,2162,499,735,2310,1927,1270,1073741824,4703,880,-4830,72,18,2003/01/18
1,2003/01/25,1119,2234,604,906,2529,2280,1579,1073741824,4629,2178,-4724,136,27,2003/01/27
1,2003/02/02,1038,2206,571,859,2418,2089,1393,1073741824,4403,842,-4734,136,34,2003/02/03
1,2003/02/10,970,1913,522,759,2160,1969,1349,1073741824,4148,576,13120,72,41,2003/02/10
1,2003/02/18,933,1740,492,720,1916,1834,1229,1073741824,3568,3087,13289,72,55,2003/02/24
1,2003/02/26,1037,1883,546,801,2155,2046,1392,1073741824,3669,522,13570,72,57,2003/02/26
1,2003/03/06,1218,2187,613,925,2504,2362,1766,1073741824,3467,941,-3654,72,66,2003/03/07
1,2003/03/14,1121,1855,568,856,2142,2015,1556,1073741824,3128,515,13721,72,73,2003/03/14
1,2003/03/22,1271,2098,664,972,2393,2197,1767,1073741824,2925,869,-3109,72,82,2003/03/23
1,2003/03/30,1253,2014,629,943,2275,2155,1678,1073741824,2587,558,14950,72,89,2003/03/30
1,2003/04/07,1169,1908,570,848,2203,2187,1647,1073741824,2433,860,-2174,72,98,2003/04/08
1,2003/04/15,1158,1832,570,851,2186,2107,1783,1073741824,2126,540,16052,72,105,2003/04/15
