1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
11,No Data
12,No Data
13,No Data
14,No Data
15,No Data
16,No Data
17,No Data
18,No Data
19,No Data
20,No Data
21,No Data
22,No Data
23,No Data
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2000/03/05,15890,0,111,79,14589,0,224,56,247,249,239,251,N\A
1,2000/03/13,16000,0,109,62,14674,0,226,75,247,248,254,191,N\A
1,2000/03/21,15984,0,111,73,14711,0,224,57,247,248,255,251,N\A
1,2000/03/29,16244,0,109,63,14933,0,226,69,247,249,254,255,N\A
1,2000/04/06,16290,0,111,77,15073,0,224,57,247,248,251,251,N\A
1,2000/04/14,16270,0,109,63,15059,0,226,69,247,248,254,255,N\A
1,2000/04/22,16312,0,111,83,14977,0,222,31,247,248,44,35,N\A
1,2000/04/30,16371,0,112,85,15087,0,226,69,247,248,94,255,N\A
1,2000/05/08,16197,0,112,88,14993,0,227,76,247,249,33,120,N\A
1,2000/05/16,0,2,255,255,14897,0,227,80,247,249,0,225,N\A
1,2000/05/24,0,2,255,255,14877,0,223,41,247,249,0,3,N\A
1,2000/06/01,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/09,0,2,255,255,14848,0,223,37,247,249,0,40,N\A
1,2000/06/17,0,2,255,255,14853,65,228,100,247,249,0,128,N\A
1,2000/06/25,0,2,255,255,14862,0,223,41,247,249,0,3,N\A
1,2000/07/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/11,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/19,0,2,255,255,14553,0,229,95,247,249,0,12,N\A
1,2000/07/27,0,2,255,255,14764,0,225,65,247,248,0,194,N\A
1,2000/08/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/28,0,2,255,255,14568,65,231,123,247,248,0,16,N\A
1,2000/09/05,0,2,255,255,14662,65,227,77,247,249,0,252,N\A
1,2000/09/13,15450,65,110,72,14849,0,224,55,247,249,1,73,N\A
1,2000/09/21,0,2,255,255,14908,0,228,96,247,249,0,129,N\A
1,2000/09/29,15797,0,111,73,14840,0,224,57,247,248,60,251,N\A
1,2000/10/07,0,2,255,255,14859,0,227,81,247,249,0,132,N\A
1,2000/10/15,15756,0,110,66,14746,0,225,63,247,248,247,248,N\A
1,2000/10/23,15819,0,109,54,14743,0,225,60,247,249,238,247,N\A
1,2000/10/31,15761,0,111,72,14625,0,223,45,247,248,255,235,N\A
1,2000/11/08,15700,0,109,62,14620,0,226,69,247,248,254,255,N\A
1,2000/11/16,15717,0,110,66,14543,0,224,57,247,248,247,251,N\A
1,2000/11/24,15513,0,109,62,14496,0,226,68,247,249,254,255,N\A
1,2000/12/02,15628,0,111,76,14333,0,224,56,247,248,251,251,N\A
1,2000/12/10,15635,0,110,70,14380,0,226,68,247,248,222,255,N\A
1,2000/12/18,15633,0,110,73,14370,0,224,57,247,249,255,251,N\A
1,2000/12/26,15541,0,108,44,14346,0,223,50,247,249,10,7,N\A
1,2001/01/01,15345,0,111,82,14346,0,225,58,247,249,252,207,N\A
1,2001/01/09,15430,0,109,61,14427,0,227,83,247,248,251,113,N\A
1,2001/01/17,15591,0,110,75,14496,0,225,58,247,249,245,233,N\A
1,2001/01/25,15602,0,108,58,14408,0,226,74,247,248,107,103,N\A
1,2001/02/02,15770,0,110,74,14505,0,225,63,247,248,255,238,N\A
1,2001/02/10,15764,0,109,63,14553,0,226,69,247,248,243,255,N\A
1,2001/02/18,15919,0,110,74,14701,0,224,56,247,248,255,239,N\A
1,2001/02/26,15791,0,107,51,14668,0,225,65,247,249,235,159,N\A
1,2001/03/06,15979,0,110,81,14729,0,224,57,247,248,191,207,N\A
1,2001/03/14,16071,0,107,51,14820,0,226,77,247,249,235,253,N\A
1,2001/03/22,16094,0,109,65,14903,0,224,56,247,248,247,239,N\A
1,2001/03/30,16173,0,108,61,14783,0,225,68,247,248,251,255,N\A
1,2001/04/07,16347,0,110,77,14962,0,223,52,247,249,221,142,N\A
1,2001/04/15,16286,0,109,67,15003,0,225,69,247,249,202,255,N\A
1,2001/04/23,16440,0,108,57,15156,0,224,56,247,248,215,239,N\A
1,2001/05/01,16379,0,108,62,15157,0,225,69,247,248,251,255,N\A
1,2001/05/09,16303,0,107,56,15093,0,223,56,247,249,7,239,N\A
1,2001/05/17,16238,0,112,99,15053,0,224,68,247,249,66,23,N\A
1,2001/05/25,16320,65,109,70,14995,0,224,63,247,248,21,108,N\A
1,2001/06/02,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/06/10,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/07/28,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/08/05,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/08/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2001/08/21,0,2,255,255,14753,0,225,72,247,248,0,208,N\A
1,2001/08/29,15323,65,112,106,14705,0,224,60,247,248,128,3,N\A
1,2001/09/06,15319,65,105,31,14736,0,225,68,247,248,32,195,N\A
1,2001/09/14,15220,0,109,75,0,2,255,255,247,248,144,0,N\A
1,2001/09/22,15267,0,106,46,14859,0,225,73,247,249,170,65,N\A
1,2001/09/30,15343,0,110,96,0,2,255,255,247,249,1,0,N\A
1,2001/10/08,15124,65,105,36,14687,65,231,128,247,248,136,32,N\A
1,2001/10/16,15309,0,108,66,14655,0,223,56,247,248,247,236,N\A
1,2001/10/24,15414,0,107,62,14616,0,224,69,247,249,251,255,N\A
1,2001/11/01,15452,0,108,67,14653,0,223,56,247,249,223,239,N\A
1,2001/11/09,15338,0,107,61,14514,0,223,62,247,249,251,127,N\A
1,2001/11/17,15410,0,110,84,14542,0,222,56,247,248,253,239,N\A
1,2001/11/25,15259,0,107,62,14352,0,224,69,247,248,251,255,N\A
1,2001/12/03,15412,0,109,74,14453,0,222,56,247,248,255,239,N\A
1,2001/12/11,15331,0,107,61,14476,0,224,68,247,248,251,255,N\A
1,2001/12/19,15248,0,109,73,14363,0,222,56,247,249,255,239,N\A
1,2001/12/27,15146,0,108,68,14527,65,225,87,246,248,27,21,N\A
1,2002/01/01,15226,0,108,71,14301,0,225,80,247,248,139,31,N\A
1,2002/01/09,15348,0,109,74,14413,0,223,58,247,248,223,255,N\A
1,2002/01/17,15315,0,109,81,14436,0,224,68,247,248,235,127,N\A
1,2002/01/25,15296,0,108,66,14283,0,222,58,247,248,95,127,N\A
1,2002/02/02,15338,0,107,58,14485,65,224,68,247,249,247,127,N\A
