1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2000/02/18,-28672,-28672,-28672,-28672,-28672,-28672,-28672,1002159035,4227,5270,-4349,8,55,2000/02/24
1,2000/02/26,1503,2389,719,1111,2950,2842,2045,1073741824,3716,27,7528,72,58,2000/02/27
1,2000/03/05,1648,2504,846,1256,3108,2937,2168,1073741824,3469,1322,-4599,72,67,2000/03/07
1,2000/03/13,1596,2341,819,1203,2933,2839,2163,1073741824,3131,28,10602,72,74,2000/03/14
1,2000/03/21,1758,2638,897,1331,3183,3096,2366,1073741824,2877,1241,-3910,72,83,2000/03/23
1,2000/03/29,1636,2389,801,1209,3012,2903,2233,1073741824,2528,205,12248,72,90,2000/03/30
1,2000/04/06,1795,2608,905,1341,3219,3285,2493,1107296256,2317,1196,-3190,72,99,2000/04/08
1,2000/04/14,1691,2421,875,1297,2942,2970,2243,1073741824,1997,151,14855,72,106,2000/04/15
1,2000/04/22,1681,2469,859,1268,2998,3010,2284,1073741824,1854,1140,-2533,72,115,2000/04/24
1,2000/04/30,1609,2350,822,1216,2834,2922,2224,1073741824,1583,253,14873,72,122,2000/05/01
1,2000/05/08,1358,2097,704,1039,2625,2655,1980,1073741824,1823,3597,-796,137,133,2000/05/12
1,2000/05/16,1383,2101,718,1063,2629,2677,2082,1073741824,1383,63,16015,73,138,2000/05/17
1,2000/05/24,1742,2534,902,1341,3097,3179,2511,1073741824,1476,1249,247,72,147,2000/05/26
1,2000/06/01,1251,1954,647,987,2393,2400,1837,1073741824,1336,154,17266,74,154,2000/06/02
1,2000/06/09,1271,2191,650,1075,2637,2504,1926,1073741824,1501,1204,949,137,163,2000/06/11
1,2000/06/17,1159,2066,576,979,2310,2275,1682,1073741824,1975,4466,979,137,174,2000/06/22
1,2000/06/25,1089,1853,535,870,2252,2214,1672,1073741824,1289,1527,-16993,137,177,2000/06/25
1,2000/07/03,875,1949,125,589,2506,2437,1745,1073741824,1475,205,-17080,8205,186,2000/07/04
1,2000/07/11,1491,2705,1296,1496,2974,2622,1598,1073741824,1664,1159,552,1033,195,2000/07/13
1,2000/07/19,3036,3861,3048,3167,4039,3461,2271,1073741824,1206,3755,17141,1033,207,2000/07/25
1,2000/07/27,1382,2324,1543,1575,2422,2757,1160,1073741824,1163,4558,16185,1033,214,2000/08/01
1,2000/08/04,1269,2961,1015,1416,3041,2440,1452,1073741824,2652,6315,-517,1033,217,2000/08/04
1,2000/08/12,8710,8762,8688,8783,-28672,4516,2602,1077411843,1662,2799,14853,1033,232,2000/08/19
1,2000/08/20,455,2991,94,549,2549,1751,757,1073741824,1716,3849,13977,8204,239,2000/08/26
1,2000/08/28,1046,4226,1148,1387,3868,2834,1283,1073741824,1825,4696,13008,1033,246,2000/09/02
1,2000/09/05,2450,4264,2330,2578,4129,3569,2484,1073741824,2742,4385,-3432,1033,254,2000/09/10
1,2000/09/13,673,3217,352,780,3163,2264,1109,1073741824,2578,1087,-4143,136,259,2000/09/15
1,2000/09/21,634,2645,324,696,2844,2084,1069,1073741824,2704,269,12656,72,266,2000/09/22
1,2000/09/29,950,2549,489,831,2919,2454,1592,1610612736,3057,1186,-5268,72,275,2000/10/01
1,2000/10/07,1085,2432,567,866,2945,2547,1720,1073741824,3223,169,12065,72,282,2000/10/08
1,2000/10/15,1177,2390,606,904,2884,2640,1714,1073741824,3409,1536,11565,72,289,2000/10/15
1,2000/10/23,1280,2346,636,961,2907,2638,1807,1073741824,3753,161,12243,72,298,2000/10/24
1,2000/10/31,1445,2489,728,1084,3021,2846,1943,1073741824,4080,1277,-6343,72,307,2000/11/02
1,2000/11/08,1417,2372,730,1069,2852,2723,1845,1073741824,4240,143,12084,72,314,2000/11/09
1,2000/11/16,1444,2379,735,1082,2910,2754,1922,1073741824,4517,1223,-6193,72,323,2000/11/18
1,2000/11/24,1433,2282,752,1088,2782,2633,1829,1073741824,4634,136,10165,72,330,2000/11/25
1,2000/12/02,1565,2502,742,1145,3003,2828,2008,1073741824,4841,1340,-6315,72,339,2000/12/04
1,2000/12/10,1483,2329,770,1123,2788,2604,1871,1073741824,4890,91,7623,72,346,2000/12/11
1,2000/12/18,1536,2389,790,1155,2870,2717,1927,1073741824,5004,1231,-6152,72,355,2000/12/20
1,2000/12/26,1446,2357,747,1084,2843,2663,1862,1073741824,4974,161,11033,72,362,2000/12/27
1,2001/01/01,1380,2400,681,1029,2831,2622,1774,1073741824,4993,1232,-5634,72,5,2001/01/05
1,2001/01/09,1547,2454,759,1138,2967,2868,2075,1073741824,4968,2536,-5548,72,14,2001/01/14
1,2001/01/17,1411,2319,744,1074,2771,2625,1843,1073741824,4804,1277,-5360,72,21,2001/01/21
1,2001/01/25,1431,2211,656,1037,2668,2562,1843,1073741824,4604,152,11942,72,28,2001/01/28
1,2001/02/02,1484,2375,764,1123,2818,2679,1925,1073741824,4448,1186,-5303,72,37,2001/02/06
