1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
id,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2000/03/05,15648,0,111,78,14437,0,225,63,247,248,237,255,N\A
1,2000/03/13,15827,0,110,68,14455,0,225,71,229,231,254,191,N\A
1,2000/03/21,15970,0,111,71,14533,0,225,63,247,249,253,255,N\A
1,2000/03/29,16184,0,110,61,14700,0,225,66,247,249,255,255,N\A
1,2000/04/06,16309,0,111,71,14712,0,226,69,247,248,253,127,N\A
1,2000/04/14,16097,0,110,61,14904,0,227,76,247,249,255,247,N\A
1,2000/04/22,16110,0,112,90,14979,65,223,42,247,248,44,38,N\A
1,2000/04/30,16235,0,110,63,14975,0,225,64,247,249,63,63,N\A
1,2000/05/08,0,2,255,255,14802,0,220,14,247,249,0,132,N\A
1,2000/05/16,0,2,255,255,15029,0,226,74,247,248,0,243,N\A
1,2000/05/24,16191,0,111,71,15081,0,225,63,247,248,29,31,N\A
1,2000/06/01,15972,65,110,66,14910,0,224,58,247,249,2,3,N\A
1,2000/06/09,0,2,255,255,14945,0,224,44,246,248,0,32,N\A
1,2000/06/17,0,2,255,255,14914,0,226,74,247,249,0,192,N\A
1,2000/06/25,0,2,255,255,14950,0,224,56,247,248,0,3,N\A
1,2000/07/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/11,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/19,0,2,255,255,14723,65,224,57,247,249,0,16,N\A
1,2000/07/27,0,2,255,255,14655,0,225,62,247,248,0,224,N\A
1,2000/08/04,0,2,255,255,14749,0,228,105,246,248,0,1,N\A
1,2000/08/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/20,15096,65,113,103,14898,0,226,73,247,249,64,112,N\A
1,2000/08/28,14806,65,115,118,14777,65,226,73,247,248,40,8,N\A
1,2000/09/05,0,2,255,255,14653,0,227,83,247,248,0,240,N\A
1,2000/09/13,15412,0,112,82,14728,0,224,58,247,248,189,230,N\A
1,2000/09/21,15439,0,110,69,14675,0,224,60,247,248,254,214,N\A
1,2000/09/29,15804,0,111,72,14702,0,225,63,247,249,253,255,N\A
1,2000/10/07,15780,0,107,40,14713,65,223,57,247,248,235,155,N\A
1,2000/10/15,15852,0,111,75,14569,0,225,71,247,249,249,251,N\A
1,2000/10/23,15736,0,109,52,14553,0,226,75,247,248,239,247,N\A
1,2000/10/31,15732,0,112,81,14521,0,225,63,247,249,189,255,N\A
1,2000/11/08,15621,0,110,60,14494,0,225,66,247,249,255,255,N\A
1,2000/11/16,15540,0,111,71,14372,0,225,63,247,248,253,255,N\A
1,2000/11/24,15323,0,109,60,14296,0,225,66,247,249,255,255,N\A
1,2000/12/02,15465,0,110,71,14153,0,225,62,247,248,253,255,N\A
1,2000/12/10,15405,0,110,65,14248,0,224,57,247,249,223,223,N\A
1,2000/12/18,15362,0,110,71,14168,0,225,63,247,249,253,255,N\A
