1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2000/02/18,255,255,157,255,255,255,N\A
1,2000/02/26,17,3,0,128,8,1,N\A
1,2000/03/05,13,2,0,128,7,1,N\A
1,2000/03/13,16,3,0,128,7,1,N\A
1,2000/03/21,16,3,0,128,7,1,N\A
1,2000/03/29,11,2,0,128,7,1,N\A
1,2000/04/06,13,2,0,128,7,1,N\A
1,2000/04/14,10,2,0,128,6,1,N\A
1,2000/04/22,10,2,0,128,6,1,N\A
1,2000/04/30,11,2,0,128,6,1,N\A
1,2000/05/08,10,2,8,136,6,1,N\A
1,2000/05/16,10,2,8,128,6,1,N\A
1,2000/06/01,12,2,16,128,6,1,N\A
1,2000/06/09,12,2,8,136,6,1,N\A
1,2000/06/17,14,3,8,136,6,1,N\A
1,2000/06/25,11,2,8,128,6,1,N\A
1,2000/07/03,19,4,8,192,4,1,N\A
1,2000/07/11,21,4,8,160,8,2,N\A
1,2000/07/19,5,1,105,160,248,248,N\A
1,2000/07/27,13,2,8,160,7,1,N\A
1,2000/08/04,21,3,16,160,0,0,N\A
1,2000/08/20,40,9,8,192,2,1,N\A
1,2000/08/28,30,6,0,160,0,0,N\A
1,2000/09/05,28,5,16,160,6,1,N\A
1,2000/09/13,52,12,0,136,3,1,N\A
1,2000/09/21,44,10,0,128,4,1,N\A
1,2000/09/29,35,7,0,128,5,1,N\A
1,2000/10/07,27,5,0,128,6,1,N\A
1,2000/10/15,24,3,0,128,0,0,N\A
1,2000/10/23,21,3,0,128,6,1,N\A
1,2000/10/31,18,3,0,128,7,1,N\A
1,2000/11/08,16,2,0,128,8,1,N\A
1,2000/11/16,18,3,0,128,7,1,N\A
1,2000/11/24,16,2,0,128,8,1,N\A
1,2000/12/02,15,2,0,128,8,1,N\A
1,2000/12/10,15,2,0,128,8,1,N\A
1,2000/12/18,18,3,0,128,8,1,N\A
1,2000/12/26,18,3,0,128,7,1,N\A
1,2001/01/01,19,3,0,128,7,1,N\A
1,2001/01/09,15,2,0,136,8,1,N\A
1,2001/01/17,18,3,0,136,7,1,N\A
1,2001/01/25,18,3,0,128,7,1,N\A
1,2001/02/02,15,2,0,128,8,1,N\A
1,2001/02/10,14,2,0,128,8,1,N\A
1,2001/02/18,14,2,0,128,8,1,N\A
1,2001/02/26,14,2,0,128,8,1,N\A
1,2001/03/06,12,2,0,136,7,1,N\A
1,2001/03/14,12,2,0,128,7,1,N\A
1,2001/03/22,11,2,0,128,6,1,N\A
1,2001/03/30,13,2,0,136,7,1,N\A
1,2001/04/07,12,2,0,128,7,1,N\A
1,2001/04/15,11,2,0,128,6,1,N\A
1,2001/04/23,10,2,0,128,6,1,N\A
1,2001/05/09,11,2,0,128,6,1,N\A
1,2001/05/17,6,1,8,160,0,0,N\A
1,2001/05/25,9,2,8,128,5,1,N\A
1,2001/06/02,10,2,8,136,6,1,N\A
1,2001/06/10,6,1,8,160,0,0,N\A
1,2001/07/04,7,1,8,160,0,0,N\A
1,2001/07/12,3,1,105,160,248,248,N\A
1,2001/07/20,2,0,105,160,248,248,N\A
1,2001/07/28,13,2,8,160,7,1,N\A
1,2001/08/05,39,7,8,160,5,1,N\A
1,2001/08/13,26,5,8,160,6,1,N\A
1,2001/08/21,20,3,8,160,0,0,N\A
1,2001/08/29,51,11,16,136,5,2,N\A
1,2001/09/06,46,10,0,128,4,1,N\A
1,2001/09/14,40,8,0,136,1,0,N\A
1,2001/09/22,37,7,16,128,5,1,N\A
1,2001/09/30,24,4,8,136,5,1,N\A
1,2001/10/08,26,5,8,128,6,1,N\A
1,2001/10/16,27,4,0,136,6,1,N\A
1,2001/10/24,23,3,0,136,0,0,N\A
1,2001/11/01,23,3,0,128,0,0,N\A
1,2001/11/09,23,3,0,128,0,0,N\A
1,2001/11/17,22,3,0,128,0,0,N\A
1,2001/11/25,23,3,0,128,0,0,N\A
1,2001/12/03,23,3,0,128,0,0,N\A
1,2001/12/11,24,3,0,128,0,0,N\A
1,2001/12/19,20,3,0,128,6,1,N\A
1,2001/12/27,23,3,0,136,0,0,N\A
1,2002/01/01,20,2,0,128,10,1,N\A
1,2002/01/09,22,3,0,128,10,1,N\A
1,2002/01/17,18,3,0,136,7,1,N\A
1,2002/01/25,18,3,0,128,8,1,N\A
1,2002/02/02,18,3,0,128,7,1,N\A
1,2002/02/10,15,2,0,128,8,1,N\A
1,2002/02/18,15,2,0,128,8,1,N\A
1,2002/02/26,14,2,0,128,8,1,N\A
1,2002/03/06,14,2,0,128,8,1,N\A
1,2002/03/14,13,2,16,128,7,1,N\A
1,2002/03/30,11,2,0,128,6,1,N\A
1,2002/04/07,13,2,0,128,7,1,N\A
1,2002/04/15,11,2,0,128,6,1,N\A
1,2002/04/23,12,2,0,128,7,1,N\A
1,2002/05/01,10,2,0,128,6,1,N\A
1,2002/05/09,10,2,0,128,6,1,N\A
1,2002/05/17,6,1,8,160,0,0,N\A
1,2002/05/25,12,2,0,128,6,1,N\A
1,2002/06/02,12,2,16,128,6,1,N\A
1,2002/06/10,12,2,8,160,6,1,N\A
1,2002/06/18,6,1,8,160,0,0,N\A
1,2002/06/26,10,2,8,160,6,1,N\A
1,2002/07/04,14,3,8,192,6,1,N\A
1,2002/07/12,15,3,8,160,7,1,N\A
1,2002/07/20,25,5,16,192,5,1,N\A
1,2002/07/28,12,2,8,176,6,1,N\A
1,2002/08/05,4,1,105,160,248,248,N\A
1,2002/08/13,9,2,105,160,248,248,N\A
1,2002/08/21,29,6,105,160,248,248,N\A
1,2002/08/29,14,3,8,160,6,1,N\A
1,2002/09/06,55,12,0,200,3,1,N\A
1,2002/09/14,54,12,0,136,3,1,N\A
1,2002/09/22,45,10,0,136,4,1,N\A
1,2002/09/30,32,6,0,128,0,0,N\A
1,2002/10/08,30,5,0,128,6,1,N\A
1,2002/10/16,24,3,0,128,0,0,N\A
1,2002/10/24,23,3,0,128,0,0,N\A
1,2002/11/01,17,3,0,128,8,1,N\A
1,2002/11/09,18,3,0,128,7,1,N\A
1,2002/11/17,17,2,0,128,8,1,N\A
1,2002/11/25,17,2,0,128,8,1,N\A
1,2002/12/03,17,3,0,128,8,1,N\A
1,2002/12/11,18,3,0,128,7,1,N\A
1,2002/12/19,16,2,0,128,8,1,N\A
1,2002/12/27,18,3,0,128,8,1,N\A
1,2003/01/01,20,2,0,128,10,1,N\A
1,2003/01/09,24,3,0,128,10,1,N\A
1,2003/01/17,17,3,0,128,8,1,N\A
1,2003/01/25,17,2,0,128,8,1,N\A
1,2003/02/02,18,3,0,136,7,1,N\A
1,2003/02/10,17,3,0,128,8,1,N\A
1,2003/02/18,15,2,0,128,8,1,N\A
1,2003/02/26,13,2,0,128,7,1,N\A
1,2003/03/06,13,2,0,128,7,1,N\A
1,2003/03/14,11,2,0,128,6,1,N\A
1,2003/03/22,13,2,0,128,7,1,N\A
1,2003/03/30,10,2,0,128,6,1,N\A
1,2003/04/07,13,2,0,128,7,1,N\A
1,2003/04/15,13,2,0,128,7,1,N\A
1,2003/04/23,10,2,0,128,6,1,N\A
1,2003/05/01,10,2,0,136,6,1,N\A
1,2003/05/09,6,1,0,128,0,0,N\A
1,2003/05/17,10,2,0,128,6,1,N\A
1,2003/05/25,10,2,0,128,6,1,N\A
1,2003/06/02,9,2,0,128,6,1,N\A
1,2003/06/10,10,2,0,128,6,1,N\A
1,2003/06/18,9,2,8,192,5,1,N\A
1,2003/06/26,6,1,8,192,0,0,N\A
1,2003/07/04,21,4,8,160,4,1,N\A
1,2003/07/12,21,4,8,160,5,1,N\A
1,2003/07/20,14,3,105,160,248,248,N\A
1,2003/07/28,42,9,8,160,6,2,N\A
1,2003/08/05,51,12,8,160,3,1,N\A
1,2003/08/13,5,1,105,160,248,248,N\A
1,2003/08/21,64,19,0,192,3,2,N\A
1,2003/08/29,4,1,105,160,248,248,N\A
1,2003/09/06,25,5,16,192,5,1,N\A
1,2003/09/14,16,3,105,160,248,248,N\A
1,2003/09/22,49,11,0,136,4,1,N\A
1,2003/09/30,45,10,0,128,4,1,N\A
1,2003/10/08,37,8,0,136,4,1,N\A
1,2003/10/16,36,6,0,128,0,0,N\A
1,2003/10/24,29,5,0,128,6,1,N\A
1,2003/11/01,24,3,0,136,0,0,N\A
1,2003/11/09,23,3,0,128,0,0,N\A
1,2003/11/17,23,3,0,136,0,0,N\A
1,2003/11/25,23,3,0,128,0,0,N\A
1,2003/12/03,23,3,0,128,0,0,N\A
1,2003/12/11,24,3,16,200,0,0,N\A
1,2003/12/19,22,3,0,136,0,0,N\A
1,2003/12/27,30,3,0,136,0,0,N\A
1,2004/01/01,30,3,0,136,0,0,N\A
1,2004/01/09,30,3,0,128,0,0,N\A
1,2004/01/17,30,3,0,128,0,0,N\A
1,2004/01/25,26,4,0,136,5,1,N\A
1,2004/02/02,24,3,0,128,0,0,N\A
1,2004/02/10,23,3,0,128,0,0,N\A
1,2004/02/18,23,3,0,128,0,0,N\A
1,2004/02/26,18,3,0,128,7,1,N\A
1,2004/03/05,17,3,0,128,8,1,N\A
1,2004/03/13,13,2,0,128,7,1,N\A
1,2004/03/21,12,2,0,128,7,1,N\A
1,2004/03/29,13,2,0,128,7,1,N\A
1,2004/04/06,12,2,0,128,7,1,N\A
1,2004/04/14,12,2,0,128,7,1,N\A
1,2004/04/22,11,2,0,128,6,1,N\A
1,2004/04/30,12,2,0,136,6,1,N\A
1,2004/05/08,12,2,8,128,6,1,N\A
1,2004/05/16,12,2,0,128,6,1,N\A
1,2004/05/24,11,2,0,128,6,1,N\A
1,2004/06/01,9,2,0,128,5,1,N\A
1,2004/06/09,7,1,8,176,0,0,N\A
1,2004/06/17,12,2,8,128,6,1,N\A
1,2004/06/25,21,4,8,136,5,1,N\A
1,2004/07/03,23,5,8,176,5,1,N\A
1,2004/07/11,23,5,8,192,5,1,N\A
1,2004/07/19,35,7,8,136,4,1,N\A
1,2004/07/27,24,4,16,160,5,1,N\A
1,2004/08/04,29,6,105,160,248,248,N\A
1,2004/08/12,37,7,8,160,4,1,N\A
1,2004/08/20,27,6,105,160,248,248,N\A
1,2004/08/28,54,12,0,136,3,1,N\A
1,2004/09/05,48,10,16,136,4,1,N\A
1,2004/09/13,47,10,16,136,4,1,N\A
1,2004/09/21,37,7,8,192,5,1,N\A
1,2004/09/29,32,6,0,192,4,1,N\A
1,2004/10/07,33,7,0,136,4,1,N\A
1,2004/10/15,31,5,0,136,6,1,N\A
1,2004/10/23,23,3,0,136,0,0,N\A
1,2004/10/31,23,3,0,136,0,0,N\A
1,2004/11/08,23,3,0,136,0,0,N\A
1,2004/11/16,23,3,0,128,0,0,N\A
1,2004/11/24,23,3,0,128,0,0,N\A
1,2004/12/02,23,3,0,128,0,0,N\A
1,2004/12/10,23,3,0,128,0,0,N\A
1,2004/12/18,23,3,0,128,9,1,N\A
1,2004/12/26,23,3,0,128,9,1,N\A
1,2005/01/01,23,3,0,128,0,0,N\A
1,2005/01/09,23,3,0,128,0,0,N\A
1,2005/01/17,22,3,0,136,0,0,N\A
1,2005/01/25,23,3,0,128,0,0,N\A
1,2005/02/02,22,3,0,128,0,0,N\A
1,2005/02/10,17,3,0,128,8,1,N\A
1,2005/02/18,17,2,0,128,8,1,N\A
1,2005/02/26,15,2,0,128,8,1,N\A
1,2005/03/06,13,2,0,128,7,1,N\A
1,2005/03/14,11,2,0,128,6,1,N\A
1,2005/03/22,13,2,0,128,7,1,N\A
1,2005/03/30,11,2,0,128,6,1,N\A
1,2005/04/07,13,2,0,128,7,1,N\A
1,2005/04/15,13,2,0,128,7,1,N\A
1,2005/04/23,13,2,16,128,7,1,N\A
1,2005/05/01,12,2,16,128,6,1,N\A
1,2005/05/09,12,2,0,128,6,1,N\A
1,2005/05/17,10,2,0,128,6,1,N\A
1,2005/05/25,12,2,0,128,6,1,N\A
1,2005/06/02,9,2,0,128,5,1,N\A
1,2005/06/18,6,1,8,176,0,0,N\A
1,2005/06/26,6,1,8,160,0,0,N\A
1,2005/07/04,17,3,8,136,0,0,N\A
1,2005/07/12,14,3,8,160,6,1,N\A
1,2005/07/20,12,2,0,160,6,1,N\A
1,2005/07/28,6,1,105,160,248,248,N\A
1,2005/08/05,43,10,16,160,4,1,N\A
1,2005/08/13,20,3,8,160,0,0,N\A
1,2005/08/21,59,15,0,136,3,1,N\A
1,2005/08/29,59,14,0,136,5,2,N\A
1,2005/09/06,48,12,8,192,3,1,N\A
1,2005/09/14,55,13,8,192,3,1,N\A
1,2005/09/22,45,10,0,128,4,1,N\A
1,2005/09/30,46,10,0,128,4,1,N\A
1,2005/10/08,35,7,0,128,5,1,N\A
1,2005/10/16,30,5,0,192,6,1,N\A
1,2005/10/24,23,3,0,128,0,0,N\A
1,2005/11/01,24,3,0,128,0,0,N\A
1,2005/11/09,19,3,0,136,7,1,N\A
1,2005/11/17,18,3,0,128,7,1,N\A
1,2005/11/25,15,2,0,128,8,1,N\A
1,2005/12/03,18,3,0,128,8,1,N\A
1,2005/12/11,17,3,0,128,8,1,N\A
1,2005/12/19,18,3,0,128,7,1,N\A
1,2005/12/27,18,3,0,128,7,1,N\A
1,2006/01/01,17,2,0,128,10,1,N\A
1,2006/01/09,18,3,0,128,7,1,N\A
1,2006/01/17,18,3,0,128,7,1,N\A
1,2006/01/25,18,3,0,128,7,1,N\A
1,2006/02/02,18,3,0,128,8,1,N\A
1,2006/02/10,13,2,0,128,8,1,N\A
1,2006/02/18,18,3,0,128,8,1,N\A
1,2006/02/26,15,2,0,128,8,1,N\A
1,2006/03/06,12,2,0,128,7,1,N\A
1,2006/03/14,13,2,0,128,7,1,N\A
1,2006/03/22,13,2,0,128,7,1,N\A
1,2006/03/30,13,2,0,128,7,1,N\A
1,2006/04/07,13,2,0,128,7,1,N\A
