site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,20.477082,106.07578,27,6,4499,4571
2,20.527173,106.479465,27,6,4664,4546
3,20.285576,105.824057,27,6,4445,4662
4,21.164632,105.980063,27,6,4239,4240
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2001/01/01,2199,1021,2062,890,1392,2857,2641,792,4598,2389,7,3,N\A
1,2001/01/17,2682,1266,2257,937,1624,491,1349,3255,4310,2382,21,1,N\A
1,2001/02/02,731,305,34838,1204,1394,408,336,571,3833,500,48,3,N\A
1,2001/02/18,2830,1260,2257,856,1532,435,300,625,3317,414,64,1,N\A
1,2001/03/06,2362,1257,34841,1225,1983,569,718,4216,3256,331,75,1,N\A
1,2001/03/22,3474,2787,34841,1137,2348,1108,781,4982,3085,275,84,1,N\A
1,2001/04/07,8265,5636,2257,334,3517,187,715,2165,1637,2017,110,1,N\A
1,2001/04/23,7740,5419,2185,466,3659,230,800,607,1630,-21,128,1,N\A
1,2001/05/09,6918,4472,2116,576,3163,288,768,561,1589,-128,144,0,N\A
1,2001/05/25,4326,3512,34838,1280,3232,936,1385,581,1662,-240,160,3,N\A
1,2001/06/10,3612,1842,2185,891,1899,476,545,3312,1276,1553,165,1,N\A
1,2001/06/26,253,113,2116,1309,1377,569,158,607,1824,-148,192,0,N\A
1,2001/07/12,1415,658,2258,1122,1492,556,496,856,1699,1660,199,3,N\A
1,2001/07/28,7572,4504,2061,399,2889,195,702,2256,1644,1846,222,1,N\A
1,2001/08/13,8342,6695,2261,425,4702,171,1098,6105,2818,48,230,1,N\A
1,2001/08/29,2156,4411,2066,2863,4437,3026,2439,5607,2923,228,253,3,N\A
1,2001/09/14,7943,5219,2257,379,3306,208,577,599,2791,409,272,1,N\A
1,2001/09/30,6829,4808,2120,665,3530,350,881,4124,3355,447,283,0,N\A
1,2001/10/16,6029,3686,2261,696,2810,353,660,5070,3097,2446,291,1,N\A
1,2001/11/01,2604,1042,2116,761,1297,401,384,654,4199,553,320,0,N\A
1,2001/11/17,2334,995,2185,844,1358,469,481,3175,4362,561,322,1,N\A
1,2001/12/03,940,776,2062,2235,2699,3397,2396,3119,4687,562,338,3,N\A
1,2001/12/19,3273,1579,2257,896,1768,446,600,3274,4614,2417,357,1,N\A
2,2001/01/01,617,6971,2066,3617,4093,4545,4251,6026,5062,510,6,3,N\A
2,2001/01/17,2005,756,2185,801,1203,364,713,3519,4302,2391,21,1,N\A
2,2001/02/02,1438,593,35874,1030,1376,398,269,209,3817,497,48,3,N\A
2,2001/02/18,2274,1245,3294,1250,1986,628,1037,274,3298,367,64,3,N\A
2,2001/03/06,3378,2555,3098,976,1972,1078,604,3983,3230,333,75,3,N\A
2,2001/03/22,8148,5511,2261,348,3411,214,901,4791,3056,279,84,1,N\A
2,2001/04/07,8652,6152,2257,266,3683,186,715,2477,1608,2031,110,1,N\A
2,2001/04/23,8738,7570,2189,340,5049,205,1032,6486,2603,-18,127,1,N\A
2,2001/05/09,8475,5564,2257,277,3358,157,470,3575,1137,1789,133,1,N\A
2,2001/05/25,7359,4305,36002,404,2656,267,472,5810,750,1530,154,3,N\A
2,2001/06/10,3730,1690,2185,747,1636,396,492,3566,1239,1548,165,1,N\A
2,2001/06/26,1470,763,2066,1099,1478,754,333,5778,932,1525,186,3,N\A
2,2001/07/12,2471,1489,34842,1089,1804,845,491,5426,2537,-91,205,3,N\A
2,2001/07/28,5924,3003,2257,531,2075,321,449,1522,2002,-35,217,1,N\A
2,2001/08/13,9163,8071,2185,156,3574,523,1026,3651,1542,1955,229,1,N\A
2,2001/08/29,9100,7668,2257,232,4924,136,741,3902,2612,249,251,1,N\A
