id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2000/02/18,7513,7557,7638,7611,7389,6114,4043,1073741824,5076,5924,11274,1033,55,2000/02/24,0.7513,0.7557,0.7638,0.7611,0.7389,0.6114,0.4043,0.0029197080292,0.0205607476636,0.105551898179,0.302931034483,0.109071038251,0.0112404656764,0000010000001001,cloudy,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,NA,0.0029197080292,0.0205607476636,0.105551898179,0.302931034483,0.109071038251,0.0112404656764
1,2000/02/26,1552,2496,783,1167,3425,3673,2481,1073741824,5280,3329,-5674,72,58,2000/02/27,0.1552,0.2496,0.0783,0.1167,0.3425,0.3673,0.2481,0.233201581028,0.148097016096,-0.190792673043,0.00301386377336,-0.517768595041,-0.156899172437,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.233201581028,0.148097016096,-0.190792673043,0.00301386377336,-0.517768595041,-0.156899172437
1,2000/03/05,1558,2675,736,1164,3750,4090,2792,1073741824,4645,1360,-5789,136,72,2000/03/12,0.1558,0.2675,0.0736,0.1164,0.375,0.409,0.2792,0.263879045594,0.169211658486,-0.209164818921,-0.0214011340772,-0.556909021698,-0.167315175097,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.263879045594,0.169211658486,-0.209164818921,-0.0214011340772,-0.556909021698,-0.167315175097
1,2000/03/13,1463,2455,726,1120,3355,3791,2736,1073741824,4331,1963,11788,72,77,2000/03/17,0.1463,0.2455,0.0726,0.112,0.3355,0.3791,0.2736,0.253190403267,0.157081327591,-0.213896894012,-0.0541321518012,-0.543881083282,-0.154905335628,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.253190403267,0.157081327591,-0.213896894012,-0.0541321518012,-0.543881083282,-0.154905335628
1,2000/03/21,1576,2686,770,1219,3649,4181,3043,1075576832,4001,1243,-5537,72,88,2000/03/28,0.1576,0.2686,0.077,0.1219,0.3649,0.4181,0.3043,0.260441107461,0.169548481701,-0.217707878258,-0.0623145400593,-0.548518518519,-0.152012628256,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.260441107461,0.169548481701,-0.217707878258,-0.0623145400593,-0.548518518519,-0.152012628256
1,2000/03/29,1120,2362,579,922,3135,3297,2276,1073741824,3480,5572,11100,136,96,2000/04/05,0.112,0.2362,0.0579,0.0922,0.3135,0.3297,0.2276,0.356691556577,0.210658434818,-0.165223537728,0.0185424752048,-0.562929604172,-0.14062215754,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.356691556577,0.210658434818,-0.165223537728,0.0185424752048,-0.562929604172,-0.14062215754
1,2000/04/06,1826,2884,947,1424,3959,4479,3325,1073741824,3699,2289,-5524,136,97,2000/04/06,0.1826,0.2884,0.0947,0.1424,0.3959,0.4479,0.3325,0.224628450106,0.158028379388,-0.216623658835,-0.0710259301015,-0.517533457564,-0.157094841444,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.224628450106,0.158028379388,-0.216623658835,-0.0710259301015,-0.517533457564,-0.157094841444
1,2000/04/14,1217,2560,618,1008,3300,3480,2510,1073741824,2902,5592,10863,136,112,2000/04/21,0.1217,0.256,0.0618,0.1008,0.33,0.348,0.251,0.355573206248,0.220496486504,-0.152317880795,0.00986193293886,-0.550802139037,-0.126279863481,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.355573206248,0.220496486504,-0.152317880795,0.00986193293886,-0.550802139037,-0.126279863481
1,2000/04/22,1693,2828,841,1303,3968,3786,3430,1073741824,2854,1169,-5271,136,120,2000/04/29,0.1693,0.2828,0.0841,0.1303,0.3968,0.3786,0.343,0.251050652511,0.170129208262,-0.144844269731,-0.0961968680089,-0.487915111024,-0.167745732784,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.251050652511,0.170129208262,-0.144844269731,-0.0961968680089,-0.487915111024,-0.167745732784
1,2000/04/30,1346,2397,690,1058,3399,3850,3018,1073741824,2583,2099,11956,136,125,2000/05/04,0.1346,0.2397,0.069,0.1058,0.3399,0.385,0.3018,0.280790809511,0.17175447771,-0.232591643989,-0.114681440443,-0.568867155664,-0.172877846791,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.280790809511,0.17175447771,-0.232591643989,-0.114681440443,-0.568867155664,-0.172877846791
1,2000/05/08,1429,2451,736,1125,3378,3327,3088,1073741824,2367,2993,11754,136,132,2000/05/11,0.1429,0.2451,0.0736,0.1125,0.3378,0.3327,0.3088,0.263402061856,0.164785553047,-0.151609553479,-0.11500270807,-0.49460916442,-0.159032424086,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.263402061856,0.164785553047,-0.151609553479,-0.11500270807,-0.49460916442,-0.159032424086
1,2000/05/16,1211,2804,612,1010,3524,3494,2681,1073741824,2204,1999,12115,136,141,2000/05/20,0.1211,0.2804,0.0612,0.101,0.3524,0.3494,0.2681,0.396762141968,0.25726744186,-0.109558590029,0.0224247948952,-0.551509769094,-0.113780025284,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.396762141968,0.25726744186,-0.109558590029,0.0224247948952,-0.551509769094,-0.113780025284
1,2000/05/24,1312,2812,661,1092,3753,4092,2978,1073741824,2103,982,12459,136,150,2000/05/29,0.1312,0.2812,0.0661,0.1092,0.3753,0.4092,0.2978,0.363724539282,0.23845102216,-0.18539976825,-0.0286701208981,-0.578703703704,-0.143335872049,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.363724539282,0.23845102216,-0.18539976825,-0.0286701208981,-0.578703703704,-0.143335872049
