id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2001/01/01,1144,1620,553,900,1966,2050,1732,1073741824,6066,1243,11538,200,4,2001/01/04,0.1144,0.162,0.0553,0.09,0.1966,0.205,0.1732,0.172214182344,0.0830049175182,-0.117166212534,-0.0334128878282,-0.389830508475,-0.0964863357501,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.172214182344,0.0830049175182,-0.117166212534,-0.0334128878282,-0.389830508475,-0.0964863357501
1,2001/01/09,6312,6428,5805,6178,4322,1338,684,1075576832,6249,4824,-5971,36936,10,2001/01/10,0.6312,0.6428,0.5805,0.6178,0.4322,0.1338,0.0684,0.00910518053375,0.0269454123113,0.655421066186,0.80764904387,0.643959552954,0.195906976744,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,0.00910518053375,0.0269454123113,0.655421066186,0.80764904387,0.643959552954,0.195906976744
1,2001/01/17,4429,4631,3950,4263,2703,946,486,1073741824,5824,3264,11597,36936,18,2001/01/18,0.4429,0.4631,0.395,0.4263,0.2703,0.0946,0.0486,0.0222958057395,0.043609671848,0.660749506903,0.810044948212,0.636782491841,0.262885192255,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,0.0222958057395,0.043609671848,0.660749506903,0.810044948212,0.636782491841,0.262885192255
1,2001/01/25,1051,1467,377,799,1645,1516,999,1073741824,5722,2253,-5901,202,31,2001/01/31,0.1051,0.1467,0.0377,0.0799,0.1645,0.1516,0.0999,0.165210484512,0.0695861630591,-0.0164264163594,0.189781021898,-0.309719222462,-0.0571979434447,0000000011001010,mixed,no,land,high,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.0905799806919,0.0560134692692,0.404316768684,0.566857274712,0.273069739822,0.130357785445
1,2001/02/02,1085,1776,45,639,1744,1296,836,1073741824,5524,3224,-5690,201,40,2001/02/09,0.1085,0.1776,0.0045,0.0639,0.1744,0.1296,0.0836,0.241523942677,0.0962475972923,0.15625,0.359877488515,-0.339534883721,0.00909090909091,0000000011001001,cloudy,no,land,high,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.158864155644,0.0684172666904,0.147884030465,0.323669601211,-0.0906430121963,-0.00216962136455
1,2001/02/10,706,1121,336,523,1470,1394,954,1073741824,5253,2225,-5693,72,47,2001/02/16,0.0706,0.1121,0.0336,0.0523,0.147,0.1394,0.0954,0.227148330597,0.0808210641116,-0.108548707753,0.0804819277108,-0.454355764215,-0.134697028174,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.227148330597,0.0808210641116,-0.108548707753,0.0804819277108,-0.454355764215,-0.134697028174
1,2001/02/18,1030,1561,550,827,1881,1948,1604,1073741824,4941,1289,12208,202,52,2001/02/21,0.103,0.1561,0.055,0.0827,0.1881,0.1948,0.1604,0.204940177538,0.0974955934195,-0.110287831291,-0.0135860979463,-0.403963963964,-0.0929692039512,0000000011001010,mixed,no,land,high,none,no cloud,no fire,no,no,no,no,Yes,Yes,0.230106172756,0.10389238471,-0.0821182377416,0.0796645636379,-0.4242237652,-0.104877651616
1,2001/02/26,1234,1984,616,964,2306,2218,1694,1073741824,4658,82,9038,200,61,2001/03/02,0.1234,0.1984,0.0616,0.0964,0.2306,0.2218,0.1694,0.233064014916,0.126963705309,-0.0556877677297,0.078847199565,-0.394091766185,-0.0750582750583,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.233064014916,0.126963705309,-0.0556877677297,0.078847199565,-0.394091766185,-0.0750582750583
1,2001/03/06,1069,1831,550,877,2141,2233,1826,1073741824,4344,1217,12157,200,68,2001/03/09,0.1069,0.1831,0.055,0.0877,0.2141,0.2233,0.1826,0.26275862069,0.134915014164,-0.0989173228346,0.00136724090785,-0.436012861736,-0.0780463242699,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.26275862069,0.134915014164,-0.0989173228346,0.00136724090785,-0.436012861736,-0.0780463242699
1,2001/03/14,1384,2424,747,1217,2598,2571,2022,1073741824,4072,2308,-5113,200,79,2001/03/20,0.1384,0.2424,0.0747,0.1217,0.2598,0.2571,0.2022,0.273109243697,0.171895143962,-0.0294294294294,0.0904183535762,-0.357444561774,-0.0346475507766,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.273109243697,0.171895143962,-0.0294294294294,0.0904183535762,-0.357444561774,-0.0346475507766
