1,No Data
site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
2,37.2,12.0,18,5,1147,335

No dataid,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
2,2002/01/01,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/01/09,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/01/17,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/01/25,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/02/02,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/02/10,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/02/18,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/02/26,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/03/06,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/03/14,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/03/22,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/03/30,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/04/07,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/04/15,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/04/23,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/05/01,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/05/09,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/05/17,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/05/25,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/06/02,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/06/10,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/06/18,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/06/26,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/07/04,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/07/12,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/07/20,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/07/28,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/08/05,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/08/13,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/08/21,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/08/29,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/09/06,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/09/14,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/09/22,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/09/30,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/10/08,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/10/16,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/10/24,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/11/01,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/11/09,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/11/17,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/11/25,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/12/03,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/12/11,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/12/19,0,3,255,255,0,3,255,255,0,0,0,0,N\A
2,2002/12/27,0,3,255,255,0,3,255,255,0,0,0,0,N\A
