site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,19.551494,109.183507,28,7,1386,215
2,19.775155,109.53659,28,7,1476,107
3,19.730128,109.598528,28,7,1518,129
4,19.796258,109.887691,28,7,1628,97
5,19.579773,110.287299,28,7,1876,201
6,20.419787,110.182594,28,6,1564,4598
7,20.448591,110.165351,28,6,1547,4584
8,19.582171,109.42635,28,7,1486,200
9,19.801162,109.506521,28,7,1455,95
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_250m_quality_control_flags,actual_date
1,2010/01/01,447,2612,4096,N\A
1,2010/01/09,935,2237,4096,N\A
1,2010/01/17,889,2898,4096,N\A
1,2010/01/25,688,2671,4096,N\A
1,2010/02/02,799,2513,4096,N\A
1,2010/02/10,614,2005,4096,N\A
1,2010/02/18,793,2665,4096,N\A
1,2010/02/26,525,2649,4096,N\A
1,2010/03/06,708,3184,4096,N\A
1,2010/03/14,499,2692,4096,N\A
1,2010/03/22,470,2709,4096,N\A
1,2010/03/30,513,2947,4096,N\A
1,2010/04/07,796,2693,4096,N\A
1,2010/04/15,445,2438,4096,N\A
1,2010/04/23,843,3768,4096,N\A
1,2010/05/01,606,3364,4096,N\A
1,2010/05/09,548,3355,4096,N\A
1,2010/05/17,728,3719,4096,N\A
1,2010/05/25,2643,4341,4096,N\A
1,2010/06/02,566,3018,4096,N\A
1,2010/06/10,653,4014,4096,N\A
1,2010/06/18,500,4258,4096,N\A
1,2010/06/26,778,3027,4096,N\A
1,2010/07/04,674,3403,4096,N\A
1,2010/07/12,1248,3505,4096,N\A
1,2010/07/20,4978,6463,4096,N\A
1,2010/07/28,565,4731,4096,N\A
1,2010/08/05,365,4281,4096,N\A
1,2010/08/13,331,3793,4096,N\A
1,2010/08/21,283,3204,4096,N\A
1,2010/08/29,1016,3711,4096,N\A
1,2010/09/06,421,4757,4096,N\A
1,2010/09/14,551,3103,4096,N\A
1,2010/09/22,415,4210,4096,N\A
1,2010/09/30,704,4228,4096,N\A
1,2010/10/08,2288,3848,4096,N\A
1,2010/10/16,1553,3514,4096,N\A
1,2010/10/24,309,3539,4096,N\A
1,2010/11/01,307,1332,4096,N\A
1,2010/11/09,991,3402,4096,N\A
1,2010/11/17,269,3349,4096,N\A
1,2010/11/25,313,3626,4096,N\A
1,2010/12/03,449,3240,4096,N\A
1,2010/12/11,269,3098,4096,N\A
1,2010/12/19,292,3093,4096,N\A
1,2010/12/27,329,2987,4096,N\A
2,2010/01/01,136,2036,4096,N\A
2,2010/01/09,-100,2705,4305,N\A
2,2010/01/17,564,1925,4096,N\A
2,2010/01/25,303,2599,4096,N\A
2,2010/02/02,405,2649,4096,N\A
2,2010/02/10,326,2108,4096,N\A
2,2010/02/18,425,2536,4096,N\A
2,2010/02/26,468,2108,4096,N\A
2,2010/03/06,599,2612,4096,N\A
2,2010/03/14,448,2210,4096,N\A
2,2010/03/22,407,2516,4096,N\A
2,2010/03/30,382,3022,4096,N\A
2,2010/04/07,415,3349,4096,N\A
2,2010/04/15,272,2795,4096,N\A
2,2010/04/23,1344,3269,4096,N\A
2,2010/05/01,363,3729,4096,N\A
2,2010/05/09,455,3508,4096,N\A
2,2010/05/17,229,3074,4096,N\A
2,2010/05/25,915,3366,4096,N\A
2,2010/06/02,679,4415,4096,N\A
2,2010/06/10,299,4454,4096,N\A
2,2010/06/18,719,4104,4096,N\A
2,2010/06/26,235,4397,4096,N\A
2,2010/07/04,281,4044,4096,N\A
2,2010/07/12,202,3716,4096,N\A
2,2010/07/20,1712,3831,4096,N\A
2,2010/07/28,410,4642,4096,N\A
2,2010/08/05,166,3102,4096,N\A
2,2010/08/13,201,3212,4096,N\A
2,2010/08/21,3843,5382,4096,N\A
2,2010/08/29,1893,4265,4096,N\A
2,2010/09/06,222,3288,4096,N\A
2,2010/09/14,128,2872,4096,N\A
2,2010/09/22,1231,3774,4096,N\A
2,2010/09/30,4406,5519,4096,N\A
2,2010/10/08,415,4291,4096,N\A
2,2010/10/16,1216,3624,4096,N\A
2,2010/10/24,263,3043,4096,N\A
2,2010/11/01,657,3486,4096,N\A
2,2010/11/09,879,2757,4096,N\A
2,2010/11/17,211,2969,4096,N\A
2,2010/11/25,3095,4348,4096,N\A
2,2010/12/03,403,2941,4096,N\A
2,2010/12/11,207,2737,4096,N\A
2,2010/12/19,244,2973,4096,N\A
2,2010/12/27,215,2671,4096,N\A
3,2010/01/01,192,2302,4096,N\A
3,2010/01/09,1621,2389,4096,N\A
3,2010/01/17,462,2195,4096,N\A
3,2010/01/25,216,2134,4096,N\A
3,2010/02/02,476,2169,4096,N\A
3,2010/02/10,433,1944,4096,N\A
3,2010/02/18,545,2545,4096,N\A
3,2010/02/26,504,2091,4096,N\A
3,2010/03/06,397,3735,4096,N\A
3,2010/03/14,303,2575,4096,N\A
3,2010/03/22,344,3353,4096,N\A
3,2010/03/30,373,3447,4096,N\A
3,2010/04/07,378,3454,4096,N\A
3,2010/04/15,226,3001,4096,N\A
3,2010/04/23,4712,6061,4096,N\A
3,2010/05/01,323,4241,4096,N\A
3,2010/05/09,329,3842,4096,N\A
3,2010/05/17,235,3384,4096,N\A
3,2010/05/25,449,3474,4096,N\A
3,2010/06/02,525,4137,4096,N\A
3,2010/06/10,110,2954,4096,N\A
3,2010/06/18,979,3879,4096,N\A
3,2010/06/26,166,3022,4096,N\A
3,2010/07/04,276,3894,4096,N\A
3,2010/07/12,297,3604,4096,N\A
3,2010/07/20,875,3362,4096,N\A
3,2010/07/28,301,4446,4096,N\A
3,2010/08/05,219,2976,4096,N\A
3,2010/08/13,308,3687,4096,N\A
3,2010/08/21,101,3500,4096,N\A
3,2010/08/29,700,3469,4096,N\A
3,2010/09/06,225,3541,4096,N\A
3,2010/09/14,1596,4477,4096,N\A
3,2010/09/22,235,4060,4096,N\A
3,2010/09/30,1713,3485,4096,N\A
3,2010/10/08,1817,3237,4096,N\A
3,2010/10/16,910,3484,4096,N\A
3,2010/10/24,312,3459,4096,N\A
3,2010/11/01,116,3046,4096,N\A
3,2010/11/09,795,3007,4096,N\A
3,2010/11/17,415,3085,4096,N\A
3,2010/11/25,800,3423,4096,N\A
3,2010/12/03,429,2930,4096,N\A
3,2010/12/11,239,2761,4096,N\A
3,2010/12/19,277,2891,4096,N\A
3,2010/12/27,260,2805,4096,N\A
4,2010/01/01,279,2041,4096,N\A
4,2010/01/09,1880,2381,4096,N\A
4,2010/01/17,5709,6449,4096,N\A
4,2010/01/25,446,2361,4096,N\A
4,2010/02/02,401,2014,4096,N\A
4,2010/02/10,389,1759,4096,N\A
4,2010/02/18,562,2443,4096,N\A
4,2010/02/26,460,2048,4096,N\A
4,2010/03/06,467,2670,4096,N\A
4,2010/03/14,426,1896,4096,N\A
4,2010/03/22,473,2033,4096,N\A
4,2010/03/30,534,2220,4096,N\A
4,2010/04/07,594,2474,4096,N\A
4,2010/04/15,152,2074,4096,N\A
4,2010/04/23,1156,3214,4096,N\A
4,2010/05/01,540,3434,4096,N\A
4,2010/05/09,399,3519,4096,N\A
4,2010/05/17,530,3923,4096,N\A
4,2010/05/25,201,2525,4096,N\A
4,2010/06/02,589,3328,4096,N\A
4,2010/06/10,373,1994,4096,N\A
4,2010/06/18,517,4112,4096,N\A
4,2010/06/26,471,3181,4096,N\A
4,2010/07/04,434,3070,4096,N\A
4,2010/07/12,456,2746,4096,N\A
4,2010/07/20,392,2441,4096,N\A
4,2010/07/28,636,3208,4096,N\A
4,2010/08/05,200,767,4096,N\A
4,2010/08/13,303,2714,4096,N\A
4,2010/08/21,481,3234,4096,N\A
4,2010/08/29,302,3122,4096,N\A
4,2010/09/06,347,3440,4096,N\A
4,2010/09/14,398,3595,4096,N\A
4,2010/09/22,262,3157,4096,N\A
4,2010/09/30,1881,3602,4096,N\A
4,2010/10/08,467,4348,4096,N\A
4,2010/10/16,3248,4463,4096,N\A
4,2010/10/24,373,3238,4096,N\A
4,2010/11/01,550,3317,4096,N\A
4,2010/11/09,2518,3685,4096,N\A
4,2010/11/17,441,2975,4096,N\A
4,2010/11/25,559,2211,4096,N\A
4,2010/12/03,397,2918,4096,N\A
4,2010/12/11,273,2899,4096,N\A
4,2010/12/19,859,2941,4096,N\A
4,2010/12/27,330,2538,4096,N\A
5,2010/01/01,7060,7490,4096,N\A
5,2010/01/09,4380,5079,4096,N\A
5,2010/01/17,3403,3986,4096,N\A
5,2010/01/25,355,1862,4096,N\A
5,2010/02/02,291,1512,4096,N\A
5,2010/02/10,408,2104,4096,N\A
5,2010/02/18,469,2994,4096,N\A
5,2010/02/26,444,2323,4096,N\A
5,2010/03/06,364,3861,4096,N\A
5,2010/03/14,350,2540,4096,N\A
5,2010/03/22,399,2607,4096,N\A
5,2010/03/30,507,3356,4096,N\A
5,2010/04/07,538,3349,4096,N\A
