site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,16.157,95.668,27,7,906,1844
2,16.940821,96.645938,27,7,1177,1468
3,16.903272,97.345542,27,7,1507,1486
4,18.045487,96.621695,27,7,897,938
5,20.25627,93.137471,26,6,3541,4676
6,17.623545,95.68156,27,7,571,1140
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2004/01/01,3092,1812,2116,1204,2282,618,2228,802,4341,2316,10,0,N\A
1,2004/01/17,2930,1818,2116,1404,2568,665,2417,679,4324,464,19,0,N\A
1,2004/02/02,2760,1608,2116,1305,2300,622,2491,730,3788,2255,42,0,N\A
1,2004/02/18,2101,1061,2185,1013,1552,658,2629,3315,3793,347,53,1,N\A
1,2004/03/05,1960,784,2116,816,1214,457,2063,2073,3012,2168,65,0,N\A
1,2004/03/21,1928,933,2185,1032,1525,601,2366,2027,2503,2078,81,1,N\A
1,2004/04/06,1821,941,2185,1226,1772,617,2409,3181,1762,1926,104,1,N\A
1,2004/04/22,1986,970,2262,1105,1653,555,2146,6183,991,1844,116,3,N\A
1,2004/05/08,1471,1522,2062,1493,2008,1668,2350,2040,1635,1649,129,3,N\A
1,2004/05/24,116,388,2066,4722,4833,4802,1321,5040,1322,1428,150,3,N\A
1,2004/06/09,-9,-13,2062,6992,6979,7042,1152,796,2089,-291,163,3,N\A
1,2004/06/25,186,424,2066,4049,4203,3924,2254,4236,1653,1456,191,3,N\A
1,2004/07/11,781,538,2062,1439,1683,1199,548,3265,1775,1527,200,3,N\A
1,2004/07/27,529,833,2062,3095,3441,2885,1451,769,2179,-163,211,3,N\A
1,2004/08/12,1570,2226,2066,3059,4199,2634,2265,5759,2910,22,240,3,N\A
1,2004/08/28,5787,3397,35998,710,2661,342,672,684,2124,1967,250,3,N\A
1,2004/09/13,6425,5215,3102,643,2955,764,1045,4274,2193,2237,271,3,N\A
1,2004/09/29,6033,5492,34841,882,3565,886,660,4275,2668,2337,287,1,N\A
1,2004/10/15,6377,3514,2185,533,2410,301,737,712,3208,2341,298,1,N\A
1,2004/10/31,5582,3323,2116,745,2628,391,988,667,3655,2338,314,0,N\A
1,2004/11/16,4695,2684,2116,879,2435,429,1037,2018,3775,2388,321,0,N\A
1,2004/12/02,3515,2138,2116,1236,2576,577,1745,842,4264,529,339,0,N\A
1,2004/12/18,2824,1737,2116,1344,2402,699,2103,805,4444,553,355,0,N\A
2,2004/01/01,6326,4393,2116,754,3351,413,1335,137,4474,2454,3,0,N\A
2,2004/01/17,7035,5085,2116,622,3575,372,1235,88,4344,2550,19,0,N\A
2,2004/02/02,6093,4059,2116,750,3090,424,1400,36,4056,1800,35,0,N\A
2,2004/02/18,4381,2696,2116,993,2542,552,1995,1436,3332,2201,58,0,N\A
2,2004/03/05,3431,1947,2116,1091,2231,552,2022,2717,3009,2191,65,0,N\A
2,2004/03/21,2932,1809,2185,1333,2439,687,2608,74,2656,247,83,1,N\A
2,2004/04/06,2790,1580,2185,1196,2122,620,2311,3718,1712,1950,104,1,N\A
2,2004/04/22,2836,1656,2258,1317,2360,603,2471,3760,1446,1776,120,3,N\A
2,2004/05/08,3051,2338,3102,1358,2551,1059,1401,5426,2572,-192,144,3,N\A
2,2004/05/24,2041,1392,3098,1419,2147,1012,860,1457,2069,-270,156,3,N\A
2,2004/06/09,2058,1445,3098,1348,2047,1073,623,41,1977,-61,163,3,N\A
2,2004/06/25,4295,2927,3102,957,2398,778,797,4731,2629,-249,183,3,N\A
2,2004/07/11,2224,2329,2062,1842,2896,1685,1250,2698,1813,1509,193,3,N\A
2,2004/07/27,4435,6507,2066,1153,2991,1713,1144,6420,1069,1586,212,3,N\A
2,2004/08/12,6509,3727,34837,464,2195,449,473,1400,1949,1845,234,1,N\A
