site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,26.7478,115.0631,28,6,330,390
2,30.2536,80.1532,24,5,1108,1169
3,40.4536,90.8563,24,4,1096,1145
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2005/01/01,36,6,0,128,0,0,N\A
1,2005/01/09,8,2,16,160,5,1,N\A
1,2005/01/17,2,0,105,160,248,248,N\A
1,2005/01/25,6,1,8,136,0,0,N\A
1,2005/02/02,2,0,105,176,248,248,N\A
1,2005/02/10,1,0,105,160,248,248,N\A
1,2005/02/18,15,3,16,136,4,1,N\A
1,2005/02/26,10,2,8,176,6,1,N\A
1,2005/03/06,27,6,0,128,6,1,N\A
1,2005/03/14,1,0,105,160,248,248,N\A
1,2005/03/22,1,0,105,160,248,248,N\A
1,2005/03/30,15,4,0,136,4,1,N\A
1,2005/04/07,38,11,0,192,5,2,N\A
1,2005/04/15,36,13,0,136,4,2,N\A
1,2005/04/23,29,9,8,160,6,2,N\A
1,2005/05/01,37,11,8,128,4,2,N\A
1,2005/05/09,67,29,0,136,4,3,N\A
1,2005/05/17,9,2,8,160,5,1,N\A
1,2005/05/25,54,20,0,192,5,3,N\A
1,2005/06/02,18,5,8,192,4,1,N\A
1,2005/06/10,73,33,0,136,4,3,N\A
1,2005/06/18,57,20,0,136,4,2,N\A
1,2005/06/26,68,30,0,200,3,3,N\A
1,2005/07/04,67,28,0,136,4,3,N\A
1,2005/07/12,65,23,16,136,4,2,N\A
1,2005/07/20,66,31,0,136,3,3,N\A
1,2005/07/28,70,30,0,136,4,4,N\A
1,2005/08/05,46,16,16,192,4,2,N\A
1,2005/08/13,57,18,0,192,4,2,N\A
1,2005/08/21,61,20,0,136,5,3,N\A
1,2005/08/29,82,38,0,136,4,5,N\A
1,2005/09/06,74,32,0,192,3,3,N\A
1,2005/09/14,77,33,0,136,4,4,N\A
1,2005/09/22,58,21,0,200,4,2,N\A
1,2005/09/30,71,28,0,136,3,3,N\A
1,2005/10/08,70,22,0,136,4,2,N\A
1,2005/10/16,51,14,0,136,5,2,N\A
1,2005/10/24,54,14,0,136,4,2,N\A
1,2005/11/01,51,13,0,136,4,2,N\A
1,2005/11/09,14,3,8,200,6,1,N\A
1,2005/11/17,48,12,0,136,3,1,N\A
1,2005/11/25,45,11,0,136,5,2,N\A
1,2005/12/03,36,6,0,136,0,0,N\A
1,2005/12/11,37,6,0,136,0,0,N\A
1,2005/12/19,38,6,0,136,5,1,N\A
1,2005/12/27,1,0,105,160,248,248,N\A
2,2005/01/01,0,0,105,160,248,248,N\A
2,2005/01/09,0,0,105,160,248,248,N\A
2,2005/01/17,0,0,105,160,248,248,N\A
2,2005/01/25,0,0,97,164,248,248,N\A
2,2005/02/02,0,0,97,164,248,248,N\A
2,2005/02/10,0,0,105,160,248,248,N\A
2,2005/02/18,0,0,105,160,248,248,N\A
2,2005/02/26,0,0,97,196,248,248,N\A
2,2005/03/06,0,0,105,160,248,248,N\A
2,2005/03/14,0,0,97,196,248,248,N\A
2,2005/03/22,0,0,105,160,248,248,N\A
2,2005/03/30,0,0,105,160,248,248,N\A
2,2005/04/07,1,0,97,140,248,248,N\A
2,2005/04/15,1,0,105,160,248,248,N\A
2,2005/04/23,1,0,105,160,248,248,N\A
2,2005/05/01,0,0,105,192,248,248,N\A
2,2005/05/09,0,0,105,160,248,248,N\A
2,2005/05/17,2,0,97,196,248,248,N\A
2,2005/05/25,1,0,105,176,248,248,N\A
2,2005/06/02,2,0,97,192,248,248,N\A
2,2005/06/10,6,1,0,200,0,0,N\A
2,2005/06/18,6,1,0,192,0,0,N\A
2,2005/06/26,4,1,105,160,248,248,N\A
2,2005/07/04,7,1,0,192,0,0,N\A
2,2005/07/12,14,3,97,160,248,248,N\A
2,2005/07/20,10,2,105,160,248,248,N\A
2,2005/07/28,40,9,97,160,248,248,N\A
2,2005/08/05,32,6,0,200,0,0,N\A
2,2005/08/13,33,7,97,192,248,248,N\A
2,2005/08/21,26,5,8,160,6,1,N\A
2,2005/08/29,41,8,0,192,7,2,N\A
2,2005/09/06,33,6,0,192,7,2,N\A
2,2005/09/14,7,1,0,196,0,0,N\A
2,2005/09/22,0,0,105,160,248,248,N\A
2,2005/09/30,0,0,97,164,248,248,N\A
2,2005/10/08,1,0,105,160,248,248,N\A
2,2005/10/16,1,0,97,196,248,248,N\A
2,2005/10/24,1,0,97,204,248,248,N\A
2,2005/11/01,1,0,105,160,248,248,N\A
2,2005/11/09,0,0,97,196,248,248,N\A
2,2005/11/17,1,0,113,160,248,248,N\A
2,2005/11/25,1,0,105,160,248,248,N\A
2,2005/12/03,1,0,97,200,248,248,N\A
2,2005/12/11,0,0,97,192,248,248,N\A
2,2005/12/19,0,0,97,180,248,248,N\A
2,2005/12/27,0,0,97,196,248,248,N\A
3,2005/01/01,253,253,157,255,253,253,N\A
3,2005/01/09,253,253,157,255,253,253,N\A
3,2005/01/17,253,253,157,255,253,253,N\A
3,2005/01/25,253,253,157,255,253,253,N\A
3,2005/02/02,253,253,157,255,253,253,N\A
3,2005/02/10,253,253,157,255,253,253,N\A
3,2005/02/18,253,253,157,255,253,253,N\A
3,2005/02/26,253,253,157,255,253,253,N\A
3,2005/03/06,253,253,157,255,253,253,N\A
3,2005/03/14,253,253,157,255,253,253,N\A
3,2005/03/22,253,253,157,255,253,253,N\A
3,2005/03/30,253,253,157,255,253,253,N\A
3,2005/04/07,253,253,157,255,253,253,N\A
3,2005/04/15,253,253,157,255,253,253,N\A
3,2005/04/23,253,253,157,255,253,253,N\A
3,2005/05/01,253,253,157,255,253,253,N\A
3,2005/05/09,253,253,157,255,253,253,N\A
3,2005/05/17,253,253,157,255,253,253,N\A
3,2005/05/25,253,253,157,255,253,253,N\A
3,2005/06/02,253,253,157,255,253,253,N\A
3,2005/06/10,253,253,157,255,253,253,N\A
3,2005/06/18,253,253,157,255,253,253,N\A
3,2005/06/26,253,253,157,255,253,253,N\A
3,2005/07/04,253,253,157,255,253,253,N\A
3,2005/07/12,253,253,157,255,253,253,N\A
3,2005/07/20,253,253,157,255,253,253,N\A
3,2005/07/28,253,253,157,255,253,253,N\A
3,2005/08/05,253,253,157,255,253,253,N\A
3,2005/08/13,253,253,157,255,253,253,N\A
3,2005/08/21,253,253,157,255,253,253,N\A
3,2005/08/29,253,253,157,255,253,253,N\A
3,2005/09/06,253,253,157,255,253,253,N\A
3,2005/09/14,253,253,157,255,253,253,N\A
3,2005/09/22,253,253,157,255,253,253,N\A
3,2005/09/30,253,253,157,255,253,253,N\A
3,2005/10/08,253,253,157,255,253,253,N\A
3,2005/10/16,253,253,157,255,253,253,N\A
3,2005/10/24,253,253,157,255,253,253,N\A
3,2005/11/01,253,253,157,255,253,253,N\A
3,2005/11/09,253,253,157,255,253,253,N\A
3,2005/11/17,253,253,157,255,253,253,N\A
3,2005/11/25,253,253,157,255,253,253,N\A
3,2005/12/03,253,253,157,255,253,253,N\A
3,2005/12/11,253,253,157,255,253,253,N\A
3,2005/12/19,253,253,157,255,253,253,N\A
3,2005/12/27,253,253,157,255,253,253,N\A
