site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.066,116.0665,28,6,347,224
2,29.066,116.06667,28,6,347,224
3,29.066,116.06633,28,6,347,224
4,29.066,116.0665,28,6,347,224
5,29.0675,116.0705,28,6,348,223
6,29.0675,116.07117,28,6,348,223
7,29.06633,116.07383,28,6,349,224
8,29.06767,116.073,28,6,348,223
9,29.06717,116.07367,28,6,349,223
10,29.06633,116.07267,28,6,349,224
11,29.06733,116.07317,28,6,348,223
12,29.06767,116.0735,28,6,348,223
13,29.06717,116.07333,28,6,348,223
14,29.06733,116.07333,28,6,348,223
15,29.0675,116.069,28,6,347,223
16,29.06717,116.06933,28,6,348,223
17,29.06817,116.07333,28,6,348,223
18,29.06833,116.07333,28,6,348,223
19,29.06833,116.0735,28,6,348,223
20,29.06833,116.07317,28,6,348,223
21,29.06883,116.073,28,6,348,223
22,29.068,116.07317,28,6,348,223
23,29.06667,116.068,28,6,347,223
24,29.06633,116.06933,28,6,348,224
25,29.0685,116.07217,28,6,348,223
26,29.06717,116.07,28,6,348,223
27,29.06817,116.0735,28,6,348,223
28,29.073,116.07567,28,6,348,222
29,29.067,116.07317,28,6,348,223
30,29.06717,116.07317,28,6,348,223
31,29.06667,116.07333,28,6,349,223
32,29.06617,116.077,28,6,349,224
33,29.06933,116.07233,28,6,348,223
34,29.068,116.0715,28,6,348,223
35,29.02333,115.98667,28,6,341,234
36,29.02333,115.98683,28,6,341,234
37,29.02117,115.98633,28,6,341,234
38,29.02317,115.98867,28,6,341,234
39,29.02267,115.98783,28,6,341,234
40,29.00533,115.97767,28,6,343,238
41,29.01617,115.9815,28,6,341,236
42,29.0235,115.986,28,6,340,234
43,29.02433,115.98633,28,6,340,234
44,29.0245,115.98683,28,6,340,234
45,29.02417,115.98833,28,6,341,234
46,29.02333,115.98783,28,6,341,234
47,29.0235,115.98733,28,6,341,234
48,29.024,115.98817,28,6,341,234
49,29.02333,115.98517,28,6,340,234
50,29.02083,115.9885,28,6,342,235
51,29.0215,115.98883,28,6,342,234
52,29.0215,115.98867,28,6,341,234
53,29.02167,115.98867,28,6,341,234
54,28.99183,115.97933,28,6,346,241
55,28.99183,115.9795,28,6,347,241
56,29.08367,115.99217,28,6,328,219
57,28.98383,115.979,28,6,348,243
58,28.90617,115.816,28,6,332,262
59,28.8845,115.767,28,6,327,267
60,28.8965,115.8155,28,6,334,264
61,28.89667,115.8155,28,6,334,264
62,28.9025,115.76367,28,6,322,263
63,28.89883,115.81533,28,6,334,264
64,28.89883,115.81533,28,6,334,264
65,28.9025,115.76367,28,6,322,263
66,28.8965,115.81517,28,6,334,264
67,28.8965,115.8155,28,6,334,264
68,28.90417,115.78683,28,6,327,262
69,28.904,115.78683,28,6,327,263
70,28.904,115.78667,28,6,327,263
71,28.90683,115.76733,28,6,322,262
72,28.9065,115.76783,28,6,322,262
73,28.90417,115.78683,28,6,327,262
74,28.90667,115.76733,28,6,322,262
75,28.904,115.78683,28,6,327,263
76,28.904,115.78667,28,6,327,263
77,28.904,115.78667,28,6,327,263
78,28.90533,115.78717,28,6,326,262
79,28.90533,115.78683,28,6,326,262
80,28.90217,115.76333,28,6,322,263
81,28.99167,115.97667,28,6,346,241
82,28.99183,115.97667,28,6,346,241
83,28.99183,115.97667,28,6,346,241
84,29.0095,115.97883,28,6,342,237
85,29.0245,115.98617,28,6,340,234
86,28.99867,115.97733,28,6,344,240
87,28.99867,115.97733,28,6,344,240
88,28.99867,115.97733,28,6,344,240
89,29.02133,115.98133,28,6,340,234
90,28.99833,115.97267,28,6,344,240
