id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2000/02/18,-28672,-28672,-28672,-28672,-28672,-28672,-28672,4294967295,0,0,0,65535,65535,2179/06/05,-2.8672,-2.8672,-2.8672,-2.8672,-2.8672,-2.8672,-2.8672,-0,0.0,-0,-0,-0,-0,1111111111111111,not set, assumed clear,yes,deep ocean,high,high,cloud,fire,yes,yes,yes,yes,Yes,NA,-0,0.0,-0,-0,-0,-0
1,2000/02/26,1058,2449,839,1031,3273,2513,1617,1073741824,3194,222,-3368,1034,64,2000/03/04,0.1058,0.2449,0.0839,0.1031,0.3273,0.2513,0.1617,0.396635300827,0.278099884042,-0.0128980249899,0.204623708805,-0.418171557562,-0.14400559245,0000010000001010,mixed,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,NA,0.396635300827,0.278099884042,-0.0128980249899,0.204623708805,-0.418171557562,-0.14400559245
1,2000/03/05,1335,2781,1023,1328,3046,2479,1569,1073741824,3313,2869,-3882,1034,66,2000/03/06,0.1335,0.2781,0.1023,0.1328,0.3046,0.2479,0.1569,0.351311953353,0.275565041735,0.0574144486692,0.278620689655,-0.302337798792,-0.0454779474858,0000010000001010,mixed,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,NA,0.351311953353,0.275565041735,0.0574144486692,0.278620689655,-0.302337798792,-0.0454779474858
1,2000/03/13,515,2642,247,561,3003,2074,1051,1073741824,2428,4500,13170,200,76,2000/03/16,0.0515,0.2642,0.0247,0.0561,0.3003,0.2074,0.1051,0.673740893253,0.383118988436,0.120441051739,0.43081505551,-0.574193548387,-0.0639503985828,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.673740893253,0.383118988436,0.120441051739,0.43081505551,-0.574193548387,-0.0639503985828
1,2000/03/21,557,2831,284,622,3008,2419,1366,1610612736,2768,2803,-3264,200,82,2000/03/22,0.0557,0.2831,0.0284,0.0622,0.3008,0.2419,0.1366,0.67119244392,0.404828028199,0.0784761904762,0.349058851561,-0.590924038145,-0.0303134098305,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.67119244392,0.404828028199,0.0784761904762,0.349058851561,-0.590924038145,-0.0303134098305
1,2000/03/29,553,3174,271,615,3382,2319,1157,1073741824,2424,1484,-3194,136,89,2000/03/29,0.0553,0.3174,0.0271,0.0615,0.3382,0.2319,0.1157,0.703246579018,0.453162280853,0.155652648826,0.465712306627,-0.580777096115,-0.0317266625991,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.703246579018,0.453162280853,0.155652648826,0.465712306627,-0.580777096115,-0.0317266625991
1,2000/04/06,802,3022,516,862,3240,2202,1179,1073741824,1485,5306,13674,1033,99,2000/04/08,0.0802,0.3022,0.0516,0.0862,0.324,0.2202,0.1179,0.580543933054,0.397450587224,0.156967840735,0.438705070221,-0.437336814621,-0.0348131587352,0000010000001001,cloudy,no,land,climatology,none,cloud,no fire,no,no,no,no,Yes,NA,0.580543933054,0.397450587224,0.156967840735,0.438705070221,-0.437336814621,-0.0348131587352
1,2000/04/14,292,3306,72,408,3283,2157,1003,1073741824,1463,2632,15756,8204,110,2000/04/19,0.0292,0.3306,0.0072,0.0408,0.3283,0.2157,0.1003,0.837687604225,0.519010883042,0.210323997803,0.534462752379,-0.681871345029,0.00349066626195,0010000000001100,clear,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,NA,0.837687604225,0.519010883042,0.210323997803,0.534462752379,-0.681871345029,0.00349066626195
1,2000/04/22,317,3244,156,444,3173,2042,934,1073741824,985,5337,14995,8205,115,2000/04/24,0.0317,0.3244,0.0156,0.0444,0.3173,0.2042,0.0934,0.821960123561,0.523576130509,0.227393113886,0.552896122547,-0.642799678198,0.011064360293,0010000000001101,cloudy,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,NA,0.821960123561,0.523576130509,0.227393113886,0.552896122547,-0.642799678198,0.011064360293
1,2000/04/30,620,3507,417,743,3301,2086,944,1073741824,926,4626,16760,8204,124,2000/05/03,0.062,0.3507,0.0417,0.0743,0.3301,0.2086,0.0944,0.699539617155,0.511897585021,0.254067584481,0.575825657156,-0.474726051608,0.030258519389,0010000000001100,clear,yes,land,climatology,none,no cloud,no fire,no,yes,no,no,Yes,NA,0.699539617155,0.511897585021,0.254067584481,0.575825657156,-0.474726051608,0.030258519389
