site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,6.92754,124.211991,30,8,1586,1474
2,6.8088,124.481826,30,8,1729,1531
3,7.13658,124.536971,30,8,1714,1374
4,7.886234,124.352285,30,8,1524,1014
5,17.6,120.650104,29,7,2401,1152
6,17.403802,120.710614,29,7,2488,1246
7,16.87,120.847332,29,7,2710,1502
8,16.482452,120.60318,29,7,2710,1688
9,17.384381,121.504894,29,7,2858,1255
10,18.264937,120.594505,29,7,2168,832
11,17.973888,120.691845,29,7,2304,972
12,17.647013,120.431362,29,7,2286,1129
13,17.176121,120.449365,29,7,2437,1355
14,16.892107,120.528628,29,7,2557,1491
15,16.860722,120.397383,29,7,2506,1506
16,16.405965,120.397421,29,7,2637,1725
17,15.989078,120.39786,29,7,2755,1925
18,16.090444,120.552156,29,7,2798,1876
19,16.089993,120.763807,29,7,2895,1876
20,15.929306,120.707129,29,7,2914,1953
21,16.097167,119.989561,29,7,2536,1873
22,15.770139,120.338379,29,7,2788,2030
23,18.27969,121.718203,29,7,2676,825
24,18.079776,121.552994,29,7,2664,921
25,17.80583,121.639191,29,7,2789,1053
26,17.872952,121.910065,29,7,2892,1020
27,17.040246,121.730973,29,7,3065,1420
28,16.683838,121.496308,29,7,3063,1591
29,16.477999,121.75562,29,7,3242,1690
30,16.362945,121.693003,29,7,3246,1745
31,17.046134,121.096969,29,7,2772,1417
32,16.338072,121.096969,29,7,2979,1757
33,16.204606,121.066956,29,7,3003,1821
34,16.545279,121.175551,29,7,2955,1658
35,16.022895,121.096101,29,7,3068,1909
36,15.978566,121.074224,29,7,3070,1930
37,15.794952,121.022798,29,7,3097,2018
38,15.667999,120.968348,29,7,3107,2079
39,15.415045,120.810752,29,7,3103,2200
40,15.18643,120.933623,29,7,3221,2310
41,14.976358,120.844992,29,7,3235,2411
42,15.38902,120.571417,29,7,2999,2213
43,15.411066,120.569883,29,7,2992,2202
44,15.666704,120.434203,29,7,2860,2079
45,15.665044,120.368507,29,7,2830,2080
46,14.939025,120.515393,29,7,3092,2429
47,14.919103,120.523545,29,7,3101,2438
48,15.089563,121.003032,29,7,3278,2357
49,15.670958,121.145854,29,7,3188,2077
50,15.707533,120.803862,29,7,3020,2060
51,15.291401,120.820462,29,7,3140,2260
52,15.617459,121.164793,29,7,3211,2103
53,14.285342,120.754128,29,7,3369,2743
54,14.396618,120.877077,29,7,3399,2689
55,14.227291,121.158483,29,7,3572,2770
56,14.447077,121.412577,29,7,3635,2665
57,14.711751,121.640761,29,7,3673,2538
58,14.173183,121.309555,29,7,3656,2796
59,13.281084,121.239187,29,7,3838,3225
60,13.22632,121.166563,29,7,3817,3251
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2006/01/01,5817,4771,34965,1016,3842,684,1412,6002,4309,358,9,1,N\A
1,2006/01/17,7505,4285,34897,394,2765,173,806,4938,3062,2241,31,1,N\A
1,2006/02/02,6764,4795,2062,638,3306,430,881,1736,3142,2148,42,3,N\A
1,2006/02/18,6493,3598,2116,534,2512,263,891,1773,2768,2061,58,0,N\A
1,2006/03/06,6156,4333,2189,868,3649,375,1368,5990,3421,77,73,1,N\A
1,2006/03/22,6359,4572,34897,815,3662,398,1402,4640,2896,-11,87,1,N\A
1,2006/04/07,6994,4848,2189,618,3495,316,1247,4636,2743,-135,103,1,N\A
1,2006/04/23,6120,4161,2116,795,3303,401,1396,3710,2632,-313,126,0,N\A
1,2006/05/09,4497,3186,34837,1406,3704,548,1254,3739,2778,-387,142,1,N\A
1,2006/05/25,6998,4727,2116,565,3200,354,1137,1193,2667,-451,156,0,N\A
1,2006/06/10,7204,8149,34837,548,3373,1066,1223,1800,2537,1297,170,1,N\A
1,2006/06/26,6939,4720,2120,622,3443,298,971,4630,3170,-418,183,1,N\A
1,2006/07/12,6748,5006,34841,825,4249,280,1293,4629,3134,-371,199,1,N\A
1,2006/07/28,6415,5708,3102,931,4263,701,1395,4623,3015,-313,215,3,N\A
1,2006/08/13,7138,4494,34837,522,3127,236,873,3088,2061,1471,225,1,N\A
1,2006/08/29,6003,4288,35874,895,3584,437,1450,334,2127,1614,243,3,N\A
1,2006/09/14,4302,4838,3098,1088,2731,1436,1295,317,2042,1898,259,3,N\A
1,2006/09/30,1735,1587,2062,3408,4839,1701,2148,3768,2683,244,286,3,N\A
1,2006/10/16,6616,4442,34837,639,3138,388,1176,2621,2681,315,293,1,N\A
1,2006/11/01,6619,3737,2116,524,2576,266,831,299,2779,2315,307,0,N\A
1,2006/11/17,7285,4349,2116,457,2910,207,730,3069,2954,2330,321,0,N\A
1,2006/12/03,7370,5247,35037,611,4037,184,1119,6495,4108,390,338,1,N\A
1,2006/12/19,6870,3217,2116,377,2032,191,673,3060,3479,2327,353,0,N\A
2,2006/01/01,8213,5280,2116,319,3253,170,607,2010,3573,2258,10,0,N\A
2,2006/01/17,8191,5649,34965,360,3621,180,662,4246,3251,2250,24,1,N\A
2,2006/02/02,5887,3884,34961,784,3029,438,1043,2360,3557,320,37,1,N\A
2,2006/02/18,6393,3709,2116,561,2550,335,866,2028,2739,2050,58,0,N\A
2,2006/03/06,4900,3866,2116,1081,3159,828,1477,2305,2892,124,69,0,N\A
2,2006/03/22,5089,2867,2116,795,2443,379,1204,876,2349,-42,92,0,N\A
2,2006/04/07,6569,4726,2116,739,3570,404,1217,3493,2549,-197,110,0,N\A
2,2006/04/23,5771,3317,2116,685,2555,343,788,3503,2611,-320,126,0,N\A
2,2006/05/09,6146,3354,34842,564,2363,312,488,5092,1940,1245,143,3,N\A
2,2006/05/25,5962,2813,2116,478,1890,295,399,913,2653,-459,156,0,N\A
2,2006/06/10,6011,2802,2116,467,1875,282,356,614,2595,1333,163,0,N\A
