site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.066,116.0665,28,6,173,112
2,29.066,116.06667,28,6,173,112
3,29.066,116.06633,28,6,173,112
4,29.066,116.0665,28,6,173,112
5,29.0675,116.0705,28,6,174,111
6,29.0675,116.07117,28,6,174,111
7,29.06633,116.07383,28,6,174,112
8,29.06767,116.073,28,6,174,111
9,29.06717,116.07367,28,6,174,111
10,29.06633,116.07267,28,6,174,112
11,29.06733,116.07317,28,6,174,111
12,29.06767,116.0735,28,6,174,111
13,29.06717,116.07333,28,6,174,111
14,29.06733,116.07333,28,6,174,111
15,29.0675,116.069,28,6,173,111
16,29.06717,116.06933,28,6,174,111
17,29.06817,116.07333,28,6,174,111
18,29.06833,116.07333,28,6,174,111
19,29.06833,116.0735,28,6,174,111
20,29.06833,116.07317,28,6,174,111
21,29.06883,116.073,28,6,174,111
22,29.068,116.07317,28,6,174,111
23,29.06667,116.068,28,6,173,111
24,29.06633,116.06933,28,6,174,112
25,29.0685,116.07217,28,6,174,111
26,29.06717,116.07,28,6,174,111
27,29.06817,116.0735,28,6,174,111
28,29.073,116.07567,28,6,174,111
29,29.067,116.07317,28,6,174,111
30,29.06717,116.07317,28,6,174,111
31,29.06667,116.07333,28,6,174,111
32,29.06617,116.077,28,6,174,112
33,29.06933,116.07233,28,6,174,111
34,29.068,116.0715,28,6,174,111
35,29.02333,115.98667,28,6,170,117
36,29.02333,115.98683,28,6,170,117
37,29.02117,115.98633,28,6,170,117
38,29.02317,115.98867,28,6,170,117
39,29.02267,115.98783,28,6,170,117
40,29.00533,115.97767,28,6,171,119
41,29.01617,115.9815,28,6,170,118
42,29.0235,115.986,28,6,170,117
43,29.02433,115.98633,28,6,170,117
44,29.0245,115.98683,28,6,170,117
45,29.02417,115.98833,28,6,170,117
46,29.02333,115.98783,28,6,170,117
47,29.0235,115.98733,28,6,170,117
48,29.024,115.98817,28,6,170,117
49,29.02333,115.98517,28,6,170,117
50,29.02083,115.9885,28,6,171,117
51,29.0215,115.98883,28,6,171,117
52,29.0215,115.98867,28,6,170,117
53,29.02167,115.98867,28,6,170,117
54,28.99183,115.97933,28,6,173,120
55,28.99183,115.9795,28,6,173,120
56,29.08367,115.99217,28,6,164,109
57,28.98383,115.979,28,6,174,121
58,28.90617,115.816,28,6,166,131
59,28.8845,115.767,28,6,163,133
60,28.8965,115.8155,28,6,167,132
61,28.89667,115.8155,28,6,167,132
62,28.9025,115.76367,28,6,161,131
63,28.89883,115.81533,28,6,167,132
64,28.89883,115.81533,28,6,167,132
65,28.9025,115.76367,28,6,161,131
66,28.8965,115.81517,28,6,167,132
67,28.8965,115.8155,28,6,167,132
68,28.90417,115.78683,28,6,163,131
69,28.904,115.78683,28,6,163,131
70,28.904,115.78667,28,6,163,131
71,28.90683,115.76733,28,6,161,131
72,28.9065,115.76783,28,6,161,131
73,28.90417,115.78683,28,6,163,131
74,28.90667,115.76733,28,6,161,131
75,28.904,115.78683,28,6,163,131
76,28.904,115.78667,28,6,163,131
77,28.904,115.78667,28,6,163,131
78,28.90533,115.78717,28,6,163,131
79,28.90533,115.78683,28,6,163,131
80,28.90217,115.76333,28,6,161,131
81,28.99167,115.97667,28,6,173,120
82,28.99183,115.97667,28,6,173,120
83,28.99183,115.97667,28,6,173,120
84,29.0095,115.97883,28,6,171,118
85,29.0245,115.98617,28,6,170,117
86,28.99867,115.97733,28,6,172,120
87,28.99867,115.97733,28,6,172,120
88,28.99867,115.97733,28,6,172,120
89,29.02133,115.98133,28,6,170,117
90,28.99833,115.97267,28,6,172,120
91,28.984,115.97883,28,6,174,121
92,28.9905,115.98233,28,6,173,121
93,29.0245,115.98683,28,6,170,117
94,29.02483,115.98683,28,6,170,117
95,29.02117,115.981,28,6,170,117
96,28.99833,115.97283,28,6,172,120
97,28.99833,115.97267,28,6,172,120
98,28.99867,115.97733,28,6,172,120
99,28.991,115.981,28,6,173,121
100,28.99233,115.981,28,6,173,120
101,29.02433,115.98667,28,6,170,117
102,29.024,115.9865,28,6,170,117
103,29.02483,115.9845,28,6,170,117
104,28.99833,115.97767,28,6,172,120
105,28.998,115.97417,28,6,172,120
106,29.00667,115.97917,28,6,171,119
107,28.90133,115.79,28,6,164,131
108,28.90417,115.787,28,6,163,131
109,28.89333,115.82783,28,6,169,132
110,28.89367,115.82767,28,6,169,132
111,28.88567,115.83817,28,6,171,133
112,28.8855,115.83783,28,6,171,133
