Pasoh,2.97,102.3
Lambir,4.33,113.83
Sakaerat,14.48,101.92
Mae_Klong,14.58,98.85
JFL,18.61,108.84
XSBN,21.95,101.2
DHS,23.17,112.53
QYZ,26.73,115.05
HT,26.83,109.75
Kahoku,33.13,130.72
SP,33.35,113.91
Akou,34.73,134.37
Miki,34.73,134.98
Yamashiro,34.78,135.85
Kiryu,34.97,135.98
XLD,35.02,112.47
Nagoya,35.2,137.27
Fujiyoshida,35.45,138.77
Kawagoe,35.87,139.48
Takayama,36.13,137.42
GDK,37.76,127.15
DX,39.53,116.25
HD,39.99,116.29
CBS,42.4,128.1
Tomakomai_Birch,42.67,141.6
Tomakomai_Larch,42.73,141.52
Hitsujigaok,42.98,141.38
Teshio,45.05,142.1
LS,45.33,127.67
YC1,48.1,129.23
YC2,48.12,129.25
Mongonmorit,48.35,108.65
DXAL,50.83,121.5
HZ,51.78,123.02
Spasskaya-Pad-Pine,60.23,129.65
Zotino-forest,60.73,89.15
Spasskaya-Pad-Larch,62.25,129.62
Tura,64.2,100.45
Yatir,31.35,35.05
Evora,38.48,-8.02
Castelporziano,41.71,12.38
Collelongo,41.85,13.59
Roccarespampani,42.39,11.92
San-Rossore,43.73,10.29
Puéchabon,43.74,3.6
Le-Bray,44.7,-0.77
Renon,46.58,11.43
Hesse,48.67,7.08
Vielsalm,50.3,6
Tharandt,50.96,13.57
Hainich,51.07,10.45
Brasschaat,51.3,4.52
Leinefelde,51.33,10.67
Wetzstein,51.45,11.45
Wytham_Woods,51.77,-1.33
Winand,52.17,5.74
Sorø,55.49,11.65
Aberfeldy,56.61,-3.8
Asa,57.13,14.75
Norunda,60.08,17.47
Knottåsen,61,16.22
Hyytiälä,61.85,24.29
Huhus,62.97,30.82
Flakaliden,64.12,19.45
Sodankylä,67.36,26.64
pallas,67.98,24.25
Petsikko,69.47,27.23
Costa_Rica(La_Selva),10.43,-84.02
Austin_Cary_Memorial_Forest,29.74,-82.22
Donaldson_Tract_(DT)_pine_plantation,29.75,-82.16
Northern,35.09,-111.76
Walker_Branch,35.95,-84.28
Duke_Forest-HW,35.97,-79.1
Duke-Forest-PP,35.98,-79.1
Fremont-cottonwood-stand,38.67,-121.95
SierrNevada,38.9,-120.63
Morgan-Monroe,39.32,-86.42
Niwot,40.02,-105.53
Ohio-Oak,41.55,-83.84
Harvard-Forest,42.54,-72.17
Turkey-Point39,42.7,-80.35
Turkey-Point89,42.71,-80.36
Turkey-Point74,42.71,-80.46
Oregonyoung,44.43,-121.57
Oregon-old,44.45,-121.56
Oregonmix,44.5,-121.62
Howland-Forest,45.25,-68.73
US-UMB,45.56,-84.71
Willow-Creek,45.81,-90.08
Wind-River-Canopy-Crane,45.82,-121.95
Sylvania,46.24,-89.35
ON-MWB,48.2,-82.2
BC-HDF88,49.5,-124.9
QC-EOBS,49.7,-74.3
BC-DF49,49.9,-125.3
SK-SOA,53.7,-106.2
SK-HJP75,53.9,-104.7
SK-SOJP,53.9,-104.7
SK-SOBS,53.99,-105.12
SK-F89,54.25,-105.88
UCI-1981,55.86,-98.48
UCI-1850,55.88,-98.48
NOBS-1850,55.88,-98.48
UCI-1930,55.91,-98.52
UCI-1964,55.91,-98.38
Fairbanks,64.87,-147.85
