1,2.97,102.3,28,8,519,1687
2,4.33,113.83,29,8,841,1360
3,14.48,101.92,27,7,2083,1324
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2000/02/18,3949,4714,4167,4078,3958,3004,1813,1073741824,1806,5837,14585,1033,56,2000/02/25
1,2000/02/26,1783,3911,1746,1948,3688,2290,1064,1073741824,3187,5815,-1336,1801,59,2000/02/28
1,2000/03/05,210,3734,107,418,3587,1904,599,1073741824,2923,5167,-914,200,66,2000/03/06
1,2000/03/13,625,3322,633,816,3161,1753,723,1073741824,2133,650,-10,1545,78,2000/03/18
1,2000/03/21,827,3596,768,996,3310,1923,876,1073741824,1883,957,-17509,8204,85,2000/03/25
1,2000/03/29,285,4088,139,526,3718,2039,834,1077411841,2267,3229,1767,8204,96,2000/04/05
1,2000/04/06,293,4273,75,538,4025,2147,772,1073741824,2126,2038,2542,8200,103,2000/04/12
1,2000/04/14,304,3508,201,489,3263,1826,750,1073741824,2015,516,3758,136,110,2000/04/19
1,2000/04/22,1082,3190,1283,1346,3077,1969,1074,1073741824,2601,5081,3105,1033,114,2000/04/23
1,2000/04/30,805,1900,851,912,1519,705,346,1073741824,2814,5745,3579,1290,123,2000/05/02
1,2000/05/08,361,2706,463,524,2545,1186,390,1073741824,1741,5298,-11573,8206,129,2000/05/08
1,2000/05/16,1127,3708,965,1213,3456,2013,997,1073741824,2232,2258,-12155,200,140,2000/05/19
1,2000/05/24,84,3160,42,271,2947,1468,383,1073741824,2969,5135,4755,8204,146,2000/05/25
1,2000/06/01,180,3129,74,350,2923,1532,519,1073741824,2934,4298,5026,206,153,2000/06/01
1,2000/06/09,178,3409,84,352,3427,1604,448,1073741824,3134,5105,4984,140,162,2000/06/10
1,2000/06/17,155,2759,66,284,2646,1238,348,1073741824,2581,2332,-11783,140,172,2000/06/20
1,2000/06/25,160,3336,76,347,3142,1535,441,1073741824,3217,5095,4932,136,178,2000/06/26
1,2000/07/03,214,3573,133,420,3260,1695,515,1077411841,2968,3221,5103,204,192,2000/07/10
1,2000/07/11,101,2455,32,232,2270,1080,393,1073741824,2426,3587,-11929,200,195,2000/07/13
1,2000/07/19,169,3339,89,354,3165,1590,455,1107296256,3027,4277,4658,200,201,2000/07/19
1,2000/07/27,204,3530,76,379,3221,1618,531,1073741824,2420,830,-13274,8206,213,2000/07/31
1,2000/08/04,5606,6261,5744,5694,5808,4516,2564,1073741824,1994,4451,-12624,1033,218,2000/08/05
1,2000/08/12,387,2612,627,595,2179,1071,222,1073741824,1438,5943,-12808,206,232,2000/08/19
1,2000/08/20,515,3795,666,746,3711,1925,614,1073741824,2083,460,3212,8204,238,2000/08/25
1,2000/08/28,215,3881,105,409,3935,2164,721,1073741824,2074,1883,2059,200,247,2000/09/03
1,2000/09/05,186,3443,87,362,3306,1708,513,1073741824,2623,5713,1503,136,251,2000/09/07
1,2000/09/13,796,2412,1106,1105,2679,1620,960,1073741824,1613,1075,-17288,1033,261,2000/09/17
1,2000/09/21,228,2800,151,365,2581,1323,452,1077411841,1447,2433,17352,8204,268,2000/09/24
1,2000/09/29,1547,3788,1580,1736,3527,2325,1288,1073741824,1651,948,16195,8205,277,2000/10/03
1,2000/10/07,3289,4406,3319,3335,3813,2652,1482,1073741824,1342,4512,14664,8205,282,2000/10/08
1,2000/10/15,700,2698,812,859,2636,1430,586,1073741824,1649,3559,13997,1801,291,2000/10/17
1,2000/10/23,2000,3476,2150,2167,3393,2468,1470,1073741824,2456,4288,-2801,1034,297,2000/10/23
1,2000/10/31,2252,3468,2429,2406,3458,2612,1872,1073741824,2528,2057,-4170,1033,311,2000/11/06
1,2000/11/08,330,2560,382,479,2361,1140,344,1073741824,2381,2331,12749,8204,316,2000/11/11
1,2000/11/16,465,2822,610,656,2820,1540,692,1073741824,2479,3539,12382,1034,323,2000/11/18
1,2000/11/24,1204,3359,1274,1396,3198,1803,801,1073741824,2939,643,-4492,1033,334,2000/11/29
1,2000/12/02,208,3403,99,419,3191,1624,446,1073741824,3379,5175,-4084,8200,338,2000/12/03
1,2000/12/10,972,2728,1205,1160,2537,1459,642,1073741824,2842,4461,12193,1545,346,2000/12/11
1,2000/12/18,1436,3421,1431,1602,3321,2200,1210,1073741824,3588,5134,-4052,1033,354,2000/12/19
1,2000/12/26,195,2572,115,303,2428,1187,296,1073741824,2950,4511,12454,204,362,2000/12/27
1,2001/01/01,2971,4642,3125,3157,4466,3415,2287,1073741824,3468,3286,-4195,1033,2,2001/01/02
1,2001/01/09,616,2428,790,783,2284,1195,501,1073741824,2898,4482,12942,8206,12,2001/01/12
1,2001/01/17,602,2435,686,728,2224,1137,543,1073741824,2890,3483,13471,140,21,2001/01/21
1,2001/01/25,1174,3750,1300,1410,3482,2145,1115,1073741824,3246,2048,-3402,1033,25,2001/01/25
