site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,2.97,102.3,28,8,259,843
2,4.33,113.83,29,8,420,680
3,14.48,101.92,27,7,1041,662
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2000/02/26,25,6,105,48,248,248,N\A
1,2000/03/05,92,61,97,8,248,248,N\A
1,2000/03/13,42,10,113,32,248,248,N\A
1,2000/03/21,87,59,32,72,2,6,N\A
1,2000/03/29,83,47,0,64,1,2,N\A
1,2000/04/06,83,46,0,64,1,1,N\A
1,2000/04/14,89,62,48,32,1,4,N\A
1,2000/04/22,48,12,105,48,248,248,N\A
1,2000/04/30,86,53,40,48,2,6,N\A
1,2000/05/08,89,62,32,64,1,4,N\A
1,2000/05/16,94,63,97,64,248,248,N\A
1,2000/05/24,89,61,40,32,0,0,N\A
1,2000/06/01,89,62,40,32,1,4,N\A
1,2000/06/09,90,66,40,48,0,2,N\A
1,2000/06/17,95,65,113,32,248,248,N\A
1,2000/06/25,89,63,40,32,1,4,N\A
1,2000/07/03,89,62,32,64,1,4,N\A
1,2000/07/11,89,58,97,8,248,248,N\A
1,2000/07/19,94,62,97,8,248,248,N\A
1,2000/07/27,90,66,48,32,0,1,N\A
1,2000/08/04,3,1,105,32,248,248,N\A
1,2000/08/20,57,17,105,32,248,248,N\A
1,2000/08/28,16,3,8,32,0,0,N\A
1,2000/09/05,96,65,97,64,248,248,N\A
1,2000/09/13,30,7,105,32,248,248,N\A
1,2000/09/21,87,57,32,64,2,8,N\A
1,2000/09/29,39,9,97,64,248,248,N\A
1,2000/10/07,34,8,105,32,248,248,N\A
1,2000/10/15,51,14,105,48,248,248,N\A
