site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,45.8059,-90.0799,11,4,1729,1006
2,42.5378,-72.1715,12,4,1637,1790
id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2001/01/01,1870,2285,2036,1926,1948,1229,695,1073741824,6908,2881,11198,8206,1,2001/01/01
1,2001/01/09,637,2430,221,452,2692,1983,1375,1073741824,7091,5485,-6226,8205,11,2001/01/11
1,2001/01/17,1435,2428,883,1178,2194,1274,804,1073741824,6582,5745,11252,206,20,2001/01/20
1,2001/01/25,2204,2482,2412,2305,2047,1434,996,1077411841,6517,45,-4341,40969,28,2001/01/28
1,2001/02/02,2135,2380,2449,2266,1885,1139,839,1073741824,6297,1018,-5871,40973,37,2001/02/06
1,2001/02/10,2355,2674,2423,2384,2030,1014,592,1073741824,6056,2035,11703,36936,42,2001/02/11
1,2001/02/18,2737,3055,2742,2756,2125,990,606,1073741824,5774,1053,11618,36936,51,2001/02/20
1,2001/02/26,2959,3204,2871,2964,1672,1003,677,1073741824,5467,2043,-5971,36936,62,2001/03/03
1,2001/03/06,1522,2496,836,1237,2300,1270,773,1073741824,5011,5746,11309,202,68,2001/03/09
1,2001/03/14,3566,3628,3412,3536,1464,757,512,1073741824,4843,86,-1273,36936,76,2001/03/17
1,2001/03/22,2382,2659,2292,2378,1593,981,620,1073741824,4309,4868,11328,36936,86,2001/03/27
1,2001/03/30,2774,2775,2320,2666,869,552,330,1073741824,4207,2079,-5789,37064,94,2001/04/04
1,2001/04/07,778,1775,399,579,2501,2467,1621,1073741824,3914,2936,-5580,72,103,2001/04/13
1,2001/04/15,915,2059,466,751,2758,2668,1779,1077411841,3992,5464,-5001,136,107,2001/04/17
1,2001/04/23,838,1881,422,624,2826,3016,2044,1073741824,3351,1025,-5793,72,117,2001/04/27
1,2001/05/01,759,1955,386,597,2794,2775,1800,1073741824,3104,28,4281,72,124,2001/05/04
1,2001/05/09,456,2886,226,656,3099,2184,989,1073741824,2968,2909,-5036,136,135,2001/05/15
1,2001/05/17,314,3010,163,602,2985,1775,660,1073741824,2691,2035,12085,72,138,2001/05/18
1,2001/05/25,325,4179,153,770,3862,2155,781,1073741824,2623,1007,-4980,72,149,2001/05/29
1,2001/06/02,326,4376,158,748,4062,2329,825,1073741824,2703,3706,-4460,76,160,2001/06/09
1,2001/06/10,397,4063,223,755,3723,2270,879,1073741824,2837,4967,-4066,8200,162,2001/06/11
1,2001/06/26,1729,3344,1709,1835,3318,2524,1547,1073741824,2361,3622,12281,1032,184,2001/07/03
1,2001/07/04,249,3526,122,542,3418,1869,662,1073741824,2453,1980,12688,72,186,2001/07/05
1,2001/07/12,273,4255,133,605,4046,2256,759,1073741824,2902,2890,-4370,72,199,2001/07/18
1,2001/07/20,175,3401,89,378,3167,1690,513,1073741824,2698,4353,11970,72,207,2001/07/26
1,2001/07/28,230,4026,111,510,3900,2203,759,1073741824,3226,2853,-4681,72,215,2001/08/03
1,2001/08/05,198,3690,95,435,3610,2018,657,1073741824,3192,91,10958,136,220,2001/08/08
1,2001/08/13,276,3878,132,517,3823,2148,758,1073741824,3689,4926,-4625,72,226,2001/08/14
1,2001/08/21,219,3513,115,436,3396,1904,615,1073741824,3659,94,10048,72,236,2001/08/24
1,2001/08/29,259,3470,124,481,3495,1969,658,1073741824,3992,989,-5607,72,245,2001/09/02
1,2001/09/06,212,2951,107,375,2947,1653,534,1073741824,4200,4313,11324,72,255,2001/09/12
1,2001/09/14,1828,4558,1533,1882,4519,3288,2158,1073741824,4696,2918,-5936,1032,263,2001/09/20
1,2001/09/22,393,2954,146,479,3046,1800,651,1073741824,4779,23,16739,72,268,2001/09/25
1,2001/09/30,787,2657,346,647,3015,1965,815,1073741824,5018,1017,11339,72,275,2001/10/02
1,2001/10/08,577,1661,283,463,2259,1852,916,1073741824,5369,57,8484,72,284,2001/10/11
1,2001/10/16,537,1426,277,410,2058,2073,1203,1073741824,5713,980,-6439,72,293,2001/10/20
1,2001/10/24,1179,1923,706,1009,1548,1099,756,1073741824,5914,5350,10743,32968,301,2001/10/28
1,2001/11/01,449,1138,227,344,1848,1863,1186,1073741824,6140,1017,11140,72,307,2001/11/03
1,2001/11/09,490,1205,253,370,1770,1939,1100,1073741824,6418,56,760,72,316,2001/11/12
1,2001/11/17,425,1041,207,333,1677,1638,1093,1073741824,6661,1025,-6751,72,325,2001/11/21
1,2001/11/25,5012,4974,5320,5249,4351,2980,1730,1073741824,6950,3678,-6530,1033,336,2001/12/02
1,2001/12/03,567,1325,281,479,1970,1669,1265,1073741824,7019,2909,-6525,136,343,2001/12/09
1,2001/12/11,2623,3082,2422,2585,3253,2356,1459,1073741824,7103,4381,-6456,1801,345,2001/12/11
1,2001/12/19,523,1115,259,402,1448,1377,801,1073741824,7002,998,11342,136,355,2001/12/21
1,2001/12/27,1067,1881,661,876,1752,1034,537,1073741824,6896,4313,11378,202,2,2001/01/02
2,2001/01/01,630,2260,506,649,1945,800,310,1073741824,6561,2420,11250,32970,6,2001/01/06
2,2001/01/09,541,2492,159,478,2532,1346,731,1073741824,6665,3668,-6274,204,12,2001/01/12
2,2001/01/17,2880,3652,3159,3030,3178,2169,1291,1073741824,6481,818,-5966,1033,17,2001/01/17
2,2001/01/25,482,2228,125,362,2117,1070,482,1073741824,6147,5680,11308,202,25,2001/01/25
2,2001/02/02,523,2207,99,411,2319,1093,544,1073741824,5915,5235,11453,204,34,2001/02/03
2,2001/02/10,492,2051,132,397,1885,1052,489,1073741824,5685,5702,11409,32968,41,2001/02/10
2,2001/02/18,838,3289,322,749,3158,1656,866,1073741824,5688,5485,-5535,8206,55,2001/02/24
2,2001/02/26,969,1629,1018,1029,1104,562,260,1073741824,5327,1806,-5685,8206,58,2001/02/27
2,2001/03/06,2044,3877,1325,1876,2513,1329,691,1073741824,5097,5527,-5231,32974,71,2001/03/12
2,2001/03/14,799,2238,315,670,1463,819,351,1073741824,4445,4658,11546,32968,75,2001/03/16
2,2001/03/22,2014,3535,1938,2046,2940,1538,801,1073741824,4475,5506,-5106,8205,87,2001/03/28
2,2001/03/30,3318,4093,3417,3421,3205,2739,2090,1073741824,4103,3658,-5310,1033,92,2001/04/02
2,2001/04/07,682,2397,236,610,1936,1184,572,1073741824,3459,360,11542,200,104,2001/04/14
2,2001/04/15,493,1859,232,430,2100,1560,850,1073741824,3181,3321,11686,136,109,2001/04/19
2,2001/04/23,438,1873,232,409,2295,1682,883,1073741824,2912,2457,12032,72,118,2001/04/28
2,2001/05/01,378,2483,190,499,2647,1664,714,1073741824,2689,1443,12265,72,127,2001/05/07
2,2001/05/09,456,3233,239,678,3229,1945,807,1073741824,2796,2770,-4719,72,131,2001/05/11
2,2001/05/17,249,3271,131,508,2968,1445,470,1073741824,2295,3340,12014,72,141,2001/05/21
2,2001/05/25,262,3882,135,569,3460,1703,551,1073741824,2263,394,12799,72,152,2001/06/01
2,2001/06/02,214,3805,105,486,3358,1604,447,1073741824,2151,1471,12802,72,159,2001/06/08
2,2001/06/10,268,4289,137,603,3773,1883,616,1073741824,2258,727,-4213,72,161,2001/06/10
2,2001/06/26,923,4784,914,1154,4314,2392,1198,1073741824,2265,322,13877,1032,184,2001/07/03
2,2001/07/04,158,3866,80,381,3328,1590,456,1073741824,2283,1443,13280,136,191,2001/07/10
2,2001/07/12,180,4329,102,445,3785,1894,579,1073741824,2998,5474,-3337,140,199,2001/07/18
2,2001/07/20,219,4387,113,490,3949,1971,604,1073741824,2647,1761,-4007,72,202,2001/07/21
2,2001/07/28,207,4119,112,468,3620,1786,550,1073741824,2715,664,-4149,72,209,2001/07/28
2,2001/08/05,212,4087,103,466,3690,1867,550,1073741824,2981,1723,-4571,72,218,2001/08/06
2,2001/08/13,134,3290,52,299,2915,1347,370,1073741824,2970,4129,12049,136,228,2001/08/16
2,2001/08/21,156,3224,77,307,2900,1368,379,1073741824,3285,3377,11999,72,237,2001/08/25
2,2001/08/29,186,3385,104,372,3113,1510,440,1073741824,3758,413,11833,72,248,2001/09/05
2,2001/09/06,191,3392,96,362,3179,1496,453,1073741824,3968,1443,11971,72,255,2001/09/12
2,2001/09/14,252,3723,122,450,3436,1723,534,1073741824,4265,2778,-5729,72,259,2001/09/16
2,2001/09/22,249,3539,135,439,3272,1639,496,1073741824,4467,1797,-5823,72,266,2001/09/23
2,2001/09/30,357,3003,176,405,2888,1442,451,1073741824,4792,2439,11165,136,278,2001/10/05
2,2001/10/08,363,3151,156,427,3057,1594,500,1073741824,5039,1770,-6201,72,282,2001/10/09
2,2001/10/16,479,2444,235,418,2649,1559,593,1073741824,5373,2485,11125,72,294,2001/10/21
2,2001/10/24,393,2037,199,335,2579,1540,758,1073741824,5694,1407,10923,72,303,2001/10/30
2,2001/11/01,368,1928,185,340,2488,1563,765,1073741824,5988,358,11346,72,312,2001/11/08
2,2001/11/09,296,1778,156,290,2222,1367,669,1073741824,6081,3301,10983,72,317,2001/11/13
2,2001/11/17,346,1731,187,313,2141,1455,667,1073741824,6251,755,-6418,72,321,2001/11/17
2,2001/11/25,570,2246,358,532,2704,1760,1031,1073741824,6476,1770,-6561,8204,330,2001/11/26
2,2001/12/03,317,1789,176,314,2160,1518,703,1073741824,6574,700,-6313,72,337,2001/12/03
2,2001/12/11,625,2328,294,563,2201,1124,549,1073741824,6559,5691,11037,204,345,2001/12/11
2,2001/12/19,269,1712,150,272,2129,1206,621,1073741824,6714,348,11832,72,360,2001/12/26
2,2001/12/27,366,1822,184,310,2315,1506,883,1073741824,6657,1443,11548,72,2,2001/01/02
