
id,Date,Night_view_time,Clear_sky_days,Clear_sky_nights,LST_Night_1km,QC_Day,Night_view_angl,QC_Night,Emis_32,Day_view_time,Emis_31,LST_Day_1km,Day_view_angl,real_date
1,2007/01/01,16,32,96,13590,0,40,65,248,131,247,14259,47,N\A
1,2007/01/09,18,3,1,13608,65,47,65,249,132,247,14463,59,N\A
1,2007/01/17,27,0,129,13618,2,127,65,247,255,246,0,255,N\A
1,2007/01/25,18,208,255,13677,65,57,0,249,134,248,14564,71,N\A
1,2007/02/02,21,11,9,13774,0,71,0,248,133,247,14713,63,N\A
1,2007/02/10,25,1,2,13909,65,119,65,249,137,247,14754,107,N\A
1,2007/02/18,23,160,20,14059,0,105,65,248,131,247,14838,38,N\A
1,2007/02/26,15,33,65,14077,0,25,65,248,139,247,14775,116,N\A
1,2007/03/06,255,32,0,0,0,255,2,248,132,246,14522,48,N\A
1,2007/03/14,16,192,192,14130,0,31,65,249,135,247,14761,76,N\A
1,2007/03/22,20,160,160,14499,0,68,0,248,131,247,15037,38,N\A
1,2007/03/30,19,1,129,14492,65,54,0,248,137,247,15135,106,N\A
1,2007/04/07,18,42,26,14281,65,50,0,248,134,246,14871,73,N\A
1,2007/04/15,19,90,24,14313,0,58,0,248,129,247,14840,28,N\A
1,2007/04/23,27,128,128,14386,0,129,65,248,130,247,15009,26,N\A
1,2007/05/01,20,183,51,14557,0,66,65,248,135,247,15096,84,N\A
1,2007/05/09,20,6,154,14372,0,70,65,248,131,247,15196,52,N\A
1,2007/05/17,255,28,0,0,0,255,2,248,131,246,15227,49,N\A
1,2007/05/25,24,0,4,14744,2,113,65,249,255,247,0,255,N\A
1,2007/06/02,23,64,34,14674,0,103,65,248,130,247,15396,36,N\A
1,2007/06/10,16,64,96,14574,0,40,0,248,139,246,15100,120,N\A
1,2007/06/18,255,16,0,0,65,255,2,249,133,246,15305,60,N\A
1,2007/06/26,255,0,0,0,2,255,2,0,255,0,0,255,N\A
1,2007/07/04,255,16,0,0,65,255,2,248,132,246,15336,60,N\A
1,2007/07/12,20,72,64,14755,65,73,65,249,137,247,15133,97,N\A
1,2007/07/20,16,242,113,14865,65,36,65,248,133,247,15196,69,N\A
1,2007/07/28,24,23,4,14966,65,113,65,248,133,246,15078,63,N\A
1,2007/08/05,20,124,44,14996,65,73,0,248,132,246,15174,62,N\A
1,2007/08/13,21,49,25,14899,129,80,0,248,133,247,15062,65,N\A
1,2007/08/21,255,20,0,0,65,255,2,248,133,246,15122,74,N\A
1,2007/08/29,22,131,3,14811,65,80,0,248,131,247,14967,48,N\A
1,2007/09/06,255,194,0,0,65,255,2,248,132,247,14939,54,N\A
1,2007/09/14,24,140,4,14751,0,113,0,248,130,247,15012,36,N\A
1,2007/09/22,18,248,60,14637,0,57,0,248,133,246,14994,68,N\A
1,2007/09/30,19,123,57,14715,0,61,0,248,135,247,15100,81,N\A
1,2007/10/08,15,14,4,14462,65,26,65,248,129,247,14872,33,N\A
1,2007/10/16,19,169,33,14151,0,65,65,248,130,247,14917,42,N\A
1,2007/10/24,15,4,4,14386,0,26,65,249,134,247,15073,86,N\A
1,2007/11/01,20,102,113,14112,0,75,65,248,133,247,14736,68,N\A
1,2007/11/09,19,4,7,14141,65,64,65,248,134,246,14715,86,N\A
1,2007/11/17,18,236,126,13911,65,57,0,248,131,247,14713,54,N\A
1,2007/11/25,18,84,126,13745,0,58,0,248,132,247,14590,61,N\A
1,2007/12/03,20,0,25,13727,2,79,65,248,255,247,0,255,N\A
1,2007/12/11,255,4,0,0,65,255,2,249,134,247,14353,86,N\A
1,2007/12/19,255,1,0,0,65,255,2,248,128,247,14456,18,N\A
1,2007/12/27,15,20,4,13681,0,26,0,248,133,246,14263,73,N\Aid,Date,Night_view_time,Clear_sky_days,Clear_sky_nights,LST_Night_1km,QC_Day,Night_view_angl,QC_Night,Emis_32,Day_view_time,Emis_31,LST_Day_1km,Day_view_angl,real_date
1,2008/01/01,19,86,244,13748,0,64,0,248,134,247,14504,80,N\A
1,2008/01/09,255,0,0,0,2,255,2,0,255,0,0,255,N\A
1,2008/01/17,255,0,0,0,2,255,2,0,255,0,0,255,N\A
1,2008/01/25,255,0,0,0,2,255,2,0,255,0,0,255,N\A
1,2008/02/02,255,66,0,0,65,255,2,249,132,249,13954,55,N\A
1,2008/02/10,21,104,112,13629,65,84,65,248,132,247,14434,65,N\A
1,2008/02/18,17,0,16,14085,2,36,0,248,255,246,0,255,N\A
1,2008/02/26,22,252,124,13852,0,86,0,248,131,247,14736,49,N\A
1,2008/03/05,19,64,96,14080,0,66,0,248,134,247,15049,74,N\A
1,2008/03/13,18,2,34,14254,65,50,0,248,139,246,14889,120,N\A
1,2008/03/21,22,44,56,14078,0,91,0,248,131,247,14829,47,N\A
1,2008/03/29,255,0,0,0,2,255,2,0,255,0,0,255,N\A
1,2008/04/06,255,10,0,0,0,255,2,249,129,247,14970,27,N\A
1,2008/04/14,18,24,8,14377,0,47,65,248,132,246,14934,59,N\A
1,2008/04/22,19,72,126,14272,0,58,65,248,131,246,15046,46,N\A
1,2008/04/30,20,68,2,14680,0,73,0,248,127,246,14962,14,N\A
1,2008/05/08,22,172,128,14565,0,96,65,248,133,247,14980,67,N\A
1,2008/05/16,21,123,72,14668,0,77,0,248,133,246,15227,62,N\A
1,2008/05/24,19,66,35,14734,0,67,65,248,133,247,15033,55,N\A
1,2008/06/01,24,40,6,14470,0,101,65,248,136,246,15109,96,N\A
1,2008/06/09,255,0,0,0,2,255,2,0,255,0,0,255,N\A
1,2008/06/17,18,0,8,14915,2,47,65,249,255,247,0,255,N\A
1,2008/06/25,26,128,8,14693,65,124,65,247,141,247,14718,129,N\A
1,2008/07/03,20,4,2,14869,0,73,65,248,130,246,15243,27,N\A
1,2008/07/11,21,96,1,14864,0,86,65,248,131,246,15185,40,N\A
1,2008/07/19,18,208,226,14925,65,54,0,248,129,246,15275,25,N\A
1,2008/07/27,22,3,129,14924,65,91,0,248,136,246,15238,81,N\A
1,2008/08/04,18,179,184,14935,65,51,0,248,133,246,15291,65,N\A
1,2008/08/12,22,64,161,14746,65,98,0,248,134,246,15099,74,N\A
1,2008/08/20,23,0,64,14489,2,106,65,248,255,246,0,255,N\A
1,2008/08/28,20,112,96,14672,65,66,65,248,132,247,14963,59,N\A
1,2008/09/05,17,188,170,14768,65,39,65,248,133,247,14977,58,N\A
1,2008/09/13,21,127,252,14818,65,75,0,248,134,246,14961,67,N\A
1,2008/09/21,17,143,3,14972,0,40,0,248,134,246,15086,72,N\A
1,2008/09/29,22,26,128,14358,0,96,65,248,132,246,14912,51,N\A
1,2008/10/07,21,135,196,14446,0,81,65,248,134,247,14980,64,N\A
