id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m,MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
1,2001/01/01,1354,2005,719,1052,2951,3218,2367,1073741824,6269,2768,-6221,74,8,2001/01/08,0.1354,0.2005,0.0719,0.1052,0.2951,0.3218,0.2367,0.193807680857,0.110440063787,-0.23224200651,-0.0827996340348,-0.507259953162,-0.190879741727,0000000001001010,mixed,no,land,low,none,no cloud,no fire,no,no,no,no,Yes,NA,0.193807680857,0.110440063787,-0.23224200651,-0.0827996340348,-0.507259953162,-0.190879741727
1,2001/01/09,1232,1861,627,940,2629,2874,2155,1073741824,6070,2770,11386,72,11,2001/01/11,0.1232,0.1861,0.0627,0.094,0.2629,0.2874,0.2155,0.203362431296,0.108071887564,-0.21393875396,-0.0732071713147,-0.507079181961,-0.171046770601,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.203362431296,0.108071887564,-0.21393875396,-0.0732071713147,-0.507079181961,-0.171046770601
1,2001/01/17,6848,6494,6832,6865,2986,798,413,1073741824,6013,2768,-5994,36936,24,2001/01/24,0.6848,0.6494,0.6832,0.6865,0.2986,0.0798,0.0413,-0.0265327537101,-0.139545884579,0.781130005485,0.880411177067,0.791726477881,0.370042194093,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,-0.0265327537101,-0.139545884579,0.781130005485,0.880411177067,0.791726477881,0.370042194093
1,2001/01/25,6712,6332,6711,6714,2411,741,393,1073741824,5754,4410,11515,36936,25,2001/01/25,0.6712,0.6332,0.6711,0.6714,0.2411,0.0741,0.0393,-0.0291321680466,-0.151478912541,0.790470804468,0.88312267658,0.801207243461,0.448473064166,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,-0.0291321680466,-0.151478912541,0.790470804468,0.88312267658,0.801207243461,0.448473064166
1,2001/02/02,5281,5287,5139,5202,2784,1735,1193,1073741824,5899,5057,-5567,32841,35,2001/02/04,0.5281,0.5287,0.5139,0.5202,0.2784,0.1735,0.1193,0.000567751703255,0.00177925389953,0.505838792367,0.631790123457,0.4997837682,0.31012266138,1000000001001001,cloudy,no,land,low,none,no cloud,no fire,no,no,no,yes,Yes,Yes,0.00137190587392,-0.0506462136201,0.571800043623,0.708322922551,0.558409324969,0.303430900483
1,2001/02/10,2779,2962,2736,2722,2152,1416,901,1073741824,5295,2826,11765,36936,43,2001/02/12,0.2779,0.2962,0.2736,0.2722,0.2152,0.1416,0.0901,0.0318759797945,0.0501864853006,0.353129282778,0.533523168522,0.315611406477,0.158388736801,1001000001001000,clear,no,land,low,none,no cloud,no fire,yes,no,no,yes,No,No,0.0318759797945,0.0501864853006,0.353129282778,0.533523168522,0.315611406477,0.158388736801
1,2001/02/18,823,1175,500,689,1813,1958,1360,1073741824,5034,529,-5283,136,54,2001/02/23,0.0823,0.1175,0.05,0.0689,0.1813,0.1958,0.136,0.176176176176,0.0711801342716,-0.249920204277,-0.0729783037475,-0.47941065357,-0.213520749665,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.176176176176,0.0711801342716,-0.249920204277,-0.0729783037475,-0.47941065357,-0.213520749665
1,2001/02/26,1210,1746,668,971,2534,2967,2357,1073741824,4751,1714,-5572,136,63,2001/03/04,0.121,0.1746,0.0668,0.0971,0.2534,0.2967,0.2357,0.181326116373,0.0957416404687,-0.259070655633,-0.148915427736,-0.506856272219,-0.184112149533,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.181326116373,0.0957416404687,-0.259070655633,-0.148915427736,-0.506856272219,-0.184112149533
1,2001/03/06,1177,1690,617,926,2425,2894,2313,1073741824,4419,1734,12041,136,68,2001/03/09,0.1177,0.169,0.0617,0.0926,0.2425,0.2894,0.2313,0.178932682246,0.0907996743248,-0.262652705061,-0.155633275044,-0.515183246073,-0.178614823815,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.178932682246,0.0907996743248,-0.262652705061,-0.155633275044,-0.515183246073,-0.178614823815
1,2001/03/14,1339,1930,727,1069,2691,3162,2603,1073741824,4129,1750,-5444,72,79,2001/03/20,0.1339,0.193,0.0727,0.1069,0.2691,0.3162,0.2603,0.180789232181,0.101815801261,-0.241948153967,-0.148466799029,-0.494682108249,-0.164682969054,0000000001001000,clear,no,land,low,none,no cloud,no fire,no,no,no,no,No,No,0.180789232181,0.101815801261,-0.241948153967,-0.148466799029,-0.494682108249,-0.164682969054
