1,38.062,-102.61841,9,5,2208,465
2,37.062,-102.61841,9,5,1946,705
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2001/01/01,1354,2005,719,1052,2951,3218,2367,1073741824,6269,2768,-6221,74,8,2001/01/08
1,2001/01/09,1232,1861,627,940,2629,2874,2155,1073741824,6070,2770,11386,72,11,2001/01/11
1,2001/01/17,6848,6494,6832,6865,2986,798,413,1073741824,6013,2768,-5994,36936,24,2001/01/24
1,2001/01/25,6712,6332,6711,6714,2411,741,393,1073741824,5754,4410,11515,36936,25,2001/01/25
1,2001/02/02,5281,5287,5139,5202,2784,1735,1193,1073741824,5899,5057,-5567,32841,35,2001/02/04
1,2001/02/10,2779,2962,2736,2722,2152,1416,901,1073741824,5295,2826,11765,36936,43,2001/02/12
1,2001/02/18,823,1175,500,689,1813,1958,1360,1073741824,5034,529,-5283,136,54,2001/02/23
1,2001/02/26,1210,1746,668,971,2534,2967,2357,1073741824,4751,1714,-5572,136,63,2001/03/04
1,2001/03/06,1177,1690,617,926,2425,2894,2313,1073741824,4419,1734,12041,136,68,2001/03/09
1,2001/03/14,1339,1930,727,1069,2691,3162,2603,1073741824,4129,1750,-5444,72,79,2001/03/20
1,2001/03/22,1208,1781,617,950,2491,2920,2325,1073741824,3786,3660,11895,136,82,2001/03/23
1,2001/03/30,1206,1914,621,968,2586,2953,2372,1073741824,3467,2770,12123,136,91,2001/04/01
1,2001/04/07,1194,1894,651,975,2577,2959,2344,1073741824,3167,1743,12312,136,100,2001/04/10
1,2001/04/15,1481,2345,832,1210,3138,3471,2767,1073741824,2946,1686,-4925,136,111,2001/04/21
1,2001/04/23,1516,2582,792,1222,3330,3573,2766,1073741824,2743,2731,-4487,136,120,2001/04/30
1,2001/05/01,1318,2223,672,1054,2891,3075,2401,1073741824,2341,4440,11934,72,121,2001/05/01
1,2001/05/09,1227,2432,640,1072,3037,3131,2428,1073741824,2261,527,-4590,136,134,2001/05/14
1,2001/05/17,1050,2704,562,1016,3008,2666,1771,1073741824,2509,4407,-3556,136,138,2001/05/18
1,2001/05/25,1161,2967,618,1166,3319,2993,2039,1073741824,2165,2713,-3331,72,152,2001/06/01
1,2001/06/02,1010,2549,544,981,2810,2463,1681,1073741824,1673,4449,12521,72,153,2001/06/02
1,2001/06/10,971,2645,517,969,2926,2528,1773,1073741824,1784,1790,13697,72,164,2001/06/13
1,2001/06/26,1457,2765,836,1280,3350,3356,2319,1073741824,2222,2786,-2920,1033,184,2001/07/03
1,2001/07/04,1490,2646,791,1244,3458,3502,2613,1073741824,2202,1704,-3225,136,191,2001/07/10
1,2001/07/12,1185,2115,643,985,2792,2924,2160,1073741824,2019,1808,13810,72,196,2001/07/15
1,2001/07/20,1169,2076,594,960,2872,3017,2288,1073741824,2245,710,14041,72,205,2001/07/24
1,2001/07/28,1274,2191,693,1051,3023,3307,2564,1073741824,2501,455,-3696,136,214,2001/08/02
