site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,51.72,126.65,25,3,2030,1987
2,50.25,120.18,25,3,1643,2340
3,50.25,127.45,26,3,359,2340
4,49.57,117.43,25,4,1477,103
5,49.15,119.75,25,4,1998,204
6,49.17,125.23,26,4,450,199
7,49.43,127.35,26,4,678,136
8,48.0,122.73,26,4,509,479
9,48.47,124.48,26,4,607,367
10,48.55,126.5,26,4,897,348
11,48.05,125.88,26,4,995,468
12,48.88,130.4,26,4,1381,268
13,47.33,123.18,26,4,837,640
14,47.8,124.48,26,4,867,528
15,47.6,126.1,26,4,1207,575
16,47.43,126.97,26,4,1414,616
17,48.36,134.28,26,4,2213,393
18,47.23,131.98,26,4,2309,664
19,46.4,123.42,26,4,1227,863
20,46.68,126.1,26,4,1563,796
21,46.38,125.32,26,4,1549,868
22,46.88,127.48,26,4,1712,748
23,46.08,127.35,26,4,2000,940
24,46.73,129.88,26,4,2165,784
25,46.81,130.28,26,4,2199,765
26,46.3,129.58,26,4,2285,888
27,46.2,130.52,27,4,81,911
28,46.71,131.13,26,4,2379,789
29,46.32,132.18,27,4,308,883
30,46.8,134.0,27,4,415,767
31,45.07,120.33,26,4,1195,1183
32,45.4,121.55,26,4,1283,1104
33,45.63,122.83,26,4,1414,1048
34,45.5,124.27,26,4,1704,1080
35,45.18,124.83,26,4,1917,1156
36,45.08,124.87,26,4,1961,1180
37,45.75,126.77,26,4,2030,1020
38,45.5,125.08,26,4,1840,1080
39,45.38,126.3,26,4,2091,1108
40,45.52,126.95,26,4,2147,1075
41,45.97,128.73,26,4,2273,967
42,45.83,128.8,26,4,2339,1000
43,45.22,127.97,27,4,33,1147
44,45.75,130.55,27,4,263,1020
45,45.27,130.23,27,4,396,1135
46,45.77,132.97,27,4,660,1015
47,48.05,86.4,23,4,1861,468
48,47.12,87.47,23,4,2284,691
49,47.73,88.08,23,4,2218,544
50,46.73,83.0,23,4,1653,784
51,44.9,82.06,23,4,1950,1223
52,44.62,82.9,23,4,2161,1291
53,44.43,84.66,24,4,109,1336
54,44.85,85.25,24,4,105,1235
55,45.02,86.1,24,4,206,1195
56,44.33,85.62,24,4,299,1360
57,44.28,85.81,24,4,344,1372
58,44.32,86.2,24,4,401,1363
59,44.13,86.82,24,4,555,1408
60,44.01,87.43,24,4,691,1437
61,44.02,89.17,24,4,989,1435
62,44.02,89.57,24,4,1058,1435
63,43.95,81.33,23,4,2052,1451
64,43.45,83.3,24,4,113,1572
65,43.15,81.13,23,4,2205,1643
66,43.78,87.62,24,4,782,1492
67,43.28,87.12,24,4,821,1612
68,43.03,84.15,24,4,363,1672
69,42.08,86.56,24,4,1018,1900
70,42.25,86.8,24,4,1020,1860
71,42.8,88.63,24,4,1207,1728
72,42.83,89.25,24,4,1308,1720
73,42.93,89.2,24,4,1274,1696
74,41.16,80.23,24,4,96,2121
75,41.27,80.23,24,4,72,2095
76,41.78,81.9,24,4,257,1972
77,41.23,82.78,24,4,541,2104
78,41.78,84.25,24,4,678,1972
79,41.72,82.95,24,4,459,1987
80,41.35,86.27,24,4,1142,2075
81,41.75,86.13,24,4,1021,1979
82,39.72,76.17,23,5,2061,67
83,39.72,75.25,23,5,1891,67
84,39.15,75.95,23,5,2135,204
85,39.47,75.98,23,5,2076,127
86,40.93,78.45,23,4,2224,2176
87,39.8,78.57,24,5,87,48
88,39.25,76.78,23,5,2269,180
89,40.65,80.4,24,4,239,2244
90,40.5,81.05,24,4,391,2280
91,39.03,88.17,24,5,2038,232
92,38.92,77.63,24,5,95,259
93,38.43,77.27,24,5,127,376
94,37.13,79.93,24,5,894,688
95,38.15,85.55,24,5,1746,444
96,38.35,90.22,25,5,180,395
97,36.86,81.66,24,5,1280,753
98,43.6,93.0,24,4,1763,1536
99,42.82,93.52,24,4,2063,1723
100,40.15,94.68,25,4,568,2363
101,39.77,98.48,25,5,1366,55
102,39.37,99.83,25,5,1722,151
103,38.93,100.43,25,5,1950,256
104,38.45,100.82,25,5,2149,371
105,38.23,101.96,26,5,22,424
106,37.91,102.66,26,5,239,501
107,38.63,103.08,26,5,126,328
108,37.37,97.37,25,5,1771,631
109,37.08,99.58,25,5,2266,700
110,37.38,101.61,26,5,178,628
111,37.48,102.9,26,5,397,604
112,37.18,104.05,26,5,696,676
113,36.42,94.9,25,5,1527,859
114,36.43,96.41,25,5,1816,856
115,36.3,98.1,25,5,2174,888
116,36.92,100.98,26,5,175,739
117,36.75,101.08,26,5,237,780
118,36.27,100.62,26,5,269,895
119,36.82,101.95,26,5,387,763
120,36.03,101.43,26,5,486,952
121,36.32,102.85,26,5,688,883
122,36.75,103.25,26,5,655,780
123,36.56,104.68,26,5,979,825
124,36.55,104.18,26,5,886,828
125,35.58,99.98,26,5,315,1060
126,35.27,100.65,26,5,521,1135
127,35.97,103.3,26,5,864,967
128,35.87,104.15,26,5,1055,991
129,35.58,103.18,26,5,940,1060
130,35.43,103.35,26,5,1010,1096
131,35.36,103.86,26,5,1128,1113
132,35.68,105.08,26,5,1285,1036
133,35.53,104.6,26,5,1229,1072
134,42.25,113.85,26,4,1025,1860
135,41.7,110.43,26,4,588,1991
136,41.03,110.05,26,4,724,2152
137,41.1,111.45,26,4,956,2135
