site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,51.72,126.65,25,3,4060,3974
2,50.25,120.18,25,3,3286,4680
3,50.25,127.45,26,3,718,4680
4,49.15,119.75,25,4,3996,408
5,49.17,125.23,26,4,901,398
6,49.43,127.35,26,4,1356,273
7,48.0,122.73,26,4,1018,959
8,48.55,126.5,26,4,1794,696
9,48.05,125.88,26,4,1991,936
10,48.88,130.4,26,4,2762,537
11,47.33,123.18,26,4,1674,1281
12,47.8,124.48,26,4,1735,1056
13,47.6,126.1,26,4,2414,1151
14,47.43,126.97,26,4,2829,1233
15,48.36,134.28,26,4,4426,787
16,47.23,131.98,26,4,4618,1329
17,46.4,123.42,26,4,2454,1727
18,46.68,126.1,26,4,3126,1593
19,46.38,125.32,26,4,3098,1737
20,46.88,127.48,26,4,3425,1497
21,46.08,127.35,26,4,4001,1881
22,46.73,129.88,26,4,4331,1569
23,46.81,130.28,26,4,4399,1531
24,46.3,129.58,26,4,4571,1776
25,46.2,130.52,27,4,162,1823
26,46.71,131.13,26,4,4759,1579
27,46.32,132.18,27,4,617,1766
28,46.8,134.0,27,4,830,1535
29,45.07,120.33,26,4,2391,2366
30,45.4,121.55,26,4,2566,2208
31,45.63,122.83,26,4,2828,2097
32,45.5,124.27,26,4,3408,2160
33,45.18,124.83,26,4,3835,2313
34,45.08,124.87,26,4,3923,2361
35,45.75,126.77,26,4,4060,2040
36,45.5,125.08,26,4,3681,2160
37,45.38,126.3,26,4,4182,2217
38,45.52,126.95,26,4,4295,2150
39,45.83,128.8,26,4,4678,2001
40,45.22,127.97,27,4,67,2294
41,45.75,130.55,27,4,526,2040
42,45.27,130.23,27,4,792,2270
43,45.77,132.97,27,4,1320,2030
44,47.73,88.08,23,4,4437,1089
45,46.73,83.0,23,4,3307,1569
46,44.9,82.06,23,4,3900,2447
47,44.62,82.9,23,4,4323,2582
48,44.43,84.66,24,4,218,2673
49,44.85,85.25,24,4,210,2471
50,45.02,86.1,24,4,413,2390
51,44.33,85.62,24,4,598,2721
52,44.28,85.81,24,4,688,2745
53,44.32,86.2,24,4,802,2726
54,44.13,86.82,24,4,1111,2817
55,44.01,87.43,24,4,1383,2875
56,44.02,89.57,24,4,2116,2870
57,43.95,81.33,23,4,4105,2903
58,43.45,83.3,24,4,227,3144
59,43.15,81.13,23,4,4411,3287
60,43.28,87.12,24,4,1643,3225
61,42.08,86.56,24,4,2037,3801
62,42.83,89.25,24,4,2617,3441
63,41.16,80.23,24,4,193,4243
64,41.72,82.95,24,4,918,3974
65,41.75,86.13,24,4,2043,3959
66,39.72,76.17,23,5,4122,134
67,39.47,75.98,23,5,4153,254
68,39.8,78.57,24,5,174,96
69,40.5,81.05,24,4,782,4560
70,39.03,88.17,24,5,4076,465
71,38.92,77.63,24,5,191,518
72,38.43,77.27,24,5,254,753
73,37.13,79.93,24,5,1788,1377
74,36.86,81.66,24,5,2561,1507
75,43.6,93.0,24,4,3527,3072
76,42.82,93.52,24,4,4126,3446
77,40.15,94.68,25,4,1137,4727
78,39.77,98.48,25,5,2732,110
79,39.37,99.83,25,5,3444,302
80,38.93,100.43,25,5,3900,513
81,38.45,100.82,25,5,4299,743
82,38.23,101.96,26,5,44,849
83,37.91,102.66,26,5,478,1003
84,38.63,103.08,26,5,252,657
85,37.37,97.37,25,5,3543,1262
86,37.38,101.61,26,5,356,1257
87,37.48,102.9,26,5,795,1209
88,37.18,104.05,26,5,1392,1353
89,36.42,94.9,25,5,3055,1718
90,36.43,96.41,25,5,3633,1713
91,36.3,98.1,25,5,4349,1776
92,36.92,100.98,26,5,350,1478
93,36.75,101.08,26,5,475,1560
94,36.27,100.62,26,5,539,1790
95,36.82,101.95,26,5,774,1526
96,36.03,101.43,26,5,973,1905
97,36.32,102.85,26,5,1376,1766
98,36.75,103.25,26,5,1310,1560
99,36.56,104.68,26,5,1959,1651
100,36.55,104.18,26,5,1772,1656
101,35.58,99.98,26,5,630,2121
102,35.97,103.3,26,5,1729,1934
103,35.87,104.15,26,5,2110,1982
104,35.58,103.18,26,5,1880,2121
105,35.43,103.35,26,5,2021,2193
106,35.36,103.86,26,5,2256,2227
107,35.68,105.08,26,5,2570,2073
108,35.53,104.6,26,5,2459,2145
109,42.25,113.85,26,4,2051,3720
110,41.03,110.05,26,4,1448,4305
111,41.1,111.45,26,4,1912,4271
