site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,14.5,-88.5,9,7,1036,1320
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2004/01/01,310,2591,153,430,3004,1709,727,1073741824,4308,564,-4561,72,4,2004/01/04
1,2004/01/09,241,2002,132,319,2399,1363,493,1073741824,3930,4391,12534,76,16,2004/01/16
1,2004/01/17,351,2175,182,409,2483,1658,732,1073741824,4044,2229,12805,72,18,2004/01/18
1,2004/01/25,443,2798,222,542,3355,2147,937,1073741824,4286,4287,-3991,136,31,2004/01/31
1,2004/02/02,543,2408,268,549,2893,2236,1099,1073741824,3893,670,-3921,72,36,2004/02/05
1,2004/02/10,381,2049,191,402,2623,1786,836,1073741824,3503,3368,13459,76,41,2004/02/10
1,2004/02/18,567,2410,291,584,2938,2376,1184,1073741824,3491,678,-3488,72,52,2004/02/21
1,2004/02/26,560,2313,278,543,2999,2335,1225,1073741824,3183,785,14177,72,59,2004/02/28
1,2004/03/05,381,1736,195,375,2349,1713,819,1073741824,2384,5110,14280,72,71,2004/03/11
1,2004/03/13,845,2727,397,754,-28672,3028,1758,1075576835,2897,2140,-2125,136,77,2004/03/17
1,2004/03/21,956,2737,658,940,3466,2742,1473,1073741824,3028,5144,-1211,1289,88,2004/03/28
1,2004/03/29,762,2198,395,666,2969,2737,1576,1073741824,2270,658,16214,72,91,2004/03/31
1,2004/04/06,736,2475,379,678,3450,2893,1640,1073741824,2218,832,-740,72,100,2004/04/09
1,2004/04/14,724,2442,376,678,3066,2759,1530,1073741824,1956,667,17574,136,107,2004/04/16
1,2004/04/22,626,2687,340,642,-28672,2791,1458,1075576835,2006,761,1124,136,116,2004/04/25
1,2004/04/30,791,2390,584,781,2985,2727,1486,1073741824,1826,721,-16823,8204,123,2004/05/02
1,2004/05/08,599,2777,286,630,-28672,2790,1434,1075576835,1975,725,2507,136,132,2004/05/11
1,2004/05/16,552,2313,392,592,2577,2102,1018,1073741824,1574,3331,-15094,8204,137,2004/05/16
1,2004/05/24,420,3069,229,555,3499,2355,1021,1073741824,2746,5757,2406,8204,145,2004/05/24
1,2004/06/01,382,2560,196,490,2791,1892,814,1073741824,1706,3340,-14194,76,153,2004/06/01
1,2004/06/09,951,2542,822,1031,2969,2396,1579,1073741824,2184,733,3704,1032,164,2004/06/12
1,2004/06/17,410,2643,208,532,2820,1823,810,1073741824,1828,3321,-13851,72,169,2004/06/17
1,2004/06/25,432,3137,210,592,7250,2137,874,1075576832,2816,5124,2911,76,184,2004/07/02
1,2004/07/03,1912,3302,1766,1902,3408,2569,1629,1073741824,2141,738,-14636,1289,187,2004/07/05
1,2004/07/11,454,3164,222,618,3482,2169,912,1073741824,2826,5103,2366,72,200,2004/07/18
1,2004/07/19,351,2811,234,509,2955,1706,647,1073741824,1845,3349,-14875,72,201,2004/07/19
1,2004/07/27,527,3031,272,662,3181,2161,959,1073741824,2226,705,2129,136,212,2004/07/30
1,2004/08/04,460,2765,229,582,3011,1921,843,1073741824,2052,767,-16637,72,219,2004/08/06
1,2004/08/12,994,3472,888,1173,3726,2466,1310,1073741824,2173,714,923,1290,228,2004/08/15
1,2004/08/20,349,2647,166,469,2808,1647,657,1073741824,1724,3330,-17583,72,233,2004/08/20
1,2004/08/28,525,1849,511,587,1884,1294,633,1073741824,1510,5110,16266,1032,247,2004/09/03
1,2004/09/05,629,3344,326,794,3394,2340,1011,1073741824,2379,2094,-1289,136,253,2004/09/09
1,2004/09/13,462,3303,237,646,3458,2222,910,1073741824,2321,688,-1923,72,260,2004/09/16
1,2004/09/21,290,2633,127,427,2861,1598,585,1073741824,2047,3368,14720,72,265,2004/09/21
1,2004/09/29,594,3095,534,799,3258,1886,727,1073741824,3142,5083,-3086,8206,280,2004/10/06
1,2004/10/07,1033,2321,1126,1169,2424,1311,581,1073741824,2445,3377,13394,1801,281,2004/10/07
1,2004/10/15,386,2761,191,535,3070,1773,669,1073741824,3007,681,-4043,72,292,2004/10/18
1,2004/10/23,259,2227,130,371,2571,1416,541,1073741824,2915,3368,12656,76,297,2004/10/23
1,2004/10/31,302,2342,146,404,2630,1567,606,1073741824,3244,2155,12535,8204,306,2004/11/01
1,2004/11/08,276,2431,142,378,2778,1518,590,1073741824,3509,4293,11922,76,320,2004/11/15
1,2004/11/16,389,2828,213,528,3223,1847,774,1073741824,3842,787,-5328,72,324,2004/11/19
1,2004/11/24,408,3077,211,567,3454,1981,801,1073741824,4288,4355,-5042,72,335,2004/11/30
1,2004/12/02,309,2280,154,414,2515,1565,602,1073741824,3990,2082,12145,72,338,2004/12/03
1,2004/12/10,342,2413,178,423,2571,1641,644,1073741824,4030,3302,12034,72,345,2004/12/10
1,2004/12/18,370,2513,194,471,3055,1819,776,1073741824,4315,742,-5435,72,356,2004/12/21
1,2004/12/26,603,2133,612,670,2349,1621,819,1073741824,3965,5732,11998,1032,366,2004/12/31
