site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,49.694069,114.708312,25,4,502,36
2,39.872149,124.290871,27,5,645,14
3,29.187812,115.934329,28,6,144,96
4,28.865268,116.268557,28,6,217,135
id,Date,Night_view_time,Clear_sky_days,Clear_sky_nights,LST_Night_1km,QC_Day,Night_view_angl,QC_Night,Emis_32,Day_view_time,Emis_31,LST_Day_1km,Day_view_angl,real_date
1,2006/01/01,215,84,40,12570,65,39,65,248,112,247,12843,69,N\A
1,2006/01/09,215,0,159,12057,2,44,81,248,255,247,0,255,N\A
1,2006/01/17,214,24,255,12236,65,34,145,249,108,249,12724,41,N\A
1,2006/01/25,217,10,51,12153,0,56,81,250,114,250,12862,86,N\A
1,2006/02/02,221,130,11,12123,65,79,81,249,112,249,12895,67,N\A
1,2006/02/10,218,2,5,12496,65,65,17,248,115,249,12674,95,N\A
1,2006/02/18,214,72,32,12154,65,31,145,248,108,248,12940,32,N\A
1,2006/02/26,219,32,139,12617,65,70,0,250,111,250,13322,59,N\A
1,2006/03/06,215,1,130,12972,65,42,0,249,116,249,13428,102,N\A
1,2006/03/14,217,105,219,13076,65,57,0,248,113,247,13787,71,N\A
1,2006/03/22,218,225,240,13087,65,62,0,247,116,246,14010,95,N\A
1,2006/03/30,215,70,43,13086,65,47,0,248,118,248,14336,112,N\A
1,2006/04/07,212,160,185,13093,65,22,65,247,118,246,14102,113,N\A
1,2006/04/15,218,81,113,13381,65,59,65,247,105,245,13868,15,N\A
1,2006/04/23,212,158,159,13512,65,25,65,248,108,246,14670,39,N\A
1,2006/05/01,225,213,8,13475,65,112,0,247,109,246,14734,43,N\A
1,2006/05/09,212,97,55,13707,81,23,0,247,110,246,14745,53,N\A
1,2006/05/17,216,252,50,13885,65,49,0,247,108,246,14798,35,N\A
1,2006/05/25,213,14,7,13921,81,28,0,248,109,246,15062,42,N\A
1,2006/06/02,221,4,135,14031,65,84,65,247,122,245,15112,128,N\A
1,2006/06/10,219,211,252,14126,65,69,0,247,109,246,14712,49,N\A
1,2006/06/18,219,252,42,14298,65,75,65,248,110,246,15270,53,N\A
1,2006/06/26,218,62,63,14531,65,64,65,247,108,245,15402,41,N\A
1,2006/07/04,215,2,43,14439,0,47,0,247,115,245,15484,95,N\A
1,2006/07/12,211,36,23,14424,65,21,65,247,109,246,15049,47,N\A
1,2006/07/20,217,166,247,14440,0,55,0,247,114,246,15185,81,N\A
1,2006/07/28,222,227,209,14518,0,86,65,247,107,246,15324,37,N\A
1,2006/08/05,216,180,171,14465,0,54,0,247,108,245,15024,33,N\A
1,2006/08/13,217,174,222,14290,0,57,65,247,106,246,15062,27,N\A
1,2006/08/21,214,68,35,14201,0,36,0,247,111,245,14955,60,N\A
1,2006/08/29,217,77,67,14223,0,57,65,247,111,245,14848,64,N\A
1,2006/09/06,220,225,243,13930,0,74,65,248,108,246,14776,34,N\A
1,2006/09/14,216,199,127,14052,0,52,0,247,110,246,14909,53,N\A
1,2006/09/22,216,248,236,13920,0,53,0,247,108,246,14567,38,N\A
1,2006/09/30,217,253,118,13903,0,61,0,247,111,245,14574,62,N\A
1,2006/10/08,212,65,78,13498,0,23,65,247,113,246,14152,73,N\A
1,2006/10/16,215,251,253,13328,0,44,65,248,112,247,14014,70,N\A
1,2006/10/24,216,195,157,13291,65,51,65,247,109,246,13929,43,N\A
1,2006/11/01,218,9,240,12943,65,62,65,247,119,245,13778,114,N\A
1,2006/11/09,215,100,234,12879,65,44,65,248,112,246,13624,64,N\A
1,2006/11/17,213,32,59,12824,65,31,65,247,119,246,13349,117,N\A
1,2006/11/25,216,197,187,12596,65,52,65,248,110,247,13181,52,N\A
1,2006/12/03,219,1,110,12526,65,70,65,247,116,246,13214,102,N\A
1,2006/12/11,217,42,226,12583,65,55,65,249,113,248,12888,77,N\A
1,2006/12/19,216,66,93,12620,65,53,0,248,109,248,12970,38,N\A
1,2006/12/27,214,2,31,12410,65,36,17,248,115,248,12749,95,N\Aid,Date,Night_view_time,Clear_sky_days,Clear_sky_nights,LST_Night_1km,QC_Day,Night_view_angl,QC_Night,Emis_32,Day_view_time,Emis_31,LST_Day_1km,Day_view_angl,real_date
1,2007/01/01,216,1,199,12528,65,51,0,247,111,247,12947,59,N\A
1,2007/01/09,217,42,255,12338,0,54,81,249,108,250,12636,34,N\A
1,2007/01/17,215,161,255,12450,65,43,0,249,112,250,12973,72,N\A
1,2007/01/25,216,98,239,12485,65,45,0,249,110,249,12863,50,N\A
1,2007/02/02,215,180,241,12838,65,44,0,249,111,249,13317,57,N\A
1,2007/02/10,218,18,171,12676,65,59,0,249,113,250,13301,73,N\A
1,2007/02/18,217,133,176,12649,65,60,65,248,111,248,13476,57,N\A
1,2007/02/26,219,3,97,12691,65,66,0,249,115,249,13981,84,N\A
1,2007/03/06,220,177,131,12753,65,77,0,248,111,248,13354,61,N\A
1,2007/03/14,217,66,143,13012,65,51,0,248,112,248,13945,65,N\A
1,2007/03/22,219,216,124,13061,65,66,65,249,110,250,14221,53,N\A
1,2007/03/30,217,24,12,13153,65,47,0,249,112,248,14574,64,N\A
1,2007/04/07,215,11,198,13399,65,39,65,247,115,245,14714,92,N\A
1,2007/04/15,221,8,135,13483,81,72,65,248,108,247,13947,33,N\A
1,2007/04/23,216,240,172,13628,65,54,65,247,110,246,14783,49,N\A
1,2007/05/01,214,207,120,13832,65,36,0,247,109,246,14584,48,N\A
1,2007/05/09,226,81,32,13875,17,117,0,247,108,246,14709,33,N\A
1,2007/05/17,213,27,5,13860,0,24,0,247,109,246,14903,46,N\A
1,2007/05/25,218,146,19,14126,17,63,0,247,112,245,15381,69,N\A
1,2007/06/02,220,255,30,14255,0,77,0,247,112,245,15252,64,N\A
1,2007/06/10,214,109,46,14188,65,32,0,247,111,245,15108,61,N\A
1,2007/06/18,221,191,178,14355,0,77,0,247,109,245,15306,46,N\A
1,2007/06/26,217,253,251,14465,0,52,0,247,113,246,15430,73,N\A
1,2007/07/04,220,23,234,14506,0,75,65,247,111,245,15418,65,N\A
1,2007/07/12,214,3,225,14342,0,38,0,247,115,245,15788,87,N\A
1,2007/07/20,221,242,22,14421,65,78,0,247,113,245,15490,73,N\A
1,2007/07/28,214,255,251,14639,0,37,0,247,114,246,15503,78,N\A
1,2007/08/05,216,192,161,14504,0,42,0,247,109,246,15307,45,N\A
1,2007/08/13,218,19,13,14568,0,66,65,247,112,245,15464,67,N\A
1,2007/08/21,221,242,121,14238,0,79,0,247,113,246,14996,73,N\A
1,2007/08/29,215,255,255,14262,0,43,0,247,114,245,15231,78,N\A
1,2007/09/06,217,255,246,14248,0,55,0,247,114,245,15087,78,N\A
1,2007/09/14,216,247,248,13994,0,49,0,247,111,246,14952,59,N\A
1,2007/09/22,216,214,250,13797,65,46,0,247,112,245,14492,69,N\A
1,2007/09/30,220,191,237,13629,0,79,0,247,112,246,14517,72,N\A
1,2007/10/08,217,251,255,13482,65,55,65,247,111,245,14226,58,N\A
1,2007/10/16,222,15,142,13374,65,85,0,247,114,246,13962,79,N\A
1,2007/10/24,218,27,29,13120,65,62,65,246,109,245,13789,46,N\A
1,2007/11/01,215,110,253,13193,65,45,0,247,116,245,13928,94,N\A
1,2007/11/09,217,159,255,12966,65,54,65,247,112,246,13657,69,N\A
1,2007/11/17,216,13,45,12569,65,51,65,248,112,247,13244,67,N\A
