1,46.0827,-89.9792,11,4,910,470
2,-2.8566,-54.9589,12,9,613,342
3,29.9495,-97.9962,9,6,610,6
4,39.9712,-74.4345,12,5,354,3

No data
No dataid,Date,8-day daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Average time of daytime Land-surface Temperature observation,Average view zenith angle of daytime Land-surface Temperature,8-day nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Average time of nighttime Land-surface Temperature observation,Average view zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,the days in clear-sky conditions and with validate LSTs,the nights in clear-sky conditions and with validate LSTs,actual_date
1,2002/07/04,14924,0,129,56,0,2,255,255,245,247,11,0,N\A
1,2002/07/12,14969,0,126,30,14256,0,20,57,246,247,157,183,N\A
1,2002/07/20,14885,65,131,72,14110,0,25,99,245,247,212,136,N\A
1,2002/07/28,15012,0,130,59,0,2,255,255,246,247,3,0,N\A
1,2002/08/05,14929,0,127,37,14338,65,22,67,246,247,11,9,N\A
1,2002/08/13,14669,65,129,59,14129,0,18,37,245,247,242,170,N\A
1,2002/08/21,14716,0,125,27,14178,0,22,67,245,247,50,48,N\A
1,2002/08/29,14853,0,126,41,14244,0,17,35,246,247,99,109,N\A
1,2002/09/06,14876,0,126,38,14310,0,22,72,245,247,60,108,N\A
1,2002/09/14,14870,0,127,42,14084,65,25,93,245,247,12,152,N\A
1,2002/09/22,14429,0,120,2,13679,65,19,53,245,247,32,34,N\A
1,2002/09/30,14612,0,130,63,13929,65,21,66,245,247,11,134,N\A
1,2002/10/08,14343,0,124,24,13820,65,22,73,245,247,74,42,N\A
1,2002/10/16,13790,65,138,122,13424,65,19,44,245,247,16,8,N\A
1,2002/10/24,13837,65,128,56,0,2,255,255,245,247,176,0,N\A
1,2002/11/01,13968,0,130,66,13519,65,22,68,245,247,76,131,N\A
1,2002/11/09,0,2,255,255,13375,65,27,112,245,247,0,8,N\A
1,2002/11/17,13760,65,127,44,13314,65,16,23,246,247,7,12,N\A
1,2002/11/25,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2002/12/03,13749,65,126,33,13077,65,18,44,249,249,128,145,N\A
1,2002/12/11,13818,65,133,99,13485,65,22,74,251,250,1,1,N\A
1,2002/12/19,13493,65,126,33,13065,65,20,54,249,249,128,192,N\A
1,2002/12/27,13500,65,127,41,0,2,255,255,248,249,18,0,N\A
1,2003/01/01,13633,65,126,39,12933,65,14,10,248,248,194,8,N\A
1,2003/01/09,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2003/01/17,0,2,255,255,12426,65,27,113,246,246,0,160,N\A
1,2003/01/25,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2003/02/02,0,2,255,255,12177,65,26,107,245,247,0,128,N\A
1,2003/02/10,13309,65,130,72,12257,65,27,106,249,249,160,76,N\A
1,2003/02/18,0,2,255,255,12306,0,19,55,248,249,0,160,N\A
1,2003/02/26,0,2,255,255,12495,0,20,57,247,247,0,171,N\A
1,2003/03/06,13183,65,132,91,12553,0,23,79,249,247,16,209,N\A
1,2003/03/14,13991,65,131,75,13658,65,20,60,248,248,9,14,N\A
1,2003/03/22,13897,65,132,91,13550,0,23,73,247,246,16,10,N\A
1,2003/03/30,0,2,255,255,13200,0,20,54,247,248,0,6,N\A
1,2003/04/07,14483,0,125,34,13581,65,16,25,246,247,184,56,N\A
1,2003/04/15,14399,0,129,61,14328,0,17,27,247,247,128,1,N\A
1,2003/04/23,14533,0,127,44,13732,65,16,32,245,247,15,44,N\A
1,2003/05/01,14605,0,126,42,13509,0,15,15,245,247,39,4,N\A
1,2003/05/09,14557,65,129,63,13824,0,20,54,245,247,88,240,N\A
1,2003/05/17,14661,0,128,57,13809,65,23,78,245,247,200,211,N\A
1,2003/05/25,14752,0,126,46,13752,0,22,75,245,247,199,151,N\A
1,2003/06/02,14525,65,126,50,13850,65,20,54,245,247,10,21,N\A
1,2003/06/10,14755,65,126,38,14137,0,19,51,246,247,106,224,N\A
1,2003/06/18,15012,0,126,38,13975,0,23,76,245,247,30,30,N\A
1,2003/06/26,14801,65,125,37,14095,65,17,33,245,247,176,114,N\A
1,2003/07/04,14986,0,126,50,14186,0,17,29,246,247,10,49,N\A
1,2003/07/12,14804,0,124,27,14053,0,21,67,245,247,235,211,N\A
1,2003/07/20,14921,65,126,41,14102,65,17,32,245,247,193,156,N\A
1,2003/07/28,14785,65,127,51,14214,65,16,20,245,247,134,2,N\A
1,2003/08/05,14851,65,131,76,14219,65,20,51,245,247,216,249,N\A
1,2003/08/13,15066,0,128,52,14363,0,19,46,245,247,175,63,N\A
1,2003/08/21,14770,0,126,41,14346,0,19,44,245,247,227,7,N\A
1,2003/08/29,14721,0,127,51,14026,65,19,54,245,247,221,175,N\A
1,2003/09/06,14974,0,128,51,14342,0,21,62,246,247,29,43,N\A
1,2003/09/14,14843,0,130,74,13948,0,19,44,246,247,92,64,N\A
1,2003/09/22,14531,0,135,112,0,2,255,255,245,247,2,0,N\A
1,2003/09/30,14559,0,125,30,13564,0,19,51,245,247,224,224,N\A
1,2003/10/08,14712,0,124,26,14101,0,19,47,246,247,23,39,N\A
1,2003/10/16,14523,0,130,74,13838,0,23,84,246,247,28,4,N\A
1,2003/10/24,0,2,255,255,13640,65,24,93,245,246,0,2,N\A
1,2003/11/01,13412,65,125,30,13204,65,28,117,250,249,224,32,N\A
1,2003/11/09,13912,0,128,55,13171,65,19,41,247,248,37,33,N\A
1,2003/11/17,13987,0,134,107,13540,65,14,10,246,247,4,8,N\A
1,2003/11/25,0,2,255,255,13144,65,20,55,246,247,0,32,N\A
1,2003/12/03,0,2,255,255,12898,65,25,101,246,247,0,1,N\A
1,2003/12/11,13126,65,126,34,0,2,255,255,252,250,4,0,N\A
1,2003/12/19,13316,65,130,72,13113,65,25,96,250,249,64,156,N\A
1,2003/12/27,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2004/01/01,13225,65,129,62,0,2,255,255,252,250,4,0,N\A
1,2004/01/09,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2004/01/17,0,2,255,255,12464,65,26,107,246,247,0,10,N\A
1,2004/01/25,12704,65,126,33,12238,65,22,75,250,248,32,113,N\A
1,2004/02/02,13091,65,129,61,12818,65,23,84,252,250,4,32,N\A
1,2004/02/10,13277,65,129,61,12374,0,17,30,251,249,104,34,N\A
1,2004/02/18,13540,65,131,82,0,2,255,255,252,250,1,0,N\A
1,2004/02/26,13633,65,123,15,13226,0,16,24,249,247,1,11,N\A
1,2004/03/05,13527,65,130,67,13079,0,15,16,250,249,144,80,N\A
1,2004/03/13,13586,65,128,51,12975,0,19,45,249,247,8,96,N\A
1,2004/03/21,13489,65,130,72,12998,0,23,83,250,249,5,14,N\A
1,2004/03/29,14069,65,126,39,13284,0,18,41,248,248,208,152,N\A
1,2004/04/06,14383,0,132,86,13314,65,29,119,247,248,129,66,N\A
1,2004/04/14,14214,65,121,6,13805,0,22,67,245,247,4,12,N\A
1,2004/04/22,14627,0,128,54,13414,65,21,60,247,246,65,36,N\A
1,2004/04/30,14354,0,131,74,13599,65,19,46,246,247,74,238,N\A
1,2004/05/08,14444,65,133,91,13686,0,25,101,246,247,128,8,N\A
1,2004/05/16,14676,0,122,11,13810,0,19,50,245,247,5,44,N\A
1,2004/05/24,14664,65,129,52,13624,65,16,21,246,247,20,16,N\A
1,2004/06/01,14924,0,128,53,14043,0,19,49,245,247,102,190,N\A
1,2004/06/09,14805,0,124,20,0,2,255,255,246,247,90,0,N\A
