site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,28.8402,115.8013,28,6,171,138
2,28.8405,115.8013,28,6,171,138
3,28.8408,115.8012,28,6,171,138
4,28.871,115.8525,28,6,172,134
5,28.8712,115.8522,28,6,172,134
6,28.8718,115.8523,28,6,172,134
7,28.8722,115.8495,28,6,172,134
8,28.8722,115.8497,28,6,172,134
9,28.8727,115.8493,28,6,172,134
10,28.8727,115.8493,28,6,172,134
11,28.8727,115.8493,28,6,172,134
12,28.8727,115.8498,28,6,172,134
13,28.8748,115.8493,28,6,172,134
14,28.875,115.8483,28,6,171,134
15,28.8752,115.8482,28,6,171,134
16,28.8752,115.8485,28,6,171,134
17,28.8752,115.8485,28,6,171,134
18,28.876,115.8358,28,6,170,134
19,28.8765,115.8377,28,6,170,134
20,28.8772,115.836,28,6,170,134
21,28.8772,115.8367,28,6,170,134
22,28.8773,115.8363,28,6,170,134
23,28.8773,115.8363,28,6,170,134
24,28.8785,115.8335,28,6,169,134
25,28.8785,115.835,28,6,170,134
26,28.8787,115.8333,28,6,169,134
27,28.8787,115.8335,28,6,169,134
28,28.8788,115.8333,28,6,169,134
29,28.8788,115.835,28,6,170,134
30,28.879,115.8333,28,6,169,134
31,28.879,115.8335,28,6,169,134
32,28.879,115.8348,28,6,170,134
33,28.8792,115.8332,28,6,169,133
34,28.8792,115.8333,28,6,169,133
35,28.8792,115.8333,28,6,169,133
36,28.8792,115.8333,28,6,169,133
37,28.8792,115.8333,28,6,169,133
38,28.8792,115.8333,28,6,169,133
39,28.8792,115.8335,28,6,169,133
40,28.8792,115.8335,28,6,169,133
41,28.8792,115.8335,28,6,169,133
42,28.8795,115.835,28,6,170,133
43,28.8795,115.8352,28,6,170,133
44,28.8797,115.835,28,6,170,133
45,28.8797,115.835,28,6,170,133
46,28.8797,115.835,28,6,170,133
47,28.8797,115.835,28,6,170,133
48,28.8797,115.8353,28,6,170,133
49,28.8798,115.8348,28,6,169,133
50,28.8798,115.8348,28,6,169,133
51,28.8798,115.835,28,6,169,133
52,28.8798,115.835,28,6,169,133
53,28.8798,115.835,28,6,169,133
54,28.8798,115.835,28,6,169,133
55,28.8798,115.8352,28,6,170,133
56,28.88,115.835,28,6,169,133
57,28.8803,115.8348,28,6,169,133
58,28.8805,115.8347,28,6,169,133
59,28.8805,115.8348,28,6,169,133
60,28.8805,115.8348,28,6,169,133
61,28.8805,115.8348,28,6,169,133
62,28.8807,115.8045,28,6,166,133
63,28.881,115.8348,28,6,169,133
64,28.881,115.8348,28,6,169,133
65,28.8812,115.8347,28,6,169,133
