site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,28.78,116.0,28,6,401,292
2,29.05,116.12,28,6,362,228
3,29.06,116.07,28,6,349,225
4,28.98,116.2,28,6,396,244
5,28.67,116.28,28,6,485,319
6,29.06,116.07,28,6,349,225
7,29.05,116.01,28,6,339,228
8,29.06,116.06,28,6,347,225
9,29.07,116.07,28,6,347,223
10,29.05,115.9,28,6,316,228
11,28.99,116.0,28,6,351,242
12,29.06,116.0,28,6,335,225
13,28.93,116.0,28,6,365,256
14,29.05,116.1,28,6,358,228
15,29.06,116.1,28,6,356,225
16,29.08,116.0,28,6,330,220
17,29.06,116.0,28,6,335,225
18,29.04,116.0,28,6,339,230
19,29.12,115.8,28,6,279,211
20,29.08,116.0,28,6,330,220
21,29.12,116.0,28,6,321,211
22,29.04,116.0,28,6,339,230
23,29.07,115.9,28,6,311,223
24,29.0,116.08,28,6,366,240
25,29.04,115.9,28,6,319,230
26,29.09,116.0,28,6,328,218
27,28.92,116.1,28,6,389,259
28,28.92,116.0,28,6,368,259
29,29.0,116.02,28,6,353,240
30,29.23,115.9,28,6,274,184
31,29.075,116.0,28,6,331,222
32,29.0633,116.0,28,6,334,224
33,29.0767,116.0,28,6,331,221
34,29.0717,116.0,28,6,332,222
35,29.0633,116.0,28,6,334,224
36,29.0733,116.0,28,6,332,222
37,29.0767,116.0,28,6,331,221
38,29.0717,116.0,28,6,332,222
39,29.0733,116.0,28,6,332,222
40,29.075,116.0,28,6,331,222
41,29.0717,116.0,28,6,332,222
42,29.0817,116.0,28,6,330,220
43,29.0833,116.0,28,6,329,220
44,29.0833,116.0,28,6,329,220
45,29.0833,116.0,28,6,329,220
46,29.0883,116.0,28,6,328,218
47,29.08,116.0,28,6,330,220
48,29.0667,116.0,28,6,333,223
49,29.0633,116.0,28,6,334,224
50,29.085,116.0,28,6,329,219
51,29.0717,116.0,28,6,332,222
52,29.0817,116.0,28,6,330,220
53,29.07,116.0,28,6,332,223
54,29.0717,116.0,28,6,332,222
55,29.0667,116.0,28,6,333,223
56,29.0933,116.0,28,6,327,217
57,29.08,116.0,28,6,330,220
58,29.0333,115.0,28,6,131,232
59,29.0333,115.0,28,6,131,232
60,29.0117,115.0,28,6,136,237
61,29.0317,115.0,28,6,132,232
62,29.0783,116.0,28,6,330,221
63,29.0733,116.0,28,6,332,222
64,29.075,116.0,28,6,331,222
65,29.075,116.0,28,6,331,222
66,29.0833,116.0,28,6,329,220
67,29.0833,116.0,28,6,329,220
68,29.075,116.0,28,6,331,222
69,29.085,116.0,28,6,329,219
70,29.0833,116.0,28,6,329,220
71,29.0833,116.0,28,6,329,220
72,29.0717,116.0,28,6,332,222
73,29.065,116.0,28,6,334,224
74,29.0767,116.0,28,6,331,221
75,29.0767,116.0,28,6,331,221
76,29.2533,116.0,28,6,289,179
77,29.16,115.8,28,6,269,201
78,29.1517,115.0,28,6,103,203
79,29.1517,115.0,28,6,103,203
80,29.0583,116.0,28,6,335,226
81,29.0583,116.0,28,6,335,226
82,29.0583,116.0,28,6,335,226
83,29.0583,116.0,28,6,335,226
84,29.0567,116.0,28,6,336,226
85,29.0567,116.0,28,6,336,226
86,29.0567,116.0,28,6,336,226
87,29.0783,116.0,28,6,330,221
88,29.0783,116.0,28,6,330,221
89,29.0783,116.0,28,6,330,221
90,29.0767,116.0,28,6,331,221
91,29.0767,116.0,28,6,331,221
92,29.0783,116.0,28,6,330,221
93,29.0783,116.0,28,6,330,221
94,29.08,116.0,28,6,330,220
95,29.08,116.0,28,6,330,220
96,29.0833,116.0,28,6,329,220
97,29.0,116.06,28,6,362,240
98,29.0,116.06,28,6,362,240
99,29.0983,116.0,28,6,326,216
100,29.6983,11.0,18,6,2293,72
101,29.6983,11.0,18,6,2293,72
102,29.7183,11.0,18,6,2292,67
103,29.735,116.0,28,6,174,63
104,29.7617,11.0,18,6,2291,57
105,29.7633,11.0,18,6,2291,56
106,29.7633,11.0,18,6,2291,56
107,29.77,116.0,28,6,165,55
