1,29.066,116.0665,28,6,347,224
2,29.066,116.06667,28,6,347,224
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date
1,2000/02/18,7973,8232,7631,7869,-28672,7279,5645,1077411843,4582,5378,-4726,1041,56,2000/02/25
1,2000/02/26,930,1657,476,806,1600,1204,742,1073741824,4075,2000,12417,200,57,2000/02/26
1,2000/03/05,1253,1834,1228,1299,1557,1188,694,1073741824,3794,783,12611,72,66,2000/03/06
1,2000/03/13,1097,1913,847,1110,1551,1141,655,1073741824,3128,5945,11668,202,76,2000/03/16
1,2000/03/21,1198,1870,609,1079,1231,1200,770,1073741824,3233,1713,-4634,200,84,2000/03/24
1,2000/03/29,1351,1945,687,1143,1676,1311,863,1073741824,2831,2155,12843,136,89,2000/03/29
1,2000/04/06,2082,2863,1952,2117,2635,1786,967,1075576832,2187,4119,12508,1801,103,2000/04/12
1,2000/04/14,1269,2255,626,1149,2113,1814,1148,1073741824,2324,410,-3747,72,107,2000/04/16
1,2000/04/22,5924,6059,6042,6051,5509,4188,2694,1073741824,2457,5279,-2592,1033,120,2000/04/29
1,2000/04/30,1089,2420,570,1063,2467,2059,1302,1073741824,2206,4641,-2372,202,127,2000/05/06
1,2000/05/08,1134,2293,598,1099,2369,1931,1121,1073741824,1782,1712,-2762,136,132,2000/05/11
1,2000/05/16,755,2479,385,837,2243,1768,1056,1073741824,1190,3189,14756,136,144,2000/05/23
1,2000/05/24,766,2425,395,860,2236,1612,817,1077411841,872,5475,13403,202,149,2000/05/28
1,2000/06/01,1445,3922,1403,1664,3426,2574,1407,1077411841,1687,2851,-994,1034,157,2000/06/05
1,2000/06/09,589,3741,343,825,3191,2041,924,1073741824,1827,3837,-716,200,166,2000/06/14
1,2000/06/17,1148,2962,576,1173,2462,1980,1156,1075576832,687,5980,14005,202,172,2000/06/20
1,2000/06/25,681,3362,332,808,2765,2017,1071,1073741824,1367,919,16803,136,178,2000/06/26
1,2000/07/03,989,3055,501,1001,2772,2017,1220,1073741824,1554,369,-164,72,187,2000/07/05
1,2000/07/11,1326,3669,675,1250,3584,2918,1935,1073741824,1759,1650,-1036,72,196,2000/07/14
1,2000/07/19,665,2221,320,674,1822,1394,752,1073741824,1024,5989,13594,72,204,2000/07/22
1,2000/07/27,717,1885,326,739,1349,1143,681,1073741824,1276,5453,13665,136,213,2000/07/31
1,2000/08/04,3253,3785,3442,3408,3918,3101,2406,1073741824,1709,2045,14954,1033,217,2000/08/04
