site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
3,38.05,100.45,25,5,1092,234

Bad input file formatting: three sites

Bad input file formatting: 1,  38.533694444,100.252222222;

Bad input file formatting: 2,  38.05,     100.45;
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
3,2009/01/01,17,2,0,128,9,1,N\A
3,2009/01/09,16,2,0,128,9,1,N\A
3,2009/01/17,18,2,0,128,9,1,N\A
3,2009/01/25,19,2,16,136,9,1,N\A
3,2009/02/02,20,3,16,136,9,1,N\A
3,2009/02/10,18,2,0,128,9,1,N\A
3,2009/02/18,19,2,0,136,10,1,N\A
3,2009/02/26,17,3,16,136,7,1,N\A
3,2009/03/06,14,2,0,128,7,1,N\A
3,2009/03/14,17,3,0,128,7,1,N\A
3,2009/03/22,17,3,0,128,7,1,N\A
3,2009/03/30,18,3,0,192,9,2,N\A
3,2009/04/07,15,3,0,128,9,2,N\A
3,2009/04/15,18,3,0,128,9,2,N\A
3,2009/04/23,16,3,0,200,8,2,N\A
3,2009/05/01,29,6,0,192,8,2,N\A
3,2009/05/09,24,5,0,192,4,1,N\A
3,2009/05/17,33,8,0,192,5,2,N\A
3,2009/05/25,44,10,0,200,4,1,N\A
3,2009/06/02,53,15,0,128,5,2,N\A
3,2009/06/10,63,20,0,128,4,2,N\A
3,2009/06/18,77,33,0,136,8,13,N\A
3,2009/06/26,45,11,8,176,6,2,N\A
3,2009/07/04,83,37,97,128,248,248,N\A
3,2009/07/12,91,61,32,128,1,6,N\A
3,2009/07/20,58,17,0,192,5,3,N\A
3,2009/07/28,90,50,97,128,248,248,N\A
3,2009/08/05,83,38,0,128,2,3,N\A
3,2009/08/13,78,32,0,200,4,4,N\A
3,2009/08/21,87,46,32,128,4,13,N\A
3,2009/08/29,81,35,0,128,6,11,N\A
3,2009/09/06,70,24,97,128,248,248,N\A
3,2009/09/14,66,16,0,128,0,0,N\A
3,2009/09/22,62,15,0,128,5,2,N\A
3,2009/09/30,51,11,0,192,6,2,N\A
3,2009/10/08,36,7,0,128,5,1,N\A
3,2009/10/16,28,5,0,128,6,1,N\A
3,2009/10/24,27,5,0,192,6,1,N\A
3,2009/11/01,21,3,0,128,9,1,N\A
3,2009/11/09,20,3,0,128,9,1,N\A
3,2009/11/17,9,1,8,192,0,0,N\A
3,2009/11/25,19,2,0,128,9,1,N\A
3,2009/12/03,19,2,0,128,9,1,N\A
3,2009/12/11,20,3,0,128,9,1,N\A
3,2009/12/19,19,2,0,128,9,1,N\A
3,2009/12/27,19,2,0,136,9,1,N\A
