site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,6.92754,124.211991,30,8,1586,1474
2,6.8088,124.481826,30,8,1729,1531
3,7.13658,124.536971,30,8,1714,1374
4,7.886234,124.352285,30,8,1524,1014
5,17.6,120.650104,29,7,2401,1152
6,17.403802,120.710614,29,7,2488,1246
7,16.87,120.847332,29,7,2710,1502
8,16.482452,120.60318,29,7,2710,1688
9,17.384381,121.504894,29,7,2858,1255
10,18.264937,120.594505,29,7,2168,832
11,17.973888,120.691845,29,7,2304,972
12,17.647013,120.431362,29,7,2286,1129
13,17.176121,120.449365,29,7,2437,1355
14,16.892107,120.528628,29,7,2557,1491
15,16.860722,120.397383,29,7,2506,1506
16,16.405965,120.397421,29,7,2637,1725
17,15.989078,120.39786,29,7,2755,1925
18,16.090444,120.552156,29,7,2798,1876
19,16.089993,120.763807,29,7,2895,1876
20,15.929306,120.707129,29,7,2914,1953
21,16.097167,119.989561,29,7,2536,1873
22,15.770139,120.338379,29,7,2788,2030
23,18.27969,121.718203,29,7,2676,825
24,18.079776,121.552994,29,7,2664,921
25,17.80583,121.639191,29,7,2789,1053
26,17.872952,121.910065,29,7,2892,1020
27,17.040246,121.730973,29,7,3065,1420
28,16.683838,121.496308,29,7,3063,1591
29,16.477999,121.75562,29,7,3242,1690
30,16.362945,121.693003,29,7,3246,1745
31,17.046134,121.096969,29,7,2772,1417
32,16.338072,121.096969,29,7,2979,1757
33,16.204606,121.066956,29,7,3003,1821
34,16.545279,121.175551,29,7,2955,1658
35,16.022895,121.096101,29,7,3068,1909
36,15.978566,121.074224,29,7,3070,1930
37,15.794952,121.022798,29,7,3097,2018
38,15.667999,120.968348,29,7,3107,2079
39,15.415045,120.810752,29,7,3103,2200
40,15.18643,120.933623,29,7,3221,2310
41,14.976358,120.844992,29,7,3235,2411
42,15.38902,120.571417,29,7,2999,2213
43,15.411066,120.569883,29,7,2992,2202
44,15.666704,120.434203,29,7,2860,2079
45,15.665044,120.368507,29,7,2830,2080
46,14.939025,120.515393,29,7,3092,2429
47,14.919103,120.523545,29,7,3101,2438
48,15.089563,121.003032,29,7,3278,2357
49,15.670958,121.145854,29,7,3188,2077
50,15.707533,120.803862,29,7,3020,2060
51,15.291401,120.820462,29,7,3140,2260
52,15.617459,121.164793,29,7,3211,2103
53,14.285342,120.754128,29,7,3369,2743
54,14.396618,120.877077,29,7,3399,2689
55,14.227291,121.158483,29,7,3572,2770
56,14.447077,121.412577,29,7,3635,2665
57,14.711751,121.640761,29,7,3673,2538
58,14.173183,121.309555,29,7,3656,2796
59,13.281084,121.239187,29,7,3838,3225
60,13.22632,121.166563,29,7,3817,3251
id,Date,250m 16 days NDVI,250m 16 days EVI,250m 16 days VI Quality,250m 16 days red reflectance,250m 16 days NIR reflectance,250m 16 days blue reflectance,250m 16 days MIR reflectance,250m 16 days view zenith angle,250m 16 days sun zenith angle,250m 16 days relative azimuth angle,250m 16 days composite day of the year,250m 16 days pixel reliability,actual_date
1,2007/01/01,5298,4331,2066,897,2919,884,1112,6205,3134,2339,16,3,N\A
1,2007/01/17,6253,4292,2116,785,3406,380,1388,3682,3926,379,17,0,N\A
1,2007/02/02,5248,3406,2116,921,2956,473,1604,1103,3247,273,47,0,N\A
1,2007/02/18,5639,3372,2116,735,2636,394,1415,1102,2892,200,63,0,N\A
1,2007/03/06,5759,2867,2116,565,2100,281,1175,3125,2373,2002,68,0,N\A
1,2007/03/22,4648,2811,2116,956,2617,478,1714,1122,2325,-89,95,0,N\A
1,2007/04/07,6070,3056,34837,533,2180,254,1005,3107,1831,1675,100,1,N\A
1,2007/04/23,6675,4069,36002,540,2709,350,884,4130,1773,1407,123,3,N\A
1,2007/05/09,7330,4326,34837,423,2746,248,907,3051,2012,1365,132,1,N\A
1,2007/05/25,8426,5378,34965,283,3314,123,739,6194,1960,1151,160,1,N\A
1,2007/06/10,7734,5414,2116,472,3694,220,802,1166,2779,-459,175,0,N\A
1,2007/06/26,6085,5692,2062,1024,4208,849,1166,2515,2911,-440,184,3,N\A
1,2007/07/12,7345,5446,2120,614,4012,280,1099,5362,3273,-375,195,1,N\A
1,2007/07/28,6503,4005,34837,571,2695,382,870,1873,2246,1473,221,1,N\A
1,2007/08/13,6655,7647,3102,503,2505,1197,1263,5020,1763,1443,226,3,N\A
1,2007/08/29,6863,4132,2061,553,2973,220,952,3154,1803,1651,244,1,N\A
1,2007/09/14,6523,4782,2120,798,3793,390,1415,4580,2627,64,266,1,N\A
1,2007/09/30,5776,4596,34837,840,3138,757,1319,1882,2157,2111,285,1,N\A
1,2007/10/16,6779,5662,34837,652,3397,692,1479,1166,2770,412,303,1,N\A
1,2007/11/01,5724,5791,2062,1013,3726,1079,1543,3710,3026,369,305,3,N\A
1,2007/11/17,5704,3200,2116,659,2409,359,1291,1175,3469,473,335,0,N\A
1,2007/12/03,6633,5366,2066,817,4037,525,1421,6483,4143,386,341,3,N\A
1,2007/12/19,6641,5101,2066,612,3032,646,863,5657,3311,2371,361,3,N\A
2,2007/01/01,7516,4954,34841,403,2843,393,668,6301,3110,2341,16,1,N\A
2,2007/01/17,7514,4787,2116,441,3107,244,690,2259,3725,376,24,0,N\A
2,2007/02/02,6748,3979,2116,514,2648,310,698,823,3219,264,47,0,N\A
2,2007/02/18,6401,3723,2116,576,2625,310,906,685,2940,2058,54,0,N\A
2,2007/03/06,5903,3656,2116,656,2547,474,1631,686,2568,1990,70,0,N\A
2,2007/03/22,4161,2186,2116,903,2190,386,942,842,2298,-105,95,0,N\A
2,2007/04/07,5680,3019,2185,611,2218,344,786,649,2098,1652,102,1,N\A
2,2007/04/23,3785,2687,35033,1327,2944,782,1221,3483,2533,-223,113,1,N\A
2,2007/05/09,4070,1662,2185,633,1502,298,478,578,2273,1356,134,1,N\A
2,2007/05/25,6364,2884,2189,443,1994,161,560,4285,2185,1237,155,1,N\A
2,2007/06/10,7989,4643,2116,313,2801,171,512,876,2764,-472,175,0,N\A
2,2007/06/26,8598,5769,2120,267,3542,127,711,5123,2226,1208,178,1,N\A
2,2007/07/12,8318,6099,2116,360,3921,198,663,2240,2842,-402,200,0,N\A
2,2007/07/28,7349,4842,2116,507,3319,246,642,2129,2227,1446,221,0,N\A
2,2007/08/13,6999,5745,2116,767,4346,450,1000,3428,2737,-277,225,0,N\A
2,2007/08/29,6525,4651,34841,806,3833,320,1116,6363,3132,-120,245,1,N\A
2,2007/09/14,5634,3799,3226,913,3270,432,1114,4414,2598,62,266,3,N\A
2,2007/09/30,5129,2354,2116,573,1780,320,543,2138,2128,2117,285,0,N\A
2,2007/10/16,3614,1517,2116,682,1454,377,352,886,2743,414,303,0,N\A
2,2007/11/01,6093,4043,34842,694,2859,485,797,5902,3556,361,316,3,N\A
2,2007/11/17,5639,2455,2116,496,1779,226,455,895,3444,462,335,0,N\A
2,2007/12/03,7292,3867,2116,383,2446,188,555,3294,3297,2338,340,0,N\A
